rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Carly Simon,You're So Vain,4,1,6,1973-01-06
2,Gilbert O'Sullivan,Clair,2,2,11,1973-01-06
3,Billy Paul,Me And Mrs. Jones,1,1,10,1973-01-06
4,Stevie Wonder,Superstition,16,4,8,1973-01-06
5,Donna Fargo,Funny Face,6,5,15,1973-01-06
6,Albert Hammond,It Never Rains In Southern California,5,5,12,1973-01-06
7,Johnny Rivers,Rockin' Pneumonia - Boogie Woogie Flu,8,7,14,1973-01-06
8,Kenny Loggins & Jim Messina,Your Mama Don't Dance,10,8,9,1973-01-06
9,Curtis Mayfield,Superfly,9,9,8,1973-01-06
10,Al Green,You Ought To Be With Me,3,3,12,1973-01-06
11,Four Tops,Keeper Of The Castle,11,11,9,1973-01-06
12,Jethro Tull,Living In The Past,13,12,10,1973-01-06
13,Elton John,Crocodile Rock,20,13,5,1973-01-06
14,Helen Reddy,I Am Woman,7,1,20,1973-01-06
15,James Taylor,Don't Let Me Be Lonely Tonight,21,15,6,1973-01-06
16,Austin Roberts,Something's Wrong With Me,12,12,13,1973-01-06
17,Neil Diamond,Walk On Water,17,17,9,1973-01-06
18,Cat Stevens,Sitting,18,18,8,1973-01-06
19,Timmy Thomas,Why Can't We Live Together,24,19,7,1973-01-06
20,Bread,Sweet Surrender,15,15,9,1973-01-06
21,Three Dog Night,Pieces Of April,23,21,8,1973-01-06
22,Wings,"Hi, Hi, Hi",27,22,4,1973-01-06
23,Raspberries,I Wanna Be With You,28,23,7,1973-01-06
24,Carole King,Been To Canaan,26,24,7,1973-01-06
25,Hurricane Smith,"Oh, Babe, What Would You Say?",30,25,6,1973-01-06
26,Marvin Gaye,Trouble Man,33,26,4,1973-01-06
27,The Temptations,Papa Was A Rollin' Stone,14,1,13,1973-01-06
28,Elvis Presley,Separate Ways,34,28,6,1973-01-06
29,Blue Haze,Smoke Gets In Your Eyes,31,29,9,1973-01-06
30,War,The World Is A Ghetto,35,30,8,1973-01-06
31,Steely Dan,Do It Again,37,31,8,1973-01-06
32,Brighter Side Of Darkness,Love Jones,46,32,5,1973-01-06
33,Johnny Nash,I Can See Clearly Now,22,1,18,1973-01-06
34,King Harvest,Dancing In The Moonlight,43,34,11,1973-01-06
35,John Denver,Rocky Mountain High,41,35,7,1973-01-06
36,Harold Melvin And The Blue Notes,If You Don't Know Me By Now,19,3,15,1973-01-06
37,The Blue Ridge Rangers,Jambalaya (On The Bayou),49,37,6,1973-01-06
38,Joni Mitchell,"You Turn Me On, I'm A Radio",40,38,9,1973-01-06
39,Jackson 5,Corner Of The Sky,25,18,11,1973-01-06
40,Chuck Berry,Reelin' & Rockin',55,40,6,1973-01-06
41,Jermaine Jackson,Daddy's Home,54,41,5,1973-01-06
42,Bobby Womack & Peace,Harry Hippie,45,42,5,1973-01-06
43,The Who,The Relay,47,43,5,1973-01-06
44,Seals & Crofts,Summer Breeze,29,6,18,1973-01-06
45,The Hollies,Long Dark Road,32,26,10,1973-01-06
46,Luther Ingram,I'll Be Your Shelter (In Time Of Storm),60,46,6,1973-01-06
47,Bulldog,No,44,44,13,1973-01-06
48,Bill Withers,Let Us Love,52,48,5,1973-01-06
49,Bette Midler,Do You Want To Dance?,72,49,3,1973-01-06
50,Peter Skellern,You're A Lady,53,50,7,1973-01-06
51,Clean Living,In Heaven There Is No Beer,51,49,10,1973-01-06
52,Don McLean,Dreidel,66,52,3,1973-01-06
53,Smokey Robinson & The Miracles,I Can't Stand To See You Cry,62,53,4,1973-01-06
54,Lobo,Don't Expect Me To Be Your Friend,81,54,2,1973-01-06
55,America,Ventura Highway,36,8,12,1973-01-06
56,Joe Cocker and The Chris Stainton Band,Woman To Woman,58,56,6,1973-01-06
57,The Partridge Family Starring Shirley Jones Featuring David Cassidy,Looking Through The Eyes Of Love,64,57,4,1973-01-06
58,The Stylistics,I'm Stone In Love With You,38,10,13,1973-01-06
59,The Main Ingredient,You've Got To Take It (If You Want It),67,59,3,1973-01-06
60,Cornelius Brothers & Sister Rose,I'm Never Gonna Be Alone Anymore,69,60,3,1973-01-06
61,The Spinners,Could It Be I'm Falling In Love,79,61,2,1973-01-06
62,Nilsson,Remember (Christmas),70,62,3,1973-01-06
63,The Osmonds,Crazy Horses,39,14,12,1973-01-06
64,Joe Simon,Trouble In My Home/I Found My Dad,50,50,6,1973-01-06
65,Dr. Hook And The Medicine Show,"The Cover Of ""Rolling Stone""",77,65,6,1973-01-06
66,Dennis Yost And The Classics IV,What Am I Crying For?,57,39,12,1973-01-06
67,Eagles,Peaceful Easy Feeling,73,67,2,1973-01-06
68,Wayne Newton,Anthem,75,68,3,1973-01-06
69,Mac Davis,Everybody Loves A Love Song,63,63,7,1973-01-06
70,Dawn Featuring Tony Orlando,You're A Lady,74,70,7,1973-01-06
71,The Chi-lites,We Need Order,61,61,6,1973-01-06
72,Keith Hampshire,Daytime Night-Time,76,72,3,1973-01-06
73,James Brown-Lyn Collins,What My Baby Needs Now Is A Little More Lovin',78,73,3,1973-01-06
74,Edward Bear,Last Song,80,74,4,1973-01-06
75,"Emerson, Lake & Palmer",Lucky Man,86,48,14,1973-01-06
76,The 5th Dimension,"Living Together, Growing Together",-,76,1,1973-01-06
77,Cashman & West,Songman,82,77,2,1973-01-06
78,Slade,Mama Weer All Crazee Now,83,78,8,1973-01-06
79,Gallery,Big City Miss Ruth Ann,88,79,2,1973-01-06
80,The Doobie Brothers,Jesus Is Just Alright,90,80,4,1973-01-06
81,Valerie Simpson,Silly Wasn't I,84,81,5,1973-01-06
82,Glen Campbell,One Last Time,85,82,5,1973-01-06
83,Anne Murray,Danny's Song,-,83,1,1973-01-06
84,Limmie & Family Cookin',You Can Do Magic,89,84,8,1973-01-06
85,Merry Clayton,"Oh No, Not My Baby",87,85,3,1973-01-06
