rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Taylor Swift,Blank Space,1,1,8,2015-01-03
2,Hozier,Take Me To Church,2,2,19,2015-01-03
3,Mark Ronson Featuring Bruno Mars,Uptown Funk!,3,3,6,2015-01-03
4,Ed Sheeran,Thinking Out Loud,6,4,11,2015-01-03
5,Meghan Trainor,Lips Are Movin,4,4,9,2015-01-03
6,Sam Smith,I'm Not The Only One,5,5,16,2015-01-03
7,Ariana Grande & The Weeknd,Love Me Harder,9,7,11,2015-01-03
8,Nick Jonas,Jealous,11,8,15,2015-01-03
9,Maroon 5,Animals,8,3,18,2015-01-03
10,Meghan Trainor,All About That Bass,7,1,24,2015-01-03
11,Taylor Swift,Shake It Off,10,1,18,2015-01-03
12,Big Sean Featuring E-40,I Don't F**k With You,14,11,13,2015-01-03
13,Selena Gomez,The Heart Wants What It Wants,13,6,7,2015-01-03
14,Matt McAndrew,Wasted Love,-,14,1,2015-01-03
15,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Only,12,12,8,2015-01-03
16,Tove Lo,Habits (Stay High),15,3,30,2015-01-03
17,I LOVE MAKONNEN Featuring Drake,Tuesday,16,12,13,2015-01-03
18,Mr. Probz,Waves,18,14,18,2015-01-03
19,Ed Sheeran,Don't,17,9,28,2015-01-03
20,Fall Out Boy,Centuries,26,20,15,2015-01-03
21,James Newton Howard Featuring Jennifer Lawrence,The Hanging Tree,23,12,4,2015-01-03
22,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,19,3,21,2015-01-03
23,Rae Sremmurd,No Type,22,16,13,2015-01-03
24,Beyonce,7/11,20,13,4,2015-01-03
25,Bobby Shmurda,Hot Boy,24,6,21,2015-01-03
26,Calvin Harris Featuring John Newman,Blame,21,19,15,2015-01-03
27,Sam Smith,Stay With Me,25,2,37,2015-01-03
28,O.T. Genasis,CoCo,27,27,5,2015-01-03
29,Iggy Azalea Featuring M0,Beg For It,28,28,9,2015-01-03
30,Jeremih Featuring YG,Don't Tell 'Em,29,6,26,2015-01-03
31,Usher Featuring Juicy J,I Don't Mind,37,31,5,2015-01-03
32,Vance Joy,Riptide,32,32,26,2015-01-03
33,Iggy Azalea Featuring Rita Ora,Black Widow,30,3,25,2015-01-03
34,Craig Wayne Boyd,My Baby's Got A Smile On Her Face,-,34,1,2015-01-03
35,Mariah Carey,All I Want For Christmas Is You,40,21,10,2015-01-03
36,Alesso Featuring Tove Lo,Heroes (We Could Be),35,35,12,2015-01-03
37,Jason Derulo,Trumpets,31,14,30,2015-01-03
38,Tim McGraw,Shotgun Rider,39,38,12,2015-01-03
39,Milky Chance,Stolen Dance,42,39,22,2015-01-03
40,Sia,Chandelier,34,8,33,2015-01-03
41,Carrie Underwood,Something In The Water,38,24,12,2015-01-03
42,Ariana Grande,Santa Tell Me,64,42,4,2015-01-03
43,Nicki Minaj Featuring Beyonce,Feeling Myself,-,43,1,2015-01-03
