rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Santana Featuring Rob Thomas,Smooth,1,1,23,2000-01-01
2,Brian McKnight,Back At One,2,2,19,2000-01-01
3,Jessica Simpson,I Wanna Love You Forever,3,3,12,2000-01-01
4,Whitney Houston,My Love Is Your Love,5,4,18,2000-01-01
5,Savage Garden,I Knew I Loved You,4,4,11,2000-01-01
6,Marc Anthony,I Need To Know,6,3,17,2000-01-01
7,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",Hot Boyz,7,7,6,2000-01-01
8,Donell Jones,U Know What's Up,8,7,15,2000-01-01
9,Blaque,Bring It All To Me,9,9,11,2000-01-01
10,LFO,Girl On TV,11,10,7,2000-01-01
11,Christina Aguilera,What A Girl Wants,13,11,6,2000-01-01
12,Kevon Edmonds,24/7,10,10,9,2000-01-01
13,Eiffel 65,Blue (Da Ba Dee),16,13,4,2000-01-01
14,Smash Mouth,Then The Morning Comes,14,14,10,2000-01-01
15,Jagged Edge,He Can't Love U,17,15,4,2000-01-01
16,Jennifer Lopez,Waiting For Tonight,12,8,12,2000-01-01
17,Celine Dion,That's The Way It Is,30,17,8,2000-01-01
18,Christina Aguilera,The Christmas Song (Chestnuts Roasting On An Open Fire),47,18,3,2000-01-01
19,Guy,Dancin',29,19,3,2000-01-01
20,Len,Steal My Sunshine,15,9,21,2000-01-01
21,Montell Jordan,Get It On Tonite,24,21,11,2000-01-01
22,Foo Fighters,Learn To Fly,22,22,12,2000-01-01
23,LeAnn Rimes,Big Deal,26,23,12,2000-01-01
24,Train,Meet Virginia,21,21,13,2000-01-01
25,TLC,Unpretty,20,1,28,2000-01-01
26,Faith Hill,Breathe,28,26,9,2000-01-01
27,Juvenile Featuring Mannie Fresh & Lil' Wayne,Back That Thang Up,25,19,26,2000-01-01
28,Sole Featuring JT Money & Kandi,"4, 5, 6",23,21,10,2000-01-01
29,IMx,Stay The Night,36,29,13,2000-01-01
30,M2M,Don't Say You Love Me,44,30,7,2000-01-01
31,702,Where My Girls At?,19,4,36,2000-01-01
32,Lou Bega,Mambo No. 5 (A Little Bit Of...),18,3,19,2000-01-01
33,Counting Crows,Hanginaround,35,33,9,2000-01-01
34,Filter,Take A Picture,38,34,6,2000-01-01
35,Ideal,Get Gone,27,13,20,2000-01-01
36,Sugar Ray,Someday,34,7,27,2000-01-01
37,Brad Paisley,He Didn't Have To Be,31,30,11,2000-01-01
38,Ol' Dirty Bastard Featuring Kelis,Got Your Money,33,33,11,2000-01-01
39,Ricky Martin,Shake Your Bon-Bon,39,39,7,2000-01-01
40,Mint Condition,If You Love Me,40,30,9,2000-01-01
41,Goo Goo Dolls,Black Balloon,37,16,26,2000-01-01
42,Enrique Iglesias,Rhythm Divine,67,42,5,2000-01-01
43,Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You,50,43,4,2000-01-01
44,Puff Daddy Featuring R. Kelly,Satisfy You,32,2,15,2000-01-01
45,Lonestar,Amazed,45,24,22,2000-01-01
46,Reba,What Do You Say,46,46,10,2000-01-01
47,Ice Cube Featuring Mack 10 & Ms. Toi,You Can Do It,42,42,5,2000-01-01
48,Dixie Chicks,Cowboy Take Me Away,52,48,6,2000-01-01
49,Clint Black,When I Said I Do,41,31,12,2000-01-01
50,Tim McGraw,My Best Friend,54,50,6,2000-01-01
51,Sisqo Featuring Make It Hot,Got To Get It,48,48,7,2000-01-01
52,Blink-182,All The Small Things,59,52,5,2000-01-01
53,98 Degrees,This Gift,-,53,1,2000-01-01
54,Kenny G,Auld Lang Syne,89,54,2,2000-01-01
55,Robbie Williams,Angels,56,55,7,2000-01-01
56,Destiny's Child,Say My Name,83,56,2,2000-01-01
57,Alan Jackson,Pop A Top,55,55,8,2000-01-01
58,Kelis,Caught Out There,63,58,5,2000-01-01
59,Marc Nelson,15 Minutes,43,27,14,2000-01-01
60,Mariah Carey Featuring Jay-Z,Heartbreaker,51,1,18,2000-01-01
61,Creed,Higher,61,52,17,2000-01-01
62,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",Bling Bling,62,36,16,2000-01-01
63,Will Smith Featuring K-Ci,Will 2K,58,25,10,2000-01-01
64,Mary J. Blige,Deep Inside,64,64,8,2000-01-01
65,Yankee Grey,All Things Considered,57,55,16,2000-01-01
66,Martina McBride,I Love You,60,24,19,2000-01-01
67,Amber,Sexual (Li Da Di),69,67,21,2000-01-01
68,Ginuwine,None Of Ur Friends Business,71,68,4,2000-01-01
69,SHeDAISY,Deck The Halls,97,69,2,2000-01-01
70,D'Angelo Featuring Method Man And Redman,Left & Right,75,70,4,2000-01-01
71,Lonestar,Smile,80,71,3,2000-01-01
72,R.E.M.,The Great Beyond,79,72,2,2000-01-01
73,Destiny's Child,Bug A Boo,72,33,15,2000-01-01
74,Backstreet Boys,Show Me The Meaning Of Being Lonely,-,74,1,2000-01-01
75,Deborah Cox With R.L.,We Can't Be Friends,77,8,17,2000-01-01
76,Britney Spears,(You Drive Me) Crazy,53,10,16,2000-01-01
77,J-Shin Featuring LaTocha Scott,One Night Stand,96,77,2,2000-01-01
78,Limp Bizkit Featuring Method Man,N 2 Gether Now,78,78,5,2000-01-01
79,Angie Stone,No More Rain (In This Cloud),86,79,2,2000-01-01
80,John Michael Montgomery,Home To You,68,45,14,2000-01-01
81,Bush,The Chemicals Between Us,73,67,14,2000-01-01
82,Lil' Wayne Featuring Juvenile & B.G.,Tha Block Is Hot,84,82,5,2000-01-01
83,Rage Against The Machine,Guerrilla Radio,87,69,10,2000-01-01
84,Clay Walker,"Live, Laugh, Love",94,84,5,2000-01-01
85,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,Notorious B.I.G.,88,82,4,2000-01-01
86,Kenny Chesney,She Thinks My Tractor's Sexy,74,74,7,2000-01-01
87,Backstreet Boys,Larger Than Life,70,25,16,2000-01-01
88,Sixpence None The Richer,There She Goes,76,32,17,2000-01-01
89,Prince,The Greatest Romance Ever Sold,92,63,11,2000-01-01
90,Fatboy Slim,The Rockafeller Skank,82,77,24,2000-01-01
91,Chico DeBarge,Give You What You Want (Fa Sure),90,71,11,2000-01-01
92,'N Sync & Gloria Estefan,Music Of My Heart,85,2,18,2000-01-01
93,Chad Brock With Hank Williams Jr. & George Jones,A Country Boy Can Survive (Y2K Version),-,93,1,2000-01-01
94,Joe,I Wanna Know,-,94,1,2000-01-01
95,Limp Bizkit,Re-arranged,95,90,5,2000-01-01
96,Beth Hart,L.A. Song,99,96,6,2000-01-01
97,Eve,Gotta Man,66,26,16,2000-01-01
98,Joe Diffie,The Quittin' Kind,-,98,1,2000-01-01
99,Ty Herndon,Steam,91,83,12,2000-01-01
100,Nas,NAStradamus,100,92,6,2000-01-01
1,Santana Featuring Rob Thomas,Smooth,1,1,24,2000-01-08
2,Brian McKnight,Back At One,2,2,20,2000-01-08
3,Jessica Simpson,I Wanna Love You Forever,3,3,13,2000-01-08
4,Whitney Houston,My Love Is Your Love,4,4,19,2000-01-08
5,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",Hot Boyz,7,5,7,2000-01-08
6,Savage Garden,I Knew I Loved You,5,4,12,2000-01-08
7,Kenny G,Auld Lang Syne,54,7,3,2000-01-08
8,Marc Anthony,I Need To Know,6,3,18,2000-01-08
9,Blaque,Bring It All To Me,9,9,12,2000-01-08
10,Donell Jones,U Know What's Up,8,7,16,2000-01-08
11,Christina Aguilera,What A Girl Wants,11,11,7,2000-01-08
12,LFO,Girl On TV,10,10,8,2000-01-08
13,Eiffel 65,Blue (Da Ba Dee),13,13,5,2000-01-08
14,Kevon Edmonds,24/7,12,10,10,2000-01-08
15,Jagged Edge,He Can't Love U,15,15,5,2000-01-08
16,Smash Mouth,Then The Morning Comes,14,14,11,2000-01-08
17,Celine Dion,That's The Way It Is,17,17,9,2000-01-08
18,Christina Aguilera,The Christmas Song (Chestnuts Roasting On An Open Fire),18,18,4,2000-01-08
19,Jennifer Lopez,Waiting For Tonight,16,8,13,2000-01-08
20,Montell Jordan,Get It On Tonite,21,20,12,2000-01-08
21,M2M,Don't Say You Love Me,30,21,8,2000-01-08
22,Guy,Dancin',19,19,4,2000-01-08
23,IMx,Stay The Night,29,23,14,2000-01-08
24,Train,Meet Virginia,24,21,14,2000-01-08
25,TLC,Unpretty,25,1,29,2000-01-08
26,Foo Fighters,Learn To Fly,22,22,13,2000-01-08
27,Len,Steal My Sunshine,20,9,22,2000-01-08
28,702,Where My Girls At?,31,4,37,2000-01-08
29,Juvenile Featuring Mannie Fresh & Lil' Wayne,Back That Thang Up,27,19,27,2000-01-08
