rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,The Tokens,The Lion Sleeps Tonight,1,1,8,1962-01-06
2,Chubby Checker,The Twist,3,1,26,1962-01-06
3,Bobby Vee,Run To Him,2,2,8,1962-01-06
4,Joey Dee & the Starliters,Peppermint Twist - Part I,6,4,7,1962-01-06
5,Elvis Presley With The Jordanaires,Can't Help Falling In Love,10,5,5,1962-01-06
6,Neil Sedaka,"Happy Birthday, Sweet Sixteen",8,6,8,1962-01-06
7,James Darren,Goodbye Cruel World,4,3,12,1962-01-06
8,Leroy Van Dyke,Walk On By,5,5,10,1962-01-06
9,The Lettermen,When I Fall In Love,13,9,7,1962-01-06
10,Ray Charles and his Orchestra,Unchain My Heart,14,10,6,1962-01-06
11,Connie Francis,When The Boy In Your Arms (Is The Boy In Your Heart),15,11,7,1962-01-06
12,Bing Crosby,White Christmas,20,12,10,1962-01-06
13,The Marvelettes,Please Mr. Postman,7,1,18,1962-01-06
14,The Angels,'Til,17,14,11,1962-01-06
15,Barbara George,I Know (You Don't Love Me No More),26,15,8,1962-01-06
16,Linda Scott,I Don't Know Why,12,12,10,1962-01-06
17,Sandy Nelson,Let There Be Drums,9,7,10,1962-01-06
18,Brook Benton,Revenge,22,18,7,1962-01-06
19,Henry Mancini And His Orchestra,Moon River,11,11,13,1962-01-06
20,The Crystals,There's No Other (Like My Baby),23,20,7,1962-01-06
21,Bobby Rydell/Chubby Checker,Jingle Bell Rock,27,21,4,1962-01-06
22,The Harry Simeone Chorale,The Little Drummer Boy,34,13,24,1962-01-06
23,Elvis Presley With The Jordanaires,Rock-A-Hula Baby,25,23,5,1962-01-06
24,Gene Pitney,Town Without Pity,36,24,10,1962-01-06
25,The Impressions,Gypsy Woman,21,20,12,1962-01-06
26,Connie Francis,Baby's First Christmas,43,26,4,1962-01-06
27,Jerry Butler,Moon River,16,11,13,1962-01-06
28,Burl Ives,A Little Bitty Tear,52,28,3,1962-01-06
29,James Ray,If You Gotta Make A Fool Of Somebody,39,29,7,1962-01-06
30,Dion,The Wanderer,41,30,5,1962-01-06
31,Jimmy Elledge,Funny How Time Slips Away,31,31,8,1962-01-06
32,The Highwaymen,Cotton Fields,37,32,6,1962-01-06
33,Fats Domino,Jambalaya (On The Bayou),35,33,4,1962-01-06
34,The Shirelles,Baby It's You,45,34,3,1962-01-06
35,Kenny Dino,Your Ma Said You Cried In Your Sleep Last Night,24,24,9,1962-01-06
36,Ferrante & Teicher,Tonight,18,8,12,1962-01-06
37,Pat Boone,Johnny Will,40,37,8,1962-01-06
38,Del Shannon,Hey! Little Girl,44,38,6,1962-01-06
39,David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late),47,39,11,1962-01-06
40,Jimmy Dean,Big Bad John,19,1,14,1962-01-06
