rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Simon & Garfunkel,The Sound Of Silence,5,1,7,1966-01-01
2,The Beatles,We Can Work It Out,11,2,3,1966-01-01
3,James Brown And The Famous Flames,I Got You (I Feel Good),3,3,8,1966-01-01
4,The Byrds,Turn! Turn! Turn! (To Everything There Is A Season),2,1,11,1966-01-01
5,The Dave Clark Five,Over And Over,1,1,8,1966-01-01
6,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",Let's Hang On!,4,3,13,1966-01-01
7,The McCoys,Fever,7,7,8,1966-01-01
8,The Righteous Brothers,Ebb Tide,9,8,5,1966-01-01
9,Roger Miller,England Swings,8,8,9,1966-01-01
10,Eddy Arnold,Make The World Go Away,6,6,12,1966-01-01
11,The Vogues,Five O'Clock World,16,11,6,1966-01-01
12,The Statler Brothers,Flowers On The Wall,13,12,8,1966-01-01
13,Barry Young,One Has My Name (The Other Has My Heart),17,13,9,1966-01-01
14,Elvis Presley With The Jordanaires,Puppet On A String,14,14,8,1966-01-01
15,The Shangri-Las,I Can Never Go Home Anymore,10,6,9,1966-01-01
16,Gary Lewis And The Playboys,She's Just My Style,22,16,4,1966-01-01
17,The Wonder Who?,Don't Think Twice,12,12,9,1966-01-01
18,The Beatles,Day Tripper,28,18,3,1966-01-01
19,Ramsey Lewis Trio,Hang On Sloopy,15,11,7,1966-01-01
20,The Beach Boys,The Little Girl I Once Knew,21,20,6,1966-01-01
21,The Lovin' Spoonful,You Didn't Have To Be So Nice,23,21,6,1966-01-01
22,The T-Bones,No Matter What Shape (Your Stomach's In),33,22,4,1966-01-01
23,The Animals,It's My Life,24,23,9,1966-01-01
24,Jackie Lee,The Duck,29,24,7,1966-01-01
25,Al Martino,Spanish Eyes,30,25,5,1966-01-01
26,Jay & The Americans,Sunday And Me,18,18,7,1966-01-01
27,Herman's Hermits,A Must To Avoid,48,27,2,1966-01-01
28,Paul Revere & The Raiders Featuring Mark Lindsay,Just Like Me,38,28,5,1966-01-01
29,Bobby Vinton,Satin Pillows,35,29,5,1966-01-01
30,The Supremes,I Hear A Symphony,20,1,10,1966-01-01
31,Herb Alpert & The Tijuana Brass,Taste Of Honey,26,7,15,1966-01-01
32,Dean Martin,I Will,19,10,10,1966-01-01
33,The Toys,Attack,59,33,3,1966-01-01
34,Joe Tex,A Sweet Woman Like You,45,34,5,1966-01-01
35,The Yardbirds,I'm A Man,25,17,10,1966-01-01
36,Tom Jones,Thunderball,41,36,4,1966-01-01
37,The Impressions,You've Been Cheatin',42,37,7,1966-01-01
38,We Five,Let's Get Together,31,31,8,1966-01-01
39,The Viscounts,Harlem Nocturne,43,39,26,1966-01-01
40,The Knickerbockers,Lies,53,40,5,1966-01-01
41,Len Barry,1-2-3,27,2,15,1966-01-01
42,Roy Head And The Traits,Apple Of My Eye,32,32,7,1966-01-01
43,Mitch Ryder And The Detroit Wheels,Jenny Take A Ride!,65,43,4,1966-01-01
44,Billy Joe Royal,I've Got To Be Somebody,54,44,5,1966-01-01
45,Ronny And The Daytonas,Sandy,49,45,5,1966-01-01
46,Gene Pitney,Princess In Rags,37,37,7,1966-01-01
47,Connie Francis,Jealous Heart,47,47,6,1966-01-01
48,The Rolling Stones,As Tears Go By,79,48,2,1966-01-01
49,The Hollies,Look Through Any Window,50,49,7,1966-01-01
50,The Kinks,A Well Respected Man,57,50,5,1966-01-01
51,Vic Dana,Crystal Chandelier,51,51,5,1966-01-01
52,Dionne Warwick,Are You There (With Another Girl),58,52,4,1966-01-01
53,Don Covay & The Goodtimers,Seesaw,44,44,8,1966-01-01
54,Hedgehoppers Anonymous,It's Good News Week,66,54,5,1966-01-01
55,Noel Harrison,A Young Girl,56,55,5,1966-01-01
56,Ray Charles,Crying Time,61,56,4,1966-01-01
57,Mike Douglas,The Men In My Little Girl's Life,80,57,2,1966-01-01
58,Frank Sinatra,It Was A Very Good Year,77,58,2,1966-01-01
59,Barbra Streisand,Second Hand Rose,76,59,3,1966-01-01
60,Johnny Rivers,Under Your Spell Again,74,60,3,1966-01-01
61,The Packers,Hole In The Wall,62,43,8,1966-01-01
62,Buck Owens and The Buckaroos,Buckaroo,60,60,8,1966-01-01
63,Bobby Goldsboro,Broomstick Cowboy,68,63,3,1966-01-01
64,"Dino, Desi & Billy",Please Don't Fight It,67,64,4,1966-01-01
65,The C.O.D.'s,Michael,71,65,6,1966-01-01
66,James Brown At The Organ,Try Me,63,63,7,1966-01-01
67,Herb Alpert & The Tijuana Brass,Zorba The Greek,82,67,2,1966-01-01
68,Patti LaBelle And The Blue Belles,All Or Nothing,72,68,5,1966-01-01
69,The Miracles,Going To A Go-Go,84,69,2,1966-01-01
70,Wilson Pickett,Don't Fight It,64,53,9,1966-01-01
71,Herb Alpert & The Tijuana Brass,Tijuana Taxi,86,71,2,1966-01-01
72,Jack Jones,Love Bug,75,72,4,1966-01-01
73,Lou Johnson,A Time To Love-A Time To Cry (Petite Fleur),70,59,8,1966-01-01
74,Petula Clark,My Love,90,74,2,1966-01-01
75,Elvis Presley With The Jordanaires,Tell Me Why,-,75,1,1966-01-01
76,Bobby Powell,C.C. Rider,78,76,5,1966-01-01
77,The 4 Seasons,Little Boy (In Grown Up Clothes),88,77,2,1966-01-01
78,Stevie Wonder,Uptight (Everything's Alright),95,78,3,1966-01-01
79,Fontella Bass,Recovery,83,79,2,1966-01-01
80,The Marvelettes,Don't Mess With Bill,-,80,1,1966-01-01
81,The Beach Boys,Barbara Ann,-,81,1,1966-01-01
82,Lou Christie,Lightnin' Strikes,93,82,2,1966-01-01
83,Len Barry,Like A Baby,-,83,1,1966-01-01
84,Maxine Brown,If You Gotta Make A Fool Of Somebody,87,84,4,1966-01-01
85,The Gentrys,Spread It On Thick,-,85,1,1966-01-01
86,The Young Rascals,I Ain't Gonna Eat Out My Heart Anymore,94,86,2,1966-01-01
