rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
87,Brook Benton With The Dixie Flyers,Shoes,96,87,2,1971-01-02
88,The Kinks,Apeman,-,88,1,1971-01-02
89,Buddy Miles,We Got To Live Together - Part I,91,89,4,1971-01-02
90,The Jazz Crusaders,Way Back Home,99,90,2,1971-01-02
91,Wadsworth Mansion,Sweet Mary,98,91,2,1971-01-02
92,Little Anthony And The Imperials,Help Me Find A Way (To Say I Love You),92,92,4,1971-01-02
93,The Buoys,Timothy,-,93,1,1971-01-02
94,Bloodrock,D.O.A.,-,94,1,1971-01-02
95,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,97,95,3,1971-01-02
96,John Rowles,Cheryl Moana Marie,-,96,1,1971-01-02
97,Barbara And The Uniques,There It Goes Again,-,97,1,1971-01-02
98,Gene & Jerry,You Just Can't Win (By Making The Same Mistake),-,98,1,1971-01-02
99,Nancy Wilson,Now I'm A Woman,-,99,1,1971-01-02
100,Betty Everett,I Got To Tell Somebody,100,100,2,1971-01-02
1,George Harrison,My Sweet Lord/Isn't It A Pity,1,1,7,1971-01-09
2,Dawn,Knock Three Times,3,2,8,1971-01-09
3,The 5th Dimension,One Less Bell To Answer,2,2,12,1971-01-09
4,Santana,Black Magic Woman,5,4,9,1971-01-09
5,The Partridge Family Starring Shirley Jones Featuring David Cassidy,I Think I Love You,6,1,14,1971-01-09
6,Smokey Robinson & The Miracles,The Tears Of A Clown,4,1,13,1971-01-09
7,Chicago,Does Anybody Really Know What Time It Is?,7,7,10,1971-01-09
8,The Supremes,Stoned Love,8,7,10,1971-01-09
9,Bee Gees,Lonely Days,21,9,6,1971-01-09
10,Barbra Streisand,Stoney End,12,10,11,1971-01-09
11,King Floyd,Groove Me,17,11,12,1971-01-09
12,Perry Como,It's Impossible,15,12,9,1971-01-09
13,Chairman Of The Board,Pay To The Piper,14,13,9,1971-01-09
14,The Supremes & Four Tops,River Deep - Mountain High,16,14,7,1971-01-09
15,Van Morrison,Domino,9,9,9,1971-01-09
16,Ray Price,For The Good Times,11,11,20,1971-01-09
17,Elton John,Your Song,25,17,7,1971-01-09
18,Lynn Anderson,Rose Garden,18,18,7,1971-01-09
19,Three Dog Night,One Man Band,20,19,8,1971-01-09
20,Gladys Knight And The Pips,If I Were Your Woman,23,20,7,1971-01-09
21,Badfinger,No Matter What,13,8,11,1971-01-09
22,Brian Hyland,Gypsy Woman,10,3,19,1971-01-09
23,Led Zeppelin,Immigrant Song,24,23,8,1971-01-09
24,Stephen Stills,Love The One You're With,27,24,5,1971-01-09
25,Runt,We Gotta Get You A Woman,32,25,9,1971-01-09
26,Neil Diamond,He Ain't Heavy...He's My Brother,22,20,10,1971-01-09
27,Andy Kim,Be My Baby,26,17,10,1971-01-09
28,Redeye,Games,31,28,10,1971-01-09
29,Elvis Presley,I Really Don't Want To Know/There Goes My Everything,35,29,3,1971-01-09
30,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,34,30,8,1971-01-09
31,Diana Ross,Remember Me,47,31,3,1971-01-09
32,Rare Earth,Born To Wander,36,32,5,1971-01-09
33,Edwin Starr,Stop The War Now,33,33,4,1971-01-09
34,Tom Jones,Can't Stop Loving You,30,25,8,1971-01-09
35,The Presidents,5-10-15-20 (25-30 Years Of Love),19,11,15,1971-01-09
36,Jerry Reed,Amos Moses,50,36,11,1971-01-09
37,Judy Collins,Amazing Grace,48,37,5,1971-01-09
38,Nitty Gritty Dirt Band,Mr. Bojangles,40,38,8,1971-01-09
39,Bobby Goldsboro,Watching Scotty Grow,58,39,3,1971-01-09
40,B.J. Thomas,Most Of All,42,40,7,1971-01-09
41,James Brown,"Get Up, Get Into It, Get Involved (Pt. 1)",53,41,2,1971-01-09
42,Michael Nesmith & The First National Band,Silver Moon,43,42,7,1971-01-09
43,Dave Edmunds,I Hear You Knocking,62,43,3,1971-01-09
44,Dionne Warwick,The Green Grass Starts To Grow,45,44,6,1971-01-09
45,The Flaming Ember,I'm Not My Brothers Keeper,37,34,13,1971-01-09
46,Neil Young,Only Love Can Break Your Heart,46,33,12,1971-01-09
47,Neil Diamond,Do It,38,36,10,1971-01-09
48,Jackie Moore,"Precious, Precious",56,48,6,1971-01-09
49,Rufus Thomas,(Do The) Push And Pull Part I,76,49,4,1971-01-09
50,Gordon Lightfoot,If You Could Read My Mind,71,50,3,1971-01-09
51,Jim Ed Brown,Morning,51,47,9,1971-01-09
52,Melanie,Ruby Tuesday,52,52,6,1971-01-09
53,Little Sister,Somebody's Watching You,54,53,5,1971-01-09
54,Johnny Cash,Flesh And Blood,55,54,5,1971-01-09
55,Ray Charles,If You Were Mine,41,41,15,1971-01-09
56,The Moments,All I Have,57,56,8,1971-01-09
57,Bread,Let Your Love Go,79,57,2,1971-01-09
58,Eric Burdon And War,They Can't Take Away Our Music,63,58,4,1971-01-09
59,Grand Funk Railroad,Mean Mistreater,59,59,5,1971-01-09
60,Ray Stevens,Bridget The Midget (The Queen Of The Blues),73,60,4,1971-01-09
61,The Grass Roots,Temptation Eyes,65,61,3,1971-01-09
62,Joe Simon,Your Time To Cry,67,62,4,1971-01-09
63,Gypsy,Gypsy Queen - Part 1,64,63,6,1971-01-09
64,The Osmonds,One Bad Apple,78,64,2,1971-01-09
65,Tommy James,Church Street Soul Revival,69,65,4,1971-01-09
66,Liz Damon's Orient Express,1900 Yesterday,74,66,3,1971-01-09
67,Free,Stealer,49,49,7,1971-01-09
68,Black Sabbath,Paranoid,61,61,7,1971-01-09
69,Al Green,I Can't Get Next To You,60,60,8,1971-01-09
70,Deep Purple,Black Night,66,66,6,1971-01-09
71,The Kinks,Apeman,88,71,2,1971-01-09
72,Candi Staton,He Called Me Baby,75,72,2,1971-01-09
73,The Originals,God Bless Whoever Sent You,84,73,4,1971-01-09
74,The Main Ingredient,I'm So Proud,86,74,5,1971-01-09
75,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,95,75,4,1971-01-09
76,Jr. Walker & The All Stars,Holly Holy,81,76,3,1971-01-09
77,The Chi-lites,Are You My Woman? (Tell Me So),77,77,4,1971-01-09
78,Murray Head With The Trinidad Singers,Superstar,82,74,9,1971-01-09
79,Frijid Pink,Heartbreak Hotel,72,72,5,1971-01-09
80,Bloodrock,D.O.A.,94,80,2,1971-01-09
81,Brook Benton With The Dixie Flyers,Shoes,87,81,3,1971-01-09
82,The Mike Curb Congregation,Burning Bridges,85,82,6,1971-01-09
83,Wadsworth Mansion,Sweet Mary,91,83,3,1971-01-09
84,John Rowles,Cheryl Moana Marie,96,84,2,1971-01-09
85,McGuinness Flint,When I'm Dead And Gone,-,85,1,1971-01-09
86,The New Seekers featuring Eve Graham,Beautiful People,-,86,1,1971-01-09
87,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,Mother,-,87,1,1971-01-09
88,Emitt Rhodes,Fresh As A Daisy,-,88,1,1971-01-09
89,Buddy Miles,We Got To Live Together - Part I,89,89,5,1971-01-09
90,Mark Lindsay,Problem Child,-,90,1,1971-01-09
91,Barbara And The Uniques,There It Goes Again,97,91,2,1971-01-09
92,The Allman Brothers Band,Revival (Love Is Everywhere),-,92,1,1971-01-09
93,Nancy Wilson,Now I'm A Woman,99,93,2,1971-01-09
94,Gene & Jerry,You Just Can't Win (By Making The Same Mistake),98,94,2,1971-01-09
95,Edison Lighthouse,It's Up To You Petula,-,95,1,1971-01-09
96,The Stylistics,You're A Big Girl Now,-,96,1,1971-01-09
97,Betty Everett,I Got To Tell Somebody,100,97,3,1971-01-09
98,The Magic Lanterns,One Night Stand,-,98,1,1971-01-09
99,The Bells,Fly Little White Dove Fly,-,99,1,1971-01-09
100,Bobby Bloom,Where Are We Going,-,100,1,1971-01-09
1,George Harrison,My Sweet Lord/Isn't It A Pity,1,1,8,1971-01-16
2,Dawn,Knock Three Times,2,2,9,1971-01-16
3,The 5th Dimension,One Less Bell To Answer,3,2,13,1971-01-16
4,Santana,Black Magic Woman,4,4,10,1971-01-16
5,The Partridge Family Starring Shirley Jones Featuring David Cassidy,I Think I Love You,5,1,15,1971-01-16
6,Bee Gees,Lonely Days,9,6,7,1971-01-16
7,King Floyd,Groove Me,11,7,13,1971-01-16
8,The Supremes,Stoned Love,8,7,11,1971-01-16
9,Barbra Streisand,Stoney End,10,9,12,1971-01-16
10,Smokey Robinson & The Miracles,The Tears Of A Clown,6,1,14,1971-01-16
11,Elton John,Your Song,17,11,8,1971-01-16
12,Perry Como,It's Impossible,12,12,10,1971-01-16
13,Chairman Of The Board,Pay To The Piper,13,13,10,1971-01-16
14,The Supremes & Four Tops,River Deep - Mountain High,14,14,8,1971-01-16
15,Lynn Anderson,Rose Garden,18,15,8,1971-01-16
16,Ray Price,For The Good Times,16,11,21,1971-01-16
17,Chicago,Does Anybody Really Know What Time It Is?,7,7,11,1971-01-16
18,Stephen Stills,Love The One You're With,24,18,6,1971-01-16
19,Gladys Knight And The Pips,If I Were Your Woman,20,19,8,1971-01-16
20,Led Zeppelin,Immigrant Song,23,20,9,1971-01-16
21,Van Morrison,Domino,15,9,10,1971-01-16
22,Runt,We Gotta Get You A Woman,25,22,10,1971-01-16
23,Three Dog Night,One Man Band,19,19,9,1971-01-16
24,Rare Earth,Born To Wander,32,24,6,1971-01-16
25,Elvis Presley,I Really Don't Want To Know/There Goes My Everything,29,25,4,1971-01-16
26,Diana Ross,Remember Me,31,26,4,1971-01-16
27,Edwin Starr,Stop The War Now,33,27,5,1971-01-16
28,Redeye,Games,28,28,11,1971-01-16
29,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,30,29,9,1971-01-16
30,Badfinger,No Matter What,21,8,12,1971-01-16
31,Dave Edmunds,I Hear You Knocking,43,31,4,1971-01-16
32,Neil Diamond,He Ain't Heavy...He's My Brother,26,20,11,1971-01-16
33,Nitty Gritty Dirt Band,Mr. Bojangles,38,33,9,1971-01-16
34,Judy Collins,Amazing Grace,37,34,6,1971-01-16
35,Jerry Reed,Amos Moses,36,35,12,1971-01-16
36,Bobby Goldsboro,Watching Scotty Grow,39,36,4,1971-01-16
37,Brian Hyland,Gypsy Woman,22,3,20,1971-01-16
38,James Brown,"Get Up, Get Into It, Get Involved (Pt. 1)",41,38,3,1971-01-16
39,Andy Kim,Be My Baby,27,17,11,1971-01-16
40,B.J. Thomas,Most Of All,40,40,8,1971-01-16
41,Rufus Thomas,(Do The) Push And Pull Part I,49,41,5,1971-01-16
42,Gordon Lightfoot,If You Could Read My Mind,50,42,4,1971-01-16
43,Dionne Warwick,The Green Grass Starts To Grow,44,43,7,1971-01-16
44,The Osmonds,One Bad Apple,64,44,3,1971-01-16
45,Little Sister,Somebody's Watching You,53,45,6,1971-01-16
46,Jackie Moore,"Precious, Precious",48,46,7,1971-01-16
47,Grand Funk Railroad,Mean Mistreater,59,47,6,1971-01-16
48,Joe Simon,Your Time To Cry,62,48,5,1971-01-16
49,Bread,Let Your Love Go,57,49,3,1971-01-16
50,Eric Burdon And War,They Can't Take Away Our Music,58,50,5,1971-01-16
51,Michael Nesmith & The First National Band,Silver Moon,42,42,8,1971-01-16
52,Liz Damon's Orient Express,1900 Yesterday,66,52,4,1971-01-16
53,Jim Ed Brown,Morning,51,47,10,1971-01-16
54,Ray Stevens,Bridget The Midget (The Queen Of The Blues),60,54,5,1971-01-16
55,Johnny Cash,Flesh And Blood,54,54,6,1971-01-16
56,The Grass Roots,Temptation Eyes,61,56,4,1971-01-16
57,Ray Charles,If You Were Mine,55,41,16,1971-01-16
58,Melanie,Ruby Tuesday,52,52,7,1971-01-16
59,Candi Staton,He Called Me Baby,72,59,3,1971-01-16
60,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,Mother,87,60,2,1971-01-16
61,The Kinks,Apeman,71,61,3,1971-01-16
62,Gypsy,Gypsy Queen - Part 1,63,62,7,1971-01-16
63,Tommy James,Church Street Soul Revival,65,63,5,1971-01-16
64,The Moments,All I Have,56,56,9,1971-01-16
65,The Main Ingredient,I'm So Proud,74,65,6,1971-01-16
66,Bloodrock,D.O.A.,80,66,3,1971-01-16
67,The Mike Curb Congregation,Burning Bridges,82,67,7,1971-01-16
68,Brook Benton With The Dixie Flyers,Shoes,81,68,4,1971-01-16
69,Emitt Rhodes,Fresh As A Daisy,88,69,2,1971-01-16
70,Wadsworth Mansion,Sweet Mary,83,70,4,1971-01-16
71,Al Green,I Can't Get Next To You,69,60,9,1971-01-16
72,The Originals,God Bless Whoever Sent You,73,72,5,1971-01-16
73,The Chi-lites,Are You My Woman? (Tell Me So),77,73,5,1971-01-16
74,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,75,74,5,1971-01-16
75,Jr. Walker & The All Stars,Holly Holy,76,75,4,1971-01-16
76,Murray Head With The Trinidad Singers,Superstar,78,74,10,1971-01-16
77,McGuinness Flint,When I'm Dead And Gone,85,77,2,1971-01-16
78,Free,Stealer,67,49,8,1971-01-16
79,Black Sabbath,Paranoid,68,61,8,1971-01-16
80,John Rowles,Cheryl Moana Marie,84,80,3,1971-01-16
81,Henry Mancini And His Orchestra,(Theme From) Love Story,-,81,1,1971-01-16
82,The New Seekers featuring Eve Graham,Beautiful People,86,82,2,1971-01-16
83,Johnnie Taylor,Jody's Got Your Girl And Gone,-,83,1,1971-01-16
84,Wilson Pickett,Don't Let The Green Grass Fool You,-,84,1,1971-01-16
85,Mark Lindsay,Problem Child,90,85,2,1971-01-16
86,Buddy Miles,We Got To Live Together - Part I,89,86,6,1971-01-16
87,Joey Scarbury,Mixed Up Guy,-,87,1,1971-01-16
88,The Magic Lanterns,One Night Stand,98,88,2,1971-01-16
89,The Statler Brothers,Bed Of Rose's,-,89,1,1971-01-16
90,Bobby Bloom,Where Are We Going,100,90,2,1971-01-16
91,Barbara And The Uniques,There It Goes Again,91,91,3,1971-01-16
92,The Allman Brothers Band,Revival (Love Is Everywhere),92,92,2,1971-01-16
93,Edison Lighthouse,It's Up To You Petula,95,93,2,1971-01-16
94,Gene & Jerry,You Just Can't Win (By Making The Same Mistake),94,94,3,1971-01-16
95,The Stylistics,You're A Big Girl Now,96,95,2,1971-01-16
96,Betty Everett,I Got To Tell Somebody,97,96,4,1971-01-16
97,Nancy Wilson,Now I'm A Woman,93,93,3,1971-01-16
98,Sammi Smith,Help Me Make It Through The Night,-,98,1,1971-01-16
99,The Bells,Fly Little White Dove Fly,99,99,2,1971-01-16
100,Bobby Bloom,Make Me Happy,-,100,1,1971-01-16
1,Dawn,Knock Three Times,2,1,10,1971-01-23
2,George Harrison,My Sweet Lord/Isn't It A Pity,1,1,9,1971-01-23
3,The 5th Dimension,One Less Bell To Answer,3,2,14,1971-01-23
4,Bee Gees,Lonely Days,6,4,8,1971-01-23
5,Santana,Black Magic Woman,4,4,11,1971-01-23
6,Barbra Streisand,Stoney End,9,6,13,1971-01-23
7,King Floyd,Groove Me,7,7,14,1971-01-23
8,Elton John,Your Song,11,8,9,1971-01-23
9,Lynn Anderson,Rose Garden,15,9,9,1971-01-23
10,Perry Como,It's Impossible,12,10,11,1971-01-23
11,The Partridge Family Starring Shirley Jones Featuring David Cassidy,I Think I Love You,5,1,16,1971-01-23
12,The Supremes,Stoned Love,8,7,12,1971-01-23
13,Gladys Knight And The Pips,If I Were Your Woman,19,13,9,1971-01-23
14,The Supremes & Four Tops,River Deep - Mountain High,14,14,9,1971-01-23
15,Stephen Stills,Love The One You're With,18,15,7,1971-01-23
16,Dave Edmunds,I Hear You Knocking,31,16,5,1971-01-23
17,Smokey Robinson & The Miracles,The Tears Of A Clown,10,1,15,1971-01-23
18,Led Zeppelin,Immigrant Song,20,18,10,1971-01-23
19,Chicago,Does Anybody Really Know What Time It Is?,17,7,12,1971-01-23
20,Ray Price,For The Good Times,16,11,22,1971-01-23
21,Diana Ross,Remember Me,26,21,5,1971-01-23
22,Runt,We Gotta Get You A Woman,22,22,11,1971-01-23
23,Rare Earth,Born To Wander,24,23,7,1971-01-23
24,Elvis Presley,I Really Don't Want To Know/There Goes My Everything,25,24,5,1971-01-23
25,Chairman Of The Board,Pay To The Piper,13,13,11,1971-01-23
26,Edwin Starr,Stop The War Now,27,26,6,1971-01-23
27,Redeye,Games,28,27,12,1971-01-23
28,Three Dog Night,One Man Band,23,19,10,1971-01-23
29,Van Morrison,Domino,21,9,11,1971-01-23
30,Judy Collins,Amazing Grace,34,30,7,1971-01-23
31,Nitty Gritty Dirt Band,Mr. Bojangles,33,31,10,1971-01-23
32,Bobby Goldsboro,Watching Scotty Grow,36,32,5,1971-01-23
33,Jerry Reed,Amos Moses,35,33,13,1971-01-23
34,The Osmonds,One Bad Apple,44,34,4,1971-01-23
35,James Brown,"Get Up, Get Into It, Get Involved (Pt. 1)",38,35,4,1971-01-23
36,Gordon Lightfoot,If You Could Read My Mind,42,36,5,1971-01-23
37,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,29,29,10,1971-01-23
38,B.J. Thomas,Most Of All,40,38,9,1971-01-23
39,Jackie Moore,"Precious, Precious",46,39,8,1971-01-23
40,Rufus Thomas,(Do The) Push And Pull Part I,41,40,6,1971-01-23
41,Little Sister,Somebody's Watching You,45,41,7,1971-01-23
42,Joe Simon,Your Time To Cry,48,42,6,1971-01-23
43,Dionne Warwick,The Green Grass Starts To Grow,43,43,8,1971-01-23
44,Bread,Let Your Love Go,49,44,4,1971-01-23
45,Liz Damon's Orient Express,1900 Yesterday,52,45,5,1971-01-23
46,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,Mother,60,46,3,1971-01-23
47,Grand Funk Railroad,Mean Mistreater,47,47,7,1971-01-23
48,The Grass Roots,Temptation Eyes,56,48,5,1971-01-23
49,The Mike Curb Congregation,Burning Bridges,67,49,8,1971-01-23
50,Eric Burdon And War,They Can't Take Away Our Music,50,50,6,1971-01-23
51,Ray Stevens,Bridget The Midget (The Queen Of The Blues),54,51,6,1971-01-23
52,McGuinness Flint,When I'm Dead And Gone,77,52,3,1971-01-23
53,Henry Mancini And His Orchestra,(Theme From) Love Story,81,53,2,1971-01-23
54,Ray Charles,If You Were Mine,57,41,17,1971-01-23
55,Wadsworth Mansion,Sweet Mary,70,55,5,1971-01-23
56,Bloodrock,D.O.A.,66,56,4,1971-01-23
57,Candi Staton,He Called Me Baby,59,57,4,1971-01-23
58,The Kinks,Apeman,61,58,4,1971-01-23
59,Johnnie Taylor,Jody's Got Your Girl And Gone,83,59,2,1971-01-23
60,The Main Ingredient,I'm So Proud,65,60,7,1971-01-23
61,Emitt Rhodes,Fresh As A Daisy,69,61,3,1971-01-23
62,Tommy James,Church Street Soul Revival,63,62,6,1971-01-23
63,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,74,63,6,1971-01-23
64,Wilson Pickett,Don't Let The Green Grass Fool You,84,64,2,1971-01-23
65,Michael Nesmith & The First National Band,Silver Moon,51,42,9,1971-01-23
66,Jim Ed Brown,Morning,53,47,11,1971-01-23
67,Brook Benton With The Dixie Flyers,Shoes,68,67,5,1971-01-23
68,The Originals,God Bless Whoever Sent You,72,68,6,1971-01-23
69,Johnny Cash,Flesh And Blood,55,54,7,1971-01-23
70,Gypsy,Gypsy Queen - Part 1,62,62,8,1971-01-23
71,Al Green,I Can't Get Next To You,71,60,10,1971-01-23
72,The Chi-lites,Are You My Woman? (Tell Me So),73,72,6,1971-01-23
73,Sammi Smith,Help Me Make It Through The Night,98,73,2,1971-01-23
74,The New Seekers featuring Eve Graham,Beautiful People,82,74,3,1971-01-23
75,Jr. Walker & The All Stars,Holly Holy,75,75,5,1971-01-23
76,John Rowles,Cheryl Moana Marie,80,76,4,1971-01-23
77,Joey Scarbury,Mixed Up Guy,87,77,2,1971-01-23
78,Murray Head With The Trinidad Singers,Superstar,76,74,11,1971-01-23
79,Four Tops,Just Seven Numbers (Can Straighten Out My Life),-,79,1,1971-01-23
80,The Statler Brothers,Bed Of Rose's,89,80,2,1971-01-23
81,The Magic Lanterns,One Night Stand,88,81,3,1971-01-23
82,Mark Lindsay,Problem Child,85,82,3,1971-01-23
83,The Mob,I Dig Everything About You,-,83,1,1971-01-23
84,Edison Lighthouse,It's Up To You Petula,93,84,3,1971-01-23
85,Bobby Bloom,Where Are We Going,90,85,3,1971-01-23
86,The Stylistics,You're A Big Girl Now,95,86,3,1971-01-23
87,King Curtis & The Kingpins,Whole Lotta Love,-,87,1,1971-01-23
88,The Fuzz,I Love You For All Seasons,-,88,1,1971-01-23
89,Tyrannosaurus Rex,Ride A White Swan,-,89,1,1971-01-23
90,Linda Ronstadt,(She's A) Very Lovely Woman/The Long Way Around,-,90,1,1971-01-23
91,Bobby Bloom,Make Me Happy,100,91,2,1971-01-23
92,The Jazz Crusaders,Way Back Home,-,90,3,1971-01-23
93,The Three Degrees,You're The One,-,93,1,1971-01-23
94,The Isley Brothers,Freedom,-,94,1,1971-01-23
95,The Bells,Fly Little White Dove Fly,99,95,3,1971-01-23
96,Charles Wright And The Watts 103rd Street Rhythm Band,Solution For Pollution,-,96,1,1971-01-23
97,The Friends Of Distinction,I Need You,-,97,1,1971-01-23
98,The Spinners,We'll Have It Made,-,98,1,1971-01-23
99,Vikki Carr,I'll Be Home,-,99,1,1971-01-23
100,The Allman Brothers Band,Revival (Love Is Everywhere),92,92,3,1971-01-23
1,Dawn,Knock Three Times,1,1,11,1971-01-30
2,George Harrison,My Sweet Lord/Isn't It A Pity,2,1,10,1971-01-30
3,Bee Gees,Lonely Days,4,3,9,1971-01-30
4,The 5th Dimension,One Less Bell To Answer,3,2,15,1971-01-30
5,Lynn Anderson,Rose Garden,9,5,10,1971-01-30
6,King Floyd,Groove Me,7,6,15,1971-01-30
7,Dave Edmunds,I Hear You Knocking,16,7,6,1971-01-30
8,Elton John,Your Song,8,8,10,1971-01-30
9,The Osmonds,One Bad Apple,34,9,5,1971-01-30
10,Barbra Streisand,Stoney End,6,6,14,1971-01-30
11,Gladys Knight And The Pips,If I Were Your Woman,13,11,10,1971-01-30
12,Santana,Black Magic Woman,5,4,12,1971-01-30
