rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,George Harrison,My Sweet Lord/Isn't It A Pity,1,1,6,1971-01-02
2,The 5th Dimension,One Less Bell To Answer,2,2,11,1971-01-02
3,Dawn,Knock Three Times,4,3,7,1971-01-02
4,Smokey Robinson & The Miracles,The Tears Of A Clown,3,1,12,1971-01-02
5,Santana,Black Magic Woman,5,5,8,1971-01-02
6,The Partridge Family Starring Shirley Jones Featuring David Cassidy,I Think I Love You,6,1,13,1971-01-02
7,Chicago,Does Anybody Really Know What Time It Is?,8,7,9,1971-01-02
8,The Supremes,Stoned Love,7,7,9,1971-01-02
9,Van Morrison,Domino,12,9,8,1971-01-02
10,Brian Hyland,Gypsy Woman,9,3,18,1971-01-02
11,Ray Price,For The Good Times,14,11,19,1971-01-02
12,Barbra Streisand,Stoney End,13,12,10,1971-01-02
13,Badfinger,No Matter What,10,8,10,1971-01-02
14,Chairman Of The Board,Pay To The Piper,23,14,8,1971-01-02
15,Perry Como,It's Impossible,19,15,8,1971-01-02
16,The Supremes & Four Tops,River Deep - Mountain High,17,16,6,1971-01-02
17,King Floyd,Groove Me,18,17,11,1971-01-02
18,Lynn Anderson,Rose Garden,33,18,6,1971-01-02
19,The Presidents,5-10-15-20 (25-30 Years Of Love),11,11,14,1971-01-02
20,Three Dog Night,One Man Band,22,20,7,1971-01-02
21,Bee Gees,Lonely Days,26,21,5,1971-01-02
22,Neil Diamond,He Ain't Heavy...He's My Brother,20,20,9,1971-01-02
23,Gladys Knight And The Pips,If I Were Your Woman,24,23,6,1971-01-02
24,Led Zeppelin,Immigrant Song,28,24,7,1971-01-02
25,Elton John,Your Song,29,25,6,1971-01-02
26,Andy Kim,Be My Baby,21,17,9,1971-01-02
27,Stephen Stills,Love The One You're With,31,27,4,1971-01-02
28,Carpenters,We've Only Just Begun,15,2,17,1971-01-02
29,Jackson 5,I'll Be There,16,1,16,1971-01-02
30,Tom Jones,Can't Stop Loving You,25,25,7,1971-01-02
31,Redeye,Games,39,31,9,1971-01-02
32,Runt,We Gotta Get You A Woman,40,32,8,1971-01-02
33,Edwin Starr,Stop The War Now,50,33,3,1971-01-02
34,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,48,34,7,1971-01-02
35,Elvis Presley,I Really Don't Want To Know/There Goes My Everything,56,35,2,1971-01-02
36,Rare Earth,Born To Wander,53,36,4,1971-01-02
37,The Flaming Ember,I'm Not My Brothers Keeper,34,34,12,1971-01-02
38,Neil Diamond,Do It,36,36,9,1971-01-02
39,Eric Clapton,After Midnight,38,18,12,1971-01-02
40,Nitty Gritty Dirt Band,Mr. Bojangles,44,40,7,1971-01-02
41,Ray Charles,If You Were Mine,42,41,14,1971-01-02
42,B.J. Thomas,Most Of All,49,42,6,1971-01-02
43,Michael Nesmith & The First National Band,Silver Moon,45,43,6,1971-01-02
44,Aretha Franklin,Border Song (Holy Moses)/You And Me,37,37,7,1971-01-02
45,Dionne Warwick,The Green Grass Starts To Grow,46,45,5,1971-01-02
46,Neil Young,Only Love Can Break Your Heart,43,33,11,1971-01-02
47,Diana Ross,Remember Me,74,47,2,1971-01-02
48,Judy Collins,Amazing Grace,58,48,4,1971-01-02
49,Free,Stealer,51,49,6,1971-01-02
50,Jerry Reed,Amos Moses,52,50,10,1971-01-02
51,Jim Ed Brown,Morning,47,47,8,1971-01-02
52,Melanie,Ruby Tuesday,57,52,5,1971-01-02
53,James Brown,"Get Up, Get Into It, Get Involved (Pt. 1)",-,53,1,1971-01-02
54,Little Sister,Somebody's Watching You,62,54,4,1971-01-02
55,Johnny Cash,Flesh And Blood,60,55,4,1971-01-02
56,Jackie Moore,"Precious, Precious",63,56,5,1971-01-02
57,The Moments,All I Have,59,57,7,1971-01-02
58,Bobby Goldsboro,Watching Scotty Grow,79,58,2,1971-01-02
59,Grand Funk Railroad,Mean Mistreater,72,59,4,1971-01-02
60,Al Green,I Can't Get Next To You,64,60,7,1971-01-02
61,Black Sabbath,Paranoid,61,61,6,1971-01-02
62,Dave Edmunds,I Hear You Knocking,90,62,2,1971-01-02
63,Eric Burdon And War,They Can't Take Away Our Music,69,63,3,1971-01-02
64,Gypsy,Gypsy Queen - Part 1,71,64,5,1971-01-02
65,The Grass Roots,Temptation Eyes,68,65,2,1971-01-02
66,Deep Purple,Black Night,66,66,5,1971-01-02
67,Joe Simon,Your Time To Cry,81,67,3,1971-01-02
68,O.V. Wright,Ace Of Spade,54,54,8,1971-01-02
69,Tommy James,Church Street Soul Revival,70,69,3,1971-01-02
70,Clarence Carter,It's All In Your Mind,55,51,9,1971-01-02
71,Gordon Lightfoot,If You Could Read My Mind,76,71,2,1971-01-02
72,Frijid Pink,Heartbreak Hotel,73,72,4,1971-01-02
73,Ray Stevens,Bridget The Midget (The Queen Of The Blues),77,73,3,1971-01-02
74,Liz Damon's Orient Express,1900 Yesterday,78,74,2,1971-01-02
75,Candi Staton,He Called Me Baby,-,75,1,1971-01-02
76,Rufus Thomas,(Do The) Push And Pull Part I,88,76,3,1971-01-02
77,The Chi-lites,Are You My Woman? (Tell Me So),82,77,3,1971-01-02
78,The Osmonds,One Bad Apple,-,78,1,1971-01-02
79,Bread,Let Your Love Go,-,79,1,1971-01-02
80,Redbone,Maggie,80,80,5,1971-01-02
81,Jr. Walker & The All Stars,Holly Holy,87,81,2,1971-01-02
82,Murray Head With The Trinidad Singers,Superstar,-,74,8,1971-01-02
83,Anne Murray,Sing High - Sing Low,85,83,5,1971-01-02
84,The Originals,God Bless Whoever Sent You,86,84,3,1971-01-02
85,The Mike Curb Congregation,Burning Bridges,93,85,5,1971-01-02
86,The Main Ingredient,I'm So Proud,95,86,4,1971-01-02
