rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Bee Gees,Too Much Heaven,2,1,8,1979-01-06
2,Chic,Le Freak,1,1,11,1979-01-06
3,Billy Joel,My Life,4,3,10,1979-01-06
4,Barbra Streisand & Neil Diamond,You Don't Bring Me Flowers,3,1,11,1979-01-06
5,Alicia Bridges,I Love The Nightlife (Disco 'round),5,5,27,1979-01-06
6,Dr. Hook,Sharing The Night Together,7,6,17,1979-01-06
7,Village People,Y.M.C.A.,8,7,12,1979-01-06
8,Toto,Hold The Line,10,8,14,1979-01-06
9,Andy Gibb,(Our Love) Don't Throw It All Away,9,9,13,1979-01-06
10,Linda Ronstadt,Ooh Baby Baby,11,10,9,1979-01-06
11,Eric Clapton And His Band,Promises,13,11,13,1979-01-06
12,Alice Cooper,How You Gonna See Me Now,12,12,12,1979-01-06
13,Olivia Newton-John,A Little More Love,19,13,7,1979-01-06
14,Bob Seger & The Silver Bullet Band,We've Got Tonight,17,14,11,1979-01-06
15,"Earth, Wind & Fire",September,18,15,8,1979-01-06
16,Hot Chocolate,Every 1's A Winner,22,16,9,1979-01-06
17,Nicolette Larson,Lotta Love,27,17,7,1979-01-06
18,Eagles,Please Come Home For Christmas,20,18,5,1979-01-06
19,Ace Frehley,New York Groove,23,19,13,1979-01-06
20,The Pointer Sisters,Fire,28,20,9,1979-01-06
21,Chaka Khan,I'm Every Woman,21,21,14,1979-01-06
22,Ian Matthews,Shake It,26,22,8,1979-01-06
23,Gino Vannelli,I Just Wanna Stop,6,4,18,1979-01-06
24,Leif Garrett,I Was Made For Dancin',30,24,9,1979-01-06
25,Queen,Bicycle Race/Fat Bottomed Girls,25,25,9,1979-01-06
26,Al Stewart,Time Passages,14,7,15,1979-01-06
27,Rod Stewart,Da Ya Think I'm Sexy?,40,27,3,1979-01-06
28,Chanson,Don't Hold Back,32,28,9,1979-01-06
29,Dan Hartman,Instant Replay,33,29,13,1979-01-06
30,Livingston Taylor,I Will Be In Love With You,34,30,12,1979-01-06
31,Barry Manilow,Somewhere In The Night,57,31,4,1979-01-06
32,Blues Brothers,Soul Man,54,32,5,1979-01-06
33,Boston,A Man I'll Never Be,37,33,8,1979-01-06
34,Kenny Rogers,The Gambler,38,34,10,1979-01-06
35,The Cars,My Best Friend's Girl,35,35,12,1979-01-06
36,Talking Heads,Take Me To The River,39,36,10,1979-01-06
37,Melissa Manchester,Don't Cry Out Loud,41,37,8,1979-01-06
38,Donna Summer,MacArthur Park,15,1,18,1979-01-06
39,Gerry Rafferty,Home And Dry,43,39,6,1979-01-06
40,Cheryl Lynn,Got To Be Real,44,40,6,1979-01-06
41,Rick James,Mary Jane,42,41,10,1979-01-06
42,Rose Royce,Love Don't Live Here Anymore,53,42,5,1979-01-06
43,Meat Loaf,You Took The Words Right Out Of My Mouth,49,43,9,1979-01-06
44,The J. Geils Band,One Last Kiss,45,44,8,1979-01-06
45,The Rolling Stones,Shattered,55,45,4,1979-01-06
46,Dolly Parton,Baby I'm Burnin',56,46,5,1979-01-06
47,Exile,You Thrill Me,47,47,7,1979-01-06
48,Cooper Brothers,The Dream Never Dies,48,48,11,1979-01-06
49,Captain & Tennille,You Need A Woman Tonight,59,49,5,1979-01-06
50,Gene Simmons,Radioactive,50,50,6,1979-01-06
51,Firefall,Strange Way,16,11,15,1979-01-06
52,Ambrosia,How Much I Feel,29,3,19,1979-01-06
53,Nigel Olsson,Dancin' Shoes,64,53,4,1979-01-06
54,Chicago,No Tell Lover,77,54,3,1979-01-06
55,Daryl Hall John Oates,I Don't Wanna Lose You,65,55,5,1979-01-06
56,Heart,Straight On,31,15,16,1979-01-06
57,Peaches & Herb,Shake Your Groove Thing,71,57,4,1979-01-06
58,Foreigner,"Blue Morning, Blue Day",75,58,3,1979-01-06
59,Paul Davis,Sweet Life,24,17,20,1979-01-06
60,John Paul Young,Lost In Your Love,70,60,5,1979-01-06
61,Gloria Gaynor,I Will Survive,76,61,4,1979-01-06
62,Kenny Loggins,Easy Driver,62,62,6,1979-01-06
63,Bobby Caldwell,What You Won't Do For Love,83,63,3,1979-01-06
64,Elton John,Part-Time Love,36,22,9,1979-01-06
65,Foreigner,Double Vision,51,2,16,1979-01-06
66,Player,Silver Lining,72,66,4,1979-01-06
67,Dan Fogelberg/Tim Weisberg,The Power Of Gold,52,24,13,1979-01-06
68,Marshall Hain,Dancing In The City,78,68,5,1979-01-06
69,Faith Band,Dancin' Shoes,80,69,4,1979-01-06
70,Glenn Sutton,The Football Card,-,70,1,1979-01-06
71,Paul Stanley,"Hold Me, Touch Me",46,46,10,1979-01-06
72,Eddie Money,You've Really Got A Hold On Me,73,72,7,1979-01-06
73,Dobie Gray,You Can Do It,86,73,3,1979-01-06
74,Engelbert Humperdinck,This Moment In Time,85,74,3,1979-01-06
75,Styx,Sing For The Day,-,75,1,1979-01-06
76,Santana,Stormy,-,76,1,1979-01-06
77,Stephen Bishop,Animal House,88,77,3,1979-01-06
78,Yvonne Elliman,Moment By Moment,89,78,3,1979-01-06
79,Fotomaker,Miles Away,63,63,6,1979-01-06
80,The Babys,Every Time I Think Of You,-,80,1,1979-01-06
81,Bonnie Pointer,Free Me From My Freedom/Tie Me To A Tree (Handcuff Me),82,81,8,1979-01-06
82,The Raes,A Little Lovin' (Keeps The Doctor Away),93,82,4,1979-01-06
83,KC And The Sunshine Band,Who Do Ya Love,84,83,4,1979-01-06
84,Gonzalez,Haven't Stopped Dancing Yet,-,84,1,1979-01-06
85,Gene Chandler,Get Down,-,85,1,1979-01-06
86,"Evelyn ""Champagne"" King",I Don't Know If It's Right,-,86,1,1979-01-06
87,Ted Nugent,Need You Bad,-,87,1,1979-01-06
88,Little River Band,Lady,-,88,1,1979-01-06
89,John Davis And The Monster Orchestra,Ain't That Enough For You,92,89,3,1979-01-06
90,Boney M.,Mary's Boy Child / Oh My Lord,90,90,3,1979-01-06
91,The Blend,I'm Gonna Make You Love Me,91,91,4,1979-01-06
92,Musique,In The Bush,58,58,12,1979-01-06
93,Barry White,Your Sweetness Is My Weakness,60,60,8,1979-01-06
94,Chicago,Alive Again,61,14,12,1979-01-06
95,Carpenters,I Believe You,68,68,5,1979-01-06
96,Anne Murray,You Needed Me,96,1,26,1979-01-06
97,Nick Gilder,Hot Child In The City,99,1,31,1979-01-06
98,Jimmy Buffett,Mañana,100,84,6,1979-01-06
99,Jefferson Starship,Light The Sky On Fire,66,66,6,1979-01-06
100,Don Ray,Got To Have Loving,67,44,15,1979-01-06
1,Bee Gees,Too Much Heaven,1,1,9,1979-01-13
2,Chic,Le Freak,2,1,12,1979-01-13
3,Billy Joel,My Life,3,3,11,1979-01-13
4,Barbra Streisand & Neil Diamond,You Don't Bring Me Flowers,4,1,12,1979-01-13
5,Toto,Hold The Line,8,5,15,1979-01-13
6,Dr. Hook,Sharing The Night Together,6,6,18,1979-01-13
7,Village People,Y.M.C.A.,7,7,13,1979-01-13
8,Linda Ronstadt,Ooh Baby Baby,10,8,10,1979-01-13
9,Andy Gibb,(Our Love) Don't Throw It All Away,9,9,14,1979-01-13
10,Eric Clapton And His Band,Promises,11,10,14,1979-01-13
11,Olivia Newton-John,A Little More Love,13,11,8,1979-01-13
