rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Katy Perry,Firework,1,1,9,2011-01-01
2,Bruno Mars,Grenade,3,2,12,2011-01-01
3,Rihanna Featuring Drake,What's My Name?,2,1,9,2011-01-01
4,P!nk,Raise Your Glass,4,1,11,2011-01-01
5,Ke$ha,We R Who We R,5,1,8,2011-01-01
6,Bruno Mars,Just The Way You Are,7,1,22,2011-01-01
7,Rihanna,Only Girl (In The World),6,1,15,2011-01-01
8,The Black Eyed Peas,The Time (Dirty Bit),8,4,6,2011-01-01
9,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot,-,9,1,2011-01-01
10,Nelly,Just A Dream,9,3,18,2011-01-01
11,Trey Songz Featuring Nicki Minaj,Bottoms Up,10,6,19,2011-01-01
12,Wiz Khalifa,Black And Yellow,11,11,11,2011-01-01
13,Enrique Iglesias Featuring Ludacris & DJ Frank E,Tonight (I'm Lovin' You),15,13,4,2011-01-01
14,Far*East Movement Featuring Cataracs & Dev,Like A G6,12,1,19,2011-01-01
15,Usher Featuring Pitbull,DJ Got Us Fallin' In Love,13,4,23,2011-01-01
16,Edward Maya & Vika Jigulina,Stereo Love,19,16,11,2011-01-01
17,Taio Cruz,Dynamite,14,2,29,2011-01-01
18,Waka Flocka Flame Featuring Roscoe Dash & Wale,No Hands,16,16,15,2011-01-01
19,Diddy - Dirty Money Featuring Skylar Grey,Coming Home,24,19,4,2011-01-01
20,Chris Brown,Yeah 3X,22,20,8,2011-01-01
21,Mike Posner,Please Don't Go,17,16,13,2011-01-01
22,Katy Perry,Teenage Dream,20,1,22,2011-01-01
23,Neon Trees,Animal,21,13,29,2011-01-01
24,CeeLo Green,F**k You! (Forget You),23,9,17,2011-01-01
25,OneRepublic,Secrets,25,21,26,2011-01-01
26,Taylor Swift,Back To December,34,6,8,2011-01-01
27,Pitbull Featuring T-Pain,Hey Baby (Drop It To The Floor),32,27,12,2011-01-01
