rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,The Tornadoes,Telstar,1,1,10,1963-01-05
2,Steve Lawrence,Go Away Little Girl,4,2,9,1963-01-05
3,Chubby Checker,Limbo Rock,2,2,18,1963-01-05
4,Marcie Blane,Bobby's Girl,3,3,12,1963-01-05
5,The 4 Seasons,Big Girls Don't Cry,5,1,12,1963-01-05
6,Brook Benton,Hotel Happiness,10,6,7,1963-01-05
7,Lou Monte,Pepino The Italian Mouse,11,7,5,1963-01-05
8,Elvis Presley With The Jordanaires,Return To Sender,6,2,12,1963-01-05
9,Bob B. Soxx And The Blue Jeans,Zip-A-Dee Doo-Dah,9,9,8,1963-01-05
10,The Exciters,Tell Him,14,10,6,1963-01-05
11,Paul Petersen,My Dad,20,11,8,1963-01-05
12,Ray Charles,You Are My Sunshine,7,7,8,1963-01-05
13,"Esther Phillips ""Little Esther""",Release Me,8,8,11,1963-01-05
14,Bobby Vee,The Night Has A Thousand Eyes,21,14,5,1963-01-05
15,Mary Wells,Two Lovers,19,15,6,1963-01-05
16,Herb Alpert And Tijuana Brass,The Lonely Bull (El Solo Torro),15,6,11,1963-01-05
17,Nat King Cole,Dear Lonely Hearts,13,13,9,1963-01-05
18,The Cookies,Chains,17,17,9,1963-01-05
19,Little Eva,Keep Your Hands Off My Baby,12,12,10,1963-01-05
20,Rick Nelson,It's Up To You,30,20,4,1963-01-05
21,The Orlons,Don't Hang Up,16,4,13,1963-01-05
22,The Drifters,Up On The Roof,29,22,10,1963-01-05
23,Les Cooper and the Soul Rockers,Wiggle Wobble,24,23,12,1963-01-05
24,Dion,Love Came To Me,18,10,9,1963-01-05
25,Dickey Lee,I Saw Linda Yesterday,39,25,5,1963-01-05
26,The Shirelles,Everybody Loves A Lover,27,26,6,1963-01-05
27,Marty Robbins,Ruby Ann,22,18,8,1963-01-05
28,Jerry Wallace,Shutters And Boards,34,28,8,1963-01-05
29,Gene Pitney,Half Heaven - Half Heartache,43,29,4,1963-01-05
30,"Bobby ""Boris"" Pickett And The Crypt-Kickers",Monsters' Holiday,31,30,5,1963-01-05
31,Dee Dee Sharp,Ride!,25,5,12,1963-01-05
32,Dionne Warwick,Don't Make Me Over,46,32,5,1963-01-05
33,Duane Eddy and the Rebelettes,(Dance With The) Guitar Man,33,12,14,1963-01-05
34,Bobby Vinton,Trouble Is My Middle Name,49,34,5,1963-01-05
35,Johnny Thunder,Loop De Loop,61,35,3,1963-01-05
36,Ray Charles,Your Cheating Heart,32,29,8,1963-01-05
37,LaVern Baker,See See Rider,44,37,6,1963-01-05
38,Johnny Crawford,Rumors,26,12,10,1963-01-05
39,Connie Francis,I'm Gonna' Be Warm This Winter,51,39,4,1963-01-05
40,The Routers,Let's Go (pony),35,19,10,1963-01-05
41,Stan Getz/Charlie Byrd,Desafinado,37,15,15,1963-01-05
42,The Earls,Remember Then,58,42,4,1963-01-05
43,Bobby Vinton,Let's Kiss And Make Up,42,42,6,1963-01-05
44,Chris Montez,Some Kinda Fun,52,44,5,1963-01-05
45,Mel Torme,Comin' Home Baby,36,36,10,1963-01-05
46,The Miracles,You've Really Got A Hold On Me,69,46,5,1963-01-05
47,Timi Yuro,The Love Of A Boy,53,47,6,1963-01-05
48,Kitty Kallen,My Coloring Book,67,48,3,1963-01-05
49,The Beach Boys,Ten Little Indians,50,49,6,1963-01-05
50,Mark Valentino,The Push And Kick,41,27,9,1963-01-05
51,The Excellents,Coney Island Baby,55,51,7,1963-01-05
52,The Crystals,He's A Rebel,47,1,18,1963-01-05
53,Paul and Paula,Hey Paula,96,53,2,1963-01-05
54,Frank Ifield,Lovesick Blues,73,54,3,1963-01-05
55,Gabriel And The Angels,That's Life (That's Tough),60,51,9,1963-01-05
56,Flatt & Scruggs,The Ballad Of Jed Clampett,68,56,5,1963-01-05
57,Lonnie Russ,My Wife Can't Cook,74,57,5,1963-01-05
58,Sandy Stewart,My Coloring Book,80,58,2,1963-01-05
59,Gene Chandler,You Threw A Lucky Punch,54,49,7,1963-01-05
60,Brenda Lee,All Alone Am I,57,3,15,1963-01-05
61,The Marvelettes,Strange I Know,72,61,6,1963-01-05
62,Gene McDaniels,Spanish Lace,48,31,9,1963-01-05
63,The Pastel Six,The Cinnamon Cinder (It's A Very Nice Dance),79,63,2,1963-01-05
64,Floyd Cramer,Java,86,64,2,1963-01-05
65,Barbara Lynn,You're Gonna Need Me,76,65,4,1963-01-05
66,The Contours,Shake Sherry,71,66,3,1963-01-05
67,Ned Miller,From A Jack To A King,83,67,2,1963-01-05
68,Marion Worth,Shake Me I Rattle (Squeeze Me I Cry),90,68,2,1963-01-05
69,Brian Hyland,I May Not Live To See Tomorrow,70,69,7,1963-01-05
70,Vince Guaraldi Trio,Cast Your Fate To The Wind,75,70,5,1963-01-05
71,The Rooftop Singers,Walk Right In,-,71,1,1963-01-05
72,Joe Harnell And His Orchestra,Fly Me To The Moon - Bossa Nova,91,72,2,1963-01-05
73,Frank Sinatra & Sammy Davis Jr.,Me And My Shadow,64,64,6,1963-01-05
74,The Crystals,He's Sure The Boy I Love,93,74,2,1963-01-05
75,Peggy Lee,I'm A Woman,-,75,1,1963-01-05
76,The Rebels,Wild Weekend,84,76,2,1963-01-05
77,Jimmie Rodgers,Rainbow At Midnight,62,62,7,1963-01-05
78,Del Shannon,Little Town Flirt,81,78,3,1963-01-05
79,Bobby Bland,Call On Me,-,79,1,1963-01-05
80,The Emotions,Echo,82,80,5,1963-01-05
81,Jimmy McGriff,All About My Girl,-,81,1,1963-01-05
82,Bobby Goldsboro,Molly,85,82,3,1963-01-05
83,The Dave Brubeck Quartet,Bossa Nova U.S.A.,-,83,1,1963-01-05
84,Rick Nelson,I Need You,87,84,3,1963-01-05
85,The Toy Dolls,Little Tin Soldier,89,85,2,1963-01-05
86,Jimmy Clanton,Darkest Street In Town,-,86,1,1963-01-05
87,Johnny Crawford,Proud,-,87,1,1963-01-05
88,Roosevelt Fountain And Pens Of Rhythm,Red Pepper I,-,88,1,1963-01-05
89,Jimmy Dean,Gonna Raise A Rukus Tonight,78,73,6,1963-01-05
90,Connie Francis,Al Di La,-,90,1,1963-01-05
91,Lou Christie,The Gypsy Cried,-,91,1,1963-01-05
92,Steve Alaimo,Every Day I Have To Cry,-,92,1,1963-01-05
93,Aretha Franklin,Trouble In Mind,88,88,4,1963-01-05
94,Tony Bennett,I Will Live My Life For You,-,94,1,1963-01-05
95,Booker T. & The MG's,Jellybread,-,90,2,1963-01-05
96,Dean Martin & Sammy Davis Jr.,Sam's Song,94,94,3,1963-01-05
97,The Dells,The (Bossa Nova) Bird,97,97,3,1963-01-05
98,Jan Bradley,Mama Didn't Lie,-,98,1,1963-01-05
99,Baby Jane & The Rockabyes,How Much Is That Doggie In The Window,-,99,1,1963-01-05
100,Ray Anthony,Let Me Entertain You,-,96,2,1963-01-05
1,Steve Lawrence,Go Away Little Girl,2,1,10,1963-01-12
2,The Tornadoes,Telstar,1,1,11,1963-01-12
3,Chubby Checker,Limbo Rock,3,2,19,1963-01-12
4,Brook Benton,Hotel Happiness,6,4,8,1963-01-12
5,Lou Monte,Pepino The Italian Mouse,7,5,6,1963-01-12
6,The Exciters,Tell Him,10,6,7,1963-01-12
7,Bobby Vee,The Night Has A Thousand Eyes,14,7,6,1963-01-12
8,Bob B. Soxx And The Blue Jeans,Zip-A-Dee Doo-Dah,9,8,9,1963-01-12
9,Mary Wells,Two Lovers,15,9,7,1963-01-12
10,Paul Petersen,My Dad,11,10,9,1963-01-12
11,The 4 Seasons,Big Girls Don't Cry,5,1,13,1963-01-12
12,Marcie Blane,Bobby's Girl,4,3,13,1963-01-12
13,Elvis Presley With The Jordanaires,Return To Sender,8,2,13,1963-01-12
14,Rick Nelson,It's Up To You,20,14,5,1963-01-12
15,Ray Charles,You Are My Sunshine,12,7,9,1963-01-12
16,The Drifters,Up On The Roof,22,16,11,1963-01-12
17,Dickey Lee,I Saw Linda Yesterday,25,17,6,1963-01-12
18,Herb Alpert And Tijuana Brass,The Lonely Bull (El Solo Torro),16,6,12,1963-01-12
19,Johnny Thunder,Loop De Loop,35,19,4,1963-01-12
20,Gene Pitney,Half Heaven - Half Heartache,29,20,5,1963-01-12
21,The Shirelles,Everybody Loves A Lover,26,21,7,1963-01-12
22,Les Cooper and the Soul Rockers,Wiggle Wobble,23,22,13,1963-01-12
23,"Esther Phillips ""Little Esther""",Release Me,13,8,12,1963-01-12
24,Jerry Wallace,Shutters And Boards,28,24,9,1963-01-12
25,Nat King Cole,Dear Lonely Hearts,17,13,10,1963-01-12
26,The Cookies,Chains,18,17,10,1963-01-12
27,Dion,Love Came To Me,24,10,10,1963-01-12
28,Dionne Warwick,Don't Make Me Over,32,28,6,1963-01-12
29,Little Eva,Keep Your Hands Off My Baby,19,12,11,1963-01-12
30,Paul and Paula,Hey Paula,53,30,3,1963-01-12
31,The Orlons,Don't Hang Up,21,4,14,1963-01-12
32,The Earls,Remember Then,42,32,5,1963-01-12
33,The Miracles,You've Really Got A Hold On Me,46,33,6,1963-01-12
34,Bobby Vinton,Trouble Is My Middle Name,34,34,6,1963-01-12
35,The Rooftop Singers,Walk Right In,71,35,2,1963-01-12
36,LaVern Baker,See See Rider,37,36,7,1963-01-12
37,Connie Francis,I'm Gonna' Be Warm This Winter,39,37,5,1963-01-12
38,Kitty Kallen,My Coloring Book,48,38,4,1963-01-12
39,"Bobby ""Boris"" Pickett And The Crypt-Kickers",Monsters' Holiday,30,30,6,1963-01-12
40,Bobby Vinton,Let's Kiss And Make Up,43,40,7,1963-01-12
41,Dee Dee Sharp,Ride!,31,5,13,1963-01-12
42,Sandy Stewart,My Coloring Book,58,42,3,1963-01-12
43,Chris Montez,Some Kinda Fun,44,43,6,1963-01-12
44,Marty Robbins,Ruby Ann,27,18,9,1963-01-12
45,Duane Eddy and the Rebelettes,(Dance With The) Guitar Man,33,12,15,1963-01-12
46,Timi Yuro,The Love Of A Boy,47,46,7,1963-01-12
47,Ray Charles,Your Cheating Heart,36,29,9,1963-01-12
48,The Routers,Let's Go (pony),40,19,11,1963-01-12
49,The Pastel Six,The Cinnamon Cinder (It's A Very Nice Dance),63,49,3,1963-01-12
50,Stan Getz/Charlie Byrd,Desafinado,41,15,16,1963-01-12
51,Ned Miller,From A Jack To A King,67,51,3,1963-01-12
52,Frank Ifield,Lovesick Blues,54,52,4,1963-01-12
53,Del Shannon,Little Town Flirt,78,53,4,1963-01-12
54,Flatt & Scruggs,The Ballad Of Jed Clampett,56,54,6,1963-01-12
55,The Excellents,Coney Island Baby,51,51,8,1963-01-12
56,The Beach Boys,Ten Little Indians,49,49,7,1963-01-12
57,The Crystals,He's Sure The Boy I Love,74,57,3,1963-01-12
58,Gabriel And The Angels,That's Life (That's Tough),55,51,10,1963-01-12
59,The Marvelettes,Strange I Know,61,59,7,1963-01-12
60,Mel Torme,Comin' Home Baby,45,36,11,1963-01-12
61,The Contours,Shake Sherry,66,61,4,1963-01-12
62,Floyd Cramer,Java,64,62,3,1963-01-12
63,Marion Worth,Shake Me I Rattle (Squeeze Me I Cry),68,63,3,1963-01-12
64,Lonnie Russ,My Wife Can't Cook,57,57,6,1963-01-12
65,Barbara Lynn,You're Gonna Need Me,65,65,5,1963-01-12
66,Joe Harnell And His Orchestra,Fly Me To The Moon - Bossa Nova,72,66,3,1963-01-12
67,The Rebels,Wild Weekend,76,67,3,1963-01-12
68,Peggy Lee,I'm A Woman,75,68,2,1963-01-12
69,Gene Chandler,You Threw A Lucky Punch,59,49,8,1963-01-12
70,Vince Guaraldi Trio,Cast Your Fate To The Wind,70,70,6,1963-01-12
