rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,OutKast,Hey Ya!,1,1,12,2004-01-03
2,OutKast Featuring Sleepy Brown,The Way You Move,2,2,15,2004-01-03
3,Kelis,Milkshake,3,3,14,2004-01-03
4,Alicia Keys,You Don't Know My Name,5,4,8,2004-01-03
5,Ludacris Featuring Shawnna,Stand Up,4,1,18,2004-01-03
6,Jagged Edge,Walked Outta Heaven,6,6,18,2004-01-03
7,Baby Bash Featuring Frankie J,Suga Suga,8,7,20,2004-01-03
8,3 Doors Down,Here Without You,7,5,19,2004-01-03
9,Twista Featuring Kanye West & Jamie Foxx,Slow Jamz,18,9,5,2004-01-03
10,Beyonce,"Me, Myself And I",17,10,8,2004-01-03
11,No Doubt,It's My Life,14,11,10,2004-01-03
12,Nickelback,Someday,16,12,20,2004-01-03
13,Beyonce Featuring Sean Paul,Baby Boy,12,1,21,2004-01-03
14,Chingy Featuring Ludacris & Snoop Dogg,Holidae In,9,3,16,2004-01-03
15,YoungBloodZ Featuring Lil Jon,Damn!,13,4,22,2004-01-03
16,R. Kelly,Step In The Name Of Love,11,9,20,2004-01-03
17,JAY-Z,Change Clothes,10,10,8,2004-01-03
18,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,Get Low,15,2,36,2004-01-03
19,Avant,Read Your Mind,19,19,14,2004-01-03
20,Tupac Featuring The Notorious B.I.G.,Runnin (Dying To Live),20,19,12,2004-01-03
21,Santana Featuring Alex Band Or Chad Kroeger,Why Don't You & I,22,8,24,2004-01-03
22,Trapt,Headstrong,25,16,37,2004-01-03
23,Dido,White Flag,26,23,16,2004-01-03
24,Linkin Park,Numb,27,24,9,2004-01-03
25,G Unit,Stunt 101,21,13,10,2004-01-03
26,Murphy Lee Featuring Jermaine Dupri,Wat Da Hook Gon Be,23,17,13,2004-01-03
27,Nick Cannon Featuring R. Kelly,Gigolo,33,27,8,2004-01-03
28,Staind,So Far Away,28,24,23,2004-01-03
29,Simple Plan,Perfect,24,24,10,2004-01-03
30,Sheryl Crow,The First Cut Is The Deepest,30,30,11,2004-01-03
31,Kenny Chesney,There Goes My Life,29,29,9,2004-01-03
32,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,Salt Shaker,34,32,8,2004-01-03
33,Kanye West,Through The Wire,39,33,6,2004-01-03
34,Alan Jackson,Remember When,44,34,4,2004-01-03
35,matchbox twenty,Bright Lights,31,23,15,2004-01-03
36,Christina Aguilera,The Voice Within,36,36,6,2004-01-03
37,Liz Phair,Why Can't I?,32,32,16,2004-01-03
38,Westside Connection Featuring Nate Dogg,Gangsta Nation,52,38,5,2004-01-03
