rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Jim Croce,Time In A Bottle,1,1,8,1974-01-05
2,The Steve Miller Band,The Joker,4,2,12,1974-01-05
3,Helen Reddy,Leave Me Alone (ruby Red Dress),3,3,10,1974-01-05
4,Charlie Rich,The Most Beautiful Girl,2,1,15,1974-01-05
5,Al Wilson,Show And Tell,8,5,12,1974-01-05
6,Brownsville Station,Smokin' In The Boy's Room,9,6,11,1974-01-05
7,Elton John,Goodbye Yellow Brick Road,5,2,11,1974-01-05
8,Barry White,"Never, Never Gonna Give Ya Up",10,8,11,1974-01-05
9,Stevie Wonder,Living For The City,11,9,9,1974-01-05
10,Gladys Knight And The Pips,I've Got To Use My Imagination,14,10,7,1974-01-05
11,Carpenters,Top Of The World,7,1,14,1974-01-05
12,Paul McCartney And Wings,Helen Wheels,16,12,7,1974-01-05
13,Olivia Newton-John,Let Me Be There,17,13,8,1974-01-05
14,Todd Rundgren,Hello It's Me,6,5,14,1974-01-05
15,Barbra Streisand,The Way We Were,23,15,7,1974-01-05
16,Ringo Starr,You're Sixteen,27,16,4,1974-01-05
17,Love Unlimited Orchestra,Love's Theme,21,17,6,1974-01-05
18,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),19,18,7,1974-01-05
19,Donny Osmond,When I Fall In Love/Are You Lonesome Tonight,25,19,7,1974-01-05
20,War,Me And Baby Brother,24,20,9,1974-01-05
21,The Staple Singers,If You're Ready (Come Go With Me),12,9,11,1974-01-05
22,The Stylistics,Rockin' Roll Baby,15,14,12,1974-01-05
23,Chicago,Just You 'n' Me,13,4,15,1974-01-05
24,Al Green,Livin' For You,30,24,5,1974-01-05
25,John Lennon,MIND GAMES,18,18,9,1974-01-05
26,Led Zeppelin,D'yer Mak'er,20,20,12,1974-01-05
27,Harold Melvin And The Blue Notes,The Love I Lost (Part 1),22,7,15,1974-01-05
28,Loggins & Messina,My Music,26,16,10,1974-01-05
29,Cheech & Chong,Sister Mary Elephant (Shudd-Up!),35,29,7,1974-01-05
30,Jim Stafford,Spiders & Snakes,38,30,9,1974-01-05
31,Grand Funk,Walk Like A Man,36,31,7,1974-01-05
32,Ringo Starr,Photograph,28,1,14,1974-01-05
33,Tony Orlando & Dawn,Who's In The Strawberry Patch With Sally,32,27,9,1974-01-05
34,Marvin Gaye,Come Get To This,33,21,10,1974-01-05
35,Billy Preston,Space Race,29,4,16,1974-01-05
36,Ian Thomas,Painted Ladies,37,36,11,1974-01-05
37,Kool & The Gang,Jungle Boogie,54,37,5,1974-01-05
38,Jim Croce,I Got A Name,34,10,14,1974-01-05
39,Paul Simon,American Tune,43,39,6,1974-01-05
40,Merle Haggard,If We Make It Through December,50,40,7,1974-01-05
41,Ann Peebles,I Can't Stand The Rain,42,38,19,1974-01-05
42,"Bobby ""Blue"" Bland",This Time I'm Gone For Good,44,42,8,1974-01-05
43,Gladys Knight And The Pips,Midnight Train To Georgia,31,1,19,1974-01-05
44,Isaac Hayes,"""Joy"" Pt. I",62,44,3,1974-01-05
45,El Chicano,Tell Her She's Lovely,45,40,8,1974-01-05
46,The Temptations,Let Your Hair Down,65,46,3,1974-01-05
47,Tom T. Hall,I Love,57,47,5,1974-01-05
48,David Essex,Rock On,52,48,9,1974-01-05
49,Three Dog Night,Let Me Serenade You,41,17,11,1974-01-05
50,The O'Jays,Put Your Hands Together,61,50,3,1974-01-05
51,Smokey Robinson,Baby Come Close,59,51,8,1974-01-05
52,"Earth, Wind & Fire",Keep Your Head To The Sky,53,52,8,1974-01-05
53,B.W. Stevenson,The River Of Love,55,53,6,1974-01-05
54,Linda Ronstadt,Love Has No Pride,58,54,6,1974-01-05
55,Gregg Allman,Midnight Rider,72,55,3,1974-01-05
56,Black Oak Arkansas,Jim Dandy,66,56,4,1974-01-05
57,Kris Kristofferson & Rita Coolidge,A Song I'd Like To Sing,49,49,8,1974-01-05
58,The Persuaders,Some Guys Have All The Luck,48,39,10,1974-01-05
59,The Chi-lites,I Found Sunshine,47,47,8,1974-01-05
60,Anne Murray,Love Song,70,60,4,1974-01-05
61,Electric Light Orchestra,Showdown,67,61,6,1974-01-05
62,Bob Dylan,A Fool Such As I,69,62,4,1974-01-05
63,The Intruders,I Wanna Know Your Name,60,60,11,1974-01-05
64,B.B. King,I Like To Live The Love,75,64,5,1974-01-05
65,Byron MacGregor,Americans,-,65,1,1974-01-05
66,Frank Sinatra,Let Me Try Again (Laisse Moi Le Temps),63,63,9,1974-01-05
67,Edgar Winter Group,Hangin' Around,71,67,4,1974-01-05
68,James Brown,Stoned To The Bone - Part 1,78,68,6,1974-01-05
69,Wednesday,Last Kiss,74,69,7,1974-01-05
70,Diana Ross,Last Time I Saw Him,-,70,1,1974-01-05
71,Jim Croce,It Doesn't Have To Be That Way,77,71,2,1974-01-05
72,John Denver,"Please, Daddy",80,72,3,1974-01-05
73,First Choice,Smarty Pants,56,56,8,1974-01-05
74,Alice Cooper,Teenage Lament '74,84,74,2,1974-01-05
75,Natural Four,Can This Be Real,-,75,1,1974-01-05
76,Eddie Kendricks,Boogie Down,-,76,1,1974-01-05
77,Garfunkel,I Shall Sing,87,77,2,1974-01-05
78,The Band,Ain't Got No Home,73,73,7,1974-01-05
79,Bachman-Turner Overdrive,Blue Collar,68,68,6,1974-01-05
80,The De Franco Family,Abra-Ca-Dabra,95,80,2,1974-01-05
81,Roy Clark,Somewhere Between Love And Tomorrow,85,81,4,1974-01-05
82,The Pointer Sisters,Wang Dang Doodle,88,82,3,1974-01-05
83,Joni Mitchell,Raised On Robbery,89,83,3,1974-01-05
84,Coven,"One Tin Soldier, The Legend of Billy Jack",90,26,14,1974-01-05
85,Melanie,Will You Love Me Tomorrow?,82,82,4,1974-01-05
86,Billy Preston,You're So Unique,-,86,1,1974-01-05
87,Cliff DeYoung,My Sweet Lady,-,87,1,1974-01-05
88,Lamont Dozier,Trying To Hold On To My Woman,92,88,3,1974-01-05
89,The 5th Dimension,Flashback,91,89,4,1974-01-05
90,Bobby Bare,Daddy What If,-,90,1,1974-01-05
91,Love Unlimited,"It May Be Winter Outside, (But In My Heart It's Spring)",83,83,4,1974-01-05
92,Stealers Wheel,Star,-,92,1,1974-01-05
93,J. Frank Wilson and The Cavaliers,Last Kiss,97,93,3,1974-01-05
94,Johnny Mathis,Life Is A Song Worth Singing,99,94,2,1974-01-05
95,Curtis Mayfield,Can't Say Nothin',100,95,2,1974-01-05
96,The Isley Brothers,What It Comes Down To,98,96,2,1974-01-05
97,Don Goodwin,This Is Your Song,86,86,5,1974-01-05
98,Harry Chapin,WOLD,-,98,1,1974-01-05
99,Paul Anka,Let Me Get To Know You,-,99,1,1974-01-05
100,Gary & Dave,Could You Ever Love Me Again,93,92,4,1974-01-05
1,The Steve Miller Band,The Joker,2,1,13,1974-01-12
2,Jim Croce,Time In A Bottle,1,1,9,1974-01-12
3,Al Wilson,Show And Tell,5,3,13,1974-01-12
4,Brownsville Station,Smokin' In The Boy's Room,6,4,12,1974-01-12
5,Gladys Knight And The Pips,I've Got To Use My Imagination,10,5,8,1974-01-12
6,Ringo Starr,You're Sixteen,16,6,5,1974-01-12
7,Barry White,"Never, Never Gonna Give Ya Up",8,7,12,1974-01-12
8,Stevie Wonder,Living For The City,9,8,10,1974-01-12
9,Olivia Newton-John,Let Me Be There,13,9,9,1974-01-12
10,Paul McCartney And Wings,Helen Wheels,12,10,8,1974-01-12
11,Barbra Streisand,The Way We Were,15,11,8,1974-01-12
12,Charlie Rich,The Most Beautiful Girl,4,1,16,1974-01-12
13,Love Unlimited Orchestra,Love's Theme,17,13,7,1974-01-12
14,Helen Reddy,Leave Me Alone (ruby Red Dress),3,3,11,1974-01-12
15,Donny Osmond,When I Fall In Love/Are You Lonesome Tonight,19,15,8,1974-01-12
16,War,Me And Baby Brother,20,16,10,1974-01-12
17,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),18,17,8,1974-01-12
18,Elton John,Goodbye Yellow Brick Road,7,2,12,1974-01-12
19,Carpenters,Top Of The World,11,1,15,1974-01-12
20,Todd Rundgren,Hello It's Me,14,5,15,1974-01-12
21,Al Green,Livin' For You,24,21,6,1974-01-12
22,Jim Stafford,Spiders & Snakes,30,22,10,1974-01-12
23,Grand Funk,Walk Like A Man,31,23,8,1974-01-12
24,The Staple Singers,If You're Ready (Come Go With Me),21,9,12,1974-01-12
25,Cheech & Chong,Sister Mary Elephant (Shudd-Up!),29,25,8,1974-01-12
26,Chicago,Just You 'n' Me,23,4,16,1974-01-12
27,The Stylistics,Rockin' Roll Baby,22,14,13,1974-01-12
28,Kool & The Gang,Jungle Boogie,37,28,6,1974-01-12
29,John Lennon,MIND GAMES,25,18,10,1974-01-12
30,Led Zeppelin,D'yer Mak'er,26,20,13,1974-01-12
