rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Ke$ha,TiK ToK,2,1,11,2010-01-02
2,Jay-Z + Alicia Keys,Empire State Of Mind,1,1,15,2010-01-02
3,Lady Gaga,Bad Romance,3,2,8,2010-01-02
4,Iyaz,Replay,4,4,18,2010-01-02
5,Owl City,Fireflies,5,1,18,2010-01-02
6,David Guetta Featuring Akon,Sexy Chick,6,6,20,2010-01-02
7,Jason Derulo,Whatcha Say,7,1,19,2010-01-02
8,Jay Sean Featuring Lil Wayne,Down,10,1,25,2010-01-02
9,The Black Eyed Peas,Meet Me Halfway,8,7,14,2010-01-02
10,Britney Spears,3,9,1,11,2010-01-02
11,Rihanna Featuring Jeezy,Hard,21,11,5,2010-01-02
12,Young Money Featuring Lloyd,BedRock,20,12,4,2010-01-02
13,Ludacris,How Low,13,13,2,2010-01-02
14,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,16,14,7,2010-01-02
15,Lady Gaga,Paparazzi,11,6,17,2010-01-02
16,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,14,8,14,2010-01-02
17,Beyonce,Sweet Dreams,12,10,22,2010-01-02
18,Kelly Clarkson,Already Gone,15,13,21,2010-01-02
19,Miley Cyrus,Party In The U.S.A.,17,2,19,2010-01-02
20,The Black Eyed Peas,I Gotta Feeling,18,1,28,2010-01-02
21,Lady Antebellum,Need You Now,19,5,19,2010-01-02
22,Taylor Swift,You Belong With Me,22,2,35,2010-01-02
23,Boys Like Girls Featuring Taylor Swift,Two Is Better Than One,28,23,9,2010-01-02
24,Chris Brown Featuring Lil Wayne & Swizz Beatz,I Can Transform Ya,24,20,11,2010-01-02
25,Kings Of Leon,Use Somebody,23,4,47,2010-01-02
26,Birdman Featuring Lil Wayne & Drake,Money To Blow,26,26,11,2010-01-02
27,Alicia Keys,Try Sleeping With A Broken Heart,56,27,5,2010-01-02
28,Cascada,Evacuate The Dancefloor,25,25,19,2010-01-02
29,Eminem Featuring Dr. Dre,Hell Breaks Loose,-,29,1,2010-01-02
30,Taylor Swift,Fifteen,27,23,16,2010-01-02
31,New Boyz Featuring Ray J,Tie Me Down,33,31,10,2010-01-02
32,Train,"Hey, Soul Sister",45,32,12,2010-01-02
33,Kris Allen,Live Like We're Dying,36,33,8,2010-01-02
34,Trey Songz Featuring Fabolous,Say Aah,38,34,6,2010-01-02
35,Snoop Dogg Featuring The-Dream,Gangsta Luv,35,35,9,2010-01-02
36,50 Cent Featuring Ne-Yo,Baby By Me,29,28,8,2010-01-02
37,"Jay-Z, Rihanna & Kanye West",Run This Town,32,2,21,2010-01-02
38,Lady Gaga Featuring Beyonce,Telephone,46,30,4,2010-01-02
39,Carrie Underwood,Cowboy Casanova,30,11,14,2010-01-02
40,Shakira Featuring Lil Wayne,Give It Up To Me,34,29,6,2010-01-02
41,Orianthi,According To You,55,41,3,2010-01-02
42,Trey Songz Featuring Drake,I Invented Sex,43,42,9,2010-01-02
43,Luke Bryan,Do I,37,34,16,2010-01-02
44,Colbie Caillat,Fallin' For You,39,12,25,2010-01-02
45,Reba,Consider Me Gone,40,38,12,2010-01-02
46,Shinedown,If You Only Knew,47,42,8,2010-01-02
47,Justin Bieber,One Time,41,20,22,2010-01-02
48,Jason Aldean,The Truth,48,47,7,2010-01-02
49,Melanie Fiona,It Kills Me,54,49,5,2010-01-02
50,Tim McGraw,Southern Voice,50,49,9,2010-01-02
51,Gucci Mane Featuring Usher,Spotlight,42,42,8,2010-01-02
52,Miranda Lambert,White Liar,49,38,10,2010-01-02
53,Rihanna,Russian Roulette,44,9,9,2010-01-02
54,Uncle Kracker,Smile,58,47,20,2010-01-02
55,Alicia Keys,Empire State Of Mind (Part II) Broken Down,-,55,1,2010-01-02
56,Muse,Uprising,66,37,15,2010-01-02
57,Dierks Bentley,I Wanna Make You Close Your Eyes,52,52,12,2010-01-02
58,Daughtry,Life After You,64,58,3,2010-01-02
59,Timbaland Featuring Justin Timberlake,Carry Out,31,31,3,2010-01-02
60,Justin Bieber,One Less Lonely Girl,73,16,10,2010-01-02
61,Usher,Papers,57,31,10,2010-01-02
62,Nickelback,Never Gonna Be Alone,61,61,8,2010-01-02
63,David Nail,Red Light,59,54,13,2010-01-02
