rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Eminem,Lose Yourself,1,1,14,2003-01-04
2,"Missy ""Misdemeanor"" Elliott",Work It,2,2,17,2003-01-04
3,"Nelly Featuring Kyjuan, Ali & Murphy Lee",Air Force Ones,5,3,9,2003-01-04
4,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,4,4,11,2003-01-04
5,Jennifer Lopez Featuring Styles & Jadakiss,Jenny From The Block,3,3,13,2003-01-04
6,Christina Aguilera,Beautiful,6,6,7,2003-01-04
7,B2K & P. Diddy,"Bump, Bump, Bump",7,7,6,2003-01-04
8,Nivea Featuring Brian & Brandon Casey,Don't Mess With My Man,8,8,22,2003-01-04
9,Erykah Badu Featuring Common,Love Of My Life (An Ode To Hip Hop),11,9,18,2003-01-04
10,No Doubt Featuring Lady Saw,Underneath It All,9,3,19,2003-01-04
11,Aaliyah,Miss You,15,11,6,2003-01-04
12,Avril Lavigne,I'm With You,16,12,5,2003-01-04
13,Puddle Of Mudd,She Hates Me,13,13,13,2003-01-04
14,Santana Featuring Michelle Branch,The Game Of Love,10,5,14,2003-01-04
15,Jennifer Lopez Featuring LL Cool J,All I Have,25,15,2,2003-01-04
16,Dixie Chicks,Landslide,14,13,16,2003-01-04
17,Justin Timberlake,Cry Me A River,29,17,3,2003-01-04
18,Sean Paul,Gimme The Light,12,7,36,2003-01-04
19,2Pac,Thugz Mansion,19,19,5,2003-01-04
20,P!nk,Family Portrait,21,20,8,2003-01-04
21,John Mayer,Your Body Is A Wonderland,22,21,10,2003-01-04
22,Clipse,When The Last Time,27,19,17,2003-01-04
23,Musiq,dontchange,18,17,18,2003-01-04
24,Kid Rock Featuring Sheryl Crow Or Allison Moorer,Picture,34,24,6,2003-01-04
25,Ja Rule Featuring Ashanti,Mesmerize,67,25,2,2003-01-04
26,Dru Hill,I Should Be...,36,26,5,2003-01-04
27,Creed,One Last Breath,24,6,31,2003-01-04
28,Mark Wills,19 Somethin',31,28,7,2003-01-04
29,Eve,Satisfaction,45,29,6,2003-01-04
30,Jaheim Featuring Tha Rayne,Fabulous,37,30,8,2003-01-04
31,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",Hey Ma,20,3,19,2003-01-04
32,R. Kelly,Ignition,32,32,9,2003-01-04
33,George Strait,She'll Leave You With A Smile,23,23,14,2003-01-04
34,Toby Keith,Who's Your Daddy?,28,22,14,2003-01-04
35,LL Cool J,Luv U Better,17,4,20,2003-01-04
36,3 Doors Down,When I'm Gone,38,36,7,2003-01-04
37,Nelly Featuring Kelly Rowland,Dilemma,26,1,26,2003-01-04
38,Rascal Flatts,These Days,30,23,14,2003-01-04
39,Nas,Made You Look,39,39,3,2003-01-04
40,Baby Featuring P. Diddy,Do That...,43,40,8,2003-01-04
41,Good Charlotte,Lifestyles Of The Rich And Famous,47,41,4,2003-01-04
42,50 Cent,Wanksta,49,42,6,2003-01-04
43,LL Cool J Featuring Amerie,Paradise,53,43,4,2003-01-04
44,matchbox twenty,Disease,33,29,12,2003-01-04
45,Lasgo,Something,61,45,10,2003-01-04
46,Madonna,Die Another Day,35,8,12,2003-01-04
47,Justin Timberlake,Like I Love You,42,11,18,2003-01-04
48,Foo Fighters,All My Life,50,43,10,2003-01-04
49,Emerson Drive,Fall Into Me,44,44,8,2003-01-04
50,Busta Rhymes Featuring Spliff Star,Make It Clap,62,50,9,2003-01-04
51,Amerie,Talkin' To Me,51,51,5,2003-01-04
52,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",Gossip Folks,75,52,2,2003-01-04
53,Saliva,Always,63,53,4,2003-01-04
54,Blake Shelton,The Baby,57,54,5,2003-01-04
55,Terri Clark,I Just Wanna Be Mad,59,55,9,2003-01-04
56,Chevelle,The Red,64,56,6,2003-01-04
57,Nirvana,You Know You're Right,58,45,12,2003-01-04
58,Erick Sermon Featuring Redman,React,48,36,12,2003-01-04
59,Aaliyah,I Care 4 U,54,16,20,2003-01-04
60,Kenny Chesney,A Lot Of Things Different,60,55,6,2003-01-04
61,Kelly Rowland,Stole,40,27,15,2003-01-04
62,Tim McGraw,Red Rag Top,52,40,13,2003-01-04
63,Avril Lavigne,Sk8er Boi,56,10,17,2003-01-04
64,Seether,Fine Again,72,64,2,2003-01-04
65,Norah Jones,Don't Know Why,65,52,15,2003-01-04
66,Smilez & Southstar,Tell Me (What's Goin' On),-,66,1,2003-01-04
67,Aaron Lines,You Can't Hide Beautiful,68,67,2,2003-01-04
68,Stone Sour,Bother,73,56,10,2003-01-04
69,Queens Of The Stone Age,No One Knows,78,69,2,2003-01-04
70,Field Mob,Sick Of Being Lonely,79,70,4,2003-01-04
71,Lifehouse,Spin,71,71,8,2003-01-04
72,Disturbed,Prayer,74,58,15,2003-01-04
73,Tyrese,How You Gonna Act Like That,-,73,1,2003-01-04
74,Christina Aguilera Featuring Redman,Dirrty,66,48,16,2003-01-04
75,Audioslave,Cochise,69,69,7,2003-01-04
76,Ja Rule Featuring Bobby Brown,Thug Lovin',55,42,7,2003-01-04
77,Red Hot Chili Peppers,The Zephyr Song,80,49,9,2003-01-04
78,Gary Allan,Man To Man,-,78,1,2003-01-04
79,Kelly Clarkson,A Moment Like This,77,1,16,2003-01-04
80,Whitney Houston,One Of Those Days,85,80,8,2003-01-04
