rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,The Monkees,I'm A Believer,1,1,5,1967-01-07
2,The Royal Guardsmen,Snoopy Vs. The Red Baron,2,2,4,1967-01-07
3,Aaron Neville,Tell It Like It Is,7,3,6,1967-01-07
4,The New Vaudeville Band,Winchester Cathedral,3,1,11,1967-01-07
5,Nancy Sinatra,Sugar Town,5,5,8,1967-01-07
6,Frank Sinatra,That's Life,4,4,8,1967-01-07
7,Paul Revere & The Raiders Featuring Mark Lindsay,Good Thing,10,7,6,1967-01-07
8,The Mamas & The Papas,Words Of Love,19,8,6,1967-01-07
9,Four Tops,Standing In The Shadows Of Love,15,9,4,1967-01-07
10,Donovan,Mellow Yellow,6,2,9,1967-01-07
11,Bobby Vinton,Coming Home Soldier,17,11,8,1967-01-07
12,Sandy Posey,Single Girl,12,12,8,1967-01-07
13,The Temptations,(I Know) I'm Losing You,8,8,8,1967-01-07
14,Mitch Ryder And The Detroit Wheels,Devil With A Blue Dress On & Good Golly Miss Molly,11,4,14,1967-01-07
15,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",Tell It To The Rain,23,15,5,1967-01-07
16,The Music Machine,Talk Talk,16,16,9,1967-01-07
17,The Beach Boys,Good Vibrations,13,1,12,1967-01-07
18,Ronnie Dove,Cry,18,18,7,1967-01-07
19,Stevie Wonder,A Place In The Sun,9,9,9,1967-01-07
20,The Seekers,Georgy Girl,37,20,6,1967-01-07
21,The Supremes,You Keep Me Hangin' On,14,1,11,1967-01-07
22,Roger Williams,Born Free,20,7,20,1967-01-07
23,Jimmy Ruffin,I've Passed This Way Before,28,23,6,1967-01-07
24,The Lovin' Spoonful,Nashville Cats,33,24,4,1967-01-07
25,? (Question Mark) & The Mysterians,I Need Somebody,22,22,8,1967-01-07
26,Wilson Pickett,Mustang Sally,26,23,7,1967-01-07
27,Herman's Hermits,East West,27,27,6,1967-01-07
28,Petula Clark,Color My World,38,28,3,1967-01-07
29,Eric Burdon & The Animals,Help Me Girl,29,29,7,1967-01-07
30,The Yardbirds,Happenings Ten Years Time Ago,30,30,7,1967-01-07
31,Blues Magoos,(We Ain't Got) Nothin' Yet,41,31,5,1967-01-07
32,The Monkees,(I'm Not Your) Steppin' Stone,32,32,4,1967-01-07
33,Senator Everett McKinley Dirksen,Gallant Men,43,33,3,1967-01-07
34,Otis Redding,Try A Little Tenderness,36,34,6,1967-01-07
35,Peter And Gordon,Lady Godiva,25,6,14,1967-01-07
36,The Innocence,There's Got To Be A Word!,42,36,6,1967-01-07
37,Keith,98.6,47,37,5,1967-01-07
38,Jackie Wilson,Whispers (Gettin' Louder),21,11,12,1967-01-07
39,Gary Lewis And The Playboys,Where Will The Words Come From,51,39,4,1967-01-07
40,Herb Alpert & The Tijuana Brass,Mame,24,19,8,1967-01-07
41,Peter And Gordon,Knight In Rusty Armour,71,41,3,1967-01-07
42,Bobby Goldsboro,Blue Autumn,44,42,5,1967-01-07
43,Spyder Turner,Stand By Me,58,43,4,1967-01-07
44,The Association,Pandora's Golden Heebie Jeebies,35,35,7,1967-01-07
45,Gene Chandler,I Fooled You This Time,49,45,7,1967-01-07
46,Terry Knight and The Pack,I (Who Have Nothing),48,46,9,1967-01-07
47,The Electric Prunes,I Had Too Much To Dream (Last Night),54,47,5,1967-01-07
48,Pozo Seco Singers,Look What You've Done,64,48,4,1967-01-07
49,Joe Tex,Papa Was Too,59,49,4,1967-01-07
50,Sam The Sham and the Pharaohs,How Do You Catch A Girl,61,50,3,1967-01-07
51,Tom Jones,"Green, Green Grass Of Home",74,51,3,1967-01-07
52,The Happenings,Goodnight My Love,56,52,5,1967-01-07
53,The Young Holt Trio,Wack Wack,68,53,4,1967-01-07
54,Dr. West's Medicine Show and Junk Band,The Eggplant That Ate Chicago,52,52,7,1967-01-07
