rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Eminem Featuring Rihanna,The Monster,1,1,8,2014-01-04
2,Pitbull Featuring Ke$ha,Timber,2,2,11,2014-01-04
3,OneRepublic,Counting Stars,3,3,27,2014-01-04
4,A Great Big World & Christina Aguilera,Say Something,4,4,7,2014-01-04
5,Lorde,Royals,5,1,25,2014-01-04
6,Imagine Dragons,Demons,6,6,35,2014-01-04
7,Passenger,Let Her Go,9,7,21,2014-01-04
8,Avicii,Wake Me Up!,7,4,26,2014-01-04
9,Miley Cyrus,Wrecking Ball,8,1,18,2014-01-04
10,One Direction,Story Of My Life,10,6,8,2014-01-04
11,Katy Perry,Roar,12,1,20,2014-01-04
12,Beyonce Featuring Jay Z,Drunk In Love,-,12,1,2014-01-04
13,Drake Featuring Majid Jordan,"Hold On, We're Going Home",11,4,20,2014-01-04
14,Katy Perry Featuring Juicy J,Dark Horse,22,14,14,2014-01-04
15,Ellie Goulding,Burn,13,13,16,2014-01-04
16,Lady Gaga Featuring R. Kelly,Do What U Want,16,13,9,2014-01-04
17,The Neighbourhood,Sweater Weather,14,14,28,2014-01-04
18,Lorde,Team,23,18,13,2014-01-04
19,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,White Walls,15,15,14,2014-01-04
20,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,18,11,14,2014-01-04
21,Bastille,Pompeii,24,21,19,2014-01-04
22,Zedd Featuring Hayley Williams,Stay The Night,19,19,14,2014-01-04
23,Katy Perry,Unconditionally,17,14,9,2014-01-04
24,YG Featuring Jeezy & Rich Homie Quan,My Hitta,21,19,12,2014-01-04
25,Lady Gaga,Applause,20,4,19,2014-01-04
26,Mariah Carey,All I Want For Christmas Is You,27,21,7,2014-01-04
27,Robin Thicke Featuring T.I. + Pharrell,Blurred Lines,25,1,36,2014-01-04
28,Jay Z Featuring Justin Timberlake,Holy Grail,28,4,24,2014-01-04
29,Kid Ink Featuring Chris Brown,Show Me,39,29,7,2014-01-04
30,Florida Georgia Line,Stay,29,28,10,2014-01-04
31,Imagine Dragons,Radioactive,30,3,69,2014-01-04
32,Chris Brown Featuring Nicki Minaj,Love More,31,23,22,2014-01-04
33,Sage The Gemini Featuring IamSu!,Gas Pedal,44,29,22,2014-01-04
34,Luke Bryan,Drink A Beer,37,34,7,2014-01-04
35,Sara Bareilles,Brave,33,26,28,2014-01-04
36,Sevyn Streeter Featuring Chris Brown,It Won't Stop,32,30,12,2014-01-04
37,Drake Featuring 2 Chainz & Big Sean,All Me,40,20,13,2014-01-04
38,Eminem,Rap God,34,7,10,2014-01-04
39,AWOLNATION,Sail,38,17,68,2014-01-04
40,David Nail,Whatever She's Got,43,40,12,2014-01-04
41,Jason Derulo,Marry Me,26,26,12,2014-01-04
42,Capital Cities,Safe And Sound,45,8,34,2014-01-04
43,Eli Young Band,Drunk Last Night,42,41,16,2014-01-04
44,American Authors,Best Day Of My Life,35,35,6,2014-01-04
45,Nat King Cole,The Christmas Song (Merry Christmas To You),-,45,6,2014-01-04
46,Cassadee Pope,Wasting All These Tears,46,37,16,2014-01-04
47,Parmalee,Carolina,36,36,14,2014-01-04
48,John Mayer Featuring Katy Perry,Who You Love,-,48,2,2014-01-04
49,Zendaya,Replay,69,49,18,2014-01-04
50,Brenda Lee,Rockin' Around The Christmas Tree,-,14,12,2014-01-04
51,Tessanne Chin,I Have Nothing,-,51,1,2014-01-04
52,Zac Brown Band,Sweet Annie,47,47,10,2014-01-04
53,Cole Swindell,Chillin' It,48,48,10,2014-01-04
54,Idina Menzel,Let It Go,54,54,4,2014-01-04
55,John Legend,All Of Me,52,52,11,2014-01-04
56,Luke Bryan,That's My Kind Of Night,53,15,19,2014-01-04
57,Jason Aldean,When She Says Baby,60,57,4,2014-01-04
58,Brantley Gilbert,Bottoms Up,-,58,1,2014-01-04
59,Martin Garrix,Animals,56,51,14,2014-01-04
60,B.o.B Featuring 2 Chainz,HeadBand,68,60,28,2014-01-04
61,Demi Lovato,Let It Go,58,58,4,2014-01-04
62,The Band Perry,Don't Let Me Be Lonely,59,59,10,2014-01-04
63,Avicii,Hey Brother,66,63,3,2014-01-04
64,Pentatonix,Little Drummer Boy,51,13,3,2014-01-04
65,Eric Paslay,Friday Night,62,62,10,2014-01-04
66,Beyonce,XO,-,66,1,2014-01-04
67,Jon Pardi,Up All Night,71,67,6,2014-01-04
68,Drake,The Language,70,51,9,2014-01-04
69,Selena Gomez,Slow Down,50,27,20,2014-01-04
70,John Newman,Love Me Again,72,70,5,2014-01-04
71,Darius Rucker,Radio,65,65,10,2014-01-04
72,August Alsina Featuring Trinidad James,I Luv This Sh*t,63,48,16,2014-01-04
73,Keith Urban And Miranda Lambert,We Were Us,57,26,15,2014-01-04
74,Justin Timberlake,TKO,61,36,14,2014-01-04
75,Lady Antebellum,Compass,73,65,7,2014-01-04
