rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Melanie,Brand New Key,1,1,10,1972-01-01
2,Don McLean,American Pie (Parts I & II),3,2,6,1972-01-01
3,Sly & The Family Stone,Family Affair,2,1,9,1972-01-01
4,Three Dog Night,An Old Fashioned Love Song,4,4,8,1972-01-01
5,Michael Jackson,Got To Be There,5,4,10,1972-01-01
6,The Chi-lites,Have You Seen Her,6,3,11,1972-01-01
7,Dennis Coffey & The Detroit Guitar Band,Scorpio,8,7,10,1972-01-01
8,Jonathan Edwards,Sunshine,13,8,8,1972-01-01
9,David Cassidy,Cherish,9,9,9,1972-01-01
10,Donny Osmond,Hey Girl/I Knew You When,10,10,6,1972-01-01
11,Sonny & Cher,All I Ever Need Is You,7,7,12,1972-01-01
12,The New Seekers,I'd Like To Teach The World To Sing (In Perfect Harmony),17,12,5,1972-01-01
13,The Stylistics,You Are Everything,14,13,9,1972-01-01
14,Al Green,Let's Stay Together,20,14,5,1972-01-01
15,The Staple Singers,Respect Yourself,12,12,12,1972-01-01
16,The Hillside Singers,I'd Like To Teach The World To Sing (In Perfect Harmony),21,16,6,1972-01-01
17,Badfinger,Day After Day,26,17,5,1972-01-01
18,Joe Simon,Drowning In The Sea Of Love,28,18,6,1972-01-01
19,Betty Wright,Clean Up Woman,23,19,6,1972-01-01
20,The Honey Cone,One Monkey Don't Stop No Show Part I,22,20,7,1972-01-01
21,Jackson 5,Sugar Daddy,31,21,4,1972-01-01
22,Donnie Elbert,Where Did Our Love Go,15,15,12,1972-01-01
23,Isaac Hayes,Theme From Shaft,16,1,12,1972-01-01
24,Bread,Baby I'm - A Want You,11,3,11,1972-01-01
25,Cher,"Gypsys, Tramps & Thieves",19,1,16,1972-01-01
26,Mickey Newbury,An American Trilogy,30,26,9,1972-01-01
27,Neil Diamond,Stones/Crunchy Granola Suite,25,14,8,1972-01-01
28,Rare Earth,Hey Big Brother,32,28,6,1972-01-01
29,Rod Stewart With Faces,(I Know) I'm Losing You,24,24,7,1972-01-01
30,The Temptations,Superstar (Remember How You Got Where You Are),18,18,9,1972-01-01
31,Peter Nero,"Theme From ""Summer Of '42""",29,21,12,1972-01-01
32,Think,Once You Understand,45,32,5,1972-01-01
33,Charley Pride,Kiss An Angel Good Mornin',37,33,7,1972-01-01
34,Sweathog,Hallelujah,33,33,8,1972-01-01
35,Bob Dylan,George Jackson,38,35,5,1972-01-01
36,Carly Simon,Anticipation,43,36,4,1972-01-01
37,The Partridge Family Starring Shirley Jones Featuring David Cassidy,It's One Of Those Nights (Yes Love),44,37,3,1972-01-01
38,Bullet,"White Lies, Blue Eyes",40,38,9,1972-01-01
39,The Who,Behind Blue Eyes,34,34,9,1972-01-01
40,Elton John,Levon,57,40,3,1972-01-01
41,Tommy James,Nothing To Hide,41,41,6,1972-01-01
42,Lee Michaels,Can I Get A Witness,39,39,7,1972-01-01
43,Three Dog Night,Never Been To Spain,81,43,2,1972-01-01
44,Jerry Lee Lewis,Me And Bobby McGee,46,44,6,1972-01-01
45,Redbone,The Witch Queen Of New Orleans,51,45,7,1972-01-01
46,Gladys Knight And The Pips,Make Me The Woman That You Go Home To,48,46,3,1972-01-01
47,James Brown,I'm A Greedy Man - Part I,42,35,8,1972-01-01
48,Bobby Womack & Peace,That's The Way I Feel About Cha,60,48,4,1972-01-01
49,Smokey Robinson & The Miracles,Satisfaction,52,49,7,1972-01-01
50,Richard Harris,My Boy,54,50,7,1972-01-01
51,The J. Geils Band,Looking For A Love,56,51,5,1972-01-01
52,The Guess Who,Sour Suite,53,52,6,1972-01-01
53,John Denver,Friends With You,47,47,9,1972-01-01
54,B.B. King,Ain't Nobody Home,55,54,8,1972-01-01
55,Led Zeppelin,Black Dog,67,55,2,1972-01-01
56,Faces,Stay With Me,-,56,1,1972-01-01
57,Joan Baez,Let It Be,49,49,8,1972-01-01
58,Carroll O'Connor And Jean Stapleton (As The Bunkers),Those Were The Days,58,58,4,1972-01-01
59,Merle Haggard And The Strangers,Carolyn,59,59,5,1972-01-01
60,Jefferson Airplane,Pretty As You Feel,61,60,7,1972-01-01
61,Stampeders,Devil You,62,61,5,1972-01-01
62,"Hamilton, Joe Frank & Reynolds",Daisy Mae,66,62,5,1972-01-01
63,Helen Reddy,No Sad Song,68,63,5,1972-01-01
64,Little Johnny Taylor,Everybody Knows About My Good Thing Pt. 1,65,64,4,1972-01-01
65,Lighthouse,Take It Slow (Out In The Country),69,65,4,1972-01-01
66,Wilson Pickett,Fire And Water,79,66,2,1972-01-01
67,Beverly Bremers,Don't Say You Don't Remember,77,67,3,1972-01-01
68,Nilsson,Without You,76,68,3,1972-01-01
69,Grateful Dead,Truckin',64,64,6,1972-01-01
70,Ray Stevens,Turn Your Radio On,63,63,7,1972-01-01
71,The Isley Brothers,Lay Lady Lay,73,71,5,1972-01-01
72,Merry Clayton,After All This Time,72,72,4,1972-01-01
73,Carpenters,Superstar/Bless The Beasts And Children,74,2,18,1972-01-01
74,Jr. Walker & The All Stars,Way Back Home,75,74,4,1972-01-01
75,The Doors,Tightrope Ride,71,71,6,1972-01-01
76,The Emotions,Show Me How,82,76,6,1972-01-01
77,Free Movement,The Harder I Try (The Bluer I Get),80,77,4,1972-01-01
78,The Coasters,Love Potion Number Nine,78,78,4,1972-01-01
79,N.F. Porter,Keep On Keeping On,89,79,3,1972-01-01
80,Ray Charles,What Am I Living For,87,80,2,1972-01-01
81,Climax,Precious And Few,-,81,1,1972-01-01
82,Chase,So Many People,83,82,3,1972-01-01
83,The Undisputed Truth,You Make Your Own Heaven And Hell Right Here On Earth,85,83,3,1972-01-01
84,The Poppy Family,No Good To Cry,84,84,4,1972-01-01
85,The Dramatics,Get Up And Get Down,86,85,4,1972-01-01
86,Alice Cooper,Under My Wheels,88,86,2,1972-01-01
87,T. Rex,Bang A Gong (Get It On),-,87,1,1972-01-01
88,Heaven Bound with Tony Scotti,Five Hundred Miles,90,88,4,1972-01-01
89,Robert John,The Lion Sleeps Tonight,-,89,1,1972-01-01
90,The 5th Dimension,Together Let's Find Love,-,90,1,1972-01-01
91,The Bar-Kays,Son Of Shaft,92,91,2,1972-01-01
92,Jerry Butler & Brenda Lee Eager,Ain't Understanding Mellow,93,92,4,1972-01-01
93,The New Colony Six,Long Time To Be Alone,94,93,4,1972-01-01
