rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Adele,Hello,1,1,8,2016-01-02
2,Justin Bieber,Sorry,2,2,8,2016-01-02
3,Drake,Hotline Bling,3,2,20,2016-01-02
4,Justin Bieber,Love Yourself,5,4,5,2016-01-02
5,Justin Bieber,What Do You Mean?,4,1,16,2016-01-02
6,Selena Gomez,Same Old Love,9,6,14,2016-01-02
7,The Weeknd,The Hills,6,1,30,2016-01-02
8,Alessia Cara,Here,8,8,20,2016-01-02
9,Shawn Mendes,Stitches,7,4,30,2016-01-02
10,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,10,8,24,2016-01-02
11,Fetty Wap Featuring Remy Boyz,679,11,4,25,2016-01-02
12,The Weeknd,In The Night,19,12,6,2016-01-02
13,Drake & Future,Jumpman,14,12,13,2016-01-02
14,Ellie Goulding,On My Mind,13,13,13,2016-01-02
15,The Weeknd,Can't Feel My Face,15,1,28,2016-01-02
16,Travis Scott,Antidote,16,16,15,2016-01-02
17,Elle King,Ex's & Oh's,12,10,24,2016-01-02
18,Mariah Carey,All I Want For Christmas Is You,22,18,13,2016-01-02
19,twenty one pilots,Stressed Out,28,19,13,2016-01-02
20,Bryson Tiller,Don't,20,20,12,2016-01-02
21,Thomas Rhett,Die A Happy Man,25,21,13,2016-01-02
22,Post Malone,White Iverson,23,22,15,2016-01-02
23,Taylor Swift,Wildest Dreams,18,5,17,2016-01-02
24,Jordan Smith,Mary Did You Know,-,24,1,2016-01-02
25,Major Lazer & DJ Snake Featuring MO,Lean On,17,4,37,2016-01-02
26,The Chainsmokers Featuring Rozes,Roses,29,26,9,2016-01-02
27,Silento,Watch Me,26,3,43,2016-01-02
28,Tory Lanez,Say It,30,28,9,2016-01-02
29,Cam,Burning House,47,29,23,2016-01-02
30,Demi Lovato,Confident,31,21,11,2016-01-02
31,Fetty Wap,Trap Queen,27,2,48,2016-01-02
32,One Direction,Perfect,32,10,9,2016-01-02
33,Ariana Grande,Focus,24,7,7,2016-01-02
34,Sam Hunt,Break Up In A Small Town,34,32,11,2016-01-02
35,Future Featuring Drake,Where Ya At,35,28,22,2016-01-02
36,J. Cole,No Role Modelz,37,36,18,2016-01-02
37,R. City Featuring Adam Levine,Locked Away,33,6,22,2016-01-02
38,Brenda Lee,Rockin' Around The Christmas Tree,44,14,14,2016-01-02
39,Skrillex & Diplo With Justin Bieber,Where Are U Now,38,8,42,2016-01-02
40,G-Eazy x Bebe Rexha,"Me, Myself & I",36,36,7,2016-01-02
41,Daya,Hide Away,48,41,13,2016-01-02
42,Wiz Khalifa Featuring Charlie Puth,See You Again,41,1,41,2016-01-02
43,Selena Gomez Featuring A$AP Rocky,Good For You,40,5,26,2016-01-02
44,Coldplay,Adventure Of A Lifetime,39,39,6,2016-01-02
45,Fetty Wap,Again,42,33,19,2016-01-02
46,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,52,46,5,2016-01-02
47,DNCE,Cake By The Ocean,63,47,9,2016-01-02
48,Bryson Tiller,Exchange,53,48,8,2016-01-02
49,OMI,Cheerleader,43,1,35,2016-01-02
50,One Direction,Drag Me Down,46,3,20,2016-01-02
51,Flo Rida,My House,55,51,6,2016-01-02
52,iLoveMemphis,Hit The Quan,45,15,18,2016-01-02
53,DeJ Loaf Featuring Big Sean,Back Up,49,47,11,2016-01-02
54,Missy Elliott Featuring Pharrell Williams,WTF (Where They From),57,22,6,2016-01-02
55,Adele,When We Were Young,78,22,4,2016-01-02
56,Emily Ann Roberts,Burning House,-,56,1,2016-01-02
57,Yo Gotti Featuring Nicki Minaj,Down In The DM,68,57,3,2016-01-02
58,Brothers Osborne,Stay A Little Longer,59,58,11,2016-01-02
59,Justin Bieber,I'll Show You,51,19,7,2016-01-02
60,Charlie Puth,One Call Away,75,60,3,2016-01-02
61,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight,67,61,4,2016-01-02
62,Selena Gomez,Hands To Myself,77,62,2,2016-01-02
63,Blake Shelton,Gonna,54,54,14,2016-01-02
64,Chris Brown,Back To Sleep,-,64,1,2016-01-02
65,Nelly Featuring Jeremih,The Fix,62,62,12,2016-01-02
