rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
90,Lalo Schifrin,Mission-Impossible,-,90,1,1968-01-06
91,The Music Makers,United (Part 1),92,91,2,1968-01-06
92,Leon Haywood,Mellow Moonlight,93,92,2,1968-01-06
93,The Epic Splendor,A Little Rain Must Fall,96,93,4,1968-01-06
94,Barbara Mason,"Oh, How It Hurts",95,94,3,1968-01-06
95,Laura Lee,"Up Tight, Good Man",98,95,3,1968-01-06
96,The Manhattans,I Call It Love,97,96,3,1968-01-06
97,James Carr,A Man Needs A Woman,-,97,1,1968-01-06
98,Neil Diamond,New Orleans,-,98,1,1968-01-06
99,Paul Mauriat And His Orchestra,Love Is Blue (L'amour Est Bleu),-,99,1,1968-01-06
100,The Hesitations,Born Free,-,100,1,1968-01-06
1,The Beatles,Hello Goodbye,1,1,7,1968-01-13
2,John Fred And The Playboys,Judy In Disguise (With Glasses),3,2,8,1968-01-13
3,The Monkees,Daydream Believer,2,1,9,1968-01-13
4,The Union Gap Featuring Gary Puckett,"Woman, Woman",5,4,9,1968-01-13
5,Gladys Knight And The Pips,I Heard It Through The Grapevine,4,2,13,1968-01-13
6,Aretha Franklin,Chain Of Fools,7,6,6,1968-01-13
7,The American Breed,"Bend Me, Shape Me",8,7,7,1968-01-13
8,Smokey Robinson & The Miracles,I Second That Emotion,6,4,11,1968-01-13
9,The Lemon Pipers,Green Tambourine,12,9,5,1968-01-13
10,Joe Tex,Skinny Legs And All,10,10,12,1968-01-13
11,Martha Reeves & The Vandellas,Honey Chile,11,11,9,1968-01-13
12,The Fantastic Johnny C,Boogaloo Down Broadway,9,7,15,1968-01-13
13,Marvin Gaye & Tammi Terrell,If I Could Build My Whole World Around You,13,13,7,1968-01-13
14,Stone Poneys Featuring Linda Ronstadt,Different Drum,18,14,10,1968-01-13
15,Eric Burdon & The Animals,Monterey,24,15,5,1968-01-13
16,The Buckinghams,Susan,21,16,6,1968-01-13
17,Johnny Rivers,Summer Rain,14,14,9,1968-01-13
18,The Human Beinz,Nobody But Me,35,18,6,1968-01-13
19,Ed Ames,Who Will Answer?,27,19,5,1968-01-13
20,The Young Rascals,It's Wonderful,25,20,6,1968-01-13
21,Cher,You Better Sit Down Kids,16,9,12,1968-01-13
22,The Rose Garden,Next Plane To London,17,17,13,1968-01-13
23,Classics IV,Spooky,47,23,4,1968-01-13
24,Jr. Walker & The All Stars,Come See About Me,29,24,8,1968-01-13
25,The Doors,Love Me Two Times,30,25,6,1968-01-13
26,The Marvelettes,My Baby Must Be A Magician,40,26,5,1968-01-13
27,The Sandpebbles,Love Power,32,27,8,1968-01-13
28,Etta James,Tell Mama,28,28,10,1968-01-13
29,The Lettermen,Goin' Out Of My Head/Can't Take My Eyes Off You,38,29,6,1968-01-13
30,Engelbert Humperdinck,Am I That Easy To Forget,39,30,5,1968-01-13
31,Peaches & Herb,Two Little Kids,41,31,5,1968-01-13
32,Small Faces,Itchycoo Park,43,32,10,1968-01-13
33,James Brown And The Famous Flames,I Can't Stand Myself (When You Touch Me),33,33,6,1968-01-13
34,Lulu,Best Of Both Worlds,37,34,5,1968-01-13
35,The Turtles,She's My Girl,26,14,10,1968-01-13
36,The Rolling Stones,She's A Rainbow,48,36,3,1968-01-13
37,Strawberry Alarm Clock,Incense And Peppermints,15,1,16,1968-01-13
38,The Foundations,"Baby, Now That I've Found You",52,38,4,1968-01-13
39,The Beach Boys,Darlin',53,39,4,1968-01-13
40,The Esquires,And Get Away,22,22,8,1968-01-13
41,The Cowsills,"The Rain, The Park & Other Things",19,2,16,1968-01-13
42,Dionne Warwick,I Say A Little Prayer,20,4,13,1968-01-13
43,Soul Survivors,Explosion (In Your Soul),54,43,4,1968-01-13
44,The Dave Clark Five,Everybody Knows,49,44,5,1968-01-13
45,Petula Clark,The Other Man's Grass Is Always Greener,31,31,7,1968-01-13
46,Tommy Boyce & Bobby Hart,I Wonder What She's Doing Tonite,60,46,4,1968-01-13
47,Henson Cargill,Skip A Rope,57,47,4,1968-01-13
48,Vikki Carr,The Lesson,59,48,4,1968-01-13
49,Frankie Valli,To Give (The Reason I Live),62,49,3,1968-01-13
50,The Hollies,Dear Eloise,50,50,7,1968-01-13
51,Strawberry Alarm Clock,Tomorrow,63,51,3,1968-01-13
52,Bobby Vinton,Just As Much As Ever,67,52,3,1968-01-13
53,Wilson Pickett,I'm In Love,45,45,7,1968-01-13
54,Billy Vera & Judy Clay,Storybook Children,56,54,7,1968-01-13
55,Wes Montgomery,Windy,44,44,8,1968-01-13
56,The Temptations,I Wish It Would Rain,-,56,1,1968-01-13
57,Sonny & Cher,Good Combination,58,57,5,1968-01-13
58,Tom Jones,I'm Coming Home,64,58,3,1968-01-13
59,Dean Martin,In The Misty Moonlight,46,46,7,1968-01-13
60,Nancy Sinatra & Lee Hazlewood,Some Velvet Morning,72,60,2,1968-01-13
61,The Fireballs,Bottle Of Wine,79,61,3,1968-01-13
62,The Mamas & The Papas,Dancing Bear,51,51,6,1968-01-13
63,Jerry Butler,Lost,78,63,3,1968-01-13
64,Joe Simon,No Sad Songs,82,64,2,1968-01-13
65,"Dave Dee, Dozy, Beaky, Mick And Tich",Zabadak,83,65,2,1968-01-13
66,Spanky And Our Gang,Sunday Mornin',86,66,2,1968-01-13
67,Jimi Hendrix,Foxey Lady,75,67,4,1968-01-13
68,Carla Thomas,Pick Up The Pieces,76,68,3,1968-01-13
69,The Impressions,We're A Winner,84,69,3,1968-01-13
70,The Lovin' Spoonful,Money,85,70,2,1968-01-13
71,Hugh Masekela,Up-Up And Away,74,71,6,1968-01-13
72,Barbara Mason,"Oh, How It Hurts",94,72,4,1968-01-13
73,Al Greene & The Soul Mate's,Back Up Train,73,73,6,1968-01-13
74,Cream,Sunshine Of Your Love,-,74,1,1968-01-13
75,The O'Jays,I'll Be Sweeter Tomorrow (Than I Was Today),66,66,8,1968-01-13
76,Arthur Prysock,A Working Man's Prayer,81,76,2,1968-01-13
77,King Curtis & The Kingpins,I Was Made To Love Her,77,77,3,1968-01-13
78,Percy Sledge,Cover Me,42,42,8,1968-01-13
79,Neil Diamond,New Orleans,98,79,2,1968-01-13
80,Al Martino,A Voice In The Choir,80,80,6,1968-01-13
81,The Cowsills,We Can Fly,-,81,1,1968-01-13
82,Herman's Hermits,I Can Take Or Leave Your Loving,-,82,1,1968-01-13
83,Marvin Gaye,You,-,83,1,1968-01-13
84,Paul Mauriat And His Orchestra,Love Is Blue (L'amour Est Bleu),99,84,2,1968-01-13
85,James & Bobby Purify,Do Unto Me,-,85,1,1968-01-13
86,Herb Alpert & The Tijuana Brass,Carmen,-,86,1,1968-01-13
87,Bill Wyman,In Another Land,87,87,5,1968-01-13
88,Lalo Schifrin,Mission-Impossible,90,88,2,1968-01-13
89,Billy Stewart,Cross My Heart,89,89,7,1968-01-13
90,James Carr,A Man Needs A Woman,97,90,2,1968-01-13
91,The Music Makers,United (Part 1),91,91,3,1968-01-13
92,Leon Haywood,Mellow Moonlight,92,92,3,1968-01-13
93,The Epic Splendor,A Little Rain Must Fall,93,93,5,1968-01-13
94,The Hesitations,Born Free,100,94,2,1968-01-13
95,Laura Lee,"Up Tight, Good Man",95,95,4,1968-01-13
96,"Oscar Toney, Jr.",Without Love (There Is Nothing),-,96,1,1968-01-13
97,Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days,-,97,1,1968-01-13
98,Long John Baldry,Let The Heartaches Begin,-,98,1,1968-01-13
99,Buffalo Springfield,Expecting To Fly,-,99,1,1968-01-13
100,Calvin Arnold,Funky Way,-,100,1,1968-01-13
1,John Fred And The Playboys,Judy In Disguise (With Glasses),2,1,9,1968-01-20
2,Aretha Franklin,Chain Of Fools,6,2,7,1968-01-20
3,The Beatles,Hello Goodbye,1,1,8,1968-01-20
4,The Union Gap Featuring Gary Puckett,"Woman, Woman",4,4,10,1968-01-20
5,The Lemon Pipers,Green Tambourine,9,5,6,1968-01-20
6,The Monkees,Daydream Believer,3,1,10,1968-01-20
7,The American Breed,"Bend Me, Shape Me",7,7,8,1968-01-20
8,Smokey Robinson & The Miracles,I Second That Emotion,8,4,12,1968-01-20
9,Gladys Knight And The Pips,I Heard It Through The Grapevine,5,2,14,1968-01-20
10,Marvin Gaye & Tammi Terrell,If I Could Build My Whole World Around You,13,10,8,1968-01-20
11,Martha Reeves & The Vandellas,Honey Chile,11,11,10,1968-01-20
12,Joe Tex,Skinny Legs And All,10,10,13,1968-01-20
13,The Buckinghams,Susan,16,13,7,1968-01-20
14,Stone Poneys Featuring Linda Ronstadt,Different Drum,14,14,11,1968-01-20
15,Eric Burdon & The Animals,Monterey,15,15,6,1968-01-20
16,Classics IV,Spooky,23,16,5,1968-01-20
17,The Human Beinz,Nobody But Me,18,17,7,1968-01-20
18,The Fantastic Johnny C,Boogaloo Down Broadway,12,7,16,1968-01-20
19,Ed Ames,Who Will Answer?,19,19,6,1968-01-20
20,The Foundations,"Baby, Now That I've Found You",38,20,5,1968-01-20
21,Small Faces,Itchycoo Park,32,21,11,1968-01-20
22,The Lettermen,Goin' Out Of My Head/Can't Take My Eyes Off You,29,22,7,1968-01-20
23,Etta James,Tell Mama,28,23,11,1968-01-20
24,Jr. Walker & The All Stars,Come See About Me,24,24,9,1968-01-20
25,Engelbert Humperdinck,Am I That Easy To Forget,30,25,6,1968-01-20
26,The Marvelettes,My Baby Must Be A Magician,26,26,6,1968-01-20
27,The Sandpebbles,Love Power,27,27,9,1968-01-20
28,James Brown And The Famous Flames,I Can't Stand Myself (When You Touch Me),33,28,7,1968-01-20
29,The Beach Boys,Darlin',39,29,5,1968-01-20
30,The Rolling Stones,She's A Rainbow,36,30,4,1968-01-20
31,Peaches & Herb,Two Little Kids,31,31,6,1968-01-20
32,Lulu,Best Of Both Worlds,34,32,6,1968-01-20
33,Soul Survivors,Explosion (In Your Soul),43,33,5,1968-01-20
34,The Young Rascals,It's Wonderful,20,20,7,1968-01-20
35,The Rose Garden,Next Plane To London,22,17,14,1968-01-20
36,Johnny Rivers,Summer Rain,17,14,10,1968-01-20
37,Henson Cargill,Skip A Rope,47,37,5,1968-01-20
38,Tommy Boyce & Bobby Hart,I Wonder What She's Doing Tonite,46,38,5,1968-01-20
39,Frankie Valli,To Give (The Reason I Live),49,39,4,1968-01-20
40,The Doors,Love Me Two Times,25,25,7,1968-01-20
41,Strawberry Alarm Clock,Tomorrow,51,41,4,1968-01-20
42,Bobby Vinton,Just As Much As Ever,52,42,4,1968-01-20
43,The Dave Clark Five,Everybody Knows,44,43,6,1968-01-20
44,Vikki Carr,The Lesson,48,44,5,1968-01-20
45,The Temptations,I Wish It Would Rain,56,45,2,1968-01-20
46,Cher,You Better Sit Down Kids,21,9,13,1968-01-20
47,Paul Mauriat And His Orchestra,Love Is Blue (L'amour Est Bleu),84,47,3,1968-01-20
48,The Fireballs,Bottle Of Wine,61,48,4,1968-01-20
49,Nancy Sinatra & Lee Hazlewood,Some Velvet Morning,60,49,3,1968-01-20
50,Wilson Pickett,I'm In Love,53,45,8,1968-01-20
51,Spanky And Our Gang,Sunday Mornin',66,51,3,1968-01-20
52,The Hollies,Dear Eloise,50,50,8,1968-01-20
53,Wes Montgomery,Windy,55,44,9,1968-01-20
54,The Cowsills,We Can Fly,81,54,2,1968-01-20
55,Marvin Gaye,You,83,55,2,1968-01-20
56,Sonny & Cher,Good Combination,57,56,6,1968-01-20
57,Tom Jones,I'm Coming Home,58,57,4,1968-01-20
58,Al Greene & The Soul Mate's,Back Up Train,73,58,7,1968-01-20
59,The Lovin' Spoonful,Money,70,59,3,1968-01-20
60,Joe Simon,No Sad Songs,64,60,3,1968-01-20
61,Billy Vera & Judy Clay,Storybook Children,54,54,8,1968-01-20
62,The Impressions,We're A Winner,69,62,4,1968-01-20
63,Jerry Butler,Lost,63,63,4,1968-01-20
64,Neil Diamond,New Orleans,79,64,3,1968-01-20
65,"Dave Dee, Dozy, Beaky, Mick And Tich",Zabadak,65,65,3,1968-01-20
66,Herman's Hermits,I Can Take Or Leave Your Loving,82,66,2,1968-01-20
67,The Hesitations,Born Free,94,67,3,1968-01-20
68,Carla Thomas,Pick Up The Pieces,68,68,4,1968-01-20
69,Herb Alpert & The Tijuana Brass,Carmen,86,69,2,1968-01-20
70,Barbara Mason,"Oh, How It Hurts",72,70,5,1968-01-20
71,Hugh Masekela,Up-Up And Away,71,71,7,1968-01-20
72,The Mamas & The Papas,Dancing Bear,62,51,7,1968-01-20
73,Cream,Sunshine Of Your Love,74,73,2,1968-01-20
74,Arthur Prysock,A Working Man's Prayer,76,74,3,1968-01-20
75,James & Bobby Purify,Do Unto Me,85,75,2,1968-01-20
76,King Curtis & The Kingpins,I Was Made To Love Her,77,76,4,1968-01-20
77,Dionne Warwick,(Theme From) Valley Of The Dolls,-,77,1,1968-01-20
78,Lalo Schifrin,Mission-Impossible,88,78,3,1968-01-20
79,Bee Gees,Words,-,79,1,1968-01-20
80,Jay And The Techniques,Strawberry Shortcake,-,80,1,1968-01-20
81,James Brown And The Famous Flames,There Was A Time,-,81,1,1968-01-20
82,The Dells,There Is,-,82,1,1968-01-20
83,James Carr,A Man Needs A Woman,90,83,3,1968-01-20
84,Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days,97,84,2,1968-01-20
85,Glen Campbell,Hey Little One,-,85,1,1968-01-20
86,The O'Jays,I'll Be Sweeter Tomorrow (Than I Was Today),75,66,9,1968-01-20
87,The Epic Splendor,A Little Rain Must Fall,93,87,6,1968-01-20
88,Long John Baldry,Let The Heartaches Begin,98,88,2,1968-01-20
89,Billy Stewart,Cross My Heart,89,89,8,1968-01-20
90,The Music Makers,United (Part 1),91,90,4,1968-01-20
91,Clarence Carter,Looking For A Fox,-,91,1,1968-01-20
92,Ruby Andrews,Hey Boy Take A Chance On Love,-,92,1,1968-01-20
93,"Oscar Toney, Jr.",Without Love (There Is Nothing),96,93,2,1968-01-20
94,Linda Jones,Give My Love A Try,-,94,1,1968-01-20
95,Laura Lee,"Up Tight, Good Man",95,95,5,1968-01-20
96,Frankie Laine,To Each His Own,-,96,1,1968-01-20
97,Robert Knight,Blessed Are The Lonely,-,97,1,1968-01-20
98,Buffalo Springfield,Expecting To Fly,99,98,2,1968-01-20
99,Calvin Arnold,Funky Way,100,99,2,1968-01-20
100,Ray Charles,Come Rain Or Come Shine,-,83,3,1968-01-20
1,John Fred And The Playboys,Judy In Disguise (With Glasses),1,1,10,1968-01-27
2,Aretha Franklin,Chain Of Fools,2,2,8,1968-01-27
3,The Lemon Pipers,Green Tambourine,5,3,7,1968-01-27
4,The Union Gap Featuring Gary Puckett,"Woman, Woman",4,4,11,1968-01-27
5,The American Breed,"Bend Me, Shape Me",7,5,9,1968-01-27
6,The Beatles,Hello Goodbye,3,1,9,1968-01-27
7,Classics IV,Spooky,16,7,6,1968-01-27
8,The Monkees,Daydream Believer,6,1,11,1968-01-27
9,Gladys Knight And The Pips,I Heard It Through The Grapevine,9,2,15,1968-01-27
10,Marvin Gaye & Tammi Terrell,If I Could Build My Whole World Around You,10,10,9,1968-01-27
11,The Buckinghams,Susan,13,11,8,1968-01-27
12,The Human Beinz,Nobody But Me,17,12,8,1968-01-27
13,Stone Poneys Featuring Linda Ronstadt,Different Drum,14,13,12,1968-01-27
14,Smokey Robinson & The Miracles,I Second That Emotion,8,4,13,1968-01-27
15,The Temptations,I Wish It Would Rain,45,15,3,1968-01-27
16,Small Faces,Itchycoo Park,21,16,12,1968-01-27
17,The Lettermen,Goin' Out Of My Head/Can't Take My Eyes Off You,22,17,8,1968-01-27
18,Paul Mauriat And His Orchestra,Love Is Blue (L'amour Est Bleu),47,18,4,1968-01-27
19,Engelbert Humperdinck,Am I That Easy To Forget,25,19,7,1968-01-27
20,The Foundations,"Baby, Now That I've Found You",20,20,6,1968-01-27
21,The Marvelettes,My Baby Must Be A Magician,26,21,7,1968-01-27
22,The Sandpebbles,Love Power,27,22,10,1968-01-27
23,Etta James,Tell Mama,23,23,12,1968-01-27
24,The Beach Boys,Darlin',29,24,6,1968-01-27
25,The Rolling Stones,She's A Rainbow,30,25,5,1968-01-27
26,Tommy Boyce & Bobby Hart,I Wonder What She's Doing Tonite,38,26,6,1968-01-27
27,Jr. Walker & The All Stars,Come See About Me,24,24,10,1968-01-27
28,The Fireballs,Bottle Of Wine,48,28,5,1968-01-27
29,Strawberry Alarm Clock,Tomorrow,41,29,5,1968-01-27
30,Frankie Valli,To Give (The Reason I Live),39,30,5,1968-01-27
31,Peaches & Herb,Two Little Kids,31,31,7,1968-01-27
32,Bobby Vinton,Just As Much As Ever,42,32,5,1968-01-27
33,Soul Survivors,Explosion (In Your Soul),33,33,6,1968-01-27
34,Vikki Carr,The Lesson,44,34,6,1968-01-27
35,Henson Cargill,Skip A Rope,37,35,6,1968-01-27
36,James Brown And The Famous Flames,I Can't Stand Myself (When You Touch Me),28,28,8,1968-01-27
37,Eric Burdon & The Animals,Monterey,15,15,7,1968-01-27
38,Martha Reeves & The Vandellas,Honey Chile,11,11,11,1968-01-27
39,Nancy Sinatra & Lee Hazlewood,Some Velvet Morning,49,39,4,1968-01-27
40,Joe Tex,Skinny Legs And All,12,10,14,1968-01-27
41,Spanky And Our Gang,Sunday Mornin',51,41,4,1968-01-27
42,The Fantastic Johnny C,Boogaloo Down Broadway,18,7,17,1968-01-27
43,The Dave Clark Five,Everybody Knows,43,43,7,1968-01-27
44,The Cowsills,We Can Fly,54,44,3,1968-01-27
45,Marvin Gaye,You,55,45,3,1968-01-27
46,Ed Ames,Who Will Answer?,19,19,7,1968-01-27
47,The Impressions,We're A Winner,62,47,5,1968-01-27
48,Herman's Hermits,I Can Take Or Leave Your Loving,66,48,3,1968-01-27
49,The Lovin' Spoonful,Money,59,49,4,1968-01-27
50,Joe Simon,No Sad Songs,60,50,4,1968-01-27
51,Al Greene & The Soul Mate's,Back Up Train,58,51,8,1968-01-27
52,Neil Diamond,New Orleans,64,52,4,1968-01-27
53,Wes Montgomery,Windy,53,44,10,1968-01-27
54,Lulu,Best Of Both Worlds,32,32,7,1968-01-27
55,"Dave Dee, Dozy, Beaky, Mick And Tich",Zabadak,65,55,4,1968-01-27
56,The Hesitations,Born Free,67,56,4,1968-01-27
57,Tom Jones,I'm Coming Home,57,57,5,1968-01-27
58,Wilson Pickett,I'm In Love,50,45,9,1968-01-27
59,Barbara Mason,"Oh, How It Hurts",70,59,6,1968-01-27
60,Jay And The Techniques,Strawberry Shortcake,80,60,2,1968-01-27
61,Dionne Warwick,(Theme From) Valley Of The Dolls,77,61,2,1968-01-27
62,Jerry Butler,Lost,63,62,5,1968-01-27
63,Herb Alpert & The Tijuana Brass,Carmen,69,63,3,1968-01-27
64,Bee Gees,Words,79,64,2,1968-01-27
65,James Brown And The Famous Flames,There Was A Time,81,65,2,1968-01-27
66,The Dells,There Is,82,66,2,1968-01-27
67,Otis Redding,(Sittin' On) The Dock Of The Bay,-,67,1,1968-01-27
68,Carla Thomas,Pick Up The Pieces,68,68,5,1968-01-27
69,Cream,Sunshine Of Your Love,73,69,3,1968-01-27
70,Glen Campbell,Hey Little One,85,70,2,1968-01-27
71,Billy Vera & Judy Clay,Storybook Children,61,54,9,1968-01-27
72,Sam & Dave,I Thank You,-,72,1,1968-01-27
73,James & Bobby Purify,Do Unto Me,75,73,3,1968-01-27
74,Arthur Prysock,A Working Man's Prayer,74,74,4,1968-01-27
75,Hugh Masekela,Up-Up And Away,71,71,8,1968-01-27
76,Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days,84,76,3,1968-01-27
77,1910 Fruitgum Co.,Simon Says,-,77,1,1968-01-27
78,Lalo Schifrin,Mission-Impossible,78,78,4,1968-01-27
79,The Music Makers,United (Part 1),90,79,5,1968-01-27
80,James Carr,A Man Needs A Woman,83,80,4,1968-01-27
81,Tommy James And The Shondells,Get Out Now,-,81,1,1968-01-27
82,Howard Tate,Stop,-,82,1,1968-01-27
83,Elvis Presley,Guitar Man,-,83,1,1968-01-27
84,Five Stairsteps & Cubie,A Million To One,-,84,1,1968-01-27
85,Miriam Makeba,Malayisha,-,85,1,1968-01-27
86,Billy Stewart,Cross My Heart,89,86,9,1968-01-27
87,The Epic Splendor,A Little Rain Must Fall,87,87,7,1968-01-27
88,Clarence Carter,Looking For A Fox,91,88,2,1968-01-27
89,Calvin Arnold,Funky Way,99,89,3,1968-01-27
90,"Oscar Toney, Jr.",Without Love (There Is Nothing),93,90,3,1968-01-27
91,Johnny Cash,Rosanna's Going Wild,-,91,1,1968-01-27
92,The Mills Brothers,Cab Driver,-,92,1,1968-01-27
93,Laura Lee,"Up Tight, Good Man",95,93,6,1968-01-27
94,Linda Jones,Give My Love A Try,94,94,2,1968-01-27
95,Frankie Laine,To Each His Own,96,95,2,1968-01-27
96,The Five Americans,7:30 Guided Tour,-,96,1,1968-01-27
97,Robert Knight,Blessed Are The Lonely,97,97,2,1968-01-27
98,Ray Charles,Come Rain Or Come Shine,100,83,4,1968-01-27
99,Every Mothers' Son,No One Knows,-,99,1,1968-01-27
100,Al Hirt,Keep The Ball Rollin',-,100,1,1968-01-27
1,The Lemon Pipers,Green Tambourine,3,1,8,1968-02-03
2,John Fred And The Playboys,Judy In Disguise (With Glasses),1,1,11,1968-02-03
3,Aretha Franklin,Chain Of Fools,2,2,9,1968-02-03
4,Classics IV,Spooky,7,4,7,1968-02-03
5,The American Breed,"Bend Me, Shape Me",5,5,10,1968-02-03
6,The Union Gap Featuring Gary Puckett,"Woman, Woman",4,4,12,1968-02-03
7,Paul Mauriat And His Orchestra,Love Is Blue (L'amour Est Bleu),18,7,5,1968-02-03
