rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,The Beatles,Hello Goodbye,1,1,6,1968-01-06
2,The Monkees,Daydream Believer,3,1,8,1968-01-06
3,John Fred And The Playboys,Judy In Disguise (With Glasses),6,3,7,1968-01-06
4,Gladys Knight And The Pips,I Heard It Through The Grapevine,2,2,12,1968-01-06
5,The Union Gap Featuring Gary Puckett,"Woman, Woman",5,5,8,1968-01-06
6,Smokey Robinson & The Miracles,I Second That Emotion,4,4,10,1968-01-06
7,Aretha Franklin,Chain Of Fools,7,7,5,1968-01-06
8,The American Breed,"Bend Me, Shape Me",8,8,6,1968-01-06
9,The Fantastic Johnny C,Boogaloo Down Broadway,9,7,14,1968-01-06
10,Joe Tex,Skinny Legs And All,10,10,11,1968-01-06
11,Martha Reeves & The Vandellas,Honey Chile,11,11,8,1968-01-06
12,The Lemon Pipers,Green Tambourine,25,12,4,1968-01-06
13,Marvin Gaye & Tammi Terrell,If I Could Build My Whole World Around You,18,13,6,1968-01-06
14,Johnny Rivers,Summer Rain,15,14,8,1968-01-06
15,Strawberry Alarm Clock,Incense And Peppermints,13,1,15,1968-01-06
16,Cher,You Better Sit Down Kids,12,9,11,1968-01-06
17,The Rose Garden,Next Plane To London,17,17,12,1968-01-06
18,Stone Poneys Featuring Linda Ronstadt,Different Drum,19,18,9,1968-01-06
19,The Cowsills,"The Rain, The Park & Other Things",14,2,15,1968-01-06
20,Dionne Warwick,I Say A Little Prayer,16,4,12,1968-01-06
21,The Buckinghams,Susan,29,21,5,1968-01-06
22,The Esquires,And Get Away,22,22,7,1968-01-06
23,Donovan,Wear Your Love Like Heaven,23,23,7,1968-01-06
24,Eric Burdon & The Animals,Monterey,32,24,4,1968-01-06
25,The Young Rascals,It's Wonderful,26,25,5,1968-01-06
26,The Turtles,She's My Girl,20,14,9,1968-01-06
27,Ed Ames,Who Will Answer?,36,27,4,1968-01-06
28,Etta James,Tell Mama,40,28,9,1968-01-06
29,Jr. Walker & The All Stars,Come See About Me,30,29,7,1968-01-06
30,The Doors,Love Me Two Times,38,30,5,1968-01-06
31,Petula Clark,The Other Man's Grass Is Always Greener,31,31,6,1968-01-06
32,The Sandpebbles,Love Power,42,32,7,1968-01-06
33,James Brown And The Famous Flames,I Can't Stand Myself (When You Touch Me),37,33,5,1968-01-06
34,Jay And The Techniques,Keep The Ball Rollin',28,14,12,1968-01-06
35,The Human Beinz,Nobody But Me,62,35,5,1968-01-06
36,Glen Campbell,By The Time I Get To Phoenix,33,26,11,1968-01-06
37,Lulu,Best Of Both Worlds,47,37,4,1968-01-06
38,The Lettermen,Goin' Out Of My Head/Can't Take My Eyes Off You,48,38,5,1968-01-06
39,Engelbert Humperdinck,Am I That Easy To Forget,54,39,4,1968-01-06
40,The Marvelettes,My Baby Must Be A Magician,51,40,4,1968-01-06
41,Peaches & Herb,Two Little Kids,56,41,4,1968-01-06
42,Percy Sledge,Cover Me,43,42,7,1968-01-06
43,Small Faces,Itchycoo Park,53,43,9,1968-01-06
44,Wes Montgomery,Windy,44,44,7,1968-01-06
45,Wilson Pickett,I'm In Love,45,45,6,1968-01-06
46,Dean Martin,In The Misty Moonlight,46,46,6,1968-01-06
47,Classics IV,Spooky,70,47,3,1968-01-06
48,The Rolling Stones,She's A Rainbow,77,48,2,1968-01-06
49,The Dave Clark Five,Everybody Knows,60,49,4,1968-01-06
50,The Hollies,Dear Eloise,50,50,6,1968-01-06
51,The Mamas & The Papas,Dancing Bear,52,51,5,1968-01-06
52,The Foundations,"Baby, Now That I've Found You",66,52,3,1968-01-06
53,The Beach Boys,Darlin',63,53,3,1968-01-06
54,Soul Survivors,Explosion (In Your Soul),64,54,3,1968-01-06
55,The Box Tops,Neon Rainbow,24,24,9,1968-01-06
56,Billy Vera & Judy Clay,Storybook Children,58,56,6,1968-01-06
57,Henson Cargill,Skip A Rope,68,57,3,1968-01-06
58,Sonny & Cher,Good Combination,59,58,4,1968-01-06
59,Vikki Carr,The Lesson,69,59,3,1968-01-06
60,Tommy Boyce & Bobby Hart,I Wonder What She's Doing Tonite,72,60,3,1968-01-06
61,"Peter, Paul & Mary",Too Much Of Nothing,35,35,7,1968-01-06
62,Frankie Valli,To Give (The Reason I Live),78,62,2,1968-01-06
63,Strawberry Alarm Clock,Tomorrow,80,63,2,1968-01-06
64,Tom Jones,I'm Coming Home,81,64,2,1968-01-06
65,The Dells,"O-O, I Love You",65,61,10,1968-01-06
66,The O'Jays,I'll Be Sweeter Tomorrow (Than I Was Today),67,66,7,1968-01-06
67,Bobby Vinton,Just As Much As Ever,83,67,2,1968-01-06
68,Brenton Wood,Baby You Got It,34,34,7,1968-01-06
69,Dusty Springfield,What's It Gonna Be,49,49,8,1968-01-06
70,Jefferson Airplane,Watch Her Ride,61,61,4,1968-01-06
71,Bill Cosby,Hooray For The Salvation Army Band,71,71,6,1968-01-06
72,Nancy Sinatra & Lee Hazlewood,Some Velvet Morning,-,72,1,1968-01-06
73,Al Greene & The Soul Mate's,Back Up Train,73,73,5,1968-01-06
74,Hugh Masekela,Up-Up And Away,74,74,5,1968-01-06
75,Jimi Hendrix,Foxey Lady,79,75,3,1968-01-06
76,Carla Thomas,Pick Up The Pieces,82,76,2,1968-01-06
77,King Curtis & The Kingpins,I Was Made To Love Her,86,77,2,1968-01-06
78,Jerry Butler,Lost,84,78,2,1968-01-06
79,The Fireballs,Bottle Of Wine,100,79,2,1968-01-06
80,Al Martino,A Voice In The Choir,85,80,5,1968-01-06
81,Arthur Prysock,A Working Man's Prayer,-,81,1,1968-01-06
82,Joe Simon,No Sad Songs,-,82,1,1968-01-06
83,"Dave Dee, Dozy, Beaky, Mick And Tich",Zabadak,-,83,1,1968-01-06
84,The Impressions,We're A Winner,99,84,2,1968-01-06
85,The Lovin' Spoonful,Money,-,85,1,1968-01-06
86,Spanky And Our Gang,Sunday Mornin',-,86,1,1968-01-06
87,Bill Wyman,In Another Land,88,87,4,1968-01-06
88,5 Stairsteps and Cubie,Something's Missing,89,88,6,1968-01-06
89,Billy Stewart,Cross My Heart,91,89,6,1968-01-06
