rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Bobby Vinton,There! I've Said It Again,2,1,6,1964-01-04
2,The Kingsmen,Louie Louie,3,2,9,1964-01-04
3,The Singing Nun (Soeur Sourire),Dominique,1,1,9,1964-01-04
4,Lenny Welch,Since I Fell For You,4,4,11,1964-01-04
5,Bobby Rydell,Forget Him,7,5,9,1964-01-04
6,The Murmaids,Popsicles And Icicles,8,6,7,1964-01-04
7,Johnny Tillotson,Talk Back Trembling Lips,9,7,9,1964-01-04
8,Martha & The Vandellas,Quicksand,12,8,7,1964-01-04
9,Shirley Ellis,The Nitty Gritty,13,9,8,1964-01-04
10,Joey Powers,Midnight Mary,11,10,9,1964-01-04
11,The Caravelles,You Don't Have To Be A Baby To Cry,5,3,10,1964-01-04
12,Dion Di Muci,Drip Drop,6,6,8,1964-01-04
13,The Trashmen,Surfin' Bird,21,13,5,1964-01-04
14,Brenda Lee,As Usual,20,14,4,1964-01-04
15,Jack Jones,Wives And Lovers,15,15,10,1964-01-04
16,Roy Orbison,Pretty Paper,19,16,4,1964-01-04
17,Jan & Dean,Drag City,24,17,5,1964-01-04
18,The Beach Boys,Be True To Your School,10,6,10,1964-01-04
19,Nino Tempo & April Stevens,Whispering,37,19,3,1964-01-04
20,The Secrets,The Boy Next Door,18,18,9,1964-01-04
21,Dale & Grace,I'm Leaving It Up To You,16,1,14,1964-01-04
22,Chubby Checker,Loddy Lo,14,12,10,1964-01-04
23,Trini Lopez,Kansas City,25,23,8,1964-01-04
24,Marvin Gaye,Can I Get A Witness,22,22,12,1964-01-04
25,Tommy Roe,Everybody,17,3,13,1964-01-04
26,Ray Charles,That Lucky Old Sun,32,26,5,1964-01-04
27,Dick and DeeDee,Turn Around,30,27,7,1964-01-04
28,The Supremes,When The Lovelight Starts Shining Through His Eyes,40,28,6,1964-01-04
29,Garnet Mimms & The Enchanters,For Your Precious Love,31,29,7,1964-01-04
30,The Duprees featuring Joey Vann,Have You Heard,23,18,9,1964-01-04
31,The Tymes,Somewhere,42,31,5,1964-01-04
32,Dionne Warwick,Anyone Who Had A Heart,64,32,5,1964-01-04
33,The Marketts,Out Of Limits,38,33,5,1964-01-04
34,Jerry Butler,Need To Belong,39,34,7,1964-01-04
35,The Rip Chords,Hey Little Cobra,46,35,4,1964-01-04
36,The Chiffons,I Have A Boyfriend,41,36,8,1964-01-04
37,The Beach Boys,In My Room,27,23,10,1964-01-04
38,"Peter, Paul & Mary",Stewball,35,35,6,1964-01-04
39,The Miracles,I Gotta Dance To Keep From Crying,45,39,7,1964-01-04
40,Jimmy Gilmer And The Fireballs,Daisy Petal Pickin',52,40,4,1964-01-04
41,Rick Nelson,For You,61,41,2,1964-01-04
42,The Ronettes,"Baby, I Love You",63,42,3,1964-01-04
43,Robin Ward,Wonderful Summer,26,14,10,1964-01-04
44,Chubby Checker,Hooka Tooka,55,44,5,1964-01-04
45,Dean And Jean,Tra La La La Suzy,49,40,10,1964-01-04
46,Garnet Mimms & The Enchanters,Baby Don't You Weep,36,30,8,1964-01-04
47,The Chad Mitchell Trio,The Marvelous Toy,56,47,6,1964-01-04
48,The Cookies,Girls Grow Up Faster Than Boys,51,48,6,1964-01-04
49,Lesley Gore,You Don't Own Me,72,49,2,1964-01-04
50,Rufus Thomas,Walking The Dog,29,10,14,1964-01-04
51,The Marvelettes,As Long As I Know He's Mine,58,47,9,1964-01-04
52,Neil Sedaka,Bad Girl,33,33,8,1964-01-04
53,Murry Kellum,Long Tall Texan,53,51,9,1964-01-04
54,Lesley Gore,She's A Fool,28,5,15,1964-01-04
55,Steve & Eydie,I Can't Stop Talking About You,67,55,3,1964-01-04
56,Cliff Richard,It's All In The Game,60,56,5,1964-01-04
57,Rick Nelson,Today's Teardrops,59,57,6,1964-01-04
58,Major Lance,"Um, Um, Um, Um, Um, Um",-,58,1,1964-01-04
59,The Dynamics,Misery,54,44,10,1964-01-04
60,Mary Wells,What's Easy For Two Is So Hard For One,79,60,7,1964-01-04
61,Henry Mancini And His Orchestra,Charade,65,61,5,1964-01-04
62,The Tams,What Kind Of Fool (Do You Think I Am),75,62,4,1964-01-04
63,The Orlons,Bon-Doo-Wah,71,63,4,1964-01-04
64,The Raindrops,That Boy John,68,64,6,1964-01-04
65,The Kingston Trio,Ally Ally Oxen Free,62,61,7,1964-01-04
66,Brooks O'Dell,Watch Your Step,77,66,4,1964-01-04
67,The Baja Marimba Band,Comin' In The Back Door,73,67,3,1964-01-04
68,The Girlfriends,"My One And Only, Jimmy Boy",84,68,2,1964-01-04
69,Connie Francis,In The Summer Of His Years,85,69,2,1964-01-04
70,Ginny Arnell,Dumb Head,70,70,7,1964-01-04
71,Burl Ives,True Love Goes On And On,78,71,2,1964-01-04
72,Tony Bennett,The Little Boy,81,72,3,1964-01-04
73,Bobby Darin,Be Mad Little Girl,66,64,7,1964-01-04
74,Dale Ward,Letter From Sherry,83,74,2,1964-01-04
75,Frank Ifield,Please,80,75,4,1964-01-04
76,Jay & The Americans,Come Dance With Me,76,76,6,1964-01-04
77,Anna King,If Somebody Told You,-,77,1,1964-01-04
78,Paul Petersen,The Cheer Leader,86,78,6,1964-01-04
79,The Pixies Three,Cold Cold Winter,88,79,4,1964-01-04
80,Jimmy Velvet,We Belong Together,82,80,4,1964-01-04
81,Barbara Lewis,Snap Your Fingers,96,81,2,1964-01-04
82,Patti LaBelle And The Blue Belles,You'll Never Walk Alone,-,82,1,1964-01-04
83,Bob And Earl,Harlem Shuffle,94,83,3,1964-01-04
84,Gene Thomas,Baby's Gone,87,84,4,1964-01-04
85,Little Johnny Taylor,Since I Found A New Love,-,85,1,1964-01-04
86,The Cascades,For Your Sweet Love,98,86,2,1964-01-04
87,Fats Domino,Who Cares,-,87,1,1964-01-04
88,Sammy Davis Jr.,The Shelter Of Your Arms,91,88,5,1964-01-04
89,Betty Everett,You're No Good,-,58,6,1964-01-04
90,The Exciters,Do-Wah-Diddy,-,90,1,1964-01-04
91,The Crescents Featuring Chiyo,Pink Dominos,95,91,2,1964-01-04
92,Bobby Bland,The Feeling Is Gone,97,92,2,1964-01-04
93,Betty Harris,His Kiss,-,93,1,1964-01-04
94,Otis Redding,Pain In My Heart,-,78,5,1964-01-04
95,Clyde McPhatter,Deep In The Heart Of Harlem,-,95,1,1964-01-04
96,Al (He's the King) Hirt,Java,-,96,1,1964-01-04
97,Johnny Mathis,I'll Search My Heart,90,90,4,1964-01-04
98,The Lettermen,Where Or When,100,98,2,1964-01-04
99,Maxine Brown,Coming Back To You,-,99,1,1964-01-04
100,Duane Eddy,The Son Of Rebel Rouser,-,100,1,1964-01-04
1,Bobby Vinton,There! I've Said It Again,1,1,7,1964-01-11
2,The Kingsmen,Louie Louie,2,2,10,1964-01-11
3,The Murmaids,Popsicles And Icicles,6,3,8,1964-01-11
4,The Singing Nun (Soeur Sourire),Dominique,3,1,10,1964-01-11
