rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,The Beatles,I Feel Fine,1,1,5,1965-01-02
2,The Supremes,Come See About Me,2,1,8,1965-01-02
3,Bobby Vinton,Mr. Lonely,3,1,10,1965-01-02
4,The Beatles,She's A Woman,4,4,5,1965-01-02
5,The Searchers,Love Potion Number Nine,11,5,6,1965-01-02
6,Little Anthony And The Imperials,Goin' Out Of My Head,6,6,9,1965-01-02
7,The Zombies,She's Not There,5,2,12,1965-01-02
8,The Impressions,Amen,12,8,7,1965-01-02
9,The Larks,The Jerk,9,9,8,1965-01-02
10,Julie Rogers,The Wedding,14,10,7,1965-01-02
11,Lorne Greene,Ringo,7,1,10,1965-01-02
12,Petula Clark,Downtown,41,12,3,1965-01-02
13,Manfred Mann,Sha La La,13,13,8,1965-01-02
14,The Righteous Brothers,You've Lost That Lovin' Feelin',34,14,4,1965-01-02
15,Del Shannon,Keep Searchin' (We'll Follow The Sun),23,15,7,1965-01-02
16,Robert Goulet,"My Love, Forgive Me (Amore, Scusami)",21,16,11,1965-01-02
17,The Dave Clark Five,Any Way You Want It,19,17,8,1965-01-02
18,Chad & Jeremy,Willow Weep For Me,24,18,8,1965-01-02
19,Marvin Gaye,How Sweet It Is To Be Loved By You,27,19,7,1965-01-02
20,The Rolling Stones,Time Is On My Side,10,6,12,1965-01-02
21,Herman's Hermits,I'm Into Something Good,17,13,12,1965-01-02
22,The Beach Boys,"Dance, Dance, Dance",8,8,9,1965-01-02
23,The Detergents,Leader Of The Laundromat,28,23,5,1965-01-02
24,Maxine Brown,Oh No Not My Baby,25,24,11,1965-01-02
25,Dick and DeeDee,Thou Shalt Not Steal,32,25,7,1965-01-02
26,Marianne Faithfull,As Tears Go By,26,26,6,1965-01-02
27,Andy Williams,Dear Heart,30,27,6,1965-01-02
28,The Marvelettes,Too Many Fish In The Sea,29,28,9,1965-01-02
29,Johnny Rivers,Mountain Of Love,16,9,10,1965-01-02
30,The Drifters,Saturday Night At The Movies,20,18,8,1965-01-02
31,Bobbi Martin,Don't Forget I Still Love You,42,31,6,1965-01-02
32,Gene Pitney,I'm Gonna Be Strong,15,9,11,1965-01-02
33,Jack Jones,Dear Heart,37,33,6,1965-01-02
34,The Ray Charles Singers,One More Time,35,34,8,1965-01-02
35,Johnny Tillotson,She Understands Me,31,31,10,1965-01-02
36,The Ronettes,Walking In The Rain,38,23,11,1965-01-02
37,Matt Monro,Walk Away,40,37,6,1965-01-02
38,Martha & The Vandellas,Wild One,39,38,5,1965-01-02
39,Roger Miller,Do-Wacka-Do,43,39,6,1965-01-02
40,Joe Tex,Hold What You've Got,59,40,3,1965-01-02
41,Gerry And The Pacemakers,I'll Be There,51,41,4,1965-01-02
42,Betty Everett & Jerry Butler,Smile,45,42,5,1965-01-02
43,"The ""You Know Who"" Group!",Roses Are Red My Love,46,43,6,1965-01-02
44,The Kinks,You Really Got Me,18,7,15,1965-01-02
45,Chuck Berry,Promised Land,55,45,4,1965-01-02
46,Gene Chandler,What Now,48,46,5,1965-01-02
47,Dean Martin,You're Nobody Till Somebody Loves You,57,47,4,1965-01-02
48,The Animals,Boom Boom,49,48,5,1965-01-02
49,The Waikikis,Hawaii Tattoo,52,49,5,1965-01-02
50,Shirley Ellis,The Name Game,60,50,4,1965-01-02
51,Candy & The Kisses,The 81,53,51,7,1965-01-02
52,Sandie Shaw,(There's) Always Something There To Remind Me,54,52,6,1965-01-02
53,Chuck Jackson,Since I Don't Have You,47,47,8,1965-01-02
54,The Kinks,All Day And All Of The Night,69,54,2,1965-01-02
55,Ben E. King,Seven Letters,63,55,3,1965-01-02
56,The Hullaballoos,I'm Gonna Love You Too,58,56,6,1965-01-02
57,The Shangri-Las,Give Him A Great Big Kiss,83,57,2,1965-01-02
58,Ray Charles,Makin' Whoopee,62,58,4,1965-01-02
59,Gale Garnett,Lovin' Place,61,59,5,1965-01-02
60,The Gestures,"Run, Run, Run",44,44,8,1965-01-02
61,The Honeycombs,I Can't Stop,68,61,3,1965-01-02
62,Jay & The Americans,Let's Lock The Door (And Throw Away The Key),81,62,2,1965-01-02
63,The Miracles,Come On Do The Jerk,65,63,4,1965-01-02
64,Major Lance,Sometimes I Wonder,64,64,5,1965-01-02
65,Betty Everett,Getting Mighty Crowded,66,65,6,1965-01-02
