rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Mario,Let Me Love You,2,1,11,2005-01-01
2,Snoop Dogg Featuring Pharrell,Drop It Like It's Hot,1,1,14,2005-01-01
3,Ciara Featuring Missy Elliott,"1, 2 Step",3,3,10,2005-01-01
4,Destiny's Child Featuring T.I. & Lil Wayne,Soldier,7,4,6,2005-01-01
5,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,Lovers And Friends,6,5,6,2005-01-01
6,Usher And Alicia Keys,My Boo,4,1,17,2005-01-01
7,Nelly Featuring Tim McGraw,Over And Over,5,3,12,2005-01-01
8,Ja Rule Featuring R. Kelly & Ashanti,Wonderful,8,5,12,2005-01-01
9,Destiny's Child,Lose My Breath,9,3,15,2005-01-01
10,Gavin DeGraw,I Don't Want To Be,12,10,11,2005-01-01
11,50 Cent,Disco Inferno,13,11,4,2005-01-01
12,Kelly Clarkson,Breakaway,10,6,19,2005-01-01
13,Ludacris,Get Back,18,13,7,2005-01-01
14,Ashanti,Only U,14,14,7,2005-01-01
15,Trick Daddy Featuring Lil Jon & Twista,Let's Go,11,7,16,2005-01-01
16,The Game Featuring 50 Cent,How We Do,23,16,6,2005-01-01
17,Maroon 5,She Will Be Loved,15,5,24,2005-01-01
18,Green Day,Boulevard Of Broken Dreams,27,18,6,2005-01-01
19,Lloyd Banks Featuring Avant,Karma,25,19,7,2005-01-01
20,Ciara Featuring Petey Pablo,Goodies,16,1,28,2005-01-01
21,Switchfoot,Dare You To Move,19,17,14,2005-01-01
22,Lil Jon & The East Side Boyz Featuring Lil Scrappy,What U Gon' Do,22,22,9,2005-01-01
23,Jadakiss Featuring Mariah Carey,U Make Me Wanna,21,21,7,2005-01-01
24,Jay-Z/Linkin Park,Numb/Encore,37,24,6,2005-01-01
25,"Eminem, Dr. Dre & 50 Cent",Encore,26,25,7,2005-01-01
26,T.I.,Bring Em Out,35,26,6,2005-01-01
27,Ja Rule Featuring Fat Joe & Jadakiss,New York,32,27,7,2005-01-01
28,"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",Oye Mi Canto,17,12,19,2005-01-01
29,Ryan Cabrera,True,39,29,4,2005-01-01
30,John Mayer,Daughters,34,30,9,2005-01-01
31,Blake Shelton,Some Beach,28,28,10,2005-01-01
32,Anthony Hamilton,Charlene,29,19,18,2005-01-01
33,Fabolous,Breathe,20,10,16,2005-01-01
34,Lil Wayne,Go D.J.,24,14,14,2005-01-01
35,Tim McGraw,Back When,30,30,11,2005-01-01
36,Seether Featuring Amy Lee,Broken,31,20,18,2005-01-01
37,U2,Vertigo,36,31,13,2005-01-01
38,Kelly Clarkson,Since U Been Gone,53,38,3,2005-01-01
39,Finger Eleven,One Thing,41,16,24,2005-01-01
40,Jesse McCartney,Beautiful Soul,49,40,4,2005-01-01
41,Ryan Cabrera,On The Way Down,42,15,23,2005-01-01
42,Darryl Worley,"Awful, Beautiful Life",44,42,8,2005-01-01
43,JoJo Featuring Bow Wow,Baby It's You,33,22,13,2005-01-01
44,Alicia Keys,Karma,66,44,6,2005-01-01
45,Young Buck,Shorty Wanna Ride,38,17,12,2005-01-01
46,Simple Plan,Welcome To My Life,40,40,8,2005-01-01
47,Terror Squad,Lean Back,46,1,28,2005-01-01
48,Avril Lavigne,Nobody's Home,57,48,4,2005-01-01
49,Avril Lavigne,My Happy Ending,43,9,23,2005-01-01
50,Daddy Yankee,Gasolina,73,50,8,2005-01-01
51,Eminem,Just Lose It,45,6,13,2005-01-01
52,Gretchen Wilson,When I Think About Cheatin',55,52,4,2005-01-01
53,Rascal Flatts,Bless The Broken Road,62,53,3,2005-01-01
54,Dierks Bentley,How Am I Doin',51,49,11,2005-01-01
55,Brad Paisley,Mud On The Tires,58,55,5,2005-01-01
56,Keith Urban,You're My Better Half,56,56,5,2005-01-01
57,Gary Allan,Nothing On But The Radio,50,32,16,2005-01-01
58,Kenny Chesney,The Woman With You,47,33,12,2005-01-01
59,Chingy,Balla Baby,52,20,13,2005-01-01
60,LeAnn Rimes,Nothin 'Bout Love Makes Sense,60,59,8,2005-01-01
61,Lenny Kravitz,Lady,65,61,4,2005-01-01
62,Goo Goo Dolls,Give A Little Bit,68,62,6,2005-01-01
63,Lonestar,Mr. Mom,59,33,16,2005-01-01
64,Shania Twain With Billy Currington Or Mark McGrath,Party For Two,61,58,9,2005-01-01
65,Alan Jackson,Monday Morning Church,67,64,5,2005-01-01
66,The Killers,Somebody Told Me,63,51,18,2005-01-01
67,Gwen Stefani Featuring Eve,Rich Girl,74,67,2,2005-01-01
68,Bowling For Soup,1985,64,23,17,2005-01-01
69,Trillville Featuring Cutty,Some Cut,70,69,2,2005-01-01
70,Rupee,Tempted To Touch,69,39,13,2005-01-01
71,Keyshia Cole Featuring Shyne,I Changed My Mind,82,71,6,2005-01-01
72,Usher,Caught Up,76,72,4,2005-01-01
73,Reba McEntire,He Gets That From Me,71,71,3,2005-01-01
74,Eminem,Mockingbird,-,74,1,2005-01-01
75,Big & Rich,Holy Water,-,75,1,2005-01-01
76,Chevelle,Vitamin R (Leading Us Along),72,68,7,2005-01-01
77,Guerilla Black Featuring Mario Winans,You're The One,78,77,6,2005-01-01
78,Velvet Revolver,Fall To Pieces,77,67,15,2005-01-01
79,Breaking Benjamin,So Cold,79,76,17,2005-01-01
80,SHeDAISY,Come Home Soon,75,75,4,2005-01-01
81,Crossfade,Cold,81,81,22,2005-01-01
