sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.6929,0.13,0.767,0.103,1.8,96.99,3.42,5,352,294,36,15,Leon Russell,Back To The Island,9188
-0.0087,0.033,0.924,0.044,1.0,98.92,2.52,2,219,189,30,9,Penny Mclean,Lady Bump,9189
-0.9851,0.088,0.721,0.191,3.1,88.23,4.58,20,436,339,40,2,Queen,Bohemian Rhapsody,9190
0.9925,0.214,0.67,0.117,-0.7,108.6,2.29,5,363,324,63,32,Rufus Featuring Chaka Khan,Sweet Thing,9191
0.9969,0.328,0.657,0.015,-0.5,108.09,2.68,4,192,180,32,15,Andrew Gold,That's Why I Love You,9192
0.9882,0.172,0.828,0.0,0.8,104.84,3.52,0,213,194,22,9,Dr. Hook,Only Sixteen,9193
-0.9663,0.0,0.913,0.087,1.0,104.34,3.72,6,296,269,29,13,Jim Croce,Chain Gang Medley,9194
0.8957,0.173,0.771,0.057,1.0,98.92,2.78,6,175,151,24,10,Gary Wright,Dream Weaver,9195
0.9892,0.171,0.81,0.019,0.6,100.14,2.04,4,250,211,41,8,Norman Connors,Valentine Love,9196
0.9985,0.1,0.818,0.081,4.9,72.73,3.84,510,8255,5485,777,0,C.C. & Company,Daydreamer,9197
0.9975,0.212,0.75,0.038,1.1,98.82,3.34,28,484,410,64,6,Larry Groce,Junk Food Junkie,9198
0.9998,0.113,0.801,0.086,5.7,65.28,3.78,1402,16416,10564,1723,5,Jonathan Cain,'til It's Time To Say Goodbye,9199
0.9999,0.232,0.738,0.03,9.4,60.85,8.14,129,1831,1225,65,25,George McCrae,Honey I,9200
0.9781,0.19,0.758,0.052,2.1,96.18,4.38,3,184,153,17,5,Willie Nelson,Remember Me,9201
0.9825,0.291,0.6,0.109,0.8,99.63,2.92,6,138,117,21,1,Black Oak Arkansas,Strong Enough To Be Gentle,9202
0.9976,0.304,0.58,0.115,1.9,102.1,4.89,7,306,275,24,2,Rod Stewart,This Old Heart Of Mine,9203
-0.9781,0.074,0.718,0.209,-0.1,107.08,2.64,6,249,219,33,8,Dionne Warwick,Once You Hit The Road,9204
0.998,0.093,0.832,0.075,8.3,74.63,10.2,375,4949,3852,176,0,Moonlion,The Little Drummer Boy,9205
0.9955,0.205,0.779,0.016,0.2,106.57,3.31,6,285,254,36,18,South Shore Commission,We're On The Right Track,9206
0.9998,0.113,0.801,0.086,5.7,65.28,3.78,1402,16416,10564,1723,5,The Atlanta Disco Band,Bad Luck,9207
0.0,0.0,1.0,0.0,-0.1,101.66,1.44,1,132,114,32,29,S.S.O.,Tonight's The Night,9208
0.9768,0.192,0.751,0.057,1.9,91.17,3.16,10,219,174,31,11,Smokey Robinson,Quiet Storm,9209
0.9981,0.374,0.529,0.097,1.4,92.49,1.72,14,336,253,59,18,The Dramatics,You're Fooling You,9210
0.7418,0.083,0.899,0.018,1.3,98.31,3.04,5,170,144,21,4,Ozark Mountain Daredevils,If I Only Knew,9211
-0.9911,0.018,0.781,0.201,0.6,105.45,3.59,7,297,262,32,19,The Trammps,Hold Back The Night,9212
0.9999,0.114,0.798,0.087,8.8,73.41,10.79,1632,21079,16257,703,0,Julie,One Fine Day,9213
0.9924,0.289,0.628,0.083,1.4,98.01,3.45,8,246,210,29,6,Andy Williams,Tell It Like It Is,9214
0.4586,0.078,0.84,0.082,0.1,106.77,2.89,4,324,298,43,22,Captain & Tennille,Lonely Night (angel Face),9215
0.1531,0.074,0.865,0.061,2.4,90.05,3.67,11,155,121,18,0,The Salsoul Orchestra,Tangerine,9216
-0.8296,0.126,0.697,0.177,0.4,100.65,2.09,12,187,160,35,8,Michael Murphey,Renegade,9217
0.991,0.194,0.767,0.039,2.5,95.17,4.18,9,253,219,22,7,Grand Funk Railroad,Take Me,9218
-0.9729,0.052,0.792,0.156,-0.1,107.08,2.81,5,255,230,35,25,Ramsey Lewis,What's The Name Of This Funk (spider Man),9219
0.9881,0.156,0.796,0.048,5.2,66.5,3.87,61,437,272,55,0,Dan Hill,Growin' Up,9220
0.9812,0.265,0.625,0.11,-0.4,107.89,2.32,2,136,128,22,3,Charlie Rich,Since I Fell For You,9221
0.9998,0.133,0.778,0.089,2.8,89.04,3.95,302,6294,4919,639,5,B.T. Express,Close To You,9222
0.959,0.134,0.821,0.045,1.4,97.91,3.33,10,241,197,27,0,Bruce Springsteen,Tenth Avenue Freeze-out,9223
0.9968,0.441,0.526,0.034,0.8,99.63,2.95,4,129,112,20,4,Ray Stevens,Young Love,9224
0.9946,0.306,0.661,0.033,0.2,106.47,2.88,3,179,166,23,9,Frankie Avalon,Venus,9225
-0.9998,0.087,0.776,0.137,2.4,95.27,4.5,245,5018,4266,431,11,Debbie Taylor,I Don't Wanna Leave You,9226
0.9992,0.35,0.641,0.009,-0.6,108.4,2.24,8,364,326,61,32,Bellamy Brothers,Let Your Love Flow,9227
0.9862,0.236,0.739,0.026,0.2,106.37,3.16,6,183,168,23,6,Daryl Hall John Oates,Sara Smile,9228
-0.9961,0.087,0.752,0.161,1.0,104.34,4.22,24,718,635,68,6,The Band Of The Black Watch,Scotch On The Rocks,9229
-0.7648,0.081,0.791,0.129,0.9,99.33,2.36,6,152,123,21,2,Pilot,January,9230
0.733,0.114,0.823,0.063,1.9,96.69,3.4,3,190,153,18,5,Bay City Rollers,Money Honey,9231
0.5095,0.117,0.821,0.063,0.1,106.77,3.4,5,207,187,27,11,Bachman-Turner Overdrive,Take It Like A Man,9232
0.9836,0.206,0.736,0.058,2.3,90.16,3.5,7,235,186,28,5,Cat Stevens,Banapple Gas,9233
0.9756,0.229,0.659,0.112,1.2,98.51,2.89,4,216,187,28,13,Tony Orlando & Dawn,Cupid,9234
0.9977,0.369,0.535,0.096,2.1,101.39,4.88,5,251,220,18,4,Waylon & Willie,Good Hearted Woman,9235
0.9126,0.083,0.89,0.027,-0.6,108.29,2.16,5,296,264,49,26,Suzi Quatro,Can The Can,9236
0.6506,0.048,0.938,0.014,60.2,-55.06,64.21,10,183,158,1,0,Melissa Manchester,Just You And I,9237
0.9917,0.186,0.759,0.055,0.7,99.73,2.77,27,334,280,51,12,Joni Mitchell,In France They Kiss On Main Street,9238
0.9761,0.123,0.843,0.034,0.6,100.04,2.24,8,303,255,49,16,The Temptations,Keep Holding On,9239
0.9912,0.193,0.763,0.044,1.4,97.91,3.27,4,263,226,31,2,Head East,Love Me Tonight,9240
-0.9135,0.079,0.752,0.169,0.8,99.63,2.35,8,409,354,63,30,Johnnie Taylor,Disco Lady,9241
0.9804,0.255,0.64,0.104,0.3,106.26,2.96,4,144,126,17,9,Jigsaw,Love Fire,9242
1.0,0.122,0.782,0.097,4.4,79.36,5.39,2975,31476,23012,2594,16,Morris Albert,Sweet Loving Man,9243
0.9894,0.242,0.694,0.064,-0.8,108.7,2.0,3,218,196,39,9,Cate Bros.,Union Man,9244
-0.9995,0.089,0.813,0.098,10.7,68.33,12.34,866,14692,11630,414,0,People's Choice,Nursery Rhymes (Part I),9245
0.8097,0.112,0.826,0.062,1.2,103.83,4.43,7,175,156,16,0,The Charlie Daniels Band,Texas,9246
0.9975,0.314,0.657,0.029,2.3,90.26,3.4,17,264,201,31,11,Carole King,Only Love Is Real,9247
0.954,0.141,0.822,0.037,4.6,73.44,4.49,13,276,187,29,6,Sweet,Action,9248
0.9971,0.281,0.703,0.016,1.1,98.72,3.39,6,300,252,39,14,Eddie Kendricks,He's A Friend,9249
0.9272,0.139,0.785,0.076,0.1,106.77,2.76,3,227,206,30,1,Larry Santos,We Can't Hide It Anymore,9250
0.9836,0.116,0.879,0.005,0.8,99.63,2.38,12,350,292,52,17,The Sylvers,Boogie Fever,9251
0.9865,0.321,0.515,0.164,-0.3,107.38,2.52,3,185,175,28,9,Freddy Fender,You'll Lose A Good Thing,9252
0.9918,0.241,0.705,0.054,1.9,102.0,4.64,4,195,185,16,5,ABBA,"I Do, I Do, I Do, I Do, I Do",9253
0.9646,0.19,0.758,0.052,0.6,99.94,2.36,14,203,169,32,7,Jethro Tull,Locomotive Breath,9254
0.9806,0.168,0.809,0.023,2.2,90.36,2.99,9,246,186,29,16,Styx,Lorelei,9255
0.9987,0.304,0.665,0.031,0.4,105.86,3.12,3,356,310,40,20,Maxine Nightingale,Right Back Where We Started From,9256
0.9878,0.25,0.671,0.079,-0.6,108.19,2.73,9,258,225,41,19,John Miles,Highfly,9257
