sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.9849,0.162,0.819,0.019,1.5,97.7,3.17,13,299,240,32,14,'Til Tuesday,Coming Up Close,13835
-0.9677,0.047,0.793,0.159,2.2,90.56,2.67,8,268,210,34,20,Lone Justice,Shelter,13836
0.9597,0.123,0.844,0.033,0.5,100.24,2.44,14,223,180,36,13,Huey Lewis & The News,Jacob's Ladder,13837
0.995,0.256,0.72,0.024,2.2,90.46,3.27,8,269,213,34,13,Bruce Willis,Respect Yourself,13838
-0.2944,0.074,0.835,0.091,1.2,98.41,2.84,13,398,341,50,18,Bruce Hornsby & The Range,Mandolin Rain,13839
-0.5824,0.133,0.738,0.129,0.6,100.04,2.24,6,299,253,49,17,Janet Jackson,Let's Wait Awhile,13840
0.4603,0.067,0.858,0.074,0.9,99.23,2.55,7,317,259,43,19,Shirley Murdock,As We Lay,13841
0.9877,0.159,0.841,0.0,1.7,91.78,2.59,8,266,203,41,15,Lionel Richie,Deep River Woman,13842
-0.99,0.025,0.804,0.171,0.2,106.37,3.57,15,283,248,34,11,Crowded House,Don't Dream It's Over,13843
0.9866,0.133,0.816,0.051,-0.5,108.09,2.58,11,388,351,63,37,Sweet Sensation,Hooked On You,13844
0.9857,0.171,0.804,0.025,3.1,82.81,2.39,3,289,210,38,32,Nocera,"Summertime, Summertime",13845
0.9471,0.214,0.636,0.15,-0.3,107.48,2.77,11,313,274,44,10,Billy Idol,Don't Need A Gun,13846
0.9502,0.124,0.798,0.078,-0.8,108.8,2.28,6,276,249,51,11,Expose,Come Go With Me,13847
0.9916,0.137,0.836,0.027,0.5,100.34,2.15,9,497,426,87,46,Wang Chung,Let's Go!,13848
-0.9906,0.088,0.569,0.343,-0.3,107.38,2.87,3,125,113,18,9,a-ha,Cry Wolf,13849
0.6381,0.091,0.841,0.068,1.8,91.58,2.08,3,170,129,25,5,Europe,The Final Countdown,13850
-0.8677,0.139,0.681,0.18,0.8,99.63,3.13,17,216,180,32,6,Howard Jones,All I Want,13851
-0.9947,0.064,0.724,0.211,1.0,98.92,2.64,10,399,340,54,21,Peter Cetera,Big Mistake,13852
0.9568,0.168,0.758,0.074,0.9,99.23,2.91,4,181,157,26,2,Daryl Hall,Someone Like You,13853
0.8995,0.14,0.743,0.117,-0.4,107.69,2.4,5,313,277,46,7,David & David,Ain't So Easy,13854
0.994,0.144,0.851,0.005,1.5,97.7,3.66,22,440,361,48,16,Ron And The D.C. Crew,Ronnies Rapp,13855
