sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.9175,0.128,0.772,0.1,0.1,106.67,3.35,28,576,507,72,3,Smilez & Southstar,Tell Me (What's Goin' On),19038
-0.9212,0.102,0.773,0.125,0.3,106.16,3.0,7,540,475,63,16,Tyrese,How You Gonna Act Like That,19039
0.8037,0.12,0.788,0.093,0.8,104.94,4.01,9,338,304,35,14,Gary Allan,Man To Man,19040
-0.7832,0.048,0.893,0.059,-0.2,107.18,2.84,12,564,503,77,48,t.A.T.u.,All The Things She Said,19041
0.9987,0.178,0.817,0.005,-0.3,107.58,2.57,12,703,632,103,44,JC Chasez,Blowin' Me Up (With Her Love),19042
-0.9703,0.095,0.792,0.113,2.6,94.76,4.34,21,772,664,64,19,50 Cent,In Da Club,19043
0.9911,0.249,0.616,0.135,0.9,99.12,2.76,7,304,251,41,22,Wayne Wonder,No Letting Go,19044
-0.9983,0.085,0.701,0.214,2.1,96.18,3.87,49,696,593,66,9,Trina Featuring Ludacris,B R Right,19045
0.9904,0.227,0.739,0.034,1.1,98.82,3.16,7,229,199,31,3,Brad Paisley,I Wish You'd Stay,19046
0.9937,0.236,0.694,0.07,2.1,90.77,2.58,10,287,227,38,12,Jennifer Hanson,Beautiful Goodbye,19047
0.9954,0.233,0.752,0.015,4.7,73.13,4.08,17,335,228,34,10,Lonestar,Unusually Unusual,19048
-0.0,0.139,0.74,0.121,-0.8,108.7,2.16,4,270,246,49,21,Joe Nichols,Brokenheartsville,19049
0.9907,0.115,0.814,0.071,1.8,96.99,3.68,34,822,695,85,31,Angie Martinez Featuring Kelis,Take You Home,19050
0.9964,0.149,0.766,0.085,1.8,96.79,3.55,31,1302,1047,124,54,Eminem,Superman,19051
0.9893,0.195,0.715,0.09,0.7,105.25,3.36,7,376,328,39,6,Amanda Perez,Angel,19052
-0.7399,0.037,0.886,0.077,1.3,98.11,3.33,9,194,163,23,15,Coldplay,Clocks,19053
0.9962,0.179,0.741,0.08,1.7,97.09,3.41,14,548,461,57,23,Dixie Chicks,Travelin' Soldier,19054
0.9964,0.27,0.65,0.08,0.5,100.24,2.68,12,340,294,59,24,Shania Twain,Up!,19055
-0.9873,0.097,0.667,0.237,1.4,97.91,3.1,8,266,220,30,11,Phil Collins,Can't Stop Loving You,19056
0.9822,0.102,0.832,0.067,2.0,96.38,3.82,40,773,658,75,12,Lil' Kim Featuring Mr. Cheeks,The Jump Off,19057
0.9993,0.259,0.711,0.03,1.3,98.31,3.83,36,649,525,76,16,Red Hot Chili Peppers,Can't Stop,19058
0.9981,0.209,0.757,0.035,1.5,97.8,3.09,20,705,608,82,32,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,Beautiful,19059
0.993,0.304,0.64,0.056,0.7,99.73,2.79,4,253,203,37,18,Alan Jackson,That'd Be Alright,19060
-0.7398,0.072,0.85,0.078,2.0,96.38,3.75,16,807,690,78,26,DMX,X Gon' Give It To Ya,19061
-0.9989,0.049,0.749,0.202,1.8,96.79,3.72,49,781,666,79,4,Freeway Featuring Jay-Z & Beanie Sigel,What We Do,19062
0.9285,0.071,0.893,0.036,1.8,96.99,3.86,41,884,757,92,22,JAY-Z,Excuse Me Miss,19063
0.9465,0.095,0.861,0.045,0.2,106.57,2.84,5,360,319,45,20,Simple Plan,I'd Do Anything,19064
0.9773,0.16,0.792,0.048,-0.2,107.28,2.56,7,292,254,40,19,Celine Dion,I Drove All Night,19065
0.9837,0.122,0.832,0.047,1.8,96.89,4.08,56,560,473,57,2,Killer Mike Featuring Big Boi,A.D.I.D.A.S.,19066
-0.995,0.022,0.875,0.103,3.7,86.5,4.51,58,949,748,73,29,Baby Featuring Clipse,What Happened To That Boy,19067
0.983,0.226,0.698,0.077,1.8,91.48,4.95,21,246,184,35,2,Vivian Green,Emotional Rollercoaster,19068
0.9857,0.13,0.791,0.08,0.2,106.37,2.97,27,827,732,100,29,Clipse Featuring Faith Evans,"Ma, I Don't Love Her",19069
0.997,0.179,0.784,0.037,2.3,95.67,4.28,31,595,505,53,0,Fat Joe Featuring Tony Sunshine & Armageddon,All I Need,19070
0.9979,0.235,0.695,0.07,1.0,104.34,3.92,17,437,400,43,0,Ginuwine Featuring Baby,Hell Yeah,19071
0.9076,0.093,0.853,0.054,1.5,97.7,3.97,21,292,248,33,1,Kenny Chesney,Big Star,19072
-0.9935,0.098,0.739,0.163,1.2,98.51,3.01,33,741,610,91,23,Nivea,Laundromat,19073
0.9896,0.12,0.806,0.074,0.6,105.45,3.51,22,790,706,86,52,Sean Paul,Get Busy,19074
0.9852,0.132,0.782,0.086,1.5,97.6,3.7,39,733,602,79,15,Nas,I Can,19075
-0.7906,0.121,0.727,0.152,0.8,104.84,3.71,10,233,210,24,7,Audioslave,Like A Stone,19076
0.9772,0.185,0.767,0.048,1.7,97.2,3.2,11,235,192,24,12,Trace Adkins,Chrome,19077
0.9851,0.192,0.748,0.06,0.4,100.54,2.71,13,234,193,41,22,Tim McGraw,She's My Kind Of Rain,19078
0.8343,0.033,0.952,0.015,2.8,89.04,3.81,46,646,491,64,13,Blu Cantrell Featuring Sean Paul,Breathe,19079
-0.9774,0.077,0.817,0.106,-0.3,107.48,2.67,10,465,415,67,27,Marques Houston,That Girl,19080
-0.9654,0.093,0.806,0.1,1.5,97.6,3.22,34,782,661,87,33,Fabolous Featuring Mike Shorey & Lil' Mo,Can't Let You Go,19081
0.9967,0.26,0.736,0.004,0.8,104.94,3.81,5,257,243,28,17,Foo Fighters,Times Like These,19082
0.9707,0.106,0.844,0.05,2.6,89.34,3.5,19,464,371,50,9,B2K,Girlfriend,19083
0.9974,0.16,0.764,0.076,1.4,97.91,3.26,31,997,828,113,19,Choppa Featuring Master P,Choppa Style,19084
0.9672,0.217,0.576,0.207,0.9,104.74,3.73,5,516,478,54,30,Kelly Rowland,Can't Nobody,19085
-0.9798,0.041,0.838,0.121,3.1,88.02,3.92,9,466,366,42,21,Linkin Park,Somewhere I Belong,19086
-0.9669,0.094,0.755,0.151,1.3,98.31,3.17,15,357,291,42,10,Darryl Worley,Have You Forgotten?,19087
0.9836,0.123,0.851,0.027,1.9,96.69,3.4,4,373,323,38,14,Evanescence Featuring Paul McCoy,Bring Me To Life,19088
0.9435,0.136,0.795,0.069,0.3,106.16,3.0,11,264,233,31,12,Martina McBride,Concrete Angel,19089
0.9939,0.229,0.721,0.05,1.9,91.27,3.05,12,305,235,43,18,Keith Urban,Raining On Sunday,19090
0.9899,0.176,0.728,0.096,2.1,96.08,3.9,11,366,311,34,9,Toby Keith,Rock You Baby,19091
0.5406,0.1,0.813,0.087,1.5,97.7,4.01,37,536,435,58,9,The Roots Featuring Musiq,Break You Off,19092
0.9206,0.096,0.862,0.042,0.0,106.97,2.68,9,359,321,48,17,matchbox twenty,Unwell,19093
0.994,0.124,0.833,0.044,-0.4,107.89,2.53,13,607,567,97,55,Justin Timberlake,Rock Your Body,19094
0.7955,0.086,0.873,0.041,1.1,98.82,2.95,6,237,204,32,9,Diamond Rio,I Believe,19095
0.9996,0.173,0.737,0.09,7.5,76.66,9.76,212,2671,2065,104,3,50 Cent Featuring Nate Dogg,21 Questions,19096
0.9896,0.146,0.774,0.079,1.7,97.2,3.28,10,610,494,62,22,Jaheim,Put That Woman First,19097
-0.9776,0.039,0.815,0.146,0.7,105.15,4.01,15,296,263,31,14,Sixpence None The Richer,Don't Dream It's Over,19098
0.9473,0.126,0.782,0.092,1.3,98.21,2.98,8,513,440,63,29,Boomkat,The Wreckoning,19099
0.8126,0.118,0.797,0.086,1.2,98.51,3.23,17,517,433,65,18,Lil' Mo Featuring Fabolous,4 Ever,19100
0.6605,0.065,0.899,0.036,-0.3,107.38,2.66,9,332,292,46,21,Montgomery Gentry,Speed,19101
-0.6345,0.106,0.795,0.099,1.4,97.91,3.18,7,381,312,43,9,Good Charlotte,The Anthem,19102
0.1678,0.137,0.715,0.148,1.8,91.58,2.19,7,450,348,67,42,TLC,Damaged,19103
0.9868,0.162,0.805,0.032,0.9,99.12,2.8,6,279,224,37,14,No Doubt,Running,19104
0.9923,0.135,0.828,0.036,0.1,106.67,2.9,6,432,383,55,23,Counting Crows Featuring Vanessa Carlton,Big Yellow Taxi,19105
-0.9987,0.098,0.647,0.255,0.6,105.35,3.5,18,492,438,53,30,Bowling For Soup,Girl All The Bad Guys Want,19106
0.9977,0.297,0.673,0.03,1.0,98.92,2.52,7,305,252,40,18,Chris Cagle,What A Beautiful Day,19107
0.9927,0.126,0.874,0.0,0.5,105.76,3.58,10,441,385,49,18,Floetry,Say Yes,19108
0.9657,0.134,0.779,0.087,0.4,106.06,3.28,6,371,335,44,13,Uncle Kracker Featuring Dobie Gray,Drift Away,19109
-0.5719,0.106,0.767,0.126,0.1,106.67,3.3,4,179,160,23,1,Fleetwood Mac,Peacekeeper,19110
-0.9721,0.068,0.827,0.105,2.0,96.38,4.21,43,819,695,79,23,Talib Kweli,Get By,19111
-0.996,0.079,0.777,0.144,2.5,95.06,5.11,71,997,820,81,11,Eminem,Sing For The Moment,19112
0.9923,0.154,0.807,0.039,2.1,101.39,4.88,6,397,378,31,8,Daniel Bedingfield,If You're Not The One,19113
-0.8078,0.071,0.842,0.087,0.8,99.43,3.26,14,417,339,58,33,Trapt,Headstrong,19114
0.9953,0.245,0.666,0.089,-0.3,107.48,2.63,7,303,268,43,18,Rascal Flatts,Love You Out Loud,19115
0.9786,0.106,0.851,0.043,2.7,94.56,4.63,14,366,307,29,7,Randy Travis,Three Wooden Crosses,19116
-0.5321,0.111,0.777,0.113,5.6,65.59,3.26,1153,18089,11321,1960,1,The Isley Brothers Featuring Ronald Isley,What Would You Do?,19117
-0.999,0.117,0.607,0.275,3.1,88.13,4.09,29,631,496,58,11,2Pac Featuring Trick Daddy,Still Ballin,19118
0.9048,0.115,0.795,0.09,1.2,98.51,3.16,31,589,504,75,22,Madonna,American Life,19119
-0.9992,0.06,0.688,0.252,4.5,79.16,4.46,51,1090,777,85,32,Bone Crusher Featuring Killer Mike & T.I.,Never Scared,19120
0.9865,0.157,0.766,0.077,1.3,98.11,3.36,24,653,536,75,20,Christina Aguilera,Fighter,19121
0.9873,0.134,0.797,0.069,2.1,96.08,4.16,32,665,539,59,6,Nelly,Pimp Juice,19122
-0.9125,0.106,0.77,0.123,2.4,95.37,4.38,14,513,433,44,17,Frankie J,Don't Wanna Try,19123
-0.9367,0.084,0.77,0.146,-0.6,108.29,2.29,12,326,298,55,2,Reina,No One's Gonna Change You,19124
0.975,0.091,0.874,0.034,1.4,97.91,3.27,42,653,567,78,19,Panjabi MC Featuring Jay-Z,Beware Of The Boys (Mundian To Bach Ke),19125
-0.9024,0.038,0.83,0.132,1.3,98.11,3.78,10,198,171,24,10,Godsmack,Straight Out Of Line,19126
0.9972,0.232,0.737,0.031,1.7,97.2,3.2,8,412,353,44,15,Lonestar,My Front Porch Looking In,19127
0.9485,0.089,0.844,0.067,0.7,105.05,3.6,33,825,748,87,18,Joe Budden,Pump It Up,19128
-0.7906,0.122,0.727,0.151,-0.6,108.19,2.37,8,265,232,42,12,R. Kelly,Soldier's Heart,19129
-0.9963,0.062,0.579,0.359,0.6,100.14,2.04,2,197,163,32,31,Cold,Stupid Girl,19130
