sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
-0.374,0.128,0.755,0.117,0.8,99.63,3.31,19,364,298,53,12,Mike + The Mechanics,The Living Years,14571
0.9985,0.306,0.673,0.021,1.8,96.89,4.03,15,325,282,34,5,Milli Vanilli,Girl You Know It's True,14572
0.9994,0.275,0.716,0.01,0.5,105.55,3.39,13,602,526,65,37,Bobby Brown,Roni,14573
0.98,0.142,0.821,0.037,-0.3,107.38,2.52,7,289,264,42,11,Ratt,Way Cool Jr.,14574
0.9924,0.233,0.718,0.05,-0.3,107.38,3.1,8,237,208,33,12,House Of Lords,I Wanna Be Loved,14575
0.6542,0.093,0.862,0.045,0.8,99.53,2.9,6,154,130,23,4,Vanessa Williams,Dreamin',14576
0.9982,0.189,0.74,0.071,0.6,105.35,3.54,15,629,551,66,40,Guns N' Roses,Paradise City,14577
0.999,0.263,0.722,0.015,1.4,97.91,3.31,15,474,410,56,19,Eddie Money,The Love In Your Eyes,14578
0.9762,0.212,0.746,0.042,1.4,97.91,3.7,7,182,153,21,8,Breathe,Don't Tell Me Lies,14579
0.987,0.121,0.849,0.029,2.1,96.18,3.93,14,437,359,40,19,KISS,Let's Put The X In Sex,14580
0.2206,0.121,0.744,0.136,-0.5,108.09,2.44,7,221,200,36,13,Debbie Gibson,Lost In Your Eyes,14581
0.9993,0.317,0.66,0.022,2.6,89.45,3.55,18,479,381,52,12,Anita Baker,Just Because,14582
0.8384,0.174,0.708,0.118,0.2,106.57,3.37,9,258,227,32,7,Chicago,You're Not Alone,14583
-0.5305,0.021,0.939,0.04,1.5,97.7,3.67,9,207,179,24,4,Huey Lewis & The News,Give Me The Keys (And I'll Drive You Crazy),14584
0.9571,0.135,0.853,0.012,1.1,98.82,2.56,1,204,173,27,14,Roy Orbison,You Got It,14585
0.9627,0.17,0.706,0.124,1.7,97.09,3.79,10,351,293,36,11,Marc Almond,Tears Run Rings,14586
-0.7003,0.013,0.973,0.015,-0.4,107.89,2.41,11,474,429,74,55,Enya,Orinoco Flow (Sail Away),14587
0.9408,0.094,0.879,0.027,0.8,104.94,3.92,6,205,183,21,5,Survivor,Across The Miles,14588
0.9905,0.131,0.851,0.018,1.5,97.6,3.38,8,416,351,46,20,Cinderella,The Last Mile,14589
0.1027,0.018,0.966,0.016,0.9,99.33,2.36,4,379,329,56,39,R.E.M.,Stand,14590
0.9951,0.175,0.802,0.022,1.5,97.8,3.65,19,415,347,47,9,'Til Tuesday,(Believed You Were) Lucky,14591
0.9785,0.116,0.849,0.036,0.5,105.66,3.32,15,385,335,42,10,Luther Vandross,She Won't Talk To Me,14592
-0.9951,0.009,0.889,0.102,2.2,90.46,2.9,20,696,532,84,57,Was (Not Was),Walk The Dinosaur,14593
0.999,0.471,0.521,0.008,0.6,100.14,2.26,6,209,180,35,6,Van Halen,Feels So Good,14594
0.9926,0.294,0.582,0.123,0.6,99.94,2.87,14,195,160,30,3,Boy Meets Girl,Bring Down The Moon,14595
-0.2176,0.067,0.867,0.066,1.2,103.93,4.42,11,247,223,23,7,Vixen,Cryin',14596
0.9987,0.232,0.686,0.083,2.6,94.76,4.54,19,628,521,50,13,Karyn White,Superwoman,14597
0.99,0.107,0.849,0.044,1.6,97.4,3.41,18,647,554,71,24,Pet Shop Boys,Left To My Own Devices,14598
0.1371,0.084,0.835,0.081,1.8,96.79,3.84,7,195,168,20,2,Giant Steps,Into You,14599
-0.9878,0.106,0.584,0.31,-0.8,108.8,1.96,2,184,168,34,17,Fine Young Cannibals,She Drives Me Crazy,14600
0.9757,0.182,0.717,0.101,0.7,99.73,2.2,5,308,257,47,29,The Bangles,Eternal Flame,14601
0.7496,0.106,0.85,0.044,0.5,100.24,2.0,5,161,136,27,2,SaFire,Thinking Of You,14602
0.9957,0.246,0.735,0.019,0.4,106.06,3.36,4,284,252,33,11,Kenny Loggins,Tell Her,14603
0.9911,0.266,0.734,0.0,-0.5,108.09,2.52,2,157,141,25,2,Dino,24/7,14604
0.99,0.189,0.79,0.021,1.4,97.91,3.48,10,246,213,29,6,Will To Power,Fading Away,14605
0.9949,0.298,0.634,0.068,0.6,100.04,2.58,8,191,161,31,14,Kenny G,We've Saved The Best For Last,14606
0.9582,0.116,0.816,0.067,2.1,96.18,3.73,3,344,298,33,10,"Crosby, Stills, Nash & Young",Got It Made,14607
0.9239,0.065,0.902,0.032,-0.8,108.7,2.26,11,493,455,91,59,Roxette,The Look,14608
-0.8981,0.111,0.764,0.125,2.2,95.88,4.38,44,590,486,52,0,Thirty Eight Special,Second Chance,14609
0.9899,0.164,0.819,0.017,-0.4,107.79,2.67,5,290,261,44,17,New Edition,Can You Stand The Rain,14610
0.9966,0.256,0.722,0.021,1.1,104.03,4.12,6,325,289,30,3,Traveling Wilburys,End Of The Line,14611
0.8676,0.127,0.784,0.089,-0.3,107.48,2.62,7,332,296,48,12,Tommy Page,A Shoulder To Cry On,14612
0.9439,0.216,0.643,0.141,0.7,99.83,2.84,11,214,177,33,8,Tracie Spencer,Imagine,14613
-0.7777,0.042,0.9,0.058,1.3,103.73,3.96,5,334,297,30,10,Poison,Your Mama Don't Dance,14614
-0.6826,0.183,0.632,0.185,1.1,98.82,3.15,9,241,205,32,3,Metallica,One,14615
0.9495,0.153,0.778,0.069,2.3,95.57,4.05,9,233,191,20,3,Animotion,Room To Move,14616
0.9072,0.134,0.793,0.073,1.2,98.51,2.87,7,258,214,32,1,Cheap Trick,Never Had A Lot To Lose,14617
0.9179,0.103,0.829,0.068,1.3,98.21,3.0,12,476,394,56,20,Love And Money,Halleluiah Man,14618
0.9978,0.306,0.594,0.1,2.0,96.38,3.68,7,301,256,29,10,When In Rome,Heaven Knows,14619
0.9994,0.329,0.654,0.016,0.5,100.24,2.0,10,508,434,87,56,Stevie B,I Wanna Be The One,14620
1.0,0.1,0.837,0.063,13.3,56.22,15.28,2803,19856,14639,462,0,Deon Estus With George Michael,Heaven Help Me,14621
0.9953,0.38,0.62,0.0,2.0,91.07,2.65,5,138,108,19,6,Simply Red,It's Only Love,14622
0.9944,0.227,0.749,0.024,1.1,98.82,2.89,5,292,244,38,9,Winger,Seventeen,14623
