sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.6984,0.109,0.785,0.106,2.6,94.86,4.39,39,1072,898,87,7,Eminem,Mockingbird,19628
0.8722,0.098,0.862,0.041,0.6,100.04,3.02,11,256,212,41,18,Big & Rich,Holy Water,19629
0.9923,0.133,0.852,0.015,1.8,96.79,3.45,6,542,451,54,20,Teena Marie Featuring Gerald Levert,A Rose By Any Other Name,19630
-0.9944,0.107,0.724,0.168,2.2,95.77,4.2,41,856,723,77,16,2Pac Featuring Nate Dogg,Thugs Get Lonely Too,19631
0.9549,0.114,0.816,0.07,0.9,99.12,3.1,13,419,364,60,14,John Legend,Ordinary People,19632
0.986,0.19,0.736,0.074,1.3,98.21,2.95,9,321,272,39,13,Maroon 5,Sunday Morning,19633
0.9938,0.126,0.856,0.017,0.3,106.26,3.03,23,629,572,77,20,Snoop Dogg,Let's Get Blown,19634
-0.2755,0.068,0.855,0.077,1.2,98.41,3.17,14,439,356,52,19,Akon,Ghetto,19635
-0.9982,0.061,0.741,0.198,1.7,97.09,3.7,34,725,606,75,13,"The Alchemist Featuring Prodigy, Illa Ghee & Nina Sky",Hold You Down,19636
0.9493,0.134,0.866,0.0,1.1,98.82,2.85,2,161,140,22,7,Daryl Hall John Oates,I'll Be Around,19637
0.9643,0.081,0.895,0.024,0.7,105.05,3.63,11,456,412,48,18,Jennifer Lopez,Get Right,19638
-0.374,0.088,0.824,0.088,-0.5,108.09,2.31,19,613,563,101,39,Omarion,O,19639
0.9601,0.148,0.756,0.096,1.1,98.62,2.87,12,404,349,53,19,Josh Gracin,Nothin' To Lose,19640
0.9951,0.176,0.762,0.062,0.1,106.77,3.12,12,480,439,64,30,Fantasia,Truth Is,19641
-0.9941,0.029,0.884,0.088,2.8,94.25,4.55,42,972,830,76,27,T.I.,U Don't Know Me,19642
0.9795,0.099,0.875,0.026,0.7,105.25,3.46,16,472,419,50,0,Fabolous Featuring Mike Shorey,Baby,19643
0.9432,0.169,0.694,0.136,1.0,99.02,2.94,20,526,431,70,45,Mariah Carey,It's Like That,19644
0.9983,0.278,0.602,0.12,1.1,98.82,3.02,19,525,437,68,20,Frankie J Featuring Baby Bash,Obsession (No Es Amor),19645
-0.9984,0.088,0.744,0.169,2.5,95.06,5.04,61,1051,882,87,15,Eminem,Like Toy Soldiers,19646
0.4019,0.16,0.691,0.149,0.0,106.87,2.72,1,222,196,29,18,Jet,Look What You've Done,19647
-0.971,0.105,0.684,0.211,1.3,98.11,4.05,10,238,198,28,4,Lee Ann Womack,I May Hate Myself In The Morning,19648
0.996,0.259,0.698,0.043,0.2,106.47,3.05,6,262,229,32,10,Billy Dean,Let Them Be Little,19649
0.9823,0.101,0.865,0.033,0.7,105.25,3.57,18,651,569,68,23,50 Cent Featuring Olivia,Candy Shop,19650
0.9996,0.279,0.648,0.072,2.2,95.98,4.08,40,929,799,87,8,Twista Featuring Faith Evans,Hope,19651
-0.969,0.104,0.776,0.12,4.5,79.06,4.44,29,712,523,57,14,Nelly,N Dey Say,19652
0.9982,0.252,0.704,0.044,0.3,106.26,2.96,2,331,311,42,16,3 Doors Down,Let Me Go,19653
0.993,0.225,0.713,0.062,1.3,98.21,3.48,19,285,237,34,4,Craig Morgan,That's What I Love About Sunday,19654
0.995,0.29,0.597,0.113,1.4,98.01,3.17,9,335,274,38,31,Montgomery Gentry,Gone,19655
0.587,0.14,0.735,0.125,2.2,95.98,3.96,14,349,285,31,17,The Killers,Mr. Brightside,19656
-0.9031,0.089,0.794,0.117,1.4,98.01,3.12,18,412,332,46,10,Good Charlotte,I Just Wanna Live,19657
-0.8408,0.064,0.833,0.103,0.3,106.26,3.18,12,410,361,49,17,Papa Roach,Scars,19658
-0.8053,0.022,0.926,0.053,1.5,97.8,2.96,7,316,266,36,17,Keane,Somewhere Only We Know,19659
-0.0387,0.115,0.741,0.144,0.8,99.53,2.52,5,192,164,29,6,Howie Day,Collide,19660
0.9354,0.109,0.799,0.092,0.0,106.87,2.8,11,588,513,75,39,Natalie,Goin' Crazy,19661
0.987,0.202,0.765,0.033,1.6,97.4,3.3,9,258,217,28,6,Brooks & Dunn,It's Getting Better All The Time,19662
0.9874,0.126,0.854,0.019,2.7,94.56,4.49,11,371,319,30,8,Kenny Chesney,Anything But Mine,19663
-0.9931,0.102,0.733,0.165,2.2,95.88,4.21,42,764,653,70,20,The Game Featuring 50 Cent,Hate It Or Love It,19664
-0.9398,0.083,0.724,0.193,-0.4,107.79,2.55,5,235,212,36,9,My Chemical Romance,I'm Not Okay (I Promise),19665
0.5911,0.11,0.808,0.083,3.6,81.39,2.76,3,190,138,20,6,Queens Of The Stone Age,Little Sister,19666
0.9925,0.218,0.763,0.019,1.8,96.99,3.66,11,244,212,26,5,Andy Griggs,If Heaven,19667
0.9301,0.071,0.919,0.011,1.9,96.69,3.4,3,283,246,29,12,Lifehouse,You And Me,19668
-0.9947,0.078,0.653,0.269,0.8,99.53,2.48,4,238,205,36,16,Jimmy Eat World,Pain,19669
-0.9211,0.092,0.742,0.166,0.7,105.05,3.76,2,281,249,29,16,Three Days Grace,Home,19670
0.9287,0.091,0.872,0.036,-0.3,107.48,2.59,7,404,371,60,31,Ashlee Simpson,La La,19671
0.9913,0.131,0.858,0.011,1.5,97.8,2.96,9,402,326,44,21,Fantasia,Baby Mama,19672
0.9617,0.063,0.922,0.015,0.2,106.47,3.03,16,612,549,76,41,Amerie,1 Thing,19673
0.9948,0.186,0.746,0.068,1.6,97.4,3.23,7,429,372,48,19,Rob Thomas,Lonely No More,19674
0.9811,0.118,0.814,0.068,0.5,105.55,3.7,27,596,519,64,29,Snoop Dogg Featuring Charlie Wilson & Justin Timberlake,Signs,19675
-0.0656,0.109,0.765,0.126,2.4,90.05,3.38,14,290,229,34,9,Jo Dee Messina,My Give A Damn's Busted,19676
-0.9623,0.109,0.753,0.138,2.6,89.45,3.54,83,832,644,88,18,Cam'Ron Featuring Kanye West & Syleena Johnson,Down And Out,19677
0.9557,0.119,0.823,0.057,1.5,97.7,3.13,8,356,309,41,13,Bowling For Soup,Almost,19678
0.2596,0.052,0.889,0.059,0.6,100.04,2.08,10,309,265,51,13,Ben Folds,Landed,19679
0.9983,0.208,0.774,0.018,0.8,99.53,2.57,12,492,418,73,39,Jamie O'Neal,Trying To Find Atlantis,19680
-0.5466,0.028,0.923,0.049,3.4,81.9,3.25,14,244,174,27,6,The Postal Service,We Will Become Silhouettes,19681
-0.9987,0.039,0.719,0.243,1.1,98.62,2.64,8,588,474,72,35,Akon,Lonely,19682
0.9709,0.119,0.845,0.037,2.4,95.37,5.18,24,345,285,29,4,Toby Keith,Honkytonk U,19683
-0.999,0.057,0.708,0.235,-0.8,114.22,3.24,8,520,499,63,24,Ying Yang Twins,Wait (The Whisper Song),19684
-0.9514,0.079,0.778,0.143,1.8,96.99,3.28,6,265,230,28,12,Caesars,Jerk It Out,19685
0.9894,0.187,0.781,0.032,2.7,89.14,3.64,19,336,265,35,3,Baby Bash Featuring Akon,Baby I'm Back,19686
0.9871,0.148,0.827,0.024,1.4,103.22,4.29,12,346,302,29,13,Joe Nichols,What's A Guy Gotta Do,19687
0.9987,0.12,0.806,0.074,6.7,57.13,4.01,329,3072,1777,308,0,Various Artists,Across The Universe,19688
0.9929,0.152,0.804,0.045,2.8,88.94,3.61,46,713,569,73,13,Ludacris,Number One Spot,19689
-0.8023,0.132,0.732,0.136,2.3,90.26,3.23,13,315,252,39,5,Jack Johnson,"Sitting, Waiting, Wishing",19690
0.9607,0.066,0.907,0.027,0.1,106.77,3.06,21,589,537,78,38,Will Smith,Switch,19691
0.9995,0.326,0.663,0.011,1.5,97.8,3.22,18,542,457,62,35,Bobby Valentino,Slow Down,19692
0.997,0.156,0.81,0.033,2.0,96.48,3.56,16,576,495,57,30,R. Kelly,In The Kitchen,19693
-0.993,0.06,0.787,0.153,1.6,97.4,3.61,15,474,411,53,15,Brooke Valentine Featuring Lil Jon & Big Boi,Girlfight,19694
0.9725,0.125,0.81,0.064,1.7,97.09,3.44,26,483,407,50,0,112 Featuring Foxy Brown,U Already Know,19695
0.8881,0.077,0.883,0.04,-0.8,108.8,2.19,5,390,353,72,30,Simple Plan,Shut Up,19696
0.9632,0.17,0.711,0.118,1.1,98.82,2.94,18,389,319,50,13,Martina McBride,God's Will,19697
-0.6362,0.036,0.915,0.049,0.9,104.74,3.91,37,903,797,90,31,Mike Jones Featuring Slim Thug & Paul Wall,Still Tippin',19698
0.9572,0.086,0.869,0.045,1.6,97.4,3.66,23,722,595,76,26,Jennifer Lopez Featuring Fat Joe,Hold You Down,19699
0.9979,0.179,0.766,0.055,2.4,95.37,4.11,29,1008,844,86,38,Cassidy,I'm A Hustla,19700
-0.9593,0.07,0.785,0.145,2.4,95.37,4.26,6,278,234,24,4,Blaine Larsen,How Do You Get That Lonely,19701
-0.9388,0.027,0.906,0.067,1.1,104.03,3.93,9,502,443,46,15,Mario,How Could You,19702
-0.9837,0.056,0.743,0.201,1.1,98.72,2.81,6,227,194,30,8,The Mars Volta,The Widow,19703
-0.5803,0.038,0.904,0.058,1.5,97.8,3.04,35,579,487,66,13,Ciara Featuring Ludacris,Oh,19704
-0.9671,0.049,0.831,0.119,0.4,106.06,3.19,15,298,272,36,15,Beck,E-Pro,19705
0.9093,0.081,0.867,0.052,1.0,104.44,3.86,17,734,669,73,24,50 Cent,Just A Lil Bit,19706
