Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,15,asymmetric,0.01,0.3386192593275394
75% Corpus,15,asymmetric,0.31,0.4073455629194475
75% Corpus,15,asymmetric,0.61,0.47175072361908726
75% Corpus,15,asymmetric,0.9099999999999999,0.3828979625684459
75% Corpus,15,asymmetric,symmetric,0.34698117582783594
75% Corpus,18,0.01,0.01,0.34729135600201233
75% Corpus,18,0.01,0.31,0.4363858508000011
75% Corpus,18,0.01,0.61,0.44747419662113486
75% Corpus,18,0.01,0.9099999999999999,0.38303174264805107
75% Corpus,18,0.01,symmetric,0.337120490627457
75% Corpus,18,0.31,0.01,0.33605511093524526
75% Corpus,18,0.31,0.31,0.37389446362578066
75% Corpus,18,0.31,0.61,0.46786473643733206
75% Corpus,18,0.31,0.9099999999999999,0.441853150441909
75% Corpus,18,0.31,symmetric,0.33568709456653445
75% Corpus,18,0.61,0.01,0.3404678196102744
75% Corpus,18,0.61,0.31,0.35400309927247586
75% Corpus,18,0.61,0.61,0.41868107392525317
75% Corpus,18,0.61,0.9099999999999999,0.4189684882980989
75% Corpus,18,0.61,symmetric,0.33834067340445145
75% Corpus,18,0.9099999999999999,0.01,0.34077825936044337
75% Corpus,18,0.9099999999999999,0.31,0.3412519441098049
75% Corpus,18,0.9099999999999999,0.61,0.3943351301564974
75% Corpus,18,0.9099999999999999,0.9099999999999999,0.47799986499002745
75% Corpus,18,0.9099999999999999,symmetric,0.3440001928646639
75% Corpus,18,symmetric,0.01,0.3437729688823089
75% Corpus,18,symmetric,0.31,0.422656352488334
75% Corpus,18,symmetric,0.61,0.4620369788257561
75% Corpus,18,symmetric,0.9099999999999999,0.3841690008484811
75% Corpus,18,symmetric,symmetric,0.3382341227205345
75% Corpus,18,asymmetric,0.01,0.34141698284897015
75% Corpus,18,asymmetric,0.31,0.4232467381934803
75% Corpus,18,asymmetric,0.61,0.44447734242219866
75% Corpus,18,asymmetric,0.9099999999999999,0.378560786614313
75% Corpus,18,asymmetric,symmetric,0.33501351002448365
75% Corpus,21,0.01,0.01,0.34174586953948544
75% Corpus,21,0.01,0.31,0.42722834976544083
75% Corpus,21,0.01,0.61,0.4640335896712459
75% Corpus,21,0.01,0.9099999999999999,0.3697067820583107
75% Corpus,21,0.01,symmetric,0.33335797813707846
75% Corpus,21,0.31,0.01,0.3409814864994445
75% Corpus,21,0.31,0.31,0.38313869177527576
75% Corpus,21,0.31,0.61,0.461460114121618
75% Corpus,21,0.31,0.9099999999999999,0.39413198197135657
75% Corpus,21,0.31,symmetric,0.3331859546921826
75% Corpus,21,0.61,0.01,0.33354548690796504
75% Corpus,21,0.61,0.31,0.3352424083108533
75% Corpus,21,0.61,0.61,0.4098959027247069
75% Corpus,21,0.61,0.9099999999999999,0.47707302819844494
75% Corpus,21,0.61,symmetric,0.3413623024750687
75% Corpus,21,0.9099999999999999,0.01,0.3369509120807181
75% Corpus,21,0.9099999999999999,0.31,0.34702235654295754
75% Corpus,21,0.9099999999999999,0.61,0.4121271670030807
75% Corpus,21,0.9099999999999999,0.9099999999999999,0.41539067698040305
75% Corpus,21,0.9099999999999999,symmetric,0.33827196161797035
75% Corpus,21,symmetric,0.01,0.3408425128501423
75% Corpus,21,symmetric,0.31,0.4335928759719832
75% Corpus,21,symmetric,0.61,0.4422428317141352
75% Corpus,21,symmetric,0.9099999999999999,0.40972083831521455
75% Corpus,21,symmetric,symmetric,0.33572451655752406
75% Corpus,21,asymmetric,0.01,0.3417158486792818
75% Corpus,21,asymmetric,0.31,0.40858555986051215
75% Corpus,21,asymmetric,0.61,0.4098337998692473
75% Corpus,21,asymmetric,0.9099999999999999,0.4577007321540472
75% Corpus,21,asymmetric,symmetric,0.3373653149378151
75% Corpus,24,0.01,0.01,0.3278602654619888
75% Corpus,24,0.01,0.31,0.4213094505919434
75% Corpus,24,0.01,0.61,0.389293125560705
75% Corpus,24,0.01,0.9099999999999999,0.4399811029361999
75% Corpus,24,0.01,symmetric,0.32205609602370605
75% Corpus,24,0.31,0.01,0.34656785393185546
75% Corpus,24,0.31,0.31,0.38965141474966947
75% Corpus,24,0.31,0.61,0.464500247206987
75% Corpus,24,0.31,0.9099999999999999,0.40463780931540966
75% Corpus,24,0.31,symmetric,0.33127259547620236
75% Corpus,24,0.61,0.01,0.33001414451093863
75% Corpus,24,0.61,0.31,0.35646882334663416
75% Corpus,24,0.61,0.61,0.42944978820324425
75% Corpus,24,0.61,0.9099999999999999,0.48647414697607855
75% Corpus,24,0.61,symmetric,0.33489536959668526
75% Corpus,24,0.9099999999999999,0.01,0.3352019531331292
75% Corpus,24,0.9099999999999999,0.31,0.3472121567727687
75% Corpus,24,0.9099999999999999,0.61,0.40076090914578977
75% Corpus,24,0.9099999999999999,0.9099999999999999,0.4961051949513949
75% Corpus,24,0.9099999999999999,symmetric,0.3309990890655532
75% Corpus,24,symmetric,0.01,0.34479911754530485
75% Corpus,24,symmetric,0.31,0.4131823886568064
75% Corpus,24,symmetric,0.61,0.41012167841185615
75% Corpus,24,symmetric,0.9099999999999999,0.38206672900058675
75% Corpus,24,symmetric,symmetric,0.33432439991842444
75% Corpus,24,asymmetric,0.01,0.34059419256614715
75% Corpus,24,asymmetric,0.31,0.4417480660531771
75% Corpus,24,asymmetric,0.61,0.38236335861094445
75% Corpus,24,asymmetric,0.9099999999999999,0.3892393041006425
75% Corpus,24,asymmetric,symmetric,0.3397721925043335
75% Corpus,27,0.01,0.01,0.3364535435566369
75% Corpus,27,0.01,0.31,0.4222589556876347
75% Corpus,27,0.01,0.61,0.40376344540808845
75% Corpus,27,0.01,0.9099999999999999,0.43809663684701095
75% Corpus,27,0.01,symmetric,0.32618972024286325
75% Corpus,27,0.31,0.01,0.32261434927559124
75% Corpus,27,0.31,0.31,0.3902522511419343
75% Corpus,27,0.31,0.61,0.433209429771516
75% Corpus,27,0.31,0.9099999999999999,0.366912620977313
75% Corpus,27,0.31,symmetric,0.32254596998088797
75% Corpus,27,0.61,0.01,0.31452022233028376
75% Corpus,27,0.61,0.31,0.3568670852627727
75% Corpus,27,0.61,0.61,0.4066101929312366
75% Corpus,27,0.61,0.9099999999999999,0.43431719236716854
75% Corpus,27,0.61,symmetric,0.3239781262880797
75% Corpus,27,0.9099999999999999,0.01,0.33311730618008656
75% Corpus,27,0.9099999999999999,0.31,0.3530807891991089
75% Corpus,27,0.9099999999999999,0.61,0.4004715856190356
75% Corpus,27,0.9099999999999999,0.9099999999999999,0.5030120628858191
75% Corpus,27,0.9099999999999999,symmetric,0.3267951893136056
75% Corpus,27,symmetric,0.01,0.3306342206955235
75% Corpus,27,symmetric,0.31,0.4400800693886887
75% Corpus,27,symmetric,0.61,0.41228488548952796
75% Corpus,27,symmetric,0.9099999999999999,0.4180702487620242
75% Corpus,27,symmetric,symmetric,0.32592157155805607
75% Corpus,27,asymmetric,0.01,0.33654444215786294
75% Corpus,27,asymmetric,0.31,0.4476449123008822
75% Corpus,27,asymmetric,0.61,0.4002896176523026
75% Corpus,27,asymmetric,0.9099999999999999,0.4315927216629359
75% Corpus,27,asymmetric,symmetric,0.3297638228697647
100% Corpus,3,0.01,0.01,0.3581057813173842
100% Corpus,3,0.01,0.31,0.36149080545780105
100% Corpus,3,0.01,0.61,0.3603267869844107
100% Corpus,3,0.01,0.9099999999999999,0.36316082110431935
100% Corpus,3,0.01,symmetric,0.36309656241220295
100% Corpus,3,0.31,0.01,0.35527668439051263
100% Corpus,3,0.31,0.31,0.3634703397847658
100% Corpus,3,0.31,0.61,0.3605359404342013
100% Corpus,3,0.31,0.9099999999999999,0.3645372592188066
100% Corpus,3,0.31,symmetric,0.3620487434374486
100% Corpus,3,0.61,0.01,0.35722728817770993
100% Corpus,3,0.61,0.31,0.36843491159439745
100% Corpus,3,0.61,0.61,0.36470162243071247
100% Corpus,3,0.61,0.9099999999999999,0.3613189678733575
100% Corpus,3,0.61,symmetric,0.3677345025251986
100% Corpus,3,0.9099999999999999,0.01,0.34800126174131657
100% Corpus,3,0.9099999999999999,0.31,0.36740480712205953
100% Corpus,3,0.9099999999999999,0.61,0.3681053194383109
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.365421564552014
100% Corpus,3,0.9099999999999999,symmetric,0.3665693519841399
100% Corpus,3,symmetric,0.01,0.366566017134995
100% Corpus,3,symmetric,0.31,0.36372828784951755
100% Corpus,3,symmetric,0.61,0.3605359404342013
100% Corpus,3,symmetric,0.9099999999999999,0.3618506727490807
100% Corpus,3,symmetric,symmetric,0.3630989237132963
100% Corpus,3,asymmetric,0.01,0.3562866031556943
100% Corpus,3,asymmetric,0.31,0.35643525007259313
100% Corpus,3,asymmetric,0.61,0.3584510136848919
100% Corpus,3,asymmetric,0.9099999999999999,0.3576261198855028
100% Corpus,3,asymmetric,symmetric,0.3500650588097323
100% Corpus,6,0.01,0.01,0.35246169850530906
100% Corpus,6,0.01,0.31,0.37109227016203833
100% Corpus,6,0.01,0.61,0.35905401555425254
100% Corpus,6,0.01,0.9099999999999999,0.3871502716260804
100% Corpus,6,0.01,symmetric,0.356661568228739
100% Corpus,6,0.31,0.01,0.35630453244010835
100% Corpus,6,0.31,0.31,0.36104444573817546
100% Corpus,6,0.31,0.61,0.3689336715099003
100% Corpus,6,0.31,0.9099999999999999,0.3679047225030411
100% Corpus,6,0.31,symmetric,0.3565222771533955
100% Corpus,6,0.61,0.01,0.35218777186577066
100% Corpus,6,0.61,0.31,0.35703452398793717
100% Corpus,6,0.61,0.61,0.3711179366632664
100% Corpus,6,0.61,0.9099999999999999,0.3675214491463976
100% Corpus,6,0.61,symmetric,0.3518132468072687
100% Corpus,6,0.9099999999999999,0.01,0.3528592489047915
100% Corpus,6,0.9099999999999999,0.31,0.3590136892955536
100% Corpus,6,0.9099999999999999,0.61,0.3543376806108383
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.36125622192080326
100% Corpus,6,0.9099999999999999,symmetric,0.35124567570857274
100% Corpus,6,symmetric,0.01,0.3535051876219786
100% Corpus,6,symmetric,0.31,0.3638836683587188
100% Corpus,6,symmetric,0.61,0.3776772443434478
100% Corpus,6,symmetric,0.9099999999999999,0.3829511920725737
100% Corpus,6,symmetric,symmetric,0.3636851777832142
100% Corpus,6,asymmetric,0.01,0.35816184625226394
100% Corpus,6,asymmetric,0.31,0.3513046996337897
100% Corpus,6,asymmetric,0.61,0.36912467499437723
100% Corpus,6,asymmetric,0.9099999999999999,0.3635093823608224
100% Corpus,6,asymmetric,symmetric,0.3498533381676922
100% Corpus,9,0.01,0.01,0.3488451502862087
100% Corpus,9,0.01,0.31,0.36568334614898435
100% Corpus,9,0.01,0.61,0.41112186460307854
100% Corpus,9,0.01,0.9099999999999999,0.44581379822291467
100% Corpus,9,0.01,symmetric,0.350020285692598
100% Corpus,9,0.31,0.01,0.351114911535393
100% Corpus,9,0.31,0.31,0.3541458625347693
100% Corpus,9,0.31,0.61,0.36715950617538834
100% Corpus,9,0.31,0.9099999999999999,0.4295070086208328
100% Corpus,9,0.31,symmetric,0.34746418512525723
100% Corpus,9,0.61,0.01,0.3575124351373009
100% Corpus,9,0.61,0.31,0.3505027168984837
100% Corpus,9,0.61,0.61,0.3413657881273198
100% Corpus,9,0.61,0.9099999999999999,0.37753062156781325
100% Corpus,9,0.61,symmetric,0.35314041296671683
100% Corpus,9,0.9099999999999999,0.01,0.3606972767953056
100% Corpus,9,0.9099999999999999,0.31,0.35836399949787623
100% Corpus,9,0.9099999999999999,0.61,0.34890805163290767
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.3613424843412652
100% Corpus,9,0.9099999999999999,symmetric,0.3605623243680933
100% Corpus,9,symmetric,0.01,0.3480004722596855
100% Corpus,9,symmetric,0.31,0.36531768208685855
100% Corpus,9,symmetric,0.61,0.4149863078537448
100% Corpus,9,symmetric,0.9099999999999999,0.4150097129079218
100% Corpus,9,symmetric,symmetric,0.351929042824788
100% Corpus,9,asymmetric,0.01,0.3562718169678429
100% Corpus,9,asymmetric,0.31,0.3588519979423861
100% Corpus,9,asymmetric,0.61,0.3683838152480053
100% Corpus,9,asymmetric,0.9099999999999999,0.4548967903266191
100% Corpus,9,asymmetric,symmetric,0.34526801364726134
100% Corpus,12,0.01,0.01,0.3480867857707873
100% Corpus,12,0.01,0.31,0.35136397774581374
100% Corpus,12,0.01,0.61,0.412653564031858
100% Corpus,12,0.01,0.9099999999999999,0.45583475450592914
100% Corpus,12,0.01,symmetric,0.354363075366982
100% Corpus,12,0.31,0.01,0.34792303788763296
100% Corpus,12,0.31,0.31,0.34199498719098576
100% Corpus,12,0.31,0.61,0.38354194899515565
100% Corpus,12,0.31,0.9099999999999999,0.4022819763669436
100% Corpus,12,0.31,symmetric,0.3591390746720009
100% Corpus,12,0.61,0.01,0.3461603446283163
100% Corpus,12,0.61,0.31,0.3463735356106497
100% Corpus,12,0.61,0.61,0.34390602257295394
100% Corpus,12,0.61,0.9099999999999999,0.4018243500050604
100% Corpus,12,0.61,symmetric,0.3453115037185712
100% Corpus,12,0.9099999999999999,0.01,0.35481910834911234
100% Corpus,12,0.9099999999999999,0.31,0.3525896782172584
100% Corpus,12,0.9099999999999999,0.61,0.3355753475126648
100% Corpus,12,0.9099999999999999,0.9099999999999999,0.3729859309938488
100% Corpus,12,0.9099999999999999,symmetric,0.3544836491478587
100% Corpus,12,symmetric,0.01,0.3458002924377801
100% Corpus,12,symmetric,0.31,0.3561775090880434
100% Corpus,12,symmetric,0.61,0.4217756464004421
100% Corpus,12,symmetric,0.9099999999999999,0.40334928226067124
100% Corpus,12,symmetric,symmetric,0.35512432171766156
100% Corpus,12,asymmetric,0.01,0.3490982680031531
100% Corpus,12,asymmetric,0.31,0.34534157799182846
100% Corpus,12,asymmetric,0.61,0.42060667949532227
100% Corpus,12,asymmetric,0.9099999999999999,0.43936957525800224
100% Corpus,12,asymmetric,symmetric,0.358625132469181
100% Corpus,15,0.01,0.01,0.3502572877520527
100% Corpus,15,0.01,0.31,0.3704775624436187
100% Corpus,15,0.01,0.61,0.43123665340524175
100% Corpus,15,0.01,0.9099999999999999,0.4437212370721689
100% Corpus,15,0.01,symmetric,0.35103973530805865
100% Corpus,15,0.31,0.01,0.3537850043579395
100% Corpus,15,0.31,0.31,0.35966260469722333
100% Corpus,15,0.31,0.61,0.4081774506170159
100% Corpus,15,0.31,0.9099999999999999,0.4512784818868025
100% Corpus,15,0.31,symmetric,0.3436279903540538
100% Corpus,15,0.61,0.01,0.3489570685052706
100% Corpus,15,0.61,0.31,0.3438922796919078
100% Corpus,15,0.61,0.61,0.3724982742325746
100% Corpus,15,0.61,0.9099999999999999,0.4202395101090959
100% Corpus,15,0.61,symmetric,0.34917306754474686
100% Corpus,15,0.9099999999999999,0.01,0.34812965661432954
100% Corpus,15,0.9099999999999999,0.31,0.34942196946376164
100% Corpus,15,0.9099999999999999,0.61,0.3470237276659424
100% Corpus,15,0.9099999999999999,0.9099999999999999,0.4055479294945828
100% Corpus,15,0.9099999999999999,symmetric,0.3518625102895392
100% Corpus,15,symmetric,0.01,0.3458550408158122
100% Corpus,15,symmetric,0.31,0.36646373922686415
100% Corpus,15,symmetric,0.61,0.4237075586759699
100% Corpus,15,symmetric,0.9099999999999999,0.44293749187457443
100% Corpus,15,symmetric,symmetric,0.34794371152456616
100% Corpus,15,asymmetric,0.01,0.3564978278542149
100% Corpus,15,asymmetric,0.31,0.34582974208752226
100% Corpus,15,asymmetric,0.61,0.44100449863235375
100% Corpus,15,asymmetric,0.9099999999999999,0.4310183108934531
100% Corpus,15,asymmetric,symmetric,0.35264104685786496
100% Corpus,18,0.01,0.01,0.3463871026339852
100% Corpus,18,0.01,0.31,0.37513831244297335
100% Corpus,18,0.01,0.61,0.44951988128586684
100% Corpus,18,0.01,0.9099999999999999,0.42028309216242804
100% Corpus,18,0.01,symmetric,0.34251464952211025
100% Corpus,18,0.31,0.01,0.3440537600851188
100% Corpus,18,0.31,0.31,0.36299163326731204
100% Corpus,18,0.31,0.61,0.4373224640899151
100% Corpus,18,0.31,0.9099999999999999,0.4419649074448213
100% Corpus,18,0.31,symmetric,0.3398586335816686
100% Corpus,18,0.61,0.01,0.34083110520738047
100% Corpus,18,0.61,0.31,0.33694395662671406
100% Corpus,18,0.61,0.61,0.37082688655490753
100% Corpus,18,0.61,0.9099999999999999,0.428738300281226
100% Corpus,18,0.61,symmetric,0.34278943475027535
100% Corpus,18,0.9099999999999999,0.01,0.34265286649147453
100% Corpus,18,0.9099999999999999,0.31,0.34666167126232483
100% Corpus,18,0.9099999999999999,0.61,0.3803278505212018
100% Corpus,18,0.9099999999999999,0.9099999999999999,0.4037195025886382
100% Corpus,18,0.9099999999999999,symmetric,0.3419970537460577
100% Corpus,18,symmetric,0.01,0.3506511489749602
100% Corpus,18,symmetric,0.31,0.3737719900649753
100% Corpus,18,symmetric,0.61,0.4307880798589597
100% Corpus,18,symmetric,0.9099999999999999,0.4290863351002845
100% Corpus,18,symmetric,symmetric,0.3466382268591262
100% Corpus,18,asymmetric,0.01,0.34425007169808697
100% Corpus,18,asymmetric,0.31,0.3901921697690632
100% Corpus,18,asymmetric,0.61,0.4445708647997799
100% Corpus,18,asymmetric,0.9099999999999999,0.41388647853590765
100% Corpus,18,asymmetric,symmetric,0.3482177705712136
100% Corpus,21,0.01,0.01,0.3478214236375044
100% Corpus,21,0.01,0.31,0.4050657982011693
100% Corpus,21,0.01,0.61,0.4473061251638854
100% Corpus,21,0.01,0.9099999999999999,0.4335105956496391
100% Corpus,21,0.01,symmetric,0.3448346419523153
100% Corpus,21,0.31,0.01,0.3551772711723944
100% Corpus,21,0.31,0.31,0.36378979588644644
100% Corpus,21,0.31,0.61,0.44947225934245016
100% Corpus,21,0.31,0.9099999999999999,0.4432762964996006
100% Corpus,21,0.31,symmetric,0.3418414064272318
100% Corpus,21,0.61,0.01,0.34751845327091263
100% Corpus,21,0.61,0.31,0.3409038609012417
100% Corpus,21,0.61,0.61,0.4009070295056202
100% Corpus,21,0.61,0.9099999999999999,0.4360539646278636
100% Corpus,21,0.61,symmetric,0.3443404654517413
100% Corpus,21,0.9099999999999999,0.01,0.3435299705437334
100% Corpus,21,0.9099999999999999,0.31,0.34052927034803104
100% Corpus,21,0.9099999999999999,0.61,0.3907637501263152
100% Corpus,21,0.9099999999999999,0.9099999999999999,0.43249915843209114
100% Corpus,21,0.9099999999999999,symmetric,0.34235850061182377
100% Corpus,21,symmetric,0.01,0.35265862394800457
100% Corpus,21,symmetric,0.31,0.3901295882888839
100% Corpus,21,symmetric,0.61,0.45401336910116175
100% Corpus,21,symmetric,0.9099999999999999,0.4239797430313204
100% Corpus,21,symmetric,symmetric,0.33697295433859764
100% Corpus,21,asymmetric,0.01,0.34417775703990316
100% Corpus,21,asymmetric,0.31,0.4005518702796516
100% Corpus,21,asymmetric,0.61,0.4822425649713543
100% Corpus,21,asymmetric,0.9099999999999999,0.41866212498795446
100% Corpus,21,asymmetric,symmetric,0.3416013949528181
100% Corpus,24,0.01,0.01,0.3352018986994816
100% Corpus,24,0.01,0.31,0.3648283852518566
100% Corpus,24,0.01,0.61,0.421393201770685
100% Corpus,24,0.01,0.9099999999999999,0.4386085588563861
100% Corpus,24,0.01,symmetric,0.3322649117802803
100% Corpus,24,0.31,0.01,0.34336244533891325
100% Corpus,24,0.31,0.31,0.35565504741531156
100% Corpus,24,0.31,0.61,0.41787000732772706
100% Corpus,24,0.31,0.9099999999999999,0.44295927200816787
