artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Tessanne Chin,I Have Nothing,23138,0.423,0.637,0,-3.535,1,0.0329,0.2,0.0,0.0969,0.15,154.034,spotify:track:4Ib4InLIR369amEBFcAjhb,231141
Brantley Gilbert,Bottoms Up,23139,0.474,0.857,7,-5.734,1,0.0435,0.113,0.0,0.134,0.545,170.006,spotify:track:0HZUp8fm9fh1Mitqx4CIOr,220200
Beyonce,XO,23140,0.47,0.792,0,-8.932,1,0.26,0.171,1.28e-06,0.313,0.214,170.085,spotify:track:40xhyfAPDoMtv494MfPevP,215947
Dierks Bentley,I Hold On,23144,0.614,0.715,0,-6.451,1,0.0445,0.0849,0.000316,0.102,0.231,117.956,spotify:track:01e8dGbulrphX8j3fZDQYk,279533
DJ Snake & Lil Jon,Turn Down For What,23145,0.822,0.76,9,-4.296,1,0.249,0.00652,0.0,0.0403,0.362,100.006,spotify:track:6h5yOjQNDaLZ0rW2OGoXTB,225560
Demi Lovato,Neon Lights,23148,0.631,0.819,9,-4.24,1,0.122,0.0767,0.0,0.1,0.733,125.928,spotify:track:34MJ07N9Bhu6iKPaxSVnCT,233173
The Fray,Love Don't Die,23149,0.632,0.805,11,-4.488,0,0.0303,0.0095,0.0,0.197,0.275,115.489,spotify:track:6IDDwI0YOCAUDhMZltQekS,183093
Jerrod Niemann,Drink To That All Night,23150,0.639,0.846,9,-6.184,0,0.0439,0.0325,0.0,0.116,0.475,115.965,spotify:track:3M31S6f0z8S3nkFh3eS06W,224813
Bruno Mars,Young Girls,23151,0.561,0.749,6,-4.951,0,0.032,0.461,1.82e-06,0.205,0.501,125.986,spotify:track:3G5iN5QBqMeXx3uZPy8tgB,228720
Dan + Shay,19 You + Me,23152,0.493,0.67,6,-5.131,1,0.0298,0.319,0.0,0.102,0.451,151.989,spotify:track:7ongSdLv28Z27WeCrzZXwB,217407
Pharrell Williams,Happy,23153,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,spotify:track:60nZcImufyMA1MKQY3dcCH,232720
Lucy Hale,You Sound Good To Me,23154,0.638,0.893,1,-3.889,1,0.0461,0.0446,1.59e-06,0.0847,0.87,92.018,spotify:track:3aOnLQ7Q5bUxB8mqYWb7iX,192653
Beyonce,Partition,23155,0.412,0.441,11,-11.523,0,0.291,0.0296,0.0726,0.306,0.174,185.571,spotify:track:5hgnY0mVcVetszbb85qeDg,319467
Randy Houser,Goodnight Kiss,23156,0.731,0.71,1,-4.285,1,0.0332,0.0382,9.92e-05,0.118,0.633,111.024,spotify:track:27aDju7VAODvQYHWrrv6o9,206800
Thomas Rhett,Get Me Some Of That,23157,0.549,0.866,6,-5.306,1,0.0476,0.0733,0.0,0.25,0.767,87.964,spotify:track:4O1CExxinEpKZi3861NlTK,187400
Eric Church,Give Me Back My Hometown,23158,0.621,0.676,1,-7.808,1,0.0303,0.506,0.0675,0.0825,0.482,104.008,spotify:track:3MykNWa65IP2VN1Qa6B9yK,252493
Flo Rida,How I Feel,23159,0.642,0.956,7,-2.863,0,0.0892,0.014,9.01e-05,0.328,0.339,127.966,spotify:track:2Oo0iCSMUmNlELhNX8reyz,203203
SoMo,Ride,23160,0.699,0.524,11,-7.522,1,0.051,0.412,0.0,0.0844,0.31,114.922,spotify:track:1CI6YgwwNq3VfhgxPuEpE6,289133
