artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
All-4-One,So Much In Love,16324,0.322,0.25,0,-11.451,0,0.03,0.892,0.0,0.12,0.352,137.714,spotify:track:1J1Wz0UPt4NPp4MMwSJCcz,212640
Ace Of Base,The Sign,16325,0.808,0.786,4,-6.897,0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,spotify:track:0hrBpAOgrt8RXigk83LLNE,191240
Doug Stone,I Never Knew Love,16328,0.575,0.332,6,-12.19,1,0.0311,0.523,0.0,0.101,0.366,135.01,spotify:track:6XqmK1chyZI0FqM44k5IYH,210467
Rod Stewart,Having A Party,16329,0.648,0.789,4,-9.47,1,0.103,0.147,0.0,0.972,0.711,129.587,spotify:track:2TBnYW00VGuNJk6xVQYEQe,286027
Mary J. Blige,You Don't Have To Worry,16330,0.679,0.632,1,-11.975,1,0.217,0.0604,0.0,0.189,0.678,94.79,spotify:track:5SpezzhEoGUpUgaRc7vMOm,278573
Sagat,Funk Dat/Why Is It?,16331,0.886,0.436,3,-15.295,0,0.103,0.466,0.0241,0.045,0.775,118.976,spotify:track:2fTjkEmR1t7J4WICztg136,259800
SWV,Always On My Mind,16332,0.621,0.583,1,-10.127,0,0.0345,0.0116,0.0,0.115,0.452,137.534,spotify:track:4zAxfkmJqsaHqFu1YPMS5a,317360
Color Me Badd,Choose,16335,0.58,0.858,6,-7.049,1,0.0313,0.277,0.0135,0.106,0.715,93.689,spotify:track:0E0TlFKdsgjCVtKJqqw3GK,263907
Zhane,Groove Thang,16336,0.906,0.486,9,-7.189,0,0.0408,0.0227,0.000757,0.0725,0.821,102.031,spotify:track:5MiIyCJ1DYbWLdwWYzyNcJ,236507
Eternal,Stay,16337,0.591,0.727,10,-8.058,0,0.054,0.00411,1.53e-06,0.0289,0.846,98.528,spotify:track:3DCAjSZiLK127tGL0URVGE,237533
Tony Toni Tone,(Lay Your Head On My) Pillow,16338,0.707,0.487,6,-8.948,0,0.036,0.0466,4.71e-06,0.0643,0.568,79.071,spotify:track:0rRGYJSkI7v2VtxJv8n90m,372027
Richard Marx,Now And Forever,16339,0.441,0.258,7,-11.227,1,0.0276,0.661,0.0,0.106,0.172,77.988,spotify:track:2V2pxcEfn5zs79sE7qcewA,214827
Mint Condition,U Send Me Swingin',16342,0.608,0.569,6,-5.835,0,0.0283,0.123,0.0,0.151,0.346,72.076,spotify:track:1mC7u32zemMLC1mVOU02Pm,314538
To Be Continued...,One On One,16344,0.366,0.766,10,-6.696,0,0.092,0.127,0.000855,0.191,0.692,184.78,spotify:track:6ACTJaO0il34gNqXebXiQm,465093
Janet Jackson,Because Of Love,16345,0.764,0.878,5,-5.647,0,0.0523,0.287,0.00356,0.18,0.825,112.37,spotify:track:40kJxdeSmQieEgTgShXumm,260907
