artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Skrillex,Scary Monsters And Nice Sprites,22410,0.523,0.944,7,-3.581,0,0.0837,0.00336,0.557,0.119,0.324,139.997,spotify:track:4rwpZEcnalkuhPyGkEdhu0,243354
Adam Lambert,Better Than I Know Myself,22411,0.484,0.812,10,-4.743,1,0.138,0.0322,0.0,0.18,0.308,109.452,spotify:track:3Fsjt1h1p2o86pC2lQopJc,216173
Nicki Minaj,Stupid Hoe,22412,0.879,0.83,7,-5.941,1,0.275,0.0289,0.131,0.204,0.719,100.014,spotify:track:13VDHbpoKlRhtgUaWTE2Ld,196893
Mac Miller,Knock Knock,22413,0.667,0.922,4,-4.857,0,0.128,0.0353,0.0,0.364,0.509,108.952,spotify:track:3uYm4MtU6jUQft2DtGqEoZ,202807
V.I.C.,Wobble,22414,0.855,0.746,3,-3.777,0,0.232,0.402,0.0,0.146,0.375,95.026,spotify:track:6JLcz9UGiVxAmEZXlCucn5,321987
Nelly,The Champ,22415,0.548,0.883,6,-4.697,1,0.0766,0.212,0.0,0.0828,0.796,167.998,spotify:track:59qnU7ACYRFKQ2O35D5Onb,189000
Jason Mraz,I Won't Give Up,22417,0.585,0.303,4,-10.058,1,0.0398,0.694,0.0,0.115,0.142,136.703,spotify:track:53QF56cjZA9RTuuMZDrSA6,240166
3OH!3,Set You Free,22419,0.612,0.807,8,-4.14,1,0.106,0.0961,0.0,0.298,0.617,79.999,spotify:track:6aIlQ4EVeyKzGS4lS6GNLY,204188
Montgomery Gentry,Where I Come From,22421,0.62,0.852,1,-4.203,1,0.0308,0.0108,4.94e-06,0.279,0.479,90.038,spotify:track:10ps1I1sIMRNZW11eceN7W,201840
Jay Z Kanye West,Gotta Have It,22422,0.74,0.574,4,-6.938,1,0.245,0.411,0.0,0.262,0.33,149.762,spotify:track:5Pt83OUaK3K9C2if4C5JOk,140747
Train,Drive By,22423,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,195973
Van Halen,Tattoo,22424,0.497,0.886,2,-3.314,1,0.0435,0.00929,9.77e-05,0.198,0.508,100.118,spotify:track:66H4tD2U1SNgIRSD19m5jv,283040
Snow Patrol,Called Out In The Dark,22425,0.726,0.712,0,-4.68,1,0.0313,0.0175,1.07e-05,0.0826,0.961,120.003,spotify:track:4BBt0kc625eUAdG2XpWPHm,241933
