artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
The Beach Boys,Barbara Ann,3555,0.581,0.669,6,-3.659,1,0.0385,0.19,0.0,0.243,0.926,78.073,spotify:track:2KOt2JrCB720UxIbyzweQo,133893
Len Barry,Like A Baby,3556,0.712,0.369,0,-15.033,1,0.0471,0.436,0.0,0.268,0.758,123.781,spotify:track:3unSsfih6sEp103NgfYPke,180107
Little Anthony And The Imperials,Hurt,3558,0.509,0.526,4,-9.926,0,0.0852,0.665,0.0,0.675,0.383,109.968,spotify:track:2mws4tIE5QT2b345hoCe0x,139840
The Five Americans,I See The Light,3559,0.418,0.986,2,-4.505,1,0.11,0.0564,4.82e-06,0.0674,0.204,113.284,spotify:track:4qxmUFf9zE803gfmaHBmuQ,137000
Lee Dorsey,"Get Out Of My Life, Woman",3560,0.841,0.4,6,-10.703,1,0.0334,0.294,0.000367,0.0335,0.855,89.594,spotify:track:6DNgKv1sWH2505Z5SAqAXr,146267
Chris Andrews,Yesterday Man,3561,0.667,0.888,0,-4.971,1,0.0611,0.244,0.355,0.508,0.943,108.569,spotify:track:2VreadsZpksgUYCgEvW046,150907
Elvis Presley,Blue River,3562,0.668,0.816,2,-13.676,1,0.0447,0.301,1.47e-06,0.36,0.876,101.442,spotify:track:0puKKRrt0j7O8wDroYOedE,130387
The Manhattans,Follow Your Heart,3563,0.6,0.535,5,-10.793,1,0.0296,0.517,0.0,0.327,0.854,97.672,spotify:track:46VXY6ICU226D25CODh6zr,179235
The Three Degrees,Look In My Eyes,3564,0.32,0.537,6,-9.907,1,0.0297,0.355,7.07e-06,0.15,0.885,192.918,spotify:track:4gjUJOXFg70Uuq12EAC53R,157773
Bob Dylan,Can You Please Crawl Out Your Window?,3565,0.53,0.658,7,-8.027,1,0.0346,0.458,6.95e-06,0.214,0.897,114.189,spotify:track:75dsNSdeYpwzfIhIMPXH0M,211747
Billy Stewart,Mountain Of Love,3566,0.498,0.605,10,-7.799,0,0.0492,0.603,0.00156,0.171,0.625,171.435,spotify:track:4KYnkrjlSAWwhUzPV9ciT2,168856
Chris Montez,Call Me,3567,0.603,0.722,7,-7.351,1,0.0368,0.613,0.0,0.329,0.681,136.746,spotify:track:6Jk6pyFWwJVyjPuisLVhWX,158613
Red Sovine,Giddyup Go,3569,0.567,0.641,1,-9.236,1,0.212,0.59,0.0,0.32,0.546,86.962,spotify:track:6fZUCxyaLxjO6B2QJyTHQA,237400
Ben E. King,Goodnight My Love,3570,0.384,0.456,3,-10.317,0,0.028,0.326,2.11e-06,0.208,0.339,94.055,spotify:track:0nGFjSLODdvEj7npKMU8GG,158000
Tammi Terrell,I Can't Believe You Love Me,3572,0.387,0.661,1,-5.685,1,0.0379,0.298,1.66e-06,0.0736,0.808,207.443,spotify:track:3FcLmMZL5VGmAffR0is85y,153853
David & Jonathan,Michelle,3573,0.508,0.203,5,-12.75,0,0.0301,0.905,0.0,0.114,0.25,55.684,spotify:track:32DkyRGUJoW6tlpUrRsOcr,172907
The Mamas & The Papas,California Dreamin',3574,0.552,0.608,1,-9.786,0,0.0345,0.352,0.0,0.0533,0.637,112.367,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,162373
Solomon Burke,Baby Come On Home,3575,0.503,0.464,5,-11.233,1,0.0298,0.521,0.000732,0.149,0.27,81.089,spotify:track:3y86HtbwgvflMylhzBcF9m,195747
The Supremes,My World Is Empty Without You,3576,0.466,0.676,6,-9.378,0,0.112,0.248,3.22e-06,0.103,0.845,88.688,spotify:track:1kFCFfR5q4VO02KtYguXgh,154427
The Strangeloves,Night Time,3577,0.745,0.827,9,-8.485,1,0.0385,0.554,0.0,0.109,0.772,139.472,spotify:track:3cOM3Zc2w5y5tOaUZ4wj95,203533
Jim Reeves,Snow Flake,3579,0.544,0.378,11,-13.851,1,0.0304,0.781,0.0,0.127,0.905,82.115,spotify:track:0DLK58LYnZzbbanpuqhY3O,129560
Sam & Dave,You Don't Know Like I Know,3580,0.767,0.396,3,-13.706,1,0.0326,0.545,0.00079,0.0959,0.898,116.576,spotify:track:0bWdtUzitoLGHvoRvu5ngq,162400
Jackie Wilson And LaVern Baker,Think Twice,3582,0.821,0.548,7,-6.646,1,0.0409,0.516,0.00103,0.512,0.914,122.001,spotify:track:62k7oaajknbA5be6frZMZf,149760
Eddie Holman,This Can't Be True,3583,0.318,0.369,1,-7.995,0,0.0301,0.483,5.84e-06,0.17,0.328,182.036,spotify:track:4KQL1NUeDs5P2TrlyPDmqh,183333
The Who,My Generation,3584,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,spotify:track:4u9f8hqstB7iITDJNzKhQx,198707
Roy Head,Get Back,3585,0.72,0.913,1,-5.274,1,0.248,0.311,0.000186,0.246,0.94,93.373,spotify:track:2VYvVNJjbGuyiRX2tBPVkm,137707
Jonathan King,Where The Sun Has Never Shone,3586,0.154,0.518,7,-11.428,1,0.0358,0.72,0.0,0.184,0.473,181.772,spotify:track:5jlpKLVutiVG9f9CMYkJRF,177787
Ramsey Lewis Trio,A Hard Day's Night,3587,0.675,0.719,7,-11.786,1,0.0298,0.162,0.0125,0.891,0.961,126.852,spotify:track:5qoXJYckZrMKlcfmJaQoiZ,297333
Ronnie Dove,When Liking Turns To Loving,3588,0.299,0.278,1,-14.98,1,0.0381,0.917,8.43e-05,0.138,0.486,139.566,spotify:track:5pzoNtKCAXQQnrdupb5Tt3,173880
Nancy Sinatra,These Boots Are Made For Walkin',3589,0.74,0.392,9,-11.996,1,0.0824,0.483,1.11e-06,0.0965,0.387,82.742,spotify:track:2nwCO1PqpvyoFIvq3Vrj8N,166008
Martha & The Vandellas,My Baby Loves Me,3590,0.396,0.476,10,-5.582,1,0.0335,0.647,3.09e-05,0.452,0.651,102.328,spotify:track:4Tt2lvnrYwql1HvXYgXZmj,190880
Roy Orbison,Breakin' Up Is Breakin' My Heart,3591,0.437,0.504,6,-8.652,0,0.026,0.746,0.00477,0.101,0.776,84.824,spotify:track:4zgVGCEzik0fdeYK5cQXUY,127453
Bob Lind,Elusive Butterfly,3593,0.577,0.621,3,-8.217,1,0.0262,0.099,0.0,0.0945,0.78,94.982,spotify:track:226EXK5tPVsqaZ2y9RACR0,168533
Mel Carter,Love Is All We Need,3594,0.376,0.456,4,-8.367,1,0.0357,0.644,0.0,0.215,0.512,80.843,spotify:track:2XdDxK8mLhaOdXPBpMxOkV,109333
Bud Shank,Michelle,3595,0.543,0.215,5,-15.221,0,0.0342,0.949,0.841,0.121,0.229,115.705,spotify:track:5rdLwV3jCeV8fTQRCFJeip,145461
Johnny Lytle,The Loop,3596,0.784,0.508,0,-9.541,0,0.039,0.641,0.508,0.084,0.488,121.314,spotify:track:6g5NZg2VXJobSX3TmXq9nQ,138493
Johnny and The Expressions,Something I Want To Tell You,3597,0.569,0.168,10,-17.757,1,0.0276,0.685,4.14e-06,0.213,0.652,94.076,spotify:track:4z6qj3ggP6GkLo9J5kRQM0,176067
Deon Jackson,Love Makes The World Go Round,3599,0.597,0.492,5,-8.186,0,0.0988,0.689,0.0,0.0939,0.564,88.863,spotify:track:2ptYBRF9lnToxEYQ2ngx4k,148800
Billy Stewart,Because I Love You,3600,0.735,0.409,7,-12.816,1,0.0348,0.776,0.0,0.445,0.933,123.298,spotify:track:7CHZdfFTezbYR1MOlCbWmV,128493
Sonny & Cher,What Now My Love,3601,0.474,0.701,10,-6.752,1,0.0314,0.147,0.0,0.51,0.398,109.063,spotify:track:2ObMuepqvx8HsJ8Ye5ItPF,217067
Bobby Fuller Four,I Fought The Law,3602,0.593,0.804,7,-5.497,1,0.0319,0.105,2.22e-06,0.047,0.962,148.959,spotify:track:6Um3XCAxl9YfFmAnGl93xc,138360
Bob Kuban And The In-Men,The Cheater,3605,0.651,0.66,3,-7.452,0,0.0772,0.692,1.96e-06,0.112,0.886,135.014,spotify:track:4YehhvNVDkI2DNwrsR5JJc,159667
Slim Harpo,Baby Scratch My Back,3607,0.802,0.455,5,-11.673,1,0.0537,0.803,0.585,0.0607,0.932,122.853,spotify:track:4BbLz6pVP5oXl2plR7HLMZ,173600
Sir Douglas Quintet,The Rains Came,3608,0.573,0.671,7,-4.964,1,0.0308,0.495,1.5e-05,0.0487,0.932,132.734,spotify:track:4oeOG0zp2WYyL2ZQKD1gbR,136520
Buck Owens,Waitin' In Your Welfare Line,3609,0.732,0.557,6,-4.884,1,0.0376,0.669,0.000706,0.066,0.769,119.081,spotify:track:4E4bW7wqx3nADox2kEVlvq,141907
Barbara Mason,Is It Me?,3611,0.499,0.386,6,-7.761,1,0.0433,0.477,0.0,0.103,0.876,186.94,spotify:track:7nNawutueOA7m2c4OhKrZX,185600
The Searchers,Take Me For What I'm Worth,3614,0.465,0.671,7,-7.996,1,0.0444,0.775,0.0,0.267,0.71,140.404,spotify:track:4ISir5Vt1QWXPU5Yy6an2W,160440
The Turtles,You Baby,3615,0.547,0.766,11,-5.706,1,0.0775,0.0431,0.144,0.184,0.886,135.263,spotify:track:6o2FF4ArSHzLaLNxWxUndK,138493
The Dave Clark Five,At The Scene,3616,0.607,0.67,0,-8.887,1,0.0448,0.0102,0.0,0.076,0.907,127.101,spotify:track:0yYUeEc8Wp7c5pHPvDbRTO,111733
The Shangri-Las,Long Live Our Love,3617,0.631,0.547,6,-8.356,0,0.0654,0.553,0.0,0.167,0.569,122.515,spotify:track:7FaYqYa8EBuDx84rFDO9vW,174200
The Marketts,Batman Theme,3618,0.435,0.683,7,-13.837,1,0.0333,0.207,0.906,0.0723,0.921,146.541,spotify:track:6dNVdzsCLEcKhqLxoB3Qc3,162467
Lesley Gore,We Know We're In Love,3620,0.411,0.553,5,-10.847,1,0.0312,0.0973,0.0,0.53,0.712,160.636,spotify:track:06DIV8OvK1jeGmV6NhyY0f,130000
The Righteous Brothers,Georgia On My Mind,3621,0.368,0.378,5,-9.054,1,0.0306,0.819,2.42e-06,0.25,0.563,95.818,spotify:track:3JAJE71YkaRAiTDVnOW2AA,153560
The Byrds,Set You Free This Time,3622,0.626,0.476,2,-11.53,1,0.0266,0.707,0.0,0.0947,0.802,98.582,spotify:track:1M0f0Tz3zEAZ8tBKAlVGHF,168800
The Impressions,Since I Lost The One I Love,3623,0.569,0.505,0,-7.126,1,0.0416,0.521,0.0,0.667,0.884,107.371,spotify:track:1z1WImpyDPcQIKdwseBjN0,153653
Sam The Sham and the Pharaohs,Red Hot,3624,0.652,0.732,0,-8.813,1,0.0355,0.308,0.392,0.268,0.971,79.375,spotify:track:4B3ULO9EbS1epBNIF0gwNy,136453
Eddy Arnold,I Want To Go With You,3625,0.307,0.22,1,-12.057,1,0.0302,0.891,3.09e-05,0.146,0.514,111.355,spotify:track:3jMfXcpWVX9mJmnzO0hEVh,159413
Neil Sedaka,The Answer To My Prayer,3626,0.599,0.67,2,-9.705,1,0.0408,0.222,0.0,0.14,0.829,122.509,spotify:track:087wJuMxOm1YM7hhT2h8cy,126120
Wilson Pickett,"634-5789 (Soulsville, U.S.A.)",3627,0.665,0.454,2,-7.683,1,0.035,0.257,0.0,0.402,0.839,102.685,spotify:track:2gGPw8qbUilOhiSQRSvZG9,177520
Peter And Gordon,Woman,3628,0.392,0.552,11,-9.217,1,0.0335,0.0621,0.00467,0.0818,0.53,108.621,spotify:track:7zd7QV2lCDGGmwOxMiULVY,147827
Simon & Garfunkel,Homeward Bound,3629,0.485,0.38,3,-11.773,1,0.034,0.829,0.0,0.103,0.531,92.933,spotify:track:4Xl2PrS3DJqqSKXCo6Uhv9,149613
Neal Hefti,Batman Theme,3630,0.561,0.98,7,-3.373,1,0.035,0.168,0.773,0.264,0.851,151.919,spotify:track:4lwV7SpU0JSM1OIm0aIkNP,138667
The Byrds,It Won't Be Wrong,3631,0.496,0.701,9,-9.506,1,0.0401,0.295,0.000111,0.202,0.86,123.148,spotify:track:46uLYXCBGVCkAFLV6YH2PQ,117893
Dean Martin,Somewhere There's A Someone,3632,0.351,0.523,7,-11.79,1,0.0405,0.737,0.0,0.17,0.462,108.309,spotify:track:11MPqDv9WZhq4Ma6cT2SJV,134280
Mary Wells,Dear Lover,3633,0.639,0.401,7,-12.098,1,0.1,0.625,0.0,0.131,0.737,123.237,spotify:track:0gKQ7oFDnlVYzlMuqwRP64,134067
Jan & Dean,Batman,3634,0.535,0.708,0,-9.878,1,0.0622,0.747,1.45e-06,0.252,0.796,137.775,spotify:track:7pBQDWVN58i618PhJpyhb0,168333
The McCoys,Up And Down,3635,0.647,0.435,2,-11.186,1,0.0376,0.26,0.0,0.249,0.942,132.396,spotify:track:0o4pKAWsrM8YKfkCC5Xjxy,180333
Little Milton,We Got The Winning Hand,3636,0.416,0.523,5,-11.666,1,0.0391,0.28,1.29e-05,0.239,0.685,119.276,spotify:track:5eV8oYrOrgh4ZSs2UXFqqs,170933
Herman's Hermits,Listen People,3637,0.483,0.3,9,-8.71,1,0.0363,0.787,0.0,0.341,0.38,121.983,spotify:track:4S0W8LNfBur0HguAqspGXf,149733
Roger Miller,Husbands And Wives,3638,0.715,0.188,0,-17.773,1,0.038,0.457,0.000153,0.107,0.431,116.575,spotify:track:6bX5K0pwOdQAGUA8YT9TLq,160773
Bobby Goldsboro,It's Too Late,3639,0.492,0.618,2,-8.419,1,0.0638,0.685,2.16e-05,0.141,0.628,167.265,spotify:track:6MWZvL0YOKvr3mB2iR4eT9,151000
Freddy Cannon,The Dedication Song,3640,0.474,0.898,9,-3.236,1,0.113,0.531,4.64e-05,0.321,0.959,148.365,spotify:track:2d1Qvf7lYynPE0UpZhz2ke,178093
Four Tops,"Shake Me, Wake Me (When It's Over)",3642,0.538,0.614,6,-7.22,0,0.0452,0.183,0.0,0.0962,0.711,130.277,spotify:track:2PUkN5yn30Zqyte21DamYO,161013
Edwin Starr,Stop Her On Sight (S.O.S.),3643,0.606,0.619,6,-8.463,1,0.0519,0.195,0.0,0.159,0.7,139.307,spotify:track:3uqOlJiDgYcikQ1cH6ACIm,138280
Marvin Gaye,One More Heartache,3644,0.512,0.616,9,-12.14,1,0.0347,0.239,0.0,0.2,0.92,82.833,spotify:track:2UcQMMM1fJl2iAsJZzn5VD,160293
Jay & The Americans,Why Can't You Bring Me Home,3645,0.649,0.834,10,-10.97,1,0.0738,0.66,0.0,0.0579,0.715,134.017,spotify:track:0YpzbiqE1OG5kzVgP3Nkln,183800
The Fortunes,This Golden Ring,3646,0.647,0.769,11,-9.551,1,0.0349,0.623,0.0,0.15,0.781,125.474,spotify:track:5A8dh7K5qdUKd0Tm2EIVsI,131239
Barbra Streisand,Where Am I Going?,3647,0.412,0.402,10,-12.863,1,0.0316,0.758,0.0,0.57,0.539,106.369,spotify:track:6LVQN95MVvXSvDL5cgcHsJ,169200
Tom Jones,Promise Her Anything,3648,0.555,0.819,7,-9.803,1,0.0656,0.457,0.0,0.132,0.82,153.476,spotify:track:5MUM1P0T47W393eK02eCI5,154997
New Colony Six,I Confess,3649,0.496,0.649,11,-6.315,0,0.0304,0.124,0.0,0.076,0.542,117.135,spotify:track:2PVIDKZOTFRi8KOkuXB0Br,161693
The Elgins,Put Yourself In My Place,3650,0.541,0.785,0,-4.393,1,0.0382,0.642,0.0,0.262,0.658,116.216,spotify:track:3BPN4dpI5tyFYfRKNXL8Df,160907
The Isley Brothers,This Old Heart Of Mine (Is Weak For You),3651,0.632,0.59,5,-10.206,1,0.0305,0.346,0.0,0.24,0.953,130.287,spotify:track:5c33j1xFVOL4G24zxYhssB,172733
The Outsiders,Time Won't Let Me,3652,0.438,0.425,11,-20.396,0,0.0307,0.35,4.03e-05,0.48,0.841,150.238,spotify:track:7i4rIZqwNg4wtmYO6SDKru,181733
The Rolling Stones,19th Nervous Breakdown,3653,0.477,0.842,4,-7.356,1,0.0371,0.0142,0.106,0.271,0.796,96.457,spotify:track:21ElXnithj4MX8E4rg5lh8,236400
The Vogues,Magic Town,3654,0.487,0.449,9,-8.115,1,0.025,0.771,0.0,0.133,0.477,92.431,spotify:track:2DTTay2tPKDKUb1UYDgTnC,196441
Bobby Vinton,Tears,3655,0.589,0.411,7,-11.1,0,0.0277,0.779,0.0,0.28,0.499,96.242,spotify:track:3QlrXlXuaBLMYGmlroFRTV,132800
The Lovin' Spoonful,Daydream,3656,0.822,0.332,1,-11.369,1,0.0506,0.834,0.0,0.11,0.834,110.802,spotify:track:3c06k9x6MHHdPQi3ix68yF,139093
Johnny Cash,The One On The Right Is On The Left,3657,0.721,0.613,9,-9.26,1,0.0302,0.431,0.000565,0.205,0.812,98.477,spotify:track:1EYl3ASOxlK4Fk4Q1bhDh4,167667
The Temptations,Get Ready,3658,0.59,0.737,7,-5.867,1,0.0384,0.404,0.0,0.108,0.877,132.966,spotify:track:676Rf0qIOh2gKNEl9TnCOx,164160
Googie Rene Combo,Smokey Joe's La La,3659,0.651,0.932,0,-9.086,1,0.0568,0.0549,2.23e-05,0.75,0.768,136.732,spotify:track:1ibxkpxrMnq9CgBLSvFs0q,170253
Patty Duke,Whenever She Holds You,3660,0.36,0.331,10,-10.477,1,0.0263,0.914,4.8e-06,0.12,0.16,96.251,spotify:track:34l5f31YtT0WFj1mY4QswG,149827
Norma Tanega,Walkin' My Cat Named Dog,3661,0.572,0.55,2,-6.205,1,0.0282,0.459,0.0,0.181,0.857,111.609,spotify:track:6S89ZitemdRnIshumKqpyt,138600
The Ventures,Secret Agent Man,3662,0.586,0.84,4,-9.49,0,0.0282,0.213,0.748,0.703,0.963,88.732,spotify:track:5Uci1t39DsLmb8TjzdPdHI,124867
Pozo Seco Singers,Time,3663,0.584,0.229,10,-18.21,1,0.0344,0.88,0.0428,0.111,0.736,110.44,spotify:track:7duFyBg8iBNpZQ2bFjvdUk,203747
The Animals,Inside-Looking Out,3664,0.384,0.811,7,-5.063,0,0.0903,0.0571,0.00215,0.169,0.586,127.655,spotify:track:3NRRxKT3rcSK8aWBqDn2ka,225493
The Newbeats,Shake Hands (And Come Out Crying),3665,0.546,0.828,0,-8.127,1,0.0354,0.0437,0.000557,0.11,0.96,142.742,spotify:track:42wIlJxGshiaqqJlWtYBnn,132227
The Beatles,Nowhere Man,3667,0.534,0.624,4,-9.589,1,0.0462,0.00797,0.0,0.128,0.687,121.402,spotify:track:5SUlhldQJtOhUr2GzH5RI7,163693
Otis Redding,Satisfaction,3669,0.773,0.729,4,-7.934,1,0.115,0.633,0.0158,0.0959,0.868,146.533,spotify:track:1klqBqLXdUN6ilIhtOAYtm,164653
The Spencer Davis Group,Keep On Running,3670,0.66,0.768,9,-5.731,1,0.127,0.189,0.0,0.225,0.737,138.3,spotify:track:0XXzChE5NEs2BHosMxeIe3,166573
Gary Lewis And The Playboys,Sure Gonna Miss Her,3671,0.543,0.411,4,-12.384,1,0.0306,0.268,0.00197,0.153,0.874,162.768,spotify:track:53trN8rFU32G7X1Mj7z2Bn,152600
Mitch Ryder And The Detroit Wheels,Little Latin Lupe Lu,3672,0.589,0.769,9,-10.49,1,0.045,0.133,0.00123,0.566,0.849,146.095,spotify:track:5aARHANTyK8IM41nnvD0d8,189507
The Righteous Brothers,(You're My) Soul And Inspiration,3673,0.48,0.416,10,-11.692,1,0.0847,0.77,0.000681,0.966,0.428,93.701,spotify:track:7ES3QjxzmFKMJWt90giLsv,206107
The Mad Lads,I Want Someone,3674,0.557,0.3,8,-9.335,1,0.0289,0.879,0.000362,0.0883,0.35,138.7,spotify:track:6tbtWo4wBZnKMbsfA2VXop,161600
The Poppies,Lullaby Of Love,3675,0.48,0.679,7,-6.974,1,0.052,0.271,0.0,0.627,0.788,122.316,spotify:track:42khap6heGqCfJCJje287E,137267
"Dino, Desi & Billy",Superman,3676,0.604,0.886,4,-3.6,0,0.0804,0.111,1.37e-05,0.0979,0.718,129.63,spotify:track:0Naqxxo2gB6JniDzZGbOHv,138613
Joe Tex,The Love You Save (May Be Your Own),3678,0.502,0.3,10,-13.698,1,0.0372,0.771,0.0,0.133,0.453,94.582,spotify:track:49tqyhwvGuhjFklMq6BMBI,174779
Cher,Bang Bang (My Baby Shot Me Down),3679,0.418,0.383,7,-12.789,0,0.0294,0.223,5.52e-06,0.212,0.878,167.049,spotify:track:6LLK7hZgXFYi5Jk4oRQvAl,166173
Al Martino,Think I'll Go Somewhere And Cry Myself To Sleep,3680,0.538,0.398,2,-12.613,1,0.0281,0.663,0.000301,0.126,0.587,105.276,spotify:track:4dihWVHHo4eDBrRTEa4kAF,166973
The Young Rascals,Good Lovin',3681,0.252,0.507,2,-13.337,1,0.0442,0.00206,0.00057,0.325,0.816,196.494,spotify:track:0XnhQGfqfi5CnZXcONJuI5,150907
Kim Weston,Helpless,3682,0.607,0.694,5,-6.712,1,0.0366,0.409,4.39e-06,0.131,0.861,136.458,spotify:track:14VLPV5U9S6bWbM2nOxs83,155427
The Beatles,What Goes On,3683,0.67,0.776,4,-10.035,1,0.0749,0.0168,3.01e-06,0.0732,0.765,96.93,spotify:track:19QXdPRZFHI5kNK3tN8Mh7,168573
The Harden Trio,Tippy Toeing,3684,0.705,0.666,5,-9.704,1,0.0478,0.738,0.0,0.177,0.924,147.819,spotify:track:54dLJWk0He1SHiNaBXUav1,121213
Just Us,I Can't Grow Peaches On A Cherry Tree,3685,0.631,0.194,1,-16.8,1,0.0343,0.916,0.000185,0.105,0.497,121.942,spotify:track:56OqFabpmkMegY248eoSm5,154760
Roy Head And The Traits,My Babe,3686,0.674,0.587,4,-9.497,1,0.035,0.123,3.43e-05,0.0785,0.956,167.539,spotify:track:1V8AAdohEteFlvjsNwHsP9,138747
Johnny Rivers,Secret Agent Man,3687,0.539,0.452,4,-16.838,0,0.0461,0.0238,0.0197,0.944,0.928,163.101,spotify:track:2BlaUfBTbWG50DoZHBD1uV,185493
Herb Alpert & The Tijuana Brass,What Now My Love,3688,0.636,0.349,8,-13.228,1,0.0718,0.531,0.753,0.331,0.497,101.073,spotify:track:1AzrEisAhzYF1AQfzLhgkO,136053
Len Barry,Somewhere,3689,0.635,0.701,6,-11.236,1,0.0571,0.268,1.11e-05,0.0354,0.559,124.08,spotify:track:5nRaqQ7rhWwZR7lk75qqLa,153360
The Yardbirds,Shapes Of Things,3690,0.432,0.823,0,-9.216,1,0.116,0.249,0.00572,0.0953,0.381,132.21,spotify:track:4OjqrdD3QILzxkGwNoMk0c,145960
The Tokens,I Hear Trumpets Blow,3691,0.647,0.555,5,-11.936,1,0.0474,0.478,0.0,0.133,0.849,133.33,spotify:track:78VcIju2ZJByWGV3BcxPNC,159373
Elvis Presley,Frankie And Johnny,3692,0.423,0.552,5,-7.101,1,0.0581,0.851,0.0,0.276,0.725,137.783,spotify:track:1gXmKCfRhKi35b3AFtSDWj,152693
Shadows Of Knight,Gloria,3693,0.681,0.519,9,-10.549,1,0.0317,0.0535,0.000729,0.138,0.73,120.221,spotify:track:5WNcnqDpO5asMaDIthIcu1,157333
The Knickerbockers,One Track Mind,3694,0.365,0.783,6,-7.283,0,0.0393,0.295,5.64e-06,0.322,0.854,170.156,spotify:track:2kGSHT10a4pzedty1OFpCW,142507
Elvis Presley,Please Don't Stop Loving Me,3695,0.326,0.0645,8,-17.616,1,0.0484,0.962,0.00285,0.126,0.325,174.874,spotify:track:0LPktZB3MiZ5QGrOpzTION,123107
The Drifters,Memories Are Made Of This,3696,0.643,0.682,9,-8.111,1,0.0394,0.347,0.0,0.226,0.876,144.319,spotify:track:22bA5fQMVqBAQMDjP7Z3nO,150507
The Poets,She Blew A Good Thing,3698,0.592,0.687,4,-11.408,1,0.0651,0.275,0.000131,0.252,0.694,125.372,spotify:track:4zZ1AsMhireArLtGjmANGp,169000
The Hollies,I Can't Let Go,3699,0.441,0.569,7,-7.996,1,0.0353,0.486,1.3e-06,0.108,0.71,128.194,spotify:track:32fWqBY388oQqEtDCXKMil,147040
The Elgins,Darling Baby,3700,0.574,0.53,10,-10.111,1,0.0262,0.419,0.0,0.241,0.83,112.629,spotify:track:10u9028SSfRyIKxV4xrzsg,156107
Lou Christie,Big Time,3703,0.426,0.675,8,-6.572,1,0.0286,0.132,0.0,0.316,0.813,152.98,spotify:track:4bkVDSiPvKuUflJTRKkOoO,124493
Nancy Ames,He Wore The Green Beret,3704,0.445,0.465,7,-9.614,1,0.0323,0.768,1.04e-05,0.341,0.832,81.437,spotify:track:6o8FFvTMZFCCf9fB4bhXWn,142787
Mitty Collier,Sharing You,3706,0.298,0.484,8,-7.979,1,0.0626,0.544,0.0,0.321,0.619,178.91,spotify:track:19Zq3eSNhf951AwGn6XnNQ,191467
The Manhattans,Baby I Need You,3707,0.53,0.458,7,-10.812,1,0.0356,0.79,0.0,0.165,0.882,106.076,spotify:track:4CglcaCdtisnk0sq4LBFDD,162524
Lesley Gore,Young Love,3708,0.745,0.515,11,-9.822,0,0.0469,0.386,0.0,0.08,0.914,133.037,spotify:track:5IxQJishYQCtZdikvXQhJS,137000
Brian Wilson,"Caroline, No",3709,0.618,0.295,0,-14.892,1,0.0255,0.794,1.3e-05,0.109,0.516,77.095,spotify:track:45RvzLqo8e2rqGPGQRFbFm,158800
The Kinks,Till The End Of The Day,3710,0.542,0.929,0,-7.066,1,0.0784,0.526,0.00597,0.125,0.793,140.8,spotify:track:014NOunS25K1LbcM6DlQ5I,138227
Lou Christie,Rhapsody In The Rain,3711,0.634,0.674,10,-7.623,0,0.042,0.215,0.00207,0.123,0.669,129.355,spotify:track:0DR10fyEwXFUfgqbTksOvK,168280
