artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Adam Sandler,The Chanukah Song,17857,0.356,0.503,9,-8.937,1,0.0734,0.766,2.51e-06,0.871,0.331,88.816,spotify:track:6doSV1UQjyKxiNCnBnDTeG,223947
Shae Jones,Talk Show Shhh!,17858,0.884,0.26,10,-7.458,0,0.0558,0.0244,0.0,0.0688,0.516,121.937,spotify:track:7hx9lupBCq8SSr1Lm6l0on,252819
Deryl Dodd,A Bitter End,17859,0.595,0.418,9,-8.092,1,0.0308,0.568,1.27e-05,0.116,0.25,138.069,spotify:track:2Z0NqDDYs2678XXdbi0vuv,218980
Sugar Ray,Every Morning,17860,0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.916,spotify:track:2ouURa1AIXp3AvkS52Jry5,219867
Lauryn Hill,Ex-Factor,17861,0.593,0.619,3,-9.003,0,0.0976,0.118,0.0,0.484,0.668,80.02,spotify:track:2VjXGuPVVxyhMgER3Uz2Fe,326533
TLC,Silly Ho,17862,0.837,0.784,9,-3.874,1,0.0866,0.0387,0.471,0.32,0.836,145.578,spotify:track:79Dduf9L3DBCsmqgv5feXO,255160
Boyz II Men,I Will Get There,17863,0.551,0.284,1,-13.704,1,0.0287,0.805,0.0,0.113,0.527,109.831,spotify:track:7kSnTetIKAJZpKV2kEBHsv,260840
Billy Ray Cyrus,Busy Man,17865,0.6,0.568,7,-9.867,1,0.0388,0.106,0.0,0.238,0.475,163.887,spotify:track:55bwRyNowFFB5Kp0Ojkvhx,197267
Shania Twain,That Don't Impress Me Much,17866,0.743,0.873,10,-4.943,0,0.0507,0.14,0.0,0.142,0.965,125.005,spotify:track:4I7DV3MIgxJGlObiy9s6nx,238707
Tyrese,Sweet Lady,17867,0.588,0.522,9,-6.254,0,0.0383,0.233,0.0,0.24,0.584,66.024,spotify:track:1Dx8rIZaXzZPvUQRF2j9hB,290600
Trisha Yearwood,Powerful Thing,17868,0.642,0.846,2,-3.842,1,0.0464,0.42,0.0,0.0402,0.944,147.938,spotify:track:726S7vART4JYDbwIZwvHEm,176920
The Kinleys,Somebody's Out There Watching,17869,0.606,0.805,7,-5.451,1,0.0318,0.125,0.0,0.351,0.44,81.488,spotify:track:1J2q9vOL8xL1MQXFazHB8y,215640
George Strait,Meanwhile,17870,0.518,0.459,7,-6.289,1,0.0283,0.0396,0.00116,0.145,0.165,124.126,spotify:track:58cy25QMhRxpDpYWaEsTRZ,210440
Foxy Brown,Hot Spot,17871,0.895,0.768,10,-6.798,0,0.308,0.000687,4.58e-05,0.0413,0.622,92.943,spotify:track:27vsyn5d9HPSkeLleEnL1x,230000
Gerald Levert,Taking Everything,17872,0.689,0.71,3,-5.395,0,0.0413,0.0886,0.0,0.107,0.306,113.722,spotify:track:7x3ryI2jxZohGo7SZt2Tlq,325667
Backstreet Boys,All I Have To Give,17873,0.731,0.574,1,-7.114,1,0.029,0.0644,0.0,0.0675,0.392,95.995,spotify:track:3hlhefxgyp4MDnN6C2dQ5H,276573
Tevin Campbell,Another Way,17876,0.779,0.537,7,-9.15,1,0.19,0.127,0.0,0.0488,0.856,79.028,spotify:track:0W8YWHeFFimvyPOc0AgRBq,295358
Jennifer Love Hewitt,How Do I Deal,17877,0.596,0.831,5,-6.319,1,0.112,0.017,0.0,0.0766,0.322,94.846,spotify:track:3LtwPeiF7qpP6YFLn9D6K9,203827
Mariah Carey,I Still Believe,17878,0.612,0.521,7,-7.647,1,0.0304,0.174,0.0,0.103,0.175,118.016,spotify:track:2feekrJqyB9lBEBgC54IQn,236467
Alanis Morissette,Unsent,17880,0.392,0.375,2,-8.933,1,0.034,0.389,0.0,0.075,0.103,177.484,spotify:track:1pLbd91sslN51VJL83pm51,250067
Juvenile,Ha,17881,0.865,0.841,7,-5.381,1,0.225,0.022,0.0,0.0714,0.674,91.982,spotify:track:3b0dX6Q2lxp7OX5lFt0nba,292333
Kenny Chesney,How Forever Feels,17882,0.723,0.674,7,-7.427,1,0.0297,0.0986,1.83e-05,0.279,0.61,124.9,spotify:track:2HmMklpgK8vGCpJmPpz1yG,188200
Alabama,Keepin' Up,17883,0.677,0.756,4,-7.063,1,0.0245,0.0272,0.0,0.0981,0.805,133.921,spotify:track:0HgpiaXip83f5BARVLfvu2,185373
Brooks & Dunn,I Can't Get Over You,17885,0.619,0.75,0,-3.523,1,0.0241,0.0228,0.00101,0.0634,0.338,98.21,spotify:track:1dRKK30xdrr7oQD8GxCavL,246560
Dave Matthews Band,Crush,17886,0.564,0.745,0,-6.933,1,0.0411,0.262,2.78e-05,0.108,0.672,94.044,spotify:track:6AKSrodq9kU9hmTLEeWFFr,488734
Vengaboys,We Like To Party!,17887,0.785,0.931,8,-4.813,1,0.0465,0.0148,0.637,0.0459,0.969,135.986,spotify:track:77j9HOrxUpWcjwra9jgvio,222459
Jesse Powell,You,17888,0.722,0.327,0,-9.612,0,0.026,0.299,0.000661,0.0549,0.266,112.249,spotify:track:0hcW7qPqWWJc8189OaqQvX,318467
TLC,No Scrubs,17889,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,spotify:track:1KGi9sZVMeszgZOWivFpxs,214400
Ginuwine,What's So Different,17890,0.798,0.616,11,-8.788,0,0.151,0.00941,5.09e-06,0.0637,0.96,78.884,spotify:track:7jgZiwNyTH08evb3bDLfIy,235400
Chad Brock,Ordinary Life,17892,0.539,0.395,3,-9.289,1,0.0285,0.491,0.0,0.114,0.196,125.057,spotify:track:7606NOPiCXDaqYk1FIT18w,236107
DMX,Ruff Ryders' Anthem,17893,0.88,0.577,10,-8.093,0,0.302,0.0564,1.02e-06,0.201,0.74,90.991,spotify:track:1BKT2I9x4RGKaKqW4up34s,214440
Joey McIntyre,Stay The Same,17894,0.629,0.553,2,-5.773,1,0.0297,0.0249,0.0,0.141,0.285,130.115,spotify:track:34Tq4vFc9aiShjelMTEfdO,227400
Eminem,My Name Is,17896,0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,268400
Hole,Malibu,17897,0.528,0.904,2,-5.854,1,0.0343,0.000833,0.0,0.174,0.678,122.372,spotify:track:5bVOX6eyHsML2sB4aMlZEi,230040
Creed,One,17898,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,spotify:track:42T2QQv3xgBlpQxaSP7lnK,238240
Orgy,Blue Monday,17899,0.589,0.696,8,-8.109,1,0.034,8.65e-05,3.43e-05,0.0779,0.938,129.833,spotify:track:5267gVdYWrLoz6ClOhlqmE,267000
Sawyer Brown,Drive Me Wild,17900,0.651,0.708,2,-7.793,1,0.0258,0.159,0.0,0.162,0.95,128.829,spotify:track:7ldDBX4XPJ3RpMWJorOsJ7,215507
Mark Wills,Wish You Were Here,17903,0.516,0.397,5,-10.278,1,0.0274,0.2,0.0,0.12,0.236,138.075,spotify:track:3pxspEmKcJFmegzjcJjq9l,241960
