artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Beyonce,Listen,20315,0.432,0.637,11,-3.905,1,0.0475,0.416,0.0,0.113,0.187,122.394,spotify:track:4z7Ja0RNran3XpIvc1PIQz,219547
Pretty Ricky,On The Hotline,20316,0.704,0.854,10,-5.477,0,0.183,0.0185,0.0,0.148,0.688,92.988,spotify:track:1zyqZONW985Cs4osz9wlsu,242587
Jason Michael Carroll,Alyssa Lies,20317,0.496,0.602,7,-5.29,1,0.0265,0.334,0.00356,0.147,0.398,75.519,spotify:track:3PJq5Cu74e3bIes9sY7jM1,259573
Cartel,Honestly,20318,0.449,0.903,1,-4.949,1,0.0388,2.48e-05,0.0,0.133,0.583,144.522,spotify:track:0wGWmko6pOeimMMATKGz2I,207333
P!nk,U + Ur Hand,20319,0.709,0.891,0,-3.688,1,0.0528,0.00144,0.0,0.034,0.886,141.04,spotify:track:1iOJQhxKSJ7dg3Dk03yPnl,214387
Jennifer Hudson,And I Am Telling You I'm Not Going,20321,0.464,0.735,5,-5.202,0,0.0861,0.187,0.0,0.161,0.339,122.714,spotify:track:26b2c6d8TBOSNQznQXFdQa,305373
Christina Aguilera,Candyman,20324,0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,spotify:track:5lUTzPuiloBHm1qEaJcJfF,194213
Jordan Pruitt,Jump To The Rhythm,20325,0.763,0.905,0,-3.156,1,0.0335,0.0519,0.0,0.0468,0.76,107.966,spotify:track:4QFbZ1cSkL718J6A8cMJdA,227013
Ashley Tisdale,He Said She Said,20326,0.694,0.709,7,-6.205,0,0.103,0.0966,0.0,0.267,0.566,114.966,spotify:track:0jTTjg6q4jsd2RhuHwTvLj,188000
Mike Jones,Mr. Jones,20327,0.653,0.748,10,-3.89,1,0.133,0.206,0.0,0.0803,0.264,79.974,spotify:track:3LU66Soe9kT5saRxI4wTj6,238947
The Wreckers,"My, Oh My",20328,0.508,0.843,0,-4.433,1,0.0349,0.211,4.16e-05,0.254,0.766,176.043,spotify:track:0fGIhWOJecR9u9Bo9UOTKC,210187
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",20330,0.435,0.887,9,-4.07,1,0.0636,0.000747,0.0,0.0327,0.408,199.935,spotify:track:1oagRT7LfpVlNJN6FSZDGp,212040
Corbin Bleu,Push It To The Limit,20331,0.815,0.906,5,-3.194,0,0.0561,0.0116,2.06e-06,0.0691,0.783,125.974,spotify:track:3K01q0jtSNHeqx5gs97HH2,196960
Nickelback,If Everyone Cared,20332,0.519,0.85,6,-4.678,0,0.0354,0.000246,0.014,0.279,0.211,132.022,spotify:track:44w63XqGr3sATAzOnOySgF,218013
Mims,This Is Why I'm Hot,20335,0.621,0.6,8,-6.349,1,0.576,0.277,0.0,0.495,0.485,80.021,spotify:track:0AA6zq5ArZ1sSH7VIMi4NK,253707
Diddy Featuring Keyshia Cole,Last Night,20337,0.896,0.844,3,-4.231,0,0.1,0.259,0.00121,0.203,0.962,120.997,spotify:track:61u8YHgwacXM9Sm5JOblkp,386147
Lily Allen,Smile,20339,0.632,0.639,5,-5.938,1,0.0259,0.00143,0.0,0.221,0.733,95.506,spotify:track:4aR9bPMAOFySBuQSbVWF3d,196893
The Shins,Phantom Limb,20340,0.515,0.848,9,-4.835,1,0.0375,0.000486,0.0,0.0946,0.475,119.84,spotify:track:3NPiFBw3mA9qbJfo0nhk6X,287567
Brooks & Dunn,Hillbilly Deluxe,20341,0.568,0.829,7,-4.713,1,0.0461,0.312,2.57e-06,0.514,0.551,155.041,spotify:track:1BMhbPsW66IXqksKC8jrCf,258693
My Chemical Romance,Famous Last Words,20342,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,spotify:track:2d6m2F4I7wCuAKtSsdhh83,299227
Kenny Chesney,Beer In Mexico,20344,0.58,0.906,2,-6.976,1,0.0405,0.00119,0.000579,0.0933,0.476,137.97,spotify:track:5pgmgHNxiq9w9XuthMKzJS,271813
Musiq Soulchild,Buddy,20345,0.735,0.839,6,-4.705,0,0.271,0.0534,0.0,0.0942,0.834,89.942,spotify:track:0447V6bjlw5ERYGu3BEBnB,223813
Jonas Brothers,Year 3000,20346,0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,spotify:track:4zP7ADsgJgHGY6VzxbNp1z,201960
Katharine McPhee,Over It,20347,0.462,0.801,8,-4.191,1,0.0664,0.0415,0.0,0.0523,0.491,84.541,spotify:track:6RB4Z9DwTWaVgyNg3dR9p9,215200
Modest Mouse,Dashboard,20348,0.639,0.903,11,-5.013,0,0.0371,0.00963,7.06e-05,0.174,0.96,135.938,spotify:track:0Fe3WxeO6lZZxj7ytvbDUh,246173
Vanessa Hudgens,Say OK,20349,0.469,0.689,9,-7.017,0,0.0475,0.00607,0.00119,0.114,0.531,126.505,spotify:track:73qbBlEAcm2HfnAaSnP1II,221867
Jack Ingram,Lips Of An Angel,20350,0.481,0.695,9,-4.29,1,0.0307,0.00963,0.0,0.103,0.276,131.802,spotify:track:7CnuusZCdhzNQlPdUDBhcA,227453
MIKA,Grace Kelly,20351,0.671,0.82,0,-5.796,1,0.048,0.0194,0.0133,0.361,0.685,122.361,spotify:track:7dzUZec5MnWMyQnk5klnKR,187733
Norah Jones,Thinking About You,20352,0.65,0.299,8,-10.76,1,0.03,0.605,0.0118,0.219,0.294,123.597,spotify:track:0suRVpl5fIZVm7PuROSRsQ,197280
Carrie Underwood,Wasted,20355,0.548,0.775,8,-3.285,1,0.0306,0.0936,0.0,0.0721,0.311,94.998,spotify:track:5d98TnYzxQmFE4vKgzWXuT,274267
Ashley Tisdale,Be Good To Me,20356,0.655,0.857,0,-4.148,1,0.0994,0.141,0.0,0.298,0.719,97.994,spotify:track:0yfcOmDBSaW1fGY1PHuwU3,213827
Sugarland,Settlin',20357,0.624,0.934,3,-1.825,1,0.0479,0.112,0.000221,0.127,0.573,122.056,spotify:track:63fKCxwRWqvp2Z6HQ6MHXU,207067
