artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Leon Russell,Back To The Island,9188,0.407,0.509,3,-14.426,1,0.0809,0.111,0.0,0.117,0.492,187.357,spotify:track:1ctRXRqAQ10hJm6kaCZ2Lw,325267
Penny Mclean,Lady Bump,9189,0.831,0.511,2,-14.578,0,0.115,0.00343,0.000686,0.0519,0.965,122.038,spotify:track:31UBcyZkwJRy2ZV5XpMlxh,226640
Queen,Bohemian Rhapsody,9190,0.392,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,spotify:track:7tFiyTwD0nx5a1eklYtX2J,354320
Rufus Featuring Chaka Khan,Sweet Thing,9191,0.71,0.387,9,-12.82,1,0.0484,0.725,0.00617,0.113,0.806,80.557,spotify:track:0bqZnsPz4klg5TuWGcKb34,200147
Andrew Gold,That's Why I Love You,9192,0.723,0.508,1,-13.064,0,0.0299,0.187,0.0,0.141,0.738,108.838,spotify:track:32UirU3g11p8OyeM6yMVqS,190760
Dr. Hook,Only Sixteen,9193,0.628,0.189,5,-16.61,1,0.0321,0.889,6.47e-06,0.115,0.609,100.342,spotify:track:41hirbtJ1ShR5wGZcrnu4p,167400
Jim Croce,Chain Gang Medley,9194,0.468,0.341,4,-14.555,1,0.0393,0.667,9.3e-05,0.177,0.594,136.639,spotify:track:0I4NBICw3ljkcXuzYTAsTj,280360
Gary Wright,Dream Weaver,9195,0.266,0.389,4,-13.682,1,0.0305,0.244,1.42e-06,0.0688,0.148,140.243,spotify:track:74DrA5fFoGSy4xgkZarZtP,256173
Norman Connors,Valentine Love,9196,0.589,0.502,5,-8.853,1,0.0725,0.291,4.39e-05,0.117,0.352,97.332,spotify:track:1ZipqVhXAsddqVolbrArMS,227160
Larry Groce,Junk Food Junkie,9198,0.44,0.655,4,-8.424,1,0.432,0.627,0.0,0.607,0.899,205.187,spotify:track:00HnYt4dGTSZJIxywDcs7P,196347
George McCrae,Honey I,9200,0.6,0.781,0,-13.005,0,0.0712,0.17,1.79e-06,0.0329,0.78,116.621,spotify:track:0NF4EK2PXB1HtlWVC9l0yb,231747
Willie Nelson,Remember Me,9201,0.639,0.203,2,-16.784,1,0.0518,0.865,0.00253,0.308,0.666,147.868,spotify:track:4EZyOclvM6qbLdiKEbot4l,170360
Black Oak Arkansas,Strong Enough To Be Gentle,9202,0.306,0.48,9,-11.983,0,0.0328,0.648,0.444,0.63,0.361,142.01,spotify:track:2zG81fF0JLeakJBPQPDdNw,327560
Rod Stewart,This Old Heart Of Mine,9203,0.672,0.437,9,-14.336,1,0.0284,0.322,0.0233,0.0612,0.837,98.701,spotify:track:0WVUwc5W4rhuBpgGD1yRdi,246387
Dionne Warwick,Once You Hit The Road,9204,0.798,0.609,7,-11.292,1,0.0336,0.0557,3.91e-05,0.0504,0.899,116.714,spotify:track:65LQRYMXKnLzroeUazcgQV,245413
S.S.O.,Tonight's The Night,9208,0.668,0.793,6,-9.023,1,0.126,0.0336,0.398,0.13,0.869,96.206,spotify:track:5Gxa3zKb3xoS9G0y4fJnP1,170507
Smokey Robinson,Quiet Storm,9209,0.218,0.583,9,-8.638,1,0.0492,0.55,2.95e-06,0.135,0.383,170.835,spotify:track:1JhpdM2PtIsKC0lrBTPSAK,468653
