artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Jordan Smith,Mary Did You Know,23870,0.522,0.41,6,-4.998,0,0.026,0.787,0.0,0.124,0.459,103.102,spotify:track:0Mfbc7b4veAMEiWOffph5q,199760
Emily Ann Roberts,Burning House,23871,0.516,0.311,2,-5.842,1,0.0279,0.835,0.0,0.143,0.481,141.83,spotify:track:4hgrcrkcaHtsdKU35RZyn6,186853
Chris Brown,Back To Sleep,23872,0.647,0.646,9,-5.483,0,0.243,0.0424,0.0,0.0888,0.721,92.981,spotify:track:6dlpABcXrQKRU9G00i6Zba,201253
Cole Swindell,You Should Be Here,23873,0.489,0.641,7,-4.455,1,0.0282,0.0592,0.0,0.0857,0.303,136.095,spotify:track:63thx7OANplv4I4BQsanHk,190173
Jordan Smith,Climb Every Mountain,23874,0.211,0.498,6,-5.391,1,0.028,0.447,7.72e-05,0.159,0.362,99.428,spotify:track:6GtMaEfcLyzwfglzSlqzyX,190440
Andy Grammer,Good To Be Alive (Hallelujah),23875,0.797,0.896,5,-3.678,1,0.0512,0.0349,0.0,0.635,0.685,120.037,spotify:track:3gHc5XTAywdFQUsHS6DD7G,189098
Bryson Tiller,Sorry Not Sorry,23877,0.681,0.608,1,-6.093,1,0.207,0.0477,0.0,0.225,0.262,97.934,spotify:track:16bHRxM89ue0TiCKARYbRp,200760
Tori Kelly,Hollow,23878,0.606,0.656,2,-6.85,0,0.0361,0.0187,0.00654,0.44,0.454,126.044,spotify:track:160hN2OsDXnmgExwtG7cvD,210606
Chris Brown,Zero,23879,0.731,0.818,1,-4.564,0,0.0638,0.0517,0.0,0.0743,0.812,120.993,spotify:track:3wrP2GVxWH8VpHPOsKhYgz,214600
Chris Brown,Little More (Royalty),23880,0.632,0.516,6,-8.088,1,0.035,0.0195,0.0,0.139,0.328,133.71,spotify:track:4lvQiZUhHgG8Oldd8S97hd,260453
Kevin Gates,Really Really,23881,0.762,0.666,0,-6.055,1,0.0916,0.00427,0.0,0.127,0.278,118.97,spotify:track:10I3CmmwT0BkOVhduDy53o,232093
James Bay,Let It Go,23882,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,spotify:track:13HVjjWUZFaWilh2QUJKsP,260533
Future,Stick Talk,23883,0.729,0.672,7,-6.749,1,0.282,0.0265,0.0,0.244,0.595,159.903,spotify:track:20fAoPjfYltmd3K3bO7gbt,171333
Jason Derulo,Get Ugly,23884,0.75,0.683,9,-4.829,0,0.12,0.0462,1.32e-06,0.297,0.539,111.066,spotify:track:1dl3vuXJS9anUXE7XnNP75,200492
2 Chainz,Watch Out,23885,0.899,0.504,8,-6.758,0,0.5,0.826,0.0,0.052,0.537,129.89,spotify:track:22DKsoYFV5npPXmnPpXL7i,207813
Eric Church,Mr. Misunderstood,23886,0.385,0.808,7,-6.67,1,0.045,0.0629,0.0,0.33,0.546,129.22,spotify:track:79dlQxvdsCDApoM8XChkpy,319240
Keith Urban,Break On Me.,23887,0.618,0.764,8,-7.086,1,0.0299,0.379,0.000211,0.108,0.447,87.012,spotify:track:2wu2C3Tij2Prb7LIbutDqB,208360
Florida Georgia Line,Confession,23888,0.549,0.878,1,-5.066,1,0.0358,0.106,6.07e-05,0.176,0.44,104.98,spotify:track:6IFPfV8PNSYOmufzQ95hmm,190640
Carrie Underwood,Heartbeat,23889,0.54,0.766,1,-4.478,1,0.05,0.606,0.0,0.0903,0.435,139.999,spotify:track:05BgC2247XGi8ySwBzOO0o,209920
Jeremih,Oui,23890,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,spotify:track:0PJIbOdMs3bd5AT8liULMQ,238320
Kevin Gates,2 Phones,23892,0.895,0.681,7,-5.267,0,0.358,0.157,0.0,0.189,0.554,121.918,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,240000
Chris Stapleton,Nobody To Blame,23893,0.534,0.666,9,-9.471,1,0.0335,0.0143,0.0615,0.113,0.59,87.401,spotify:track:4WRRCuJYRq7gUKiupxVH9W,244147
David Bowie,Lazarus,23894,0.66,0.695,9,-6.896,0,0.029,0.0466,0.145,0.0854,0.506,129.972,spotify:track:3Vn9oCZbdI1EMO7jxdz2Rc,382387
David Bowie,Blackstar,23895,0.366,0.552,6,-8.35,1,0.0317,0.206,0.0595,0.178,0.114,97.98,spotify:track:0Fao855T3klV3REFRFHRF3,597933
Brett Eldredge,Drunk On Your Love,23896,0.443,0.831,11,-5.606,1,0.0616,0.414,0.0,0.204,0.588,182.064,spotify:track:1jNNHFZmRGXZFHlil5uhei,173960
Mike Posner,I Took A Pill In Ibiza,23898,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,197933
