artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
X-Ecutioners,It's Goin' Down,18797,0.685,0.89,8,-3.943,0,0.253,0.00183,0.0107,0.0473,0.878,104.919,spotify:track:7qFEFcjmSAtODGtLYqraCq,248267
Nappy Roots,Awnaw,18798,0.718,0.675,7,-4.085,1,0.265,0.00566,0.0,0.177,0.702,160.026,spotify:track:37RC87Ce8jeeKmnpYNExhP,239400
Shakira,Underneath Your Clothes,18800,0.616,0.597,8,-5.328,1,0.0415,0.691,0.0,0.104,0.362,165.508,spotify:track:15f8Cv8RXUlOOCIf2oaceN,224067
Jimmy Eat World,The Middle,18801,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,spotify:track:6GG73Jik4jUlQCkKg9JuGO,165853
P. Diddy Featuring Usher & Loon,I Need A Girl (Part One),18802,0.688,0.409,10,-8.304,0,0.053,0.000695,0.0,0.273,0.647,178.583,spotify:track:7x6dNrtwRBKwJtLsENBhYC,288547
Maxwell,This Woman's Work,18803,0.467,0.329,8,-9.165,1,0.0326,0.676,3.69e-05,0.108,0.141,113.643,spotify:track:741OE401HO7ZCaPhEqCZ7w,240320
Alan Jackson,Drive (For Daddy Gene),18804,0.713,0.579,11,-8.066,1,0.0413,0.338,0.0,0.174,0.511,125.179,spotify:track:1FV374EPG5CrjdIbIMLkcv,242733
Nickelback,Too Bad,18805,0.598,0.808,10,-5.209,1,0.0388,0.00304,0.0,0.147,0.288,128.025,spotify:track:2cCWbBmadLbKvr9xddC79R,232240
Emerson Drive,I Should Be Sleeping,18806,0.464,0.895,5,-4.16,0,0.145,0.243,0.0,0.0687,0.674,164.404,spotify:track:28CnmZkM5CFp0ObTRQJeCw,177000
Toya,No Matta What (Party All Night),18807,0.676,0.822,8,-5.427,1,0.0919,0.0957,0.0,0.0762,0.386,81.079,spotify:track:6jCLSGa6VpnHu5kc3d3j9E,208733
Goo Goo Dolls,Here Is Gone,18808,0.338,0.685,1,-5.178,1,0.0322,0.00052,0.000512,0.109,0.221,102.192,spotify:track:4KqTGPPmXowMPEoShSVOta,238173
Avant,Makin' Good Love,18809,0.794,0.634,9,-3.819,0,0.0381,0.245,0.0,0.2,0.736,142.254,spotify:track:6Q13UWFUuqXLXT7IUVkqM1,271387
Musiq,halfcrazy,18810,0.412,0.77,11,-6.057,0,0.18,0.462,1.5e-06,0.0485,0.418,101.955,spotify:track:3oXNIpoUMdk8qGkwCeXqGv,254493
Angie Stone,Wish I Didn't Miss You,18811,0.856,0.755,10,-5.691,1,0.0331,0.355,0.000621,0.145,0.842,123.883,spotify:track:3tZm76otWH20xzJC7icHCk,270893
Tanto Metro & Devonte,Give It To Her,18812,0.6,0.583,9,-6.617,0,0.281,0.0918,0.0,0.0992,0.763,126.517,spotify:track:00FU5uypELwgQuM9IbFC6G,209053
Travis Tritt,Modern Day Bonnie And Clyde,18814,0.647,0.874,9,-5.075,0,0.0337,0.101,1.79e-05,0.277,0.918,89.727,spotify:track:58rdbCe3SBJuJeWEJa8Htm,284173
Ms. Jade,Feel The Girl,18817,0.905,0.635,4,-7.889,0,0.308,0.471,0.000143,0.113,0.722,103.933,spotify:track:1ONo2x3Lv4vhWoEd5A7U4q,246133
Steve Azar,I Don't Have To Be Me ('til Monday),18818,0.497,0.717,8,-4.224,1,0.0303,0.201,0.0,0.0458,0.771,168.999,spotify:track:5v1bA7NmQcQHvH9IDkeeF4,196952
Alicia Keys,How Come You Don't Call Me,18819,0.83,0.544,6,-7.663,0,0.0506,0.155,0.000597,0.0583,0.767,124.536,spotify:track:3HpIdPgb1669AcBwuqZo0p,237600
George Strait,Living And Living Well,18820,0.602,0.683,1,-6.82,1,0.0304,0.347,0.00338,0.11,0.522,120.787,spotify:track:3YxKqZFpcxBPvpUssL8FS2,218307
