artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Gladys Knight And The Pips,Love Overboard,14208,0.811,0.658,3,-11.787,0,0.0497,0.144,0.000394,0.0468,0.947,108.266,spotify:track:2dykYf0mZG217bYkiREKEh,326733
George Michael,Father Figure,14209,0.689,0.333,3,-13.288,1,0.0262,0.163,3.36e-05,0.0853,0.284,101.988,spotify:track:0L0T4tMAaGqLgIVj1MOj9t,336667
Belinda Carlisle,I Get Weak,14210,0.583,0.732,10,-10.134,1,0.0288,0.357,1.03e-06,0.101,0.369,103.38,spotify:track:2B1ylFlO2nBGJdPNb9vMnn,292293
David Lee Roth,Just Like Paradise,14211,0.611,0.853,2,-4.983,1,0.034,0.0219,0.0,0.671,0.376,135.558,spotify:track:5ZY7Gug850kv4heJcWZGHM,243280
Sting,Be Still My Beating Heart,14212,0.659,0.468,7,-16.647,1,0.0395,0.266,0.000525,0.0427,0.505,101.422,spotify:track:58me6gfG81fNG4v3dpRhh5,334133
Keith Sweat,I Want Her,14213,0.757,0.496,11,-8.031,0,0.0467,0.00219,9.27e-05,0.0395,0.862,107.963,spotify:track:24gxdUxufJ5eSamdYcPAKH,221400
Richard Marx,Endless Summer Nights,14215,0.582,0.467,10,-12.597,1,0.0391,0.12,0.0,0.298,0.879,165.21,spotify:track:2iXH35MhsqO5Ry8a7iptpJ,270693
Def Leppard,Hysteria,14216,0.659,0.846,7,-5.508,1,0.0274,0.0318,0.0144,0.203,0.659,107.01,spotify:track:2PFIZFcGry0po3ZfRZkzKc,354636
The Jets,Rocket 2 U,14217,0.889,0.651,2,-7.264,0,0.0437,0.0312,0.00909,0.0739,0.967,119.784,spotify:track:6EAlodKHBI1HxpSozNegwv,258093
Michael Bolton,(Sittin' On) The Dock Of The Bay,14218,0.464,0.525,2,-13.806,1,0.0566,0.192,7.23e-06,0.268,0.565,178.352,spotify:track:0tvKT0EdO4Gm1nw7rgiHHa,231240
Elisa Fiorillo,How Can I Forget You,14219,0.668,0.686,1,-11.64,1,0.037,0.0552,6.81e-05,0.138,0.781,138.214,spotify:track:5d8byUVc57r4axH3JLbLAX,238980
The Cars,Coming Up You,14220,0.751,0.662,2,-11.467,1,0.0329,0.589,0.000207,0.249,0.886,131.092,spotify:track:21N0FmrBzp8uxQkUt4JcQf,259000
Great White,Save Your Love,14221,0.455,0.441,7,-13.387,1,0.028,0.341,0.00133,0.163,0.163,111.648,spotify:track:1X1TonvQws8wxagWJmnUNj,346027
Carly Simon,All I Want Is You,14224,0.68,0.504,5,-14.922,0,0.0265,0.209,2.2e-05,0.118,0.874,126.811,spotify:track:6joaljcemJFCZi5zrg6Zf8,237693
Debbie Gibson,Out Of The Blue,14225,0.655,0.649,10,-10.018,1,0.0295,0.0188,3.13e-06,0.186,0.75,125.592,spotify:track:3A0wRQczzSNVtZfK8IBOMt,233333
The Communards,Never Can Say Goodbye,14226,0.583,0.835,5,-7.984,1,0.0286,0.046,0.0436,0.208,0.864,132.18,spotify:track:6A48JrV1QyIbmd5cZglvRl,285067
Scarlett & Black,You Don't Know,14227,0.356,0.916,0,-8.597,1,0.0349,0.693,0.284,0.0972,0.878,113.05,spotify:track:2vE3Mc1AsQRMWELaCY0ZEp,219867
Pebbles,Girlfriend,14228,0.963,0.822,2,-6.642,1,0.106,0.475,0.0,0.17,0.908,118.499,spotify:track:38bP8r9yx49g6pdQ90NH1X,256493
Jody Watley,Some Kind Of Lover,14229,0.827,0.596,0,-13.486,1,0.0559,0.0744,0.0266,0.0768,0.899,118.73,spotify:track:7mJq5UJOfh5yzyjCaiPaZH,249440
Aerosmith,Angel,14230,0.239,0.819,3,-3.583,1,0.0393,0.304,0.0,0.0855,0.439,171.449,spotify:track:3kfXUGIdBNpyr2gBvU3Guj,308907
R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),14231,0.381,0.894,7,-8.638,1,0.037,0.0258,0.0,0.0251,0.797,205.528,spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,246933
Wa Wa Nee,Stimulation,14232,0.773,0.793,9,-10.176,0,0.0338,0.0145,0.00177,0.015,0.97,123.47,spotify:track:0vEAc9Jju5tyyM8i9jl6cp,212480
Michael Jackson,Man In The Mirror,14233,0.808,0.812,8,-5.012,1,0.0381,0.52,7.91e-05,0.134,0.269,100.331,spotify:track:1kiNatIrwDusOZfR29W0LJ,318680
George Harrison,When We Was Fab,14234,0.507,0.6,5,-9.088,1,0.0236,0.59,0.00408,0.291,0.387,92.416,spotify:track:6fAADiK2jnjdm5QRI7hSYc,239853
John Mellencamp,Check It Out,14235,0.608,0.834,0,-3.584,1,0.0239,0.0176,1.8e-05,0.12,0.615,105.782,spotify:track:2PZFLJLct6yrvBcCNEkAw0,259227
Rick Springfield,Rock Of Life,14236,0.506,0.701,2,-5.503,0,0.0652,0.107,0.0,0.0377,0.668,164.159,spotify:track:73hyTd7EOZHnxDNjCFUVav,232013
Prince,Hot Thing,14237,0.758,0.531,1,-14.232,0,0.073,0.00169,0.0153,0.0404,0.542,108.667,spotify:track:3XtyMoijOswKgQbpjDQnOz,338655
Stevie Wonder,You Will Know,14238,0.589,0.228,3,-21.515,0,0.0273,0.687,4.48e-06,0.114,0.503,170.19,spotify:track:57cWjbPx6Wxt92omcmrRxu,300267
Gene Loves Jezebel,The Motion Of Love,14240,0.561,0.872,11,-7.486,0,0.0394,0.0463,0.0,0.105,0.733,111.556,spotify:track:54Fyw4AJFqDhwzKxuZqQhh,232667
Billy Ocean,"Get Outta My Dreams, Get Into My Car",14242,0.666,0.91,4,-6.457,1,0.0399,0.0874,8.41e-06,0.336,0.919,117.14,spotify:track:2D4D3hiOf5U0W6SvJoCQph,284373
INXS,Devil Inside,14243,0.501,0.784,0,-5.254,1,0.0699,0.0028,0.536,0.12,0.61,75.5,spotify:track:3m4OWJ3Ovl0pXwT79bw94N,314608
"Earth, Wind & Fire",Thinking Of You,14244,0.741,0.837,3,-12.953,1,0.0357,0.117,0.00194,0.127,0.88,116.124,spotify:track:6DOXo042sAORxIuZV67qKC,281747
Whitesnake,Give Me All Your Love,14245,0.196,0.936,9,-6.401,0,0.113,0.000895,0.000109,0.0827,0.152,102.731,spotify:track:3uBV7qO7PSMatjXySYy6eo,208133
Steve Winwood,Talking Back To The Night,14246,0.735,0.65,7,-10.736,0,0.0289,0.654,0.0742,0.0831,0.937,126.37,spotify:track:09rPMrDjbJw8RUef9TXh7N,343000
Icehouse,Electric Blue,14247,0.688,0.909,10,-4.756,1,0.0354,0.0608,1.97e-06,0.1,0.641,109.673,spotify:track:5aWvinQcbc1W1WdP0GQ6J1,263680
Henry Lee Summer,I Wish I Had A Girl,14248,0.636,0.594,9,-10.56,1,0.0276,0.06,0.0,0.351,0.86,127.702,spotify:track:6WoN3Qbw1FfayeJy09rFzR,264427
Tommy Shaw,Ever Since The World Began,14249,0.568,0.512,7,-11.447,1,0.0298,0.349,0.0,0.147,0.432,128.21,spotify:track:2ZwJYZSzaWc5V5V5V5FUuE,248707
Louis Armstrong,What A Wonderful World,14250,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,spotify:track:29U7stRjqHU6rMiS8BfaI9,139227
Taylor Dayne,Prove Your Love,14251,0.399,0.971,2,-5.076,1,0.0515,0.338,1.9e-05,0.359,0.772,118.015,spotify:track:6qwTCkJ7red7bQsPxvgHaD,206187
Heart,I Want You So Bad,14252,0.322,0.529,9,-13.676,0,0.0326,0.25,0.00015,0.181,0.358,124.62,spotify:track:1aupoGq6oWjYKOKbabJ0Bm,261640
Morris Day,Fishnet,14253,0.736,0.729,11,-14.074,1,0.0418,0.0104,0.0314,0.667,0.713,110.936,spotify:track:7wBfVgLHlr3GvCO6hqgRyu,366067
Toto,Pamela,14254,0.583,0.414,5,-16.409,1,0.0289,0.13,0.000616,0.064,0.532,97.542,spotify:track:3LFdvM7nIV8t02zyhYLvJo,309533
So,Are You Sure,14257,0.98,0.322,0,-19.64,1,0.175,0.971,0.622,0.0599,0.367,120.141,spotify:track:3pSq2T4zV4fHOS8XtNRU4E,30653
Whitney Houston,Where Do Broken Hearts Go,14258,0.462,0.385,2,-12.173,1,0.0291,0.635,0.0,0.0682,0.244,61.876,spotify:track:7tLtIZclwLWk54PFAyDv5T,277600
Tiffany,I Saw Him Standing There,14259,0.597,0.725,7,-12.347,1,0.0417,0.106,0.000766,0.13,0.963,160.326,spotify:track:7ujeMX32d72A3mcTytAlbv,256800
Bruce Springsteen,One Step Up,14260,0.527,0.381,10,-17.408,1,0.0299,0.0546,0.00965,0.0842,0.295,150.162,spotify:track:3ICZte49haM8ID7H6LSSjb,261827
The Deele,Two Occasions,14262,0.543,0.667,9,-9.546,0,0.0716,0.0259,3.96e-05,0.299,0.559,169.633,spotify:track:0mt80ksFAwPHXyAlArU5Yc,258427
