artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
The Police,Wrapped Around Your Finger,12641,0.747,0.448,9,-11.522,0,0.0345,0.0904,0.000185,0.0631,0.608,127.689,spotify:track:400ZJAUFuEuIGXhr7ie4xf,313707
Quiet Riot,Bang Your Head (Metal Health),12642,0.494,0.933,2,-5.977,1,0.0808,0.0434,0.00108,0.228,0.507,121.201,spotify:track:28clONjZmul6FjfO6tZQDE,316867
D Train,Something's On Your Mind,12643,0.805,0.678,5,-6.897,0,0.0704,0.0124,1.26e-05,0.337,0.84,100.995,spotify:track:38IFDH9xxFPto4jkpyjVvR,396841
Patti LaBelle,If Only You Knew,12644,0.544,0.371,4,-10.991,1,0.0388,0.861,0.000463,0.069,0.145,132.972,spotify:track:2fH13RdhsEIc11X0o9enUX,286653
"Evelyn ""Champagne"" King",Action,12645,0.835,0.666,0,-8.805,1,0.0417,0.022,0.0393,0.0918,0.811,120.007,spotify:track:3gJ1OC8hwp1A4SyAXaNLtr,350987
Van Halen,Jump,12646,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,spotify:track:7N3PAbqfTjSEU1edb2tY8j,241600
Duran Duran,New Moon On Monday,12647,0.536,0.869,7,-4.56,1,0.151,0.449,2.16e-06,0.635,0.425,122.218,spotify:track:74tXc7WOWxEDZahXcyPG9D,256280
Kenny Rogers,This Woman,12648,0.705,0.84,7,-4.496,0,0.0317,0.156,3.01e-06,0.337,0.906,116.409,spotify:track:1BRy02BYMn09m0tMrbOZUy,238293
Huey Lewis & The News,I Want A New Drug,12649,0.672,0.897,2,-4.92,1,0.0541,0.0786,6.4e-06,0.389,0.777,110.289,spotify:track:0mZNKyrUmsrlDRoYHWsyMu,211840
Musical Youth,She's Trouble,12650,0.867,0.516,11,-15.565,1,0.0383,0.225,0.000897,0.0604,0.964,125.257,spotify:track:0QzmoqQRlmjxyLXGKYoeU8,188200
Donna Summer,Love Has A Mind Of Its Own,12651,0.517,0.344,9,-14.437,0,0.0323,0.274,0.0,0.0783,0.322,136.324,spotify:track:4UcqvPYHj95XXTtPdhOmWG,258160
Jackson Browne,For A Rocker,12652,0.505,0.549,2,-11.793,1,0.0369,0.0124,3.44e-06,0.353,0.778,147.022,spotify:track:76Inmt7MZhUrPnDcoRcRjm,244867
U2,I Will Follow,12653,0.36,0.909,8,-6.827,1,0.0663,0.000347,3.28e-05,0.282,0.647,155.293,spotify:track:0T702y9ndzZTnPq1bqiAM2,217387
John Lennon,Nobody Told Me,12654,0.712,0.936,2,-4.246,1,0.0364,0.177,0.000837,0.0443,0.917,118.425,spotify:track:31QuJZfFiMk1uOawow8ejS,214280
Tina Turner,Let's Stay Together,12655,0.671,0.802,8,-5.792,0,0.0691,0.635,0.00069,0.119,0.492,104.401,spotify:track:19DVNifOaTnuP0iq1kTqgW,316747
Howard Jones,New Song,12656,0.753,0.716,5,-11.656,1,0.0425,0.192,0.0861,0.0677,0.807,112.336,spotify:track:2R61SRfdxPbT7pXrgDgqQs,255400
Manfred Mann's Earth Band,Runner,12658,0.756,0.549,5,-9.211,1,0.0803,0.573,0.0,0.153,0.151,121.313,spotify:track:5rZEwaX1djVKENG5niacMS,224213
The Deele,Body Talk,12659,0.908,0.448,9,-9.968,0,0.0847,0.0681,0.000138,0.0616,0.847,124.174,spotify:track:61U6aXX0GsRcf6h6JXnj7u,336627
Christine McVie,Got A Hold On Me,12661,0.75,0.787,4,-5.127,1,0.0292,0.144,1.88e-05,0.0513,0.718,129.37,spotify:track:0FCgqHNdcbhGIEmU8r6ZF1,232907
Eurythmics,Here Comes The Rain Again,12662,0.648,0.755,0,-7.901,1,0.03,0.0139,0.000253,0.225,0.607,126.341,spotify:track:78RIER8V6EhrqVPOBi2GYa,294587
Kenny Loggins,Footloose,12663,0.546,0.895,9,-7.189,1,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,spotify:track:6W2VbtvMrDXm5vYeB7amkO,220707
Rockwell,Somebody's Watching Me,12664,0.773,0.505,1,-10.357,0,0.0329,0.103,0.000138,0.0729,0.891,124.131,spotify:track:6hci8n9UowepjRmCc6CKTv,238773
The Pointer Sisters,Automatic,12665,0.803,0.656,5,-7.53,1,0.0556,0.0934,0.0,0.324,0.926,110.544,spotify:track:38TuEl4QqLM1VtJ5LK6FK0,287013
UB40,Red Red Wine,12666,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32e-05,0.269,0.843,89.119,spotify:track:4uOKFydzAejjSFqYbv1XPt,183733
Billy Idol,Rebel Yell,12667,0.53,0.864,4,-4.948,0,0.061,0.000753,0.000459,0.354,0.484,166.312,spotify:track:4TIJ7zSBNejpoIPaWpWRKc,288533
Stray Cats,Look At That Cadillac,12668,0.507,0.613,9,-10.629,1,0.033,0.107,0.0,0.355,0.799,143.032,spotify:track:50PCumyqMXOvzuJSWrTAcj,241160
Jenny Burton,Remember What You Like,12670,0.675,0.882,11,-14.319,0,0.0562,0.18,0.00267,0.0965,0.708,116.707,spotify:track:3zOGILD2cGfg9RDID1EEsX,427107
John Cafferty & The Beaver Brown Band,Tender Years,12671,0.534,0.45,7,-13.076,1,0.0255,0.0111,7.31e-05,0.535,0.63,101.288,spotify:track:2cL360CDEVWtavnqLu32sI,282440
Paul Young,Come Back And Stay,12673,0.624,0.803,6,-7.985,0,0.0729,0.116,1.15e-05,0.293,0.8,130.834,spotify:track:1r3YUTAwY0Y7tyV9Xcgps8,264853
Big Country,Fields Of Fire,12674,0.592,0.907,5,-8.87,1,0.0584,0.00111,0.0862,0.0954,0.613,123.815,spotify:track:7f7bSSvBqxn6WAHTRZMWHB,211467
The Rolling Stones,She Was Hot,12675,0.487,0.966,7,-4.29,1,0.0577,0.0314,0.0949,0.0914,0.721,151.781,spotify:track:7hUlZfirjFpQwzoE5GFwyL,281173
Motley Crue,Looks That Kill,12677,0.485,0.945,0,-5.954,1,0.0402,0.0033,0.00525,0.0997,0.731,135.957,spotify:track:5uRN4EmPA7BWs5f4xsIl0Z,249013
Adam Ant,Strip,12678,0.684,0.849,11,-6.562,0,0.0478,0.138,0.0,0.636,0.75,124.988,spotify:track:4Aj9ptiGlLl3CidNeK1nVi,228707
ABC,That Was Then But This Is Now,12680,0.611,0.767,5,-13.926,1,0.0365,0.0036,0.00306,0.699,0.856,129.873,spotify:track:2KhiMFCK1mofCz239BLxpj,214267
Michael Jackson,Thriller,12681,0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427,spotify:track:7azo4rpSUh8nXgtonC6Pkq,358053
Thompson Twins,Hold Me Now,12683,0.787,0.516,7,-12.792,1,0.0332,0.66,1.1e-05,0.293,0.882,108.19,spotify:track:0BJU4rYOfj43xHw6gvTIwE,286667
April Wine,This Could Be The Right One,12684,0.417,0.861,4,-6.844,0,0.0393,0.311,0.000304,0.36,0.746,144.565,spotify:track:0nhdWg5K2cuBzQvIQcrPMh,243533
Cheryl Lynn,Encore,12685,0.703,0.84,1,-9.805,1,0.0485,0.0333,0.000396,0.997,0.88,108.763,spotify:track:48ifRcXHbUjc1moUjJcwhx,319760
Patti Austin,It's Gonna Be Special,12686,0.713,0.834,6,-5.835,0,0.0672,0.433,0.0,0.841,0.733,121.809,spotify:track:4lnCRePjuHHEo2YNyPcA7g,259013
Bette Midler,Beast Of Burden,12687,0.577,0.788,4,-6.813,1,0.0309,0.00727,1.27e-05,0.0637,0.914,105.428,spotify:track:6TgqY8Vfm4StBe8hsxi3Ti,225867
Blue Oyster Cult,Shooting Shark,12688,0.625,0.666,0,-10.446,1,0.0306,0.01,0.00078,0.107,0.743,106.996,spotify:track:2hIPXxsglGrqR1O7j4zt9H,430173
Dazz Band,Joystick,12690,0.868,0.946,4,-5.132,0,0.0468,0.309,0.0228,0.159,0.975,128.001,spotify:track:61MfGE3iEbkzPEaIDVRrTP,323627
Daryl Hall John Oates,Adult Education,12691,0.66,0.749,9,-7.282,0,0.0372,0.0371,3.74e-05,0.042,0.932,91.464,spotify:track:3sIsG7vDZr17BVimMeZZQS,323613
Dwight Twilley,Girls,12692,0.706,0.727,0,-11.698,1,0.0316,0.0269,0.0,0.192,0.957,130.047,spotify:track:29PjsPnoE2FX5xqyciLOu3,211160
Queen,Radio Ga Ga,12693,0.744,0.502,5,-7.705,1,0.0359,0.179,0.000172,0.19,0.655,112.345,spotify:track:1HmzAZUvhQLhLo2z3ocpZI,348227
