artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Huncho Jack,Modern Slavery,24730,0.765,0.733,4,-3.509,0,0.165,0.00186,0.0,0.297,0.495,133.966,spotify:track:7J6bnDDitOwfelaJNixHhL,148560
Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley),24731,0.439,0.681,0,-5.516,1,0.15,0.101,0.000232,0.395,0.3,168.082,spotify:track:7ER7vcy7u2ajg5IV45WBFw,251284
Huncho Jack,Black & Chinese,24732,0.668,0.844,1,-4.151,1,0.0956,0.00389,0.00879,0.119,0.33,159.108,spotify:track:628Ueb4sRiXApObhcU9iPU,172017
Huncho Jack,Huncho Jack,24735,0.793,0.574,5,-3.509,0,0.0435,0.011,0.0,0.156,0.0601,136.982,spotify:track:5vuiHi3QYbwcm1OKJOYnrf,199227
Huncho Jack,Motorcycle Patches,24736,0.868,0.657,8,-4.853,1,0.113,0.0158,0.0,0.0995,0.436,162.867,spotify:track:7g7raxdQpiLZT7aOlib4S1,191410
Huncho Jack,Saint,24737,0.866,0.648,1,-3.675,1,0.0543,0.009,0.0,0.0967,0.0798,150.058,spotify:track:7foypmc7KZyU716Yv63BPe,140793
Migos,Stir Fry,24738,0.817,0.816,2,-5.402,1,0.269,0.00263,0.0,0.159,0.508,181.982,spotify:track:2UVbBKQOdFAekPTRsnkzcf,190288
WALK THE MOON,One Foot,24740,0.582,0.822,0,-4.861,1,0.0365,0.00749,2.09e-06,0.818,0.471,100.025,spotify:track:0iQ77tSa7ncj7zBPtVx6cU,261373
Loren Allred,Never Enough,24743,0.277,0.394,8,-8.903,1,0.0336,0.423,0.0,0.0952,0.227,86.777,spotify:track:0Gl5s8IhMmQE5YQwM8Qx1J,207787
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,24745,0.417,0.824,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92,spotify:track:4ylWMuGbMXNDgDd8lErEle,302147
Justin Timberlake,Filthy,24747,0.745,0.579,1,-5.771,1,0.138,0.0354,0.0118,0.246,0.645,97.002,spotify:track:1L3NV7VrCiuE8C5QlhdeQL,293947
Kendrick Lamar & SZA,All The Stars,24748,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,232187
Liam Payne & Rita Ora,For You (Fifty Shades Freed),24749,0.541,0.787,2,-4.618,0,0.0331,0.0167,0.0,0.157,0.2,113.0,spotify:track:66xn6tB8s3l8uhj02OGneE,245453
YoungBoy Never Broke Again,Outside Today,24755,0.851,0.666,11,-5.334,0,0.0694,0.139,0.0,0.105,0.0585,134.068,spotify:track:3sA7HKGzcKTVscdiTCrWpX,129105
Troye Sivan,My My My!,24756,0.701,0.458,1,-7.749,1,0.0836,0.00407,0.000151,0.045,0.482,102.967,spotify:track:4NiehSBQthimPzRsVeOgCT,204727
Dan + Shay,Tequila,24757,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,spotify:track:42fw0rxRO2xbesF6mJfd4Y,196747
