artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Peter Allen,Fly Away,11420,0.556,0.654,0,-8.262,0,0.13,0.469,0.00775,0.511,0.695,157.55,spotify:track:1m2I5lc8wJoenFLPeOBIFI,240707
John Lennon,Woman,11421,0.588,0.656,3,-6.373,1,0.0224,0.378,0.00227,0.042,0.746,79.701,spotify:track:0GGxVTb0UwDwdaKNjBdCn3,212933
Pat Benatar,Treat Me Right,11422,0.583,0.641,2,-9.39,0,0.0334,0.107,1.31e-06,0.0606,0.436,135.013,spotify:track:1s0OQOEwJiCybX4adE63Tf,205600
Slave,Watching You,11424,0.802,0.592,7,-9.653,1,0.0663,0.041,0.0,0.242,0.886,110.733,spotify:track:5nNGWT6o8meSgBjLGMMOgL,281920
Terri Gibbs,Somebody's Knockin',11425,0.699,0.515,11,-10.816,0,0.0299,0.233,2.56e-06,0.0888,0.734,95.044,spotify:track:4XZzz3KpYL7TSzRmSaIuiE,181667
Styx,The Best Of Times,11426,0.341,0.324,0,-11.864,1,0.025,0.13,1.11e-06,0.134,0.321,78.662,spotify:track:7GRUpcvSQM9HrnC2CjYPG4,257867
Don McLean,Crying,11427,0.302,0.344,0,-11.894,1,0.0277,0.466,1.53e-06,0.184,0.242,140.763,spotify:track:2gjQdYRk5A17t5pNxQXmuN,230560
Randy Meisner,Hearts On Fire,11428,0.65,0.595,11,-10.774,1,0.0295,0.102,2.67e-05,0.0969,0.8,131.019,spotify:track:1QbiHp4x6D4NLgCJm85wRQ,165133
Daryl Hall John Oates,Kiss On My List,11429,0.815,0.741,0,-9.478,1,0.031,0.434,0.115,0.0689,0.965,121.221,spotify:track:7cDzJyC95jtGO9zAeZsWOg,264987
Phil Seymour,Precious To Me,11431,0.701,0.871,11,-5.916,0,0.0281,0.0192,0.0,0.0903,0.953,129.57,spotify:track:47bbgfGKCUmf4tWsbs9rTj,171160
Firefall,Staying With It,11432,0.756,0.69,11,-7.34,1,0.0382,0.00777,0.0,0.264,0.892,127.791,spotify:track:2lvAA6uxOLJKM1aboYE3hV,181680
Leo Sayer,Living In A Fantasy,11433,0.688,0.592,9,-10.124,1,0.0233,0.118,0.000127,0.0411,0.54,103.22,spotify:track:6NBzu71ByNuXGhiJW5FNq3,266507
Glen Campbell,I Don't Want To Know Your Name,11434,0.549,0.432,9,-7.339,1,0.0304,0.796,0.00605,0.206,0.277,80.893,spotify:track:65CrZYxd0y9elcjnd7LthZ,241707
The Doobie Brothers,"Wynken, Blynken And Nod",11435,0.549,0.472,2,-12.856,0,0.0345,0.882,0.00117,0.0934,0.677,85.632,spotify:track:10MjmQ55taeJazium0BoL7,200320
Charles Fox,Seasons,11436,0.433,0.407,2,-11.816,1,0.0298,0.212,0.879,0.12,0.24,143.88,spotify:track:2gRwQOZW4UyS8OqhDXscAo,186853
Suzi Quatro,Lipstick,11437,0.686,0.7,9,-8.196,1,0.0385,0.0607,1.68e-05,0.0512,0.967,132.302,spotify:track:0Vi4ZXK6QyFxwBEAzxyEO9,250760
