sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.92,0.076,0.904,0.02,-0.5,107.99,2.67,6,228,204,36,3,James Brown And The Famous Flames,Bring It Up,4226
0.9944,0.306,0.666,0.028,1.1,98.82,2.56,6,223,179,28,11,Cannonball Adderley,"Mercy, Mercy, Mercy",4227
0.9535,0.113,0.887,0.0,-0.3,107.48,2.48,2,212,187,30,13,The Dave Clark Five,I've Got To Have A Reason,4228
0.9848,0.237,0.688,0.076,8.8,73.41,9.46,8,233,185,8,3,Marvin Gaye & Kim Weston,It Takes Two,4229
0.6237,0.04,0.94,0.02,0.4,105.86,3.12,1,250,218,28,4,The McCoys,I Got To Go Back (And Watch That Little Girl Dance),4230
0.9932,0.27,0.696,0.035,-0.6,108.4,2.34,6,198,179,34,8,The Bachelors,Walk With Faith In Your Heart,4231
0.9518,0.19,0.711,0.099,1.3,98.11,3.07,5,206,171,24,5,The Left Banke,Pretty Ballerina,4232
-0.9985,0.018,0.637,0.344,0.7,99.83,2.53,7,262,215,40,13,The Kinks,Deadend Street,4233
0.9938,0.283,0.717,0.0,2.1,90.77,2.65,6,204,161,27,6,The Lovin' Spoonful,Full Measure,4234
0.8689,0.158,0.764,0.078,4.0,85.89,5.14,10,130,97,9,1,Jack Greene,There Goes My Everything,4235
-0.6908,0.024,0.932,0.044,0.6,105.45,3.98,12,255,229,28,7,Sonny & Cher,The Beat Goes On,4236
0.936,0.114,0.886,0.0,1.5,97.8,3.59,6,147,126,17,7,Lowell Fulsom,Tramp,4237
0.5327,0.048,0.926,0.026,1.5,97.8,2.96,8,184,156,21,1,Bobby Darin,Lovin' You,4238
-1.0,0.124,0.697,0.179,0.5,105.76,3.62,552,10562,9196,1166,0,Brenda Lee,"Ride, Ride, Ride",4239
0.9611,0.149,0.815,0.036,0.7,105.15,3.4,3,158,144,17,6,The Casinos,Then You Can Tell Me Goodbye,4240
0.9426,0.098,0.891,0.011,1.3,98.21,2.8,4,196,162,23,13,The 5th Dimension,Go Where You Wanna Go,4241
0.9961,0.149,0.759,0.092,1.9,96.69,3.99,94,1375,1158,136,0,The Metros,Sweetest One,4242
0.9788,0.221,0.736,0.043,0.9,99.33,3.39,7,145,117,20,1,The Five Stairsteps,Danger! She's A Stranger,4243
-0.836,0.225,0.538,0.238,-0.9,109.11,2.08,6,184,164,36,2,Big Maybelle,96 Tears,4244
0.9913,0.23,0.748,0.022,0.6,100.04,2.08,0,207,177,34,9,Carla Thomas,Something Good (Is Going To Happen To You),4245
0.9799,0.228,0.74,0.032,-0.4,107.69,2.73,5,134,120,20,4,James Darren,All,4246
-0.5563,0.073,0.812,0.115,0.9,99.23,2.4,3,223,191,32,12,The Rolling Stones,Ruby Tuesday,4247
0.9719,0.189,0.811,0.0,1.5,92.29,2.6,9,125,100,22,7,Ed Ames,My Cup Runneth Over,4248
0.9826,0.124,0.844,0.031,1.3,98.21,3.42,9,323,260,37,11,The Rolling Stones,Let's Spend The Night Together,4249
-0.3244,0.008,0.976,0.016,-0.3,107.58,2.44,0,186,171,28,15,The Nightcrawlers,The Little Black Egg,4250
0.9948,0.245,0.694,0.061,-0.4,107.69,2.4,8,257,228,38,3,Bo Diddley,Ooh Baby,4251
0.9961,0.332,0.668,0.0,1.0,98.92,3.47,9,206,169,27,3,Jerry Butler,I Dig You Baby,4252
0.9968,0.088,0.847,0.064,6.5,57.74,3.96,567,4296,2597,497,4,Robert Parker,Tip Toe,4253
0.9914,0.318,0.627,0.055,1.5,103.02,4.24,1,139,127,12,1,Frankie Laine,I'll Take Care Of Your Cares,4254
0.9782,0.188,0.787,0.025,0.2,106.47,3.32,7,201,180,25,8,The Marvelettes,The Hunter Gets Captured By The Game,4255
-0.34,0.047,0.894,0.059,0.4,100.44,2.71,36,425,354,74,4,Judy Collins,Hard Lovin' Loser,4256
0.9961,0.376,0.576,0.048,3.9,91.51,6.91,5,136,109,8,0,Jack Jones,Lady,4257
0.9963,0.229,0.723,0.048,1.3,98.11,3.3,6,316,261,37,11,The Supremes,Love Is Here And Now You're Gone,4258
0.9325,0.088,0.912,0.0,-0.4,107.79,2.36,5,205,183,31,11,Neil Diamond,You Got To Me,4259
-0.9999,0.098,0.783,0.119,6.2,74.59,6.37,1403,30713,21995,1618,734,James & Bobby Purify,Wish You Didn't Have To Go,4260
0.7717,0.051,0.941,0.009,1.7,91.88,2.84,16,244,181,37,10,P.J. Proby,Niki Hoeky,4261
0.8441,0.097,0.875,0.029,-0.3,107.48,2.48,8,160,143,23,1,The Byrds,So You Want To Be A Rock 'N' Roll Star,4262
0.3624,0.102,0.821,0.078,0.8,99.43,2.32,23,253,220,38,1,Mike Sharpe,Spooky,4263
-0.9837,0.108,0.637,0.255,1.2,98.41,2.91,5,253,210,31,6,The Young Rascals,I've Been Lonely Too Long,4264
0.9899,0.401,0.473,0.125,0.6,99.94,2.6,3,99,84,16,7,The Lettermen,Our Winter Love,4265
-0.9721,0.143,0.627,0.23,1.7,91.88,2.16,9,255,201,41,11,Lou Rawls,Trouble Down Here Below,4266
0.9998,0.113,0.801,0.086,5.7,65.28,3.78,1402,16420,10567,1726,5,Roger Williams,"Sunrise, Sunset",4267
1.0,0.13,0.777,0.093,1.1,98.82,3.17,1210,21382,18102,2846,22,Lou Courtney,Skate Now,4268
0.9648,0.159,0.841,0.0,2.1,90.77,2.4,5,161,127,21,13,Al Martino,Daddy's Little Girl,4269
0.9769,0.144,0.856,0.0,1.0,98.92,2.99,10,207,171,27,11,The Music Machine,The People In Me,4270
0.9935,0.221,0.749,0.03,2.0,96.48,3.48,5,267,227,26,0,Wilson Pickett,Everybody Needs Somebody To Love,4271
-0.9911,0.0,0.621,0.379,1.6,97.5,3.08,0,142,116,15,15,The Association,No Fair At All,4272
-0.3618,0.054,0.885,0.061,-0.4,107.79,2.53,7,265,232,39,14,Johnny Rivers,Baby I Need Your Lovin',4273
0.9936,0.246,0.717,0.037,0.9,99.33,2.56,4,240,200,34,20,Mitch Ryder And The Detroit Wheels,Sock It To Me-Baby!,4274
0.9919,0.254,0.693,0.053,0.2,106.47,3.09,4,203,187,26,13,The Mojo Men,"Sit Down, I Think I Love You",4275
0.9924,0.273,0.692,0.035,1.5,97.6,3.32,8,181,145,19,0,Lesley Gore,California Nights,4276
0.8359,0.148,0.76,0.091,-0.4,107.69,2.65,12,184,161,27,7,The Cyrkle,I Wish You Could Be Here,4277
0.9774,0.202,0.798,0.0,0.3,106.26,3.26,3,153,134,18,3,Joe Simon,My Special Prayer,4278
-0.9793,0.12,0.632,0.248,-0.4,107.79,2.36,3,245,220,37,9,Little Milton,Feel So Bad,4279
-0.8938,0.119,0.727,0.154,2.9,88.53,4.33,27,389,305,37,1,Prince Buster,Ten Commandments,4280
0.9954,0.375,0.605,0.021,0.2,100.95,1.72,4,150,130,30,15,Eddie Floyd,Raise Your Hand,4281
0.8759,0.102,0.836,0.062,2.2,90.56,4.27,18,294,223,36,16,Donovan,Epistle To Dippy,4282
0.9915,0.231,0.752,0.017,1.7,91.68,2.04,3,250,187,37,20,Jr. Walker & The All Stars,Pucker Up Buttercup,4283
0.9965,0.238,0.733,0.029,2.3,90.26,2.6,4,303,240,37,19,The Turtles,Happy Together,4284
1.0,0.137,0.775,0.088,3.1,88.13,4.59,1242,15294,12060,1396,11,Solomon Burke,Keep A Light In The Window Till I Come Home,4285
-0.9538,0.027,0.846,0.126,1.4,98.01,3.06,5,261,222,31,18,Tommy James And The Shondells,I Think We're Alone Now,4286
0.998,0.26,0.71,0.031,2.0,96.48,3.48,8,326,277,32,12,The Lovin' Spoonful,Darling Be Home Soon,4287
0.9932,0.231,0.753,0.016,-0.6,108.29,2.58,5,215,190,35,16,Herman's Hermits,There's A Kind Of Hush,4288
0.9832,0.211,0.74,0.048,-0.5,107.99,2.52,4,184,165,29,6,Jackie Wilson,Just Be Sincere,4289
0.9922,0.095,0.811,0.093,10.7,52.19,9.54,2054,35614,22263,1170,4,Ramsey Lewis,"One, Two, Three",4290
-0.5267,0.174,0.645,0.181,-0.5,108.09,2.24,3,203,180,32,16,Billy Stewart,Every Day I Have The Blues,4291
0.9984,0.42,0.552,0.028,2.3,95.57,4.05,7,231,192,20,6,Eddie Fisher,People Like You,4292
0.9999,0.174,0.721,0.105,13.6,60.92,16.2,515,6062,4502,127,0,The Fascinations,Girls Are Out To Get You,4293
0.7332,0.095,0.843,0.061,-0.2,107.18,2.76,6,284,253,39,2,Paul Revere & The Raiders,Ups And Downs,4294
0.9022,0.131,0.796,0.074,-0.2,107.18,2.6,1,170,156,24,8,Ronnie Dove,One More Mountain To Climb,4295
0.7128,0.079,0.921,0.0,1.4,92.49,2.66,9,113,85,20,3,The Seekers,Morningtown Ride,4296
0.9209,0.109,0.864,0.027,1.9,91.27,2.47,6,185,148,27,17,Harpers Bizarre,The 59th Street Bridge Song (Feelin' Groovy),4297
1.0,0.14,0.79,0.07,6.6,78.99,8.29,491,9246,7023,398,0,New Colony Six,Love You So Much,4298
0.9092,0.117,0.806,0.077,2.0,96.38,3.52,7,229,194,22,6,Herman's Hermits,No Milk Today,4299
0.9951,0.248,0.698,0.054,1.8,96.99,4.29,19,287,237,29,3,Smokey Robinson & The Miracles,The Love I Saw In You Was Just A Mirage,4300
1.0,0.13,0.777,0.093,1.1,98.82,3.17,1210,21382,18102,2846,22,Chuck Jackson & Maxine Brown,Hold On I'm Coming,4301
0.961,0.179,0.774,0.047,1.0,98.92,2.75,5,208,175,28,6,Percy Sledge,"Baby, Help Me",4302
