date,rank,artist,song,lyricId
1974-01-05,1,Jim Croce,Time In A Bottle,8172
1974-01-05,2,The Steve Miller Band,The Joker,8137
1974-01-05,3,Helen Reddy,Leave Me Alone (ruby Red Dress),8158
1974-01-05,4,Charlie Rich,The Most Beautiful Girl,8110
1974-01-05,5,Al Wilson,Show And Tell,8141
1974-01-05,6,Brownsville Station,Smokin' In The Boy's Room,8154
1974-01-05,7,Elton John,Goodbye Yellow Brick Road,8143
1974-01-05,8,Barry White,"Never, Never Gonna Give Ya Up",8153
1974-01-05,9,Stevie Wonder,Living For The City,8165
1974-01-05,10,Gladys Knight And The Pips,I've Got To Use My Imagination,8185
1974-01-05,11,Carpenters,Top Of The World,8122
1974-01-05,12,Paul McCartney And Wings,Helen Wheels,8184
1974-01-05,13,Olivia Newton-John,Let Me Be There,8175
1974-01-05,14,Todd Rundgren,Hello It's Me,8126
1974-01-05,15,Barbra Streisand,The Way We Were,8188
1974-01-05,16,Ringo Starr,You're Sixteen,8208
1974-01-05,17,Love Unlimited Orchestra,Love's Theme,-1
1974-01-05,18,Aretha Franklin,Until You Come Back To Me (That's What I'm Gonna Do),8191
1974-01-05,19,Donny Osmond,When I Fall In Love/Are You Lonesome Tonight,-1
1974-01-05,20,War,Me And Baby Brother,8167
1974-01-05,21,The Staple Singers,If You're Ready (Come Go With Me),8145
1974-01-05,22,The Stylistics,Rockin' Roll Baby,8135
1974-01-05,23,Chicago,Just You 'n' Me,8108
1974-01-05,24,Al Green,Livin' For You,8200
1974-01-05,25,John Lennon,MIND GAMES,8164
1974-01-05,26,Led Zeppelin,D'yer Mak'er,8136
1974-01-05,27,Harold Melvin And The Blue Notes,The Love I Lost (Part 1),8114
1974-01-05,28,Loggins & Messina,My Music,8156
1974-01-05,29,Cheech & Chong,Sister Mary Elephant (Shudd-Up!),-1
1974-01-05,30,Jim Stafford,Spiders & Snakes,8171
1974-01-05,31,Grand Funk,Walk Like A Man,8187
1974-01-05,32,Ringo Starr,Photograph,8120
1974-01-05,33,Tony Orlando & Dawn,Who's In The Strawberry Patch With Sally,8166
1974-01-05,34,Marvin Gaye,Come Get To This,8155
1974-01-05,35,Billy Preston,Space Race,8100
1974-01-05,36,Ian Thomas,Painted Ladies,8150
1974-01-05,37,Kool & The Gang,Jungle Boogie,8207
1974-01-05,38,Jim Croce,I Got A Name,8121
1974-01-05,39,Paul Simon,American Tune,8193
1974-01-05,40,Merle Haggard,If We Make It Through December,8190
1974-01-05,41,Ann Peebles,I Can't Stand The Rain,8081
1974-01-05,42,"Bobby ""Blue"" Bland",This Time I'm Gone For Good,8179
1974-01-05,43,Gladys Knight And The Pips,Midnight Train To Georgia,8071
1974-01-05,44,Isaac Hayes,"""Joy"" Pt. I",8219
1974-01-05,45,El Chicano,Tell Her She's Lovely,8174
1974-01-05,46,The Temptations,Let Your Hair Down,8221
