sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.9711,0.133,0.857,0.01,1.6,97.4,3.12,3,346,287,37,20,Enya,Only If...,17527
-0.9842,0.021,0.853,0.125,1.6,97.4,3.12,6,422,360,46,29,Lutricia McNeal,Ain't That Just The Way,17528
-0.9994,0.061,0.682,0.257,1.7,97.3,3.69,36,752,603,76,20,Busta Rhymes,Dangerous,17529
-0.1647,0.043,0.904,0.053,1.4,97.91,3.16,11,403,335,46,16,Elmo & Patsy,Grandma Got Run Over By A Reindeer,17530
-0.6766,0.045,0.904,0.051,1.8,96.99,4.15,41,789,645,79,24,Militia,Burn,17531
-0.9632,0.105,0.675,0.22,1.0,99.02,3.61,13,175,142,23,3,Lysette,"Young, Sad And Blue",17532
0.9886,0.163,0.766,0.071,1.9,96.69,3.69,19,484,408,48,11,Usher,Nice & Slow,17533
0.7559,0.114,0.799,0.086,0.5,105.66,3.65,13,199,176,22,3,Pearl Jam,Given To Fly,17534
-0.8934,0.135,0.724,0.14,1.2,98.51,2.96,27,346,283,42,8,Kinsu,Tha Hop,17535
-0.9667,0.081,0.81,0.108,1.5,97.8,3.4,34,659,543,73,19,LL Cool J,Father,17536
0.9791,0.111,0.825,0.064,0.3,106.16,3.0,4,535,481,64,36,Jon B,They Don't Know,17537
0.9926,0.102,0.871,0.027,0.5,105.55,3.44,25,895,817,101,48,Mase Featuring Total,What You Want,17538
-0.9987,0.09,0.716,0.194,3.1,88.02,4.41,83,1037,821,94,12,"Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal",Make Em' Say Uhh!,17539
0.9977,0.15,0.835,0.015,0.0,106.97,2.68,10,802,705,105,61,All Saints,I Know Where It's At,17540
-0.9947,0.042,0.825,0.132,1.7,97.09,4.34,45,701,581,72,13,Jay-Z Featuring BLACKstreet,The City Is Mine,17541
-0.9999,0.117,0.737,0.146,4.7,84.07,5.89,435,9929,7910,627,0,Kim Sanders,Jealousy,17542
0.9991,0.376,0.569,0.055,1.6,97.4,3.25,4,352,305,39,24,Dixie Chicks,I Can Love You Better,17543
-0.1609,0.051,0.896,0.052,2.2,95.88,4.01,18,672,547,59,28,Wyclef Jean,Gone Till November,17544
0.997,0.165,0.778,0.056,1.8,96.89,3.46,24,674,559,67,11,Queen Pen Featuring Eric Williams,All My Love,17545
0.9266,0.067,0.888,0.045,2.2,95.77,4.01,38,909,787,84,16,The Lox,If You Think I'm Jiggy,17546
0.9821,0.136,0.864,0.0,0.9,99.23,3.03,9,302,252,42,9,Ol Skool [Featuring Keith Sweat & Xscape],Am I Dreaming,17547
0.9985,0.251,0.738,0.011,1.4,97.91,3.85,22,406,344,47,8,Born Jamericans,Send My Love/Send One Your Love,17548
-0.9956,0.013,0.962,0.025,2.1,96.18,4.72,893,8020,6505,720,0,Fruit De La Passion,Tic Tic Tac,17549
0.9016,0.097,0.863,0.04,0.5,105.76,3.41,6,358,317,40,16,Clay Walker,Then What?,17550
0.9834,0.167,0.75,0.083,2.0,96.48,4.27,10,360,303,35,10,Spice Girls,Too Much,17551
0.9249,0.144,0.784,0.071,0.8,99.43,3.01,6,213,175,30,10,Sarah McLachlan,Sweet Surrender,17552
0.9982,0.258,0.671,0.071,0.7,105.05,3.63,6,475,420,49,20,Next,Too Close,17553
-0.3818,0.069,0.861,0.07,0.9,104.74,3.79,15,390,349,39,5,Blessid Union Of Souls,Light In Your Eyes,17554
0.9953,0.227,0.765,0.008,-0.1,107.08,2.64,6,288,257,39,16,Shania Twain,You're Still The One,17555
0.8043,0.133,0.771,0.095,2.3,90.16,2.79,11,349,272,41,18,David Kersh,If I Never Stop Loving You,17556
0.994,0.169,0.759,0.072,-0.3,107.38,3.34,28,560,488,77,4,Sylk-E. Fyne Featuring Chill,Romeo And Juliet,17557
-0.2579,0.046,0.895,0.059,0.7,99.83,2.65,6,97,81,15,7,Mono,Life In Mono,17558
0.7368,0.047,0.926,0.027,0.4,100.44,2.25,11,437,366,76,39,Jimmy Ray,Are You Jimmy Ray?,17559
-0.7695,0.027,0.927,0.046,4.0,80.38,3.24,5,739,523,66,39,Public Announcement,Body Bumpin' Yippie-Yi-Yo,17560
0.9751,0.143,0.789,0.068,1.1,104.03,3.97,15,355,317,33,1,Somethin' For The People,All I Do,17561
-0.9374,0.052,0.854,0.094,0.7,105.25,4.09,22,443,386,46,2,Mic Geronimo Featuring DMX & Black Rob,Nothin' Move But The Money,17562
0.999,0.224,0.776,0.0,1.9,91.37,2.46,14,686,539,99,42,Smooth,Strawberries,17563
0.9969,0.258,0.692,0.05,3.7,86.71,4.55,10,362,289,29,2,Jody Watley,Off The Hook,17564
0.9864,0.207,0.7,0.093,0.0,106.97,2.79,12,396,348,52,30,Phajja,"So Long (Well, Well, Well)",17565
0.973,0.13,0.87,0.0,-0.2,107.28,3.03,5,188,172,27,6,Celine Dion,My Heart Will Go On,17566
0.8899,0.084,0.871,0.045,1.3,98.21,3.16,30,535,446,64,10,Will Smith,Gettin' Jiggy Wit It,17567
0.9948,0.256,0.711,0.033,1.9,96.59,3.96,9,283,231,27,8,Aerosmith,Pink,17568
0.8315,0.071,0.892,0.037,0.4,100.44,2.61,11,269,231,48,23,Meredith Brooks,What Would Happen,17569
0.9985,0.1,0.818,0.081,4.9,72.73,3.84,510,8255,5485,777,0,DMX Featuring Sheek Of The Lox,Get At Me Dog,17570
0.9673,0.19,0.679,0.131,0.4,105.86,3.12,3,217,196,25,6,Daryle Singletary,The Note,17571
0.8225,0.04,0.96,0.0,-0.3,107.58,2.77,14,277,242,40,12,Loreena McKennitt,The Mummers' Dance,17572
0.9226,0.116,0.856,0.028,1.1,98.82,2.72,7,286,245,38,13,'N Sync,I Want You Back,17573
