date,rank,artist,song,lyricId
1975-01-04,1,Elton John,Lucy In The Sky With Diamonds,8648
1975-01-04,2,Barry White,"You're The First, The Last, My Everything",8609
1975-01-04,3,Carl Douglas,Kung Fu Fighting,8590
1975-01-04,4,Paul McCartney And Wings,Junior's Farm/Sally G,-1
1975-01-04,5,Neil Sedaka,Laughter In The Rain,8599
1975-01-04,6,Helen Reddy,Angie Baby,8594
1975-01-04,7,Ringo Starr,Only You,8627
1975-01-04,8,Stevie Wonder,Boogie On Reggae Woman,8626
1975-01-04,9,Carpenters,Please Mr. Postman,8641
1975-01-04,10,Barry Manilow,Mandy,8628
1975-01-04,11,Harry Chapin,Cat's In The Cradle,8575
1975-01-04,12,The J. Geils Band,Must Of Got Lost,8618
1975-01-04,13,Paul Anka with Odia Coates,One Man Woman/One Woman Man,8621
1975-01-04,14,Jethro Tull,Bungle In The Jungle,8613
1975-01-04,15,Donny & Marie Osmond,Morning Side Of The Mountain,8631
1975-01-04,16,George Harrison,Dark Horse,8640
1975-01-04,17,The Three Degrees,When Will I See You Again,8572
1975-01-04,18,Gloria Gaynor,Never Can Say Goodbye,8615
1975-01-04,19,Al Green,Sha-La-La (Make Me Happy),8568
1975-01-04,20,Ohio Players,Fire,8662
1975-01-04,21,Carol Douglas,Doctor's Orders,8649
1975-01-04,22,AWB,Pick Up The Pieces,-1
1975-01-04,23,Grand Funk,Some Kind Of Wonderful,8661
1975-01-04,24,Rufus Featuring Chaka Khan,You Got The Love,8587
1975-01-04,25,Mac Davis,Rock N' Roll (I Gave You The Best Years Of My Life),8657
1975-01-04,26,Paul Davis,Ride 'em Cowboy,8592
1975-01-04,27,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,Get Dancin',-1
1975-01-04,28,The Guess Who,Dancin' Fool,8642
1975-01-04,29,Gladys Knight And The Pips,I Feel A Song (In My Heart)/Don't Burn Down The Bridge,-1
1975-01-04,30,Barbara Mason,From His Woman To You,8652
1975-01-04,31,Billy Swan,I Can Help,8570
1975-01-04,32,Eagles,Best Of My Love,8651
1975-01-04,33,"Billy ""Crash"" Craddock","Ruby, Baby",8645
1975-01-04,34,Love Unlimited,I Belong To You,8653
1975-01-04,35,Lynyrd Skynyrd,Free Bird,8643
1975-01-04,36,B.T. Express,Do It ('til You're Satisfied),8562
1975-01-04,37,Linda Ronstadt,You're No Good,8656
1975-01-04,38,Elvis Presley,Promised Land,8603
1975-01-04,39,Billy Joel,The Entertainer,8650
1975-01-04,40,Billy Preston,Struttin',-1
1975-01-04,41,Tony Orlando & Dawn,Look In My Eyes Pretty Woman,8670
1975-01-04,42,The Rolling Stones,Ain't Too Proud To Beg,8619
1975-01-04,43,Shirley Brown,Woman To Woman,8610
1975-01-04,44,Cat Stevens,Ready,8655
1975-01-04,45,Chicago,Wishing You Were Here,8593
1975-01-04,46,The Doobie Brothers,Black Water,8671
1975-01-04,47,John Lennon,#9 Dream,8669
1975-01-04,48,David Bowie,Changes,7394
1975-01-04,49,James Brown,Funky President (People It's Bad)/Coldblooded,8624
1975-01-04,50,The Joneses,Sugar Pie Guy Pt. 1,-1
1975-01-04,51,Bachman-Turner Overdrive,You Ain't Seen Nothing Yet/Free Wheelin',-1
1975-01-04,52,Frankie Valli,My Eyes Adored You,8646
1975-01-04,53,Aretha Franklin,Without Love,8633
1975-01-04,54,Bobby Vinton,My Melody Of Love,8557
1975-01-04,55,The Kiki Dee Band,I've Got The Music In Me,8547
1975-01-04,56,The Pointer Sisters,Fairytale,8579
1975-01-04,57,The O'Jays,Sunshine Part II,8663
1975-01-04,58,Jim Stafford,Your Bulldog Drinks Champagne,8672
1975-01-04,59,Tavares,She's Gone,8576
1975-01-04,60,Carl Graves,"Baby, Hang Up The Phone",8660
1975-01-04,61,Neil Diamond,Longfellow Serenade,8573
1975-01-04,62,Styx,Lady,8666
1975-01-04,63,The Temptations,Happy People,8673
1975-01-04,64,John Denver,Sweet Surrender,8684
1975-01-04,65,Electric Light Orchestra,Can't Get It Out Of My Head,8675
1975-01-04,66,America,Lonely People,8683
1975-01-04,67,Carole King,Nightingale,8689
1975-01-04,68,B.B. King,Philadelphia,8654
1975-01-04,69,Jackson 5,"Whatever You Got, I Want",8606
1975-01-04,70,Latimore,Let's Straighten It Out,8602
1975-01-04,71,Eddie Kendricks,One Tear,8658
1975-01-04,72,Smokey Robinson,I Am I Am,8664
1975-01-04,73,Michael Holm,When A Child Is Born,8668
1975-01-04,74,Joni Mitchell,Big Yellow Taxi,6429
1975-01-04,75,Candi Staton,As Long As He Takes Care Of Home,8685
1975-01-04,76,Roy Rogers,"Hoppy, Gene And Me",8678
1975-01-04,77,Anne Murray,Day Tripper,8674
1975-01-04,78,Maria Muldaur,I'm A Woman,8686
1975-01-04,79,John Lennon With The Plastic Ono Nuclear Band,Whatever Gets You Thru The Night,-1
1975-01-04,80,Sugarloaf/Jerry Corbetta,"Don't Call Us, We'll Call You",-1
1975-01-04,81,John Denver,Back Home Again,8551
1975-01-04,82,The Miracles,Don't Cha Love It,8676
1975-01-04,83,The Isley Brothers,Midnight Sky (Part 1),8690
1975-01-04,84,Al Martino,To The Door Of The Sun (Alle Porte Del Sole),8677
1975-01-04,85,Splinter,Costafine Town,8667
1975-01-04,86,Commodores,I Feel Sanctified,8635
1975-01-04,87,Peter Shelley,Gee Baby,8679
1975-01-04,88,Kool & The Gang,Rhyme Tyme People,8691
1975-01-04,89,Bill Withers,Heartbreak Road,8687
1975-01-04,90,The Manhattans,Don't Take Your Love,8692
1975-01-04,91,Margie Joseph,Words (are Impossible),8680
1975-01-04,92,Sister Sledge,Love Don't You Go Through No Changes On Me,8693
1975-01-04,93,Bobby Bland,I Wouldn't Treat A Dog (The Way You Treated Me),8647
1975-01-04,94,Lynn Anderson,"What A Man, My Man Is",8694
1975-01-04,95,Phoebe Snow,Poetry Man,8695
1975-01-04,96,Lamont Dozier,Let Me Start Tonite,8696
1975-01-04,97,The Tymes,Ms. Grace,8682
1975-01-04,98,Labelle,Lady Marmalade,8697
1975-01-04,99,Polly Brown,Up In A Puff Of Smoke,8698
1975-01-04,100,Chilliwack,Crazy Talk,8688
1975-01-11,1,Elton John,Lucy In The Sky With Diamonds,8648
1975-01-11,2,Barry White,"You're The First, The Last, My Everything",8609
1975-01-11,3,Paul McCartney And Wings,Junior's Farm/Sally G,-1
1975-01-11,4,Neil Sedaka,Laughter In The Rain,8599
1975-01-11,5,Barry Manilow,Mandy,8628
1975-01-11,6,Ringo Starr,Only You,8627
1975-01-11,7,Stevie Wonder,Boogie On Reggae Woman,8626
1975-01-11,8,Carpenters,Please Mr. Postman,8641
1975-01-11,9,Carl Douglas,Kung Fu Fighting,8590
1975-01-11,10,Paul Anka with Odia Coates,One Man Woman/One Woman Man,8621
1975-01-11,11,Donny & Marie Osmond,Morning Side Of The Mountain,8631
1975-01-11,12,Jethro Tull,Bungle In The Jungle,8613
1975-01-11,13,Helen Reddy,Angie Baby,8594
1975-01-11,14,Gloria Gaynor,Never Can Say Goodbye,8615
1975-01-11,15,George Harrison,Dark Horse,8640
1975-01-11,16,Ohio Players,Fire,8662
1975-01-11,17,Carol Douglas,Doctor's Orders,8649
1975-01-11,18,AWB,Pick Up The Pieces,-1
1975-01-11,19,Grand Funk,Some Kind Of Wonderful,8661
1975-01-11,20,Mac Davis,Rock N' Roll (I Gave You The Best Years Of My Life),8657
1975-01-11,21,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,Get Dancin',-1
1975-01-11,22,Harry Chapin,Cat's In The Cradle,8575
1975-01-11,23,Al Green,Sha-La-La (Make Me Happy),8568
1975-01-11,24,Paul Davis,Ride 'em Cowboy,8592
