date,rank,artist,song,lyricId
1983-01-01,1,Daryl Hall John Oates,Maneater,12139
1983-01-01,2,Toni Basil,Mickey,12094
1983-01-01,3,Michael Jackson And Paul McCartney,The Girl Is Mine,12158
1983-01-01,4,Don Henley,Dirty Laundry,12149
1983-01-01,5,Laura Branigan,Gloria,12025
1983-01-01,6,Joe Jackson,Steppin' Out,12079
1983-01-01,7,Marvin Gaye,Sexual Healing,12152
1983-01-01,8,Men At Work,Down Under,12162
1983-01-01,9,Stray Cats,Rock This Town,12110
1983-01-01,10,Lionel Richie,Truly,12130
1983-01-01,11,Supertramp Featuring Roger Hodgson,It's Raining Again,-1
1983-01-01,12,Dionne Warwick,Heartbreaker,12131
1983-01-01,13,Pat Benatar,Shadows Of The Night,12140
1983-01-01,14,Toto,Africa,12150
1983-01-01,15,The Clash,Rock The Casbah,12129
1983-01-01,16,Eddie Rabbitt With Crystal Gayle,You And I,12137
1983-01-01,17,Patti Austin A Duet With James Ingram,"Baby, Come To Me",-1
1983-01-01,18,Little River Band,The Other Guy,12177
1983-01-01,19,ABC,The Look Of Love (Part One),12100
1983-01-01,20,Phil Collins,You Can't Hurry Love,12160
1983-01-01,21,Joe Cocker And Jennifer Warnes,Up Where We Belong,12080
1983-01-01,22,Kenny Loggins,Heart To Heart,12181
1983-01-01,23,Dan Fogelberg,Missing You,12132
1983-01-01,24,John Cougar,Hand To Hold On To,12159
1983-01-01,25,Adam Ant,Goody Two Shoes,12172
1983-01-01,26,The J. Geils Band,I Do,12176
1983-01-01,27,Fleetwood Mac,Love In Store,12182
1983-01-01,28,Tom Petty And The Heartbreakers,You Got Lucky,12166
1983-01-01,29,Jeffrey Osborne,On The Wings Of Love,12117
1983-01-01,30,Bob Seger & The Silver Bullet Band,Shame On The Moon,12205
1983-01-01,31,Kool & The Gang,"Let's Go Dancin' (ooh La, La, La)",12153
1983-01-01,32,Billy Squier,Everybody Wants You,12126
1983-01-01,33,Tavares,A Penny For Your Thoughts,12108
1983-01-01,34,Moving Pictures,What About Me,12106
1983-01-01,35,Peter Gabriel,Shock The Monkey,12147
1983-01-01,36,Juice Newton,Heart Of The Night,12183
1983-01-01,37,Billy Joel,Allentown,12184
1983-01-01,38,Kim Carnes,Does It Make You Remember,12161
1983-01-01,39,Sammy Hagar,Your Love Is Driving Me Crazy,12195
1983-01-01,40,Air Supply,Two Less Lonely People In The World,12167
1983-01-01,41,Diana Ross,Muscles,12120
1983-01-01,42,A Flock Of Seagulls,Space Age Love Song,12171
1983-01-01,43,Stray Cats,Stray Cat Strut,12212
1983-01-01,44,Michael McDonald,I Gotta Try,12168
1983-01-01,45,Barry Manilow,Memory,12180
1983-01-01,46,Olivia Newton-John,Heart Attack,12090
1983-01-01,47,Ray Parker Jr.,Bad Boy,12190
1983-01-01,48,America,Right Before Your Eyes,12185
1983-01-01,49,Glenn Frey,All Those Lies,12196
1983-01-01,50,Sonny Charles,Put It In A Magazine,12175
1983-01-01,51,Culture Club,Do You Really Want To Hurt Me,12191
1983-01-01,52,Golden Earring,Twilight Zone,12187
1983-01-01,53,Linda Ronstadt,I Knew You When,12197
1983-01-01,54,Frida,I Know There's Something Going On,12163
1983-01-01,55,Luther Vandross,Bad Boy/Having A Party,12157
1983-01-01,56,Saga,On The Loose,12194
1983-01-01,57,The Alan Parsons Project,Psychobabble,12188
1983-01-01,58,Jefferson Starship,Be My Lady,12133
1983-01-01,59,Musical Youth,Pass The Dutchie,12198
1983-01-01,60,Donna Summer,The Woman In Me,12206
1983-01-01,61,Joni Mitchell,"(you're So Square) Baby, I Don't Care",12179
1983-01-01,62,Chilliwack,Whatcha Gonna Do,12146
1983-01-01,63,Pretenders,Back On The Chain Gang,12203
1983-01-01,64,Lanier & Co.,After I Cry Tonight,12192
1983-01-01,65,Prince,1999,12154
1983-01-01,66,Santana,Nowhere To Run,12186
1983-01-01,67,Wolf,Papa Was A Rollin' Stone,12199
1983-01-01,68,The Steve Miller Band,Give It Up,12200
1983-01-01,69,Lee Ritenour,Cross My Heart,-1
1983-01-01,70,Charlene & Stevie Wonder,Used To Be,12151
1983-01-01,71,Elvis Presley,The Elvis Medley,12189
