date,rank,artist,song,lyricId
1972-01-01,1,Melanie,Brand New Key,7139
1972-01-01,2,Don McLean,American Pie (Parts I & II),7179
1972-01-01,3,Sly & The Family Stone,Family Affair,7145
1972-01-01,4,Three Dog Night,An Old Fashioned Love Song,7161
1972-01-01,5,Michael Jackson,Got To Be There,7140
1972-01-01,6,The Chi-lites,Have You Seen Her,7128
1972-01-01,7,Dennis Coffey & The Detroit Guitar Band,Scorpio,-1
1972-01-01,8,Jonathan Edwards,Sunshine,7163
1972-01-01,9,David Cassidy,Cherish,7150
1972-01-01,10,Donny Osmond,Hey Girl/I Knew You When,7180
1972-01-01,11,Sonny & Cher,All I Ever Need Is You,7121
1972-01-01,12,The New Seekers,I'd Like To Teach The World To Sing (In Perfect Harmony),7192
1972-01-01,13,The Stylistics,You Are Everything,7146
1972-01-01,14,Al Green,Let's Stay Together,7193
1972-01-01,15,The Staple Singers,Respect Yourself,7119
1972-01-01,16,The Hillside Singers,I'd Like To Teach The World To Sing (In Perfect Harmony),7186
1972-01-01,17,Badfinger,Day After Day,7194
1972-01-01,18,Joe Simon,Drowning In The Sea Of Love,7184
1972-01-01,19,Betty Wright,Clean Up Woman,7181
1972-01-01,20,The Honey Cone,One Monkey Don't Stop No Show Part I,7168
1972-01-01,21,Jackson 5,Sugar Daddy,7204
1972-01-01,22,Donnie Elbert,Where Did Our Love Go,7126
1972-01-01,23,Isaac Hayes,Theme From Shaft,7112
1972-01-01,24,Bread,Baby I'm - A Want You,7129
1972-01-01,25,Cher,"Gypsys, Tramps & Thieves",7071
1972-01-01,26,Mickey Newbury,An American Trilogy,7147
1972-01-01,27,Neil Diamond,Stones/Crunchy Granola Suite,-1
1972-01-01,28,Rare Earth,Hey Big Brother,7182
1972-01-01,29,Rod Stewart With Faces,(I Know) I'm Losing You,7170
1972-01-01,30,The Temptations,Superstar (Remember How You Got Where You Are),7148
1972-01-01,31,Peter Nero,"Theme From ""Summer Of '42""",7123
1972-01-01,32,Think,Once You Understand,7196
1972-01-01,33,Charley Pride,Kiss An Angel Good Mornin',7172
1972-01-01,34,Sweathog,Hallelujah,7167
1972-01-01,35,Bob Dylan,George Jackson,7200
1972-01-01,36,Carly Simon,Anticipation,7203
1972-01-01,37,The Partridge Family Starring Shirley Jones Featuring David Cassidy,It's One Of Those Nights (Yes Love),-1
1972-01-01,38,Bullet,"White Lies, Blue Eyes",7157
1972-01-01,39,The Who,Behind Blue Eyes,7155
1972-01-01,40,Elton John,Levon,7216
1972-01-01,41,Tommy James,Nothing To Hide,7183
1972-01-01,42,Lee Michaels,Can I Get A Witness,7169
1972-01-01,43,Three Dog Night,Never Been To Spain,7228
1972-01-01,44,Jerry Lee Lewis,Me And Bobby McGee,7185
1972-01-01,45,Redbone,The Witch Queen Of New Orleans,7177
1972-01-01,46,Gladys Knight And The Pips,Make Me The Woman That You Go Home To,7217
1972-01-01,47,James Brown,I'm A Greedy Man - Part I,7160
1972-01-01,48,Bobby Womack & Peace,That's The Way I Feel About Cha,-1
1972-01-01,49,Smokey Robinson & The Miracles,Satisfaction,7171
1972-01-01,50,Richard Harris,My Boy,7173
1972-01-01,51,The J. Geils Band,Looking For A Love,7197
1972-01-01,52,The Guess Who,Sour Suite,7188
1972-01-01,53,John Denver,Friends With You,7153
1972-01-01,54,B.B. King,Ain't Nobody Home,7162
1972-01-01,55,Led Zeppelin,Black Dog,7226
1972-01-01,56,Faces,Stay With Me,7235
1972-01-01,57,Joan Baez,Let It Be,7166
1972-01-01,58,Carroll O'Connor And Jean Stapleton (As The Bunkers),Those Were The Days,-1
1972-01-01,59,Merle Haggard And The Strangers,Carolyn,7198
1972-01-01,60,Jefferson Airplane,Pretty As You Feel,7178
1972-01-01,61,Stampeders,Devil You,7201
1972-01-01,62,"Hamilton, Joe Frank & Reynolds",Daisy Mae,7202
1972-01-01,63,Helen Reddy,No Sad Song,7199
1972-01-01,64,Little Johnny Taylor,Everybody Knows About My Good Thing Pt. 1,7207
1972-01-01,65,Lighthouse,Take It Slow (Out In The Country),7209
1972-01-01,66,Wilson Pickett,Fire And Water,7227
1972-01-01,67,Beverly Bremers,Don't Say You Don't Remember,7223
1972-01-01,68,Nilsson,Without You,7224
1972-01-01,69,Grateful Dead,Truckin',7187
1972-01-01,70,Ray Stevens,Turn Your Radio On,7174
1972-01-01,71,The Isley Brothers,Lay Lady Lay,7195
1972-01-01,72,Merry Clayton,After All This Time,7205
1972-01-01,73,Carpenters,Superstar/Bless The Beasts And Children,-1
1972-01-01,74,Jr. Walker & The All Stars,Way Back Home,7206
1972-01-01,75,The Doors,Tightrope Ride,7191
1972-01-01,76,The Emotions,Show Me How,7156
1972-01-01,77,Free Movement,The Harder I Try (The Bluer I Get),7215
1972-01-01,78,The Coasters,Love Potion Number Nine,7208
1972-01-01,79,N.F. Porter,Keep On Keeping On,7221
1972-01-01,80,Ray Charles,What Am I Living For,7229
1972-01-01,81,Climax,Precious And Few,7236
1972-01-01,82,Chase,So Many People,7219
1972-01-01,83,The Undisputed Truth,You Make Your Own Heaven And Hell Right Here On Earth,7218
1972-01-01,84,The Poppy Family,No Good To Cry,7212
1972-01-01,85,The Dramatics,Get Up And Get Down,7210
1972-01-01,86,Alice Cooper,Under My Wheels,7230
1972-01-01,87,T. Rex,Bang A Gong (Get It On),7237
1972-01-01,88,Heaven Bound with Tony Scotti,Five Hundred Miles,7211
1972-01-01,89,Robert John,The Lion Sleeps Tonight,7238
1972-01-01,90,The 5th Dimension,Together Let's Find Love,7239
1972-01-01,91,The Bar-Kays,Son Of Shaft,7231
1972-01-01,92,Jerry Butler & Brenda Lee Eager,Ain't Understanding Mellow,7213
1972-01-01,93,The New Colony Six,Long Time To Be Alone,7214
1972-01-01,94,Judy Collins,Open The Door (Song For Judith),7222
1972-01-01,95,Rufus Thomas,Do The Funky Penguin Part I,7233
1972-01-01,96,The Persuaders,Love Gonna Pack Up (And Walk Out),7232
1972-01-01,97,Edgar Winter's White Trash,Keep Playin' That Rock 'N' Roll,7225
1972-01-01,98,Ohio Players,Pain (Part I),7234
1972-01-01,99,Van Morrison,Tupelo Honey,7240
1972-01-01,100,Apollo featuring Tom Parker,Joy,7241
1972-01-08,1,Melanie,Brand New Key,7139
1972-01-08,2,Don McLean,American Pie (Parts I & II),7179
1972-01-08,3,Sly & The Family Stone,Family Affair,7145
1972-01-08,4,Al Green,Let's Stay Together,7193
1972-01-08,5,Michael Jackson,Got To Be There,7140
1972-01-08,6,Dennis Coffey & The Detroit Guitar Band,Scorpio,-1
1972-01-08,7,Jonathan Edwards,Sunshine,7163
1972-01-08,8,The New Seekers,I'd Like To Teach The World To Sing (In Perfect Harmony),7192
1972-01-08,9,David Cassidy,Cherish,7150
1972-01-08,10,Donny Osmond,Hey Girl/I Knew You When,7180
1972-01-08,11,The Stylistics,You Are Everything,7146
1972-01-08,12,Jackson 5,Sugar Daddy,7204
1972-01-08,13,Betty Wright,Clean Up Woman,7181
1972-01-08,14,The Hillside Singers,I'd Like To Teach The World To Sing (In Perfect Harmony),7186
1972-01-08,15,The Honey Cone,One Monkey Don't Stop No Show Part I,7168
1972-01-08,16,Badfinger,Day After Day,7194
1972-01-08,17,Joe Simon,Drowning In The Sea Of Love,7184
1972-01-08,18,Three Dog Night,An Old Fashioned Love Song,7161
1972-01-08,19,The Chi-lites,Have You Seen Her,7128
1972-01-08,20,Sonny & Cher,All I Ever Need Is You,7121
1972-01-08,21,The Staple Singers,Respect Yourself,7119
1972-01-08,22,Rare Earth,Hey Big Brother,7182
1972-01-08,23,Carly Simon,Anticipation,7203
1972-01-08,24,Three Dog Night,Never Been To Spain,7228
1972-01-08,25,The Partridge Family Starring Shirley Jones Featuring David Cassidy,It's One Of Those Nights (Yes Love),-1
1972-01-08,26,Think,Once You Understand,7196
1972-01-08,27,Charley Pride,Kiss An Angel Good Mornin',7172
1972-01-08,28,Mickey Newbury,An American Trilogy,7147
1972-01-08,29,Redbone,The Witch Queen Of New Orleans,7177
1972-01-08,30,Bullet,"White Lies, Blue Eyes",7157
1972-01-08,31,Isaac Hayes,Theme From Shaft,7112
1972-01-08,32,Donnie Elbert,Where Did Our Love Go,7126
1972-01-08,33,Bob Dylan,George Jackson,7200
1972-01-08,34,Bread,Baby I'm - A Want You,7129
1972-01-08,35,Elton John,Levon,7216
1972-01-08,36,Neil Diamond,Stones/Crunchy Granola Suite,-1
1972-01-08,37,Bobby Womack & Peace,That's The Way I Feel About Cha,-1
1972-01-08,38,Gladys Knight And The Pips,Make Me The Woman That You Go Home To,7217
1972-01-08,39,The Temptations,Superstar (Remember How You Got Where You Are),7148
1972-01-08,40,Peter Nero,"Theme From ""Summer Of '42""",7123
1972-01-08,41,Rod Stewart With Faces,(I Know) I'm Losing You,7170
1972-01-08,42,Led Zeppelin,Black Dog,7226
1972-01-08,43,Jerry Lee Lewis,Me And Bobby McGee,7185
1972-01-08,44,The Who,Behind Blue Eyes,7155
1972-01-08,45,Sweathog,Hallelujah,7167
1972-01-08,46,Faces,Stay With Me,7235
1972-01-08,47,Richard Harris,My Boy,7173
1972-01-08,48,The J. Geils Band,Looking For A Love,7197
1972-01-08,49,Lee Michaels,Can I Get A Witness,7169
1972-01-08,50,Tommy James,Nothing To Hide,7183
1972-01-08,51,Wilson Pickett,Fire And Water,7227
1972-01-08,52,The Guess Who,Sour Suite,7188
1972-01-08,53,B.B. King,Ain't Nobody Home,7162
1972-01-08,54,Nilsson,Without You,7224
1972-01-08,55,John Denver,Friends With You,7153
1972-01-08,56,Beverly Bremers,Don't Say You Don't Remember,7223
