sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
-0.9855,0.051,0.82,0.129,1.4,103.32,4.59,20,477,422,41,13,Gucci Mane Featuring Drake,Both,24276
0.9987,0.419,0.581,0.0,5.0,72.53,3.09,4,357,234,32,47,Jose Feliciano,Feliz Navidad,24277
0.9939,0.271,0.729,0.0,2.7,89.14,3.04,3,205,159,21,11,Burl Ives,A Holly Jolly Christmas,24278
0.9961,0.288,0.667,0.045,2.1,90.77,3.26,13,245,187,31,16,Andy Williams,It's The Most Wonderful Time Of The Year,24279
0.9888,0.187,0.696,0.116,1.8,96.89,3.43,8,413,356,43,16,Wham!,Last Christmas,24280
0.9971,0.236,0.651,0.113,2.7,94.66,4.33,16,724,628,60,25,Chris Brown Featuring Usher & Gucci Mane,Party,24281
-0.0516,0.069,0.874,0.057,1.0,104.44,3.68,10,680,606,66,24,DJ Luke Nasty,OTW,24282
-0.9998,0.025,0.54,0.434,2.1,96.18,3.69,11,521,448,50,24,21 Savage,Red Opps,24283
-0.9704,0.133,0.689,0.178,2.6,89.45,2.92,10,437,349,48,19,Rae Sremmurd,Swang,24284
-0.9824,0.106,0.755,0.139,2.4,89.95,4.07,41,604,475,70,23,Big Sean,Moves,24285
-0.2263,0.057,0.877,0.066,0.9,99.23,2.53,13,380,316,53,20,Dustin Lynch,Seein' Red,24286
0.9217,0.113,0.795,0.092,2.1,96.18,3.93,35,867,728,81,19,KYLE Featuring Lil Yachty,iSpy,24287
0.9951,0.207,0.785,0.008,0.6,99.94,2.25,13,371,307,58,29,Michael Ray,Think A Little Less,24288
-0.8319,0.11,0.758,0.132,2.5,95.06,4.35,32,452,393,39,0,Kodak Black,No Flockin,24289
-0.9928,0.127,0.683,0.19,1.7,97.2,3.58,34,499,416,52,2,A Boogie Wit da Hoodie Featuring DJ SPINKING,Timeless,24290
0.9561,0.077,0.923,0.0,-1.1,115.03,3.02,2,237,228,32,11,KALEO,Way Down We Go,24291
-0.9484,0.18,0.587,0.232,0.1,106.77,2.88,6,371,340,49,17,Olivia O'Brien,Hate U Love U,24292
-0.9997,0.0,0.549,0.451,2.6,89.45,3.61,62,756,582,80,48,Daddy Yankee,Shaky Shaky,24293
-0.9852,0.034,0.763,0.203,2.2,95.77,4.19,8,230,187,20,8,Chris Young Featuring Vince Gill,Sober Saturday Night,24294
-0.981,0.128,0.72,0.152,1.7,97.09,3.32,28,631,511,63,17,Travis Scott,Beibs In The Trap,24295
-0.05,0.095,0.802,0.103,1.1,98.82,2.56,8,416,359,56,31,Bebe Rexha,I Got You,24296
0.4599,0.086,0.843,0.07,0.3,106.16,3.23,15,398,354,47,18,Brantley Gilbert,The Weekend,24297
-0.9955,0.205,0.485,0.309,3.6,81.39,2.76,11,414,302,44,17,Ugly God,Water,24298
0.9993,0.213,0.765,0.022,1.5,97.7,3.13,11,734,636,85,58,Ed Sheeran,Shape Of You,24299
0.3612,0.046,0.913,0.042,0.5,105.66,3.32,11,390,344,43,10,Ed Sheeran,Castle On The Hill,24300
0.8657,0.066,0.9,0.034,1.5,97.7,3.8,11,364,301,40,15,Khalid,Location,24301
0.9921,0.137,0.821,0.042,0.9,104.54,4.19,24,578,509,56,11,Sam Hunt,Drinkin' Too Much,24302
0.992,0.211,0.748,0.041,-0.1,107.08,2.91,11,338,297,45,19,Granger Smith,If The Boot Fits,24303
0.9974,0.179,0.805,0.016,1.0,98.92,2.62,9,461,396,63,41,The Chainsmokers,Paris,24304
-0.9708,0.061,0.843,0.097,3.5,81.7,2.88,45,709,495,75,27,Migos,T-Shirt,24305
0.9869,0.298,0.518,0.184,1.5,97.7,3.17,8,272,234,31,19,Halsey,Not Afraid Anymore,24306
0.8797,0.088,0.837,0.075,6.6,78.99,9.11,91,1012,755,43,0,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,24307
0.9886,0.209,0.679,0.112,0.3,106.26,3.06,4,428,390,53,31,PARTYNEXTDOOR,Not Nice,24308
0.9382,0.106,0.841,0.052,0.0,106.87,2.72,4,304,284,42,19,Dierks Bentley,Black,24309
0.4306,0.031,0.947,0.022,0.5,105.76,3.16,5,411,387,49,24,Marian Hill,Down,24310
0.9911,0.162,0.825,0.013,0.7,105.25,3.36,7,328,294,35,18,Luke Bryan,Fast,24311
0.9978,0.207,0.778,0.015,0.3,106.26,3.16,9,432,392,53,23,Hey Violet,Guys My Age,24312
-0.929,0.051,0.833,0.116,0.5,105.66,3.42,6,422,367,46,25,Lauren Alaina,Road Less Traveled,24313
