date,rank,artist,song,lyricId
1997-01-04,1,Toni Braxton,Un-Break My Heart,17175
1997-01-04,2,R. Kelly,"I Believe I Can Fly (From ""Space Jam"")",17210
1997-01-04,3,En Vogue,Don't Let Go (Love),17184
1997-01-04,4,BLACKstreet (Featuring Dr. Dre),No Diggity,17166
1997-01-04,5,Keith Sweat Featuring Athena Cage,Nobody,17157
1997-01-04,6,Whitney Houston,"I Believe In You And Me (From ""The Preacher's Wife"")",-1
1997-01-04,7,Merril Bainbridge,Mouth,17139
1997-01-04,8,New Edition,I'm Still In Love With You,17183
1997-01-04,9,Barbra Streisand & Bryan Adams,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",-1
1997-01-04,10,Los Del Rio,Macarena (Bayside Boys Mix),-1
1997-01-04,11,Celine Dion,It's All Coming Back To Me Now,17120
1997-01-04,12,Ginuwine,Pony,17140
1997-01-04,13,Seal,"Fly Like An Eagle (From ""Space Jam"")",17215
1997-01-04,14,Az Yet,"Last Night (From ""The Nutty Professor"")",-1
1997-01-04,15,Journey,When You Love A Woman,17174
1997-01-04,16,Sheryl Crow,If It Makes You Happy,17147
1997-01-04,17,No Mercy,Where Do You Go,17087
1997-01-04,18,Mint Condition,What Kind Of Man Would I Be,17142
1997-01-04,19,Lil' Kim Featuring Puff Daddy,No Time,17187
1997-01-04,20,Donna Lewis,I Love You Always Forever,17081
1997-01-04,21,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",This Is For The Lover In You,17173
1997-01-04,22,Montell Jordan,Falling,17159
1997-01-04,23,Nas,Street Dreams,17185
1997-01-04,24,Madonna,"You Must Love Me (From ""Evita"")",-1
1997-01-04,25,Keith Sweat,Twisted,17074
1997-01-04,26,MC Lyte,Cold Rock A Party,17200
1997-01-04,27,Dru Hill,"Tell Me (From ""Eddie"")",17134
1997-01-04,28,Jewel,Foolish Games/You Were Meant For Me,17198
1997-01-04,29,Eric Clapton,Change The World,17099
1997-01-04,30,Amber,This Is Your Night,17073
1997-01-04,31,Gina G,Ooh Aah... Just A Little Bit,17202
1997-01-04,32,Toni Braxton,You're Makin' Me High/Let It Flow,17066
1997-01-04,33,112,Come See Me,17189
1997-01-04,34,dc Talk,Between You And Me,17192
1997-01-04,35,702,Steelo,17143
1997-01-04,36,OutKast,ATLiens,17199
1997-01-04,37,Dishwalla,Counting Blue Cars,17021
1997-01-04,38,Nate Dogg Featuring Snoop Doggy Dogg,Never Leave Me Alone,17186
1997-01-04,39,John Mellencamp,Key West Intermezzo (I Saw You First),17132
1997-01-04,40,Alanis Morissette,You Learn/You Oughta Know,-1
1997-01-04,41,Quad City DJ's,"Space Jam (From ""Space Jam"")",-1
1997-01-04,42,The Cranberries,When You're Gone/Free To Decide,17196
1997-01-04,43,Bryan Adams,Let's Make A Night To Remember,17133
1997-01-04,44,Westside Connection,Bow Down,17151
1997-01-04,45,Ghost Town DJ's,My Boo,17086
1997-01-04,46,Mack 10 & Tha Dogg Pound,"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")",17212
1997-01-04,47,The Smashing Pumpkins,Thirty-Three,17201
1997-01-04,48,LL Cool J,Loungin,17090
1997-01-04,49,Donell Jones,Knocks Me Off My Feet,17179
1997-01-04,50,"Brandy, Tamia, Gladys Knight & Chaka Khan","Missing You (From ""Set It Off"")",-1
1997-01-04,51,Aaliyah,If Your Girl Only Knew,17131
1997-01-04,52,Donna Lewis,Without Love,17211
1997-01-04,53,The Blackout Allstars,I Like It,17208
1997-01-04,54,Gloria Estefan,I'm Not Giving You Up,17207
1997-01-04,55,Rod Stewart,If We Fall In Love Tonight,17194
1997-01-04,56,Johnny Gill Featuring Roger Troutman,It's Your Body,17213
1997-01-04,57,Los Del Rio,Macarena Christmas,17217
1997-01-04,58,Alan Jackson,Little Bitty,17195
1997-01-04,59,Total,When Boy Meets Girl,17178
1997-01-04,60,K-Ci & JoJo,"How Could You (From ""Bulletproof"")",-1
1997-01-04,61,LL Cool J,"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",-1
1997-01-04,62,Duncan Sheik,Barely Breathing,17203
1997-01-04,63,Better Than Ezra,Desperately Wanting,17216
1997-01-04,64,Rockell,I Fell In Love,17191
1997-01-04,65,Da Brat,Sittin' On Top Of The World,17164
1997-01-04,66,Metallica,Hero Of The Day,17188
