date,rank,artist,song,lyricId
2007-01-06,1,Beyonce,Irreplaceable,20248
2007-01-06,2,Akon Featuring Snoop Dogg,I Wanna Love You,20231
2007-01-06,3,Fergie,Fergalicious,20222
2007-01-06,4,Akon Featuring Eminem,Smack That,20224
2007-01-06,5,Justin Timberlake Featuring T.I.,My Love,20209
2007-01-06,6,Nelly Furtado,Say It Right,20272
2007-01-06,7,The Fray,How To Save A Life,20048
2007-01-06,8,Jim Jones,We Fly High,20237
2007-01-06,9,Bow Wow Featuring Chris Brown & Johnta Austin,Shortie Like Mine,20235
2007-01-06,10,Hinder,Lips Of An Angel,20152
2007-01-06,11,The All-American Rejects,It Ends Tonight,20232
2007-01-06,12,Justin Timberlake,SexyBack,20142
2007-01-06,13,Unk,Walk It Out,20210
2007-01-06,14,Ciara,Promise,20270
2007-01-06,15,Ludacris Featuring Pharrell,Money Maker,20180
2007-01-06,16,My Chemical Romance,Welcome To The Black Parade,20215
2007-01-06,17,Snow Patrol,Chasing Cars,20095
2007-01-06,18,Paula DeAnda Featuring The DEY,Walk Away (Remember Me),20240
2007-01-06,19,Nickelback,Far Away,20155
2007-01-06,20,Avril Lavigne,Keep Holding On,20288
2007-01-06,21,Gwen Stefani,Wind It Up,20259
2007-01-06,22,Ludacris Featuring Mary J. Blige,Runaway Love,20280
2007-01-06,23,Justin Timberlake,What Goes Around...Comes Around,20298
2007-01-06,24,Carrie Underwood,Before He Cheats,20200
2007-01-06,25,Christina Aguilera,Hurt,20234
2007-01-06,26,Young Jeezy,I Luv It,20281
2007-01-06,27,Fat Joe Featuring Lil Wayne,Make It Rain,20260
2007-01-06,28,John Mayer,Waiting On The World To Change,20147
2007-01-06,29,Lloyd Featuring Lil Wayne,You,20273
2007-01-06,30,Chris Brown,Say Goodbye,20177
2007-01-06,31,Red Hot Chili Peppers,Snow ((Hey Oh)),20099
2007-01-06,32,Snoop Dogg Featuring R. Kelly,That's That,20278
2007-01-06,33,JoJo,Too Little Too Late,20187
2007-01-06,34,Lil Scrappy Featuring Young Buck,Money In The Bank,20219
2007-01-06,35,The Pussycat Dolls Featuring Timbaland,Wait A Minute,20271
2007-01-06,36,Evanescence,Call Me When You're Sober,20183
2007-01-06,37,Rascal Flatts,My Wish,20211
2007-01-06,38,Daughtry,It's Not Over,20282
2007-01-06,39,Stone Sour,Through Glass,20172
2007-01-06,40,Brad Paisley,She's Everything,20241
2007-01-06,41,Nas Featuring will.i.am,Hip Hop Is Dead,20300
2007-01-06,42,OK Go,Here It Goes Again,20199
2007-01-06,43,KT Tunstall,Suddenly I See,20149
2007-01-06,44,"""Weird Al"" Yankovic",White & Nerdy,20228
2007-01-06,45,Rodney Atkins,Watching You,20263
2007-01-06,46,Rascal Flatts,What Hurts The Most,19994
2007-01-06,47,Tim McGraw,My Little Girl,20218
2007-01-06,48,Taylor Swift,Tim McGraw,20207
2007-01-06,49,Birdman & Lil Wayne,Stuntin' Like My Daddy,20202
2007-01-06,50,"Eminem, 50 Cent, Lloyd Banks & Ca$his",You Don't Know,20296
2007-01-06,51,Diddy Featuring Christina Aguilera,Tell Me,20246
2007-01-06,52,Sugarland,Want To,20220
2007-01-06,53,Omarion,Ice Box,20291
2007-01-06,54,Danity Kane,Show Stopper,20182
2007-01-06,55,T.I.,Top Back,20303
2007-01-06,56,Hellogoodbye,Here (In Your Arms),20268
2007-01-06,57,The Killers,When You Were Young,20175
2007-01-06,58,Jay-Z Featuring Chrisette Michele,Lost One,20299
2007-01-06,59,Nelly Furtado,Maneater,20212
2007-01-06,60,JAY-Z,Show Me What You Got,20239
2007-01-06,61,Diddy Featuring Nicole Scherzinger,Come To Me,20201
2007-01-06,62,Nickelback,Rockstar,20230
2007-01-06,63,Chris Brown Featuring Jay Biz,Poppin',-1
2007-01-06,64,Rihanna & Sean Paul,Break It Off,20284
2007-01-06,65,Cherish,Unappreciated,20233
2007-01-06,66,Blue October,Into The Ocean,20302
