sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
0.9432,0.096,0.904,0.0,0.0,106.87,2.96,4,180,164,24,8,Chaka Khan,Got To Be There,12219
0.4037,0.105,0.801,0.094,-0.6,108.29,2.16,2,230,212,39,20,Vandenberg,Burning Heart,12220
-0.9949,0.066,0.765,0.169,4.4,79.26,6.05,75,609,440,49,0,Dire Straits,Industrial Disease,12221
0.9872,0.228,0.674,0.098,0.7,99.73,2.45,14,388,316,57,31,Michael Murphey,Still Taking Chances,12222
0.9968,0.259,0.706,0.035,-0.3,107.58,2.7,4,337,307,50,29,Utopia,Feet Don't Fail Me Now,12223
0.9974,0.214,0.744,0.042,-0.6,108.4,2.12,3,363,338,64,34,Lionel Richie,You Are,12224
0.9978,0.291,0.641,0.069,0.0,106.87,3.19,10,393,342,50,23,Neil Diamond,I'm Alive,12225
-0.2617,0.06,0.864,0.076,0.4,105.86,3.12,7,275,243,31,13,Joe Jackson,Breaking Us In Two,12226
0.9586,0.154,0.777,0.069,1.9,91.27,2.76,12,365,284,52,26,Olivia Newton-John,Tied Up,12227
0.9545,0.204,0.712,0.084,-0.5,107.99,2.89,4,150,131,23,3,Steel Breeze,Dreamin' Is Easy,12228
0.9486,0.143,0.785,0.072,1.0,98.92,2.71,4,251,207,33,8,Don Henley,I Can't Stand Still,12229
0.9982,0.316,0.622,0.062,-1.2,115.23,2.76,3,259,249,36,22,Night Ranger,Don't Tell Me You Love Me,12230
0.9628,0.12,0.834,0.046,2.7,89.24,4.06,17,489,376,50,25,Missing Persons,Windows,12231
-0.9939,0.079,0.726,0.195,-0.3,107.38,2.52,2,384,359,57,26,Evelyn King,Betcha She Don't Love You,12232
0.969,0.145,0.847,0.008,1.0,98.92,2.76,8,206,169,27,8,Firefall,Always,12233
0.8505,0.053,0.918,0.03,-1.0,114.72,2.96,2,440,422,57,26,Christopher Cross,All Right,12234
-0.8801,0.066,0.858,0.076,0.7,105.15,3.4,7,540,477,56,19,Michael Jackson,Billie Jean,12235
-1.0,0.052,0.81,0.138,74.3,-113.37,75.05,850,8287,5281,29,0,Randy Newman & Paul Simon,The Blues,12236
0.9972,0.218,0.782,0.0,0.5,105.76,3.29,8,344,302,38,14,"Earth, Wind & Fire",Fall In Love With Me,12237
-0.3525,0.078,0.823,0.098,0.4,100.54,2.28,11,361,302,64,19,Dexys Midnight Runners,Come On Eileen,12238
-0.9976,0.153,0.412,0.435,-0.7,108.5,2.29,6,202,188,36,12,Thompson Twins,Lies,12239
0.9813,0.09,0.843,0.067,2.5,89.65,4.12,170,1832,1436,201,0,The John Hall Band,Love Me Again,12240
0.9845,0.118,0.855,0.028,3.2,82.51,3.34,13,424,313,54,24,The Weather Girls,It's Raining Men,12241
0.7544,0.134,0.773,0.093,-0.3,107.38,2.52,4,152,139,22,0,Survivor,The One That Really Matters,12242
0.5204,0.078,0.831,0.091,-0.6,108.4,2.12,5,212,191,36,8,Kenny Rogers And Sheena Easton,We've Got Tonight,12243
0.9618,0.144,0.833,0.024,0.7,105.05,3.44,5,239,214,25,9,Daryl Hall John Oates,One On One,12244
0.0119,0.076,0.829,0.095,2.0,96.28,4.09,10,175,152,17,0,Eric Clapton,I've Got A Rock N' Roll Heart,12245
-0.5801,0.077,0.825,0.098,1.0,99.02,2.88,13,237,198,32,11,Jefferson Starship,Winds Of Change,12246
-0.9966,0.09,0.579,0.331,1.5,97.8,3.32,11,264,222,30,7,ABC,Poison Arrow,12247
-0.9915,0.056,0.693,0.251,0.9,99.33,2.36,7,247,208,35,12,Greg Kihn Band,Jeopardy,12248
-0.867,0.042,0.848,0.11,1.5,97.7,3.21,5,232,188,25,13,Chicago,What You're Missing,12249
0.9913,0.303,0.697,0.0,0.8,99.63,2.62,5,127,106,19,2,Neil Young,Little Thing Called Love,12250
0.936,0.112,0.854,0.035,1.7,97.3,4.06,18,268,222,28,3,Donald Fagen,New Frontier,12251
0.9794,0.177,0.733,0.09,0.4,106.06,3.41,5,251,219,29,10,"Crosby, Stills & Nash",Too Much Love To Hide,12252
0.943,0.098,0.876,0.026,-0.2,107.18,3.15,12,248,220,34,6,Stephen Bishop,It Might Be You,12253
0.9948,0.292,0.567,0.141,0.6,105.35,3.49,11,267,233,28,9,Journey,Separate Ways (Worlds Apart),12254
