sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
-0.942,0.136,0.663,0.201,1.8,96.99,3.93,16,302,247,30,10,Matt McAndrew,Wasted Love,23485
0.9914,0.239,0.75,0.011,1.0,104.44,4.16,5,181,166,18,2,Craig Wayne Boyd,My Baby's Got A Smile On Her Face,23486
-0.9807,0.071,0.824,0.105,3.1,88.02,3.81,41,789,610,70,8,Nicki Minaj Featuring Beyonce,Feeling Myself,23487
0.9413,0.18,0.741,0.079,1.3,98.21,3.51,9,200,168,24,1,Chris Jamison,Velvet,23488
0.9999,0.094,0.843,0.063,17.5,29.01,16.56,1485,17509,10284,307,0,Chris Jamison & Adam Levine,Lost Without U,23489
0.9974,0.24,0.652,0.109,1.8,96.89,3.96,13,462,374,45,22,Jessie J,Masterpiece,23490
-0.924,0.029,0.859,0.112,0.2,106.47,3.12,3,181,166,23,5,Damien,Soldier,23491
0.9979,0.227,0.735,0.038,1.1,98.62,3.24,25,568,464,70,18,Nicki Minaj Featuring Ariana Grande,Get On Your Knees,23492
0.9586,0.141,0.739,0.12,1.6,97.5,3.42,29,712,595,77,20,J. Cole,Apparently,23493
0.5417,0.134,0.744,0.121,0.0,106.87,2.88,8,277,245,36,9,Chris Young,Lonely Eyes,23494
0.9996,0.214,0.733,0.053,8.2,47.86,4.64,187,1727,979,148,7,The Weeknd,Earned It (Fifty Shades Of Grey),23495
0.975,0.23,0.589,0.181,1.5,97.8,3.29,19,580,481,65,28,Prince Royce Featuring Snoop Dogg,Stuck On A Feeling,23496
-0.9638,0.07,0.789,0.141,0.8,104.84,3.61,13,461,422,48,0,French Montana Featuring Jeremih,Bad B*tch,23497
0.9747,0.144,0.793,0.063,-0.5,107.99,2.53,11,354,326,57,28,Becky G,Can't Stop Dancin',23498
0.9575,0.124,0.815,0.061,1.5,97.7,3.29,15,512,421,56,23,Meghan Trainor,Title,23499
-0.6834,0.092,0.809,0.099,0.6,105.45,3.28,5,439,393,48,7,Kanye West Featuring Paul McCartney,Only One,23500
-0.9975,0.081,0.73,0.189,2.7,89.24,3.15,29,688,548,73,24,Rae Sremmurd Featuring Nicki Minaj & Young Thug,Throw Sum Mo,23501
0.9968,0.201,0.745,0.054,0.0,106.97,2.98,13,456,403,60,13,Sam Hunt,Take Your Time,23502
0.9734,0.194,0.732,0.074,0.3,106.16,3.19,6,229,209,28,12,Jake Owen,What We Ain't Got,23503
0.9794,0.135,0.813,0.052,1.5,97.6,3.19,8,303,260,34,16,Tyler Farr,A Guy Walks Into A Bar,23504
0.9954,0.156,0.822,0.022,-0.4,107.69,2.5,12,427,387,64,37,Chase Bryant,Take It On Back,23505
-0.9859,0.057,0.757,0.187,0.4,105.96,3.23,8,300,263,34,9,Cole Swindell,Ain't Worth The Whiskey,23506
0.8724,0.148,0.747,0.105,0.3,106.16,3.37,20,611,542,72,30,G-Eazy Featuring Remo,I Mean It,23507
0.9271,0.13,0.781,0.089,0.5,105.66,3.31,6,389,353,44,22,Sia,Elastic Heart,23508
-0.9352,0.16,0.697,0.144,1.4,97.91,3.64,41,745,608,83,24,Chris Brown & Tyga,Ayo,23509
0.9988,0.316,0.633,0.05,0.5,105.76,3.16,7,358,331,42,21,Ellie Goulding,Love Me Like You Do,23510
0.9994,0.384,0.479,0.137,2.0,96.48,3.92,12,425,364,42,13,Fall Out Boy,Irresistible,23511
0.9995,0.393,0.524,0.083,0.4,105.86,3.21,4,497,444,57,17,Sophia Grace,Best Friends,23512
-0.9756,0.136,0.678,0.186,-0.1,107.08,2.8,23,574,505,77,35,I Prevail,Blank Space,23513
0.5481,0.062,0.889,0.048,-0.1,107.08,2.8,19,582,511,78,42,B.o.B Featuring Trey Songz,Not For Long,23514
0.9918,0.153,0.772,0.075,1.7,97.3,3.29,15,739,634,80,17,Omarion Featuring Chris Brown & Jhene Aiko,Post To Be,23515
-0.993,0.045,0.812,0.144,1.5,97.6,3.57,33,642,532,70,21,Hoodie Allen Featuring Ed Sheeran,All About It,23516
0.9985,0.295,0.629,0.076,1.4,97.91,3.2,15,530,429,59,27,Maroon 5,Sugar,23517
0.9825,0.089,0.896,0.014,0.4,105.96,3.27,7,467,426,55,29,Kelly Clarkson,Heartbeat Song,23518
0.9943,0.193,0.791,0.016,1.8,96.89,3.45,4,351,299,36,20,Zac Brown Band,Homegrown,23519
0.9989,0.31,0.652,0.038,0.1,106.77,3.12,9,380,331,48,28,Fall Out Boy,Uma Thurman,23520
0.9976,0.257,0.635,0.108,1.7,97.09,4.01,24,513,415,51,10,Common & John Legend,Glory,23521
-0.922,0.106,0.755,0.139,-0.9,109.11,1.84,3,294,269,59,38,Dierks Bentley,Say You Do,23522
0.9935,0.159,0.764,0.077,0.9,104.64,3.85,28,712,631,70,14,Wale Featuring Jeremih,The Body,23523
0.9688,0.134,0.806,0.059,0.0,106.97,3.22,8,338,294,44,7,Rihanna & Kanye West & Paul McCartney,FourFiveSeconds,23524
-0.9603,0.087,0.789,0.123,1.6,97.4,3.63,42,642,549,70,22,Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter,23525
0.9987,0.215,0.766,0.018,0.5,110.97,4.51,6,629,608,55,30,Fifth Harmony Featuring Kid Ink,Worth It,23526
