date,rank,artist,song,lyricId
2003-01-04,1,Eminem,Lose Yourself,18958
2003-01-04,2,"Missy ""Misdemeanor"" Elliott",Work It,18942
2003-01-04,3,"Nelly Featuring Kyjuan, Ali & Murphy Lee",Air Force Ones,18989
2003-01-04,4,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,18978
2003-01-04,5,Jennifer Lopez Featuring Styles & Jadakiss,Jenny From The Block,-1
2003-01-04,6,Christina Aguilera,Beautiful,19003
2003-01-04,7,B2K & P. Diddy,"Bump, Bump, Bump",19010
2003-01-04,8,Nivea Featuring Brian & Brandon Casey,Don't Mess With My Man,18915
2003-01-04,9,Erykah Badu Featuring Common,Love Of My Life (An Ode To Hip Hop),18939
2003-01-04,10,No Doubt Featuring Lady Saw,Underneath It All,18930
2003-01-04,11,Aaliyah,Miss You,19008
2003-01-04,12,Avril Lavigne,I'm With You,19015
2003-01-04,13,Puddle Of Mudd,She Hates Me,18965
2003-01-04,14,Santana Featuring Michelle Branch,The Game Of Love,18959
2003-01-04,15,Jennifer Lopez Featuring LL Cool J,All I Have,19030
2003-01-04,16,Dixie Chicks,Landslide,18949
2003-01-04,17,Justin Timberlake,Cry Me A River,19026
2003-01-04,18,Sean Paul,Gimme The Light,18842
2003-01-04,19,2Pac,Thugz Mansion,19014
2003-01-04,20,P!nk,Family Portrait,18997
2003-01-04,21,John Mayer,Your Body Is A Wonderland,18983
2003-01-04,22,Clipse,When The Last Time,18943
2003-01-04,23,Musiq,dontchange,18937
2003-01-04,24,Kid Rock Featuring Sheryl Crow Or Allison Moorer,Picture,-1
2003-01-04,25,Ja Rule Featuring Ashanti,Mesmerize,19031
2003-01-04,26,Dru Hill,I Should Be...,19018
2003-01-04,27,Creed,One Last Breath,18872
2003-01-04,28,Mark Wills,19 Somethin',19005
2003-01-04,29,Eve,Satisfaction,19009
2003-01-04,30,Jaheim Featuring Tha Rayne,Fabulous,18998
2003-01-04,31,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",Hey Ma,18929
2003-01-04,32,R. Kelly,Ignition,18995
2003-01-04,33,George Strait,She'll Leave You With A Smile,18961
2003-01-04,34,Toby Keith,Who's Your Daddy?,18962
2003-01-04,35,LL Cool J,Luv U Better,18927
2003-01-04,36,3 Doors Down,When I'm Gone,19004
2003-01-04,37,Nelly Featuring Kelly Rowland,Dilemma,18891
2003-01-04,38,Rascal Flatts,These Days,18960
2003-01-04,39,Nas,Made You Look,19027
2003-01-04,40,Baby Featuring P. Diddy,Do That...,19001
2003-01-04,41,Good Charlotte,Lifestyles Of The Rich And Famous,19021
2003-01-04,42,50 Cent,Wanksta,19011
2003-01-04,43,LL Cool J Featuring Amerie,Paradise,19023
2003-01-04,44,matchbox twenty,Disease,18974
2003-01-04,45,Lasgo,Something,18988
2003-01-04,46,Madonna,Die Another Day,18970
2003-01-04,47,Justin Timberlake,Like I Love You,18934
2003-01-04,48,Foo Fighters,All My Life,18985
2003-01-04,49,Emerson Drive,Fall Into Me,18999
2003-01-04,50,Busta Rhymes Featuring Spliff Star,Make It Clap,18996
2003-01-04,51,Amerie,Talkin' To Me,19017
2003-01-04,52,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",Gossip Folks,19034
2003-01-04,53,Saliva,Always,19022
2003-01-04,54,Blake Shelton,The Baby,19020
2003-01-04,55,Terri Clark,I Just Wanna Be Mad,18992
2003-01-04,56,Chevelle,The Red,19013
2003-01-04,57,Nirvana,You Know You're Right,18971
2003-01-04,58,Erick Sermon Featuring Redman,React,18975
2003-01-04,59,Aaliyah,I Care 4 U,18922
2003-01-04,60,Kenny Chesney,A Lot Of Things Different,19012
2003-01-04,61,Kelly Rowland,Stole,18952
2003-01-04,62,Tim McGraw,Red Rag Top,18964
2003-01-04,63,Avril Lavigne,Sk8er Boi,18941
2003-01-04,64,Seether,Fine Again,19033
2003-01-04,65,Norah Jones,Don't Know Why,18954
2003-01-04,66,Smilez & Southstar,Tell Me (What's Goin' On),19038
2003-01-04,67,Aaron Lines,You Can't Hide Beautiful,19032
2003-01-04,68,Stone Sour,Bother,18987
2003-01-04,69,Queens Of The Stone Age,No One Knows,19035
2003-01-04,70,Field Mob,Sick Of Being Lonely,19024
2003-01-04,71,Lifehouse,Spin,19000
2003-01-04,72,Disturbed,Prayer,18951
2003-01-04,73,Tyrese,How You Gonna Act Like That,19039
2003-01-04,74,Christina Aguilera Featuring Redman,Dirrty,18948
2003-01-04,75,Audioslave,Cochise,19007
2003-01-04,76,Ja Rule Featuring Bobby Brown,Thug Lovin',19006
2003-01-04,77,Red Hot Chili Peppers,The Zephyr Song,18990
2003-01-04,78,Gary Allan,Man To Man,19040
2003-01-04,79,Kelly Clarkson,A Moment Like This,18947
2003-01-04,80,Whitney Houston,One Of Those Days,19002
2003-01-04,81,Uncle Kracker,In A Little While,18984
2003-01-04,82,Common Featuring Mary J. Blige,Come Close To Me,19029
2003-01-04,83,Mariah Carey,Through The Rain,19036
2003-01-04,84,Our Lady Peace,Somewhere Out There,18924
2003-01-04,85,t.A.T.u.,All The Things She Said,19041
2003-01-04,86,Faith Hill,Cry,18932
2003-01-04,87,Trick Daddy Featuring LaTocha Scott,Thug Holiday,19028
2003-01-04,88,TLC,Girl Talk,18979
2003-01-04,89,Benzino,Rock The Party,18969
2003-01-04,90,Snoop Dogg,From Tha Chuuuch To Da Palace,18994
2003-01-04,91,Kylie Minogue,Come Into My World,19025
2003-01-04,92,Shania Twain,I'm Gonna Getcha Good!,18973
2003-01-04,93,Toni Braxton Featuring Loon,Hit The Freeway,18993
2003-01-04,94,JC Chasez,Blowin' Me Up (With Her Love),19042
2003-01-04,95,Isyss,Single For The Rest Of My Life,18980
2003-01-04,96,Telepopmusik,Breathe,19037
2003-01-04,97,Michelle Branch,Goodbye To You,18931
2003-01-04,98,O-Town,These Are The Days,19016
2003-01-04,99,Brooks & Dunn,Every River,19019
2003-01-04,100,Montgomery Gentry,My Town,18950
2003-01-11,1,Eminem,Lose Yourself,18958
2003-01-11,2,"Missy ""Misdemeanor"" Elliott",Work It,18942
2003-01-11,3,"Nelly Featuring Kyjuan, Ali & Murphy Lee",Air Force Ones,18989
2003-01-11,4,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,18978
2003-01-11,5,B2K & P. Diddy,"Bump, Bump, Bump",19010
2003-01-11,6,Jennifer Lopez Featuring Styles & Jadakiss,Jenny From The Block,-1
