date,rank,artist,song,lyricId
2002-01-05,1,Nickelback,How You Remind Me,18663
2002-01-05,2,Usher,U Got It Bad,18672
2002-01-05,3,Mary J. Blige,Family Affair,18630
2002-01-05,4,P!nk,Get The Party Started,18699
2002-01-05,5,Ja Rule Featuring Ashanti,Always On Time,18720
2002-01-05,6,Creed,My Sacrifice,18698
2002-01-05,7,Shakira,"Whenever, Wherever",18702
2002-01-05,8,Enrique Iglesias,Hero,18675
2002-01-05,9,Ginuwine,Differences,18631
2002-01-05,10,Alicia Keys,A Woman's Worth,18707
2002-01-05,11,Ja Rule Featuring Case,Livin' It Up,18658
2002-01-05,12,'N Sync,Gone,18670
2002-01-05,13,The Calling,Wherever You Will Go,18711
2002-01-05,14,Aaliyah,Rock The Boat,18661
2002-01-05,15,Linkin Park,In The End,18709
2002-01-05,16,Toya,I Do!!,18585
2002-01-05,17,Nelly Furtado,Turn Off The Light,18643
2002-01-05,18,Fat Joe Featuring R. Kelly,We Thuggin',18705
2002-01-05,19,Michael Jackson,Butterflies,18716
2002-01-05,20,No Doubt Featuring Bounty Killer,Hey Baby,18727
2002-01-05,21,Five For Fighting,Superman (It's Not Easy),18656
2002-01-05,22,City High Featuring Eve,Caramel,18685
2002-01-05,23,Enya,Only Time,18614
2002-01-05,24,Aaron Tippin,Where The Stars And Stripes And The Eagle Fly,18692
2002-01-05,25,Nelly,#1,18694
2002-01-05,26,Jennifer Lopez Featuring Ja Rule,I'm Real,18610
2002-01-05,27,Craig David,7 Days,18726
2002-01-05,28,Ludacris,Roll Out (My Business),18714
2002-01-05,29,Alicia Keys,Fallin',18600
2002-01-05,30,Busta Rhymes,Break Ya Neck,18713
2002-01-05,31,"Janet Featuring Missy Elliott, P. Diddy & Carly Simon",Son Of A Gun,18722
2002-01-05,32,Destiny's Child,Emotion,18677
2002-01-05,33,Staind,It's Been Awhile,18547
2002-01-05,34,Jewel,Standing Still,18717
2002-01-05,35,Mr. Cheeks,"Lights, Camera, Action!",18690
2002-01-05,36,Lenny Kravitz,Dig In,18687
2002-01-05,37,Lifehouse,Hanging By A Moment,18491
2002-01-05,38,Alan Jackson,Where Were You (When The World Stopped Turning),18721
2002-01-05,39,OutKast Featuring Killer Mike,The Whole World,18734
2002-01-05,40,Mystikal,Bouncin' Back (Bumpin' Me Against The Wall),18729
2002-01-05,41,P.O.D.,Alive,18708
2002-01-05,42,Train,Drops Of Jupiter (Tell Me),18523
2002-01-05,43,B2K,Uh Huh,18745
2002-01-05,44,Toby Keith,I Wanna Talk About Me,18686
2002-01-05,45,Steve Holy,Good Morning Beautiful,18723
2002-01-05,46,George Strait,Run,18700
2002-01-05,47,Puddle Of Mudd,Blurry,18736
2002-01-05,48,Mary J. Blige,No More Drama,18730
2002-01-05,49,LeAnn Rimes,Can't Fight The Moonlight,18369
2002-01-05,50,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",Take Away,18728
2002-01-05,51,R. Kelly,The World's Greatest,18739
2002-01-05,52,Angie Stone,Brotha,18712
2002-01-05,53,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,18742
