sentiment_comp,sentiment_pos,sentiment_neu,sentiment_neg,f_k_grade,flesch_index,fog_index,difficult_words,num_syllables,num_words,num_lines,num_dup,artist,song,lyricId
-0.8577,0.021,0.894,0.084,1.8,96.89,3.55,7,205,175,21,9,Fleetwood Mac,Go Your Own Way,9669
1.0,0.098,0.863,0.039,16.5,37.17,14.5,4899,178610,109373,3237,24,Henhouse Five Plus Too,In The Mood,9670
0.9165,0.121,0.837,0.042,1.5,97.8,3.45,8,287,245,33,3,The Dramatics,Be My Girl,9671
0.9935,0.253,0.687,0.06,1.4,97.91,2.92,5,278,240,33,8,Commodores,Fancy Dancer,9672
0.9957,0.22,0.727,0.053,0.1,106.77,3.2,13,315,275,40,18,10cc,The Things We Do For Love,9673
0.9845,0.203,0.786,0.011,2.5,89.75,2.8,15,293,231,33,9,Starland Vocal Band,Hail! Hail! Rock And Roll!,9674
-0.5739,0.068,0.861,0.071,0.6,100.04,2.08,4,221,187,36,12,Tom Jones,Say You'll Stay Until Tomorrow,9675
0.8719,0.14,0.81,0.05,1.8,91.48,2.36,16,219,168,32,0,Rush,Fly By Night/In The Mood,9676
0.9998,0.113,0.801,0.086,5.7,65.28,3.78,1402,16416,10564,1723,5,Wilton Place Street Band,Disco Lucy (i Love Lucy Theme),9677
0.9439,0.096,0.852,0.052,1.2,98.41,2.93,18,474,386,57,24,Wild Cherry,Baby Don't You Know,9678
0.9771,0.156,0.76,0.084,4.0,80.48,3.39,7,403,296,38,14,Bee Gees,Boogie Child,9679
-0.9983,0.099,0.7,0.201,1.5,97.6,3.69,59,1029,858,113,11,The Emotions,I Don't Wanna Lose Your Love/Flowers,9680
-0.9638,0.005,0.948,0.047,5.2,82.54,6.46,75,845,636,45,14,Cher,Pirate,9681
0.9981,0.257,0.743,0.0,1.4,98.01,2.88,6,382,309,43,12,The O'Jays,"Darlin' Darlin' Baby (Sweet, Tender, Love)",9682
0.9818,0.141,0.771,0.088,1.9,96.59,3.44,2,378,328,38,18,Daryl Hall John Oates,Rich Girl,9683
1.0,0.13,0.777,0.093,1.1,98.82,3.17,1210,21382,18102,2846,22,Parker McGee,I Just Can't Say No To You,9684
0.917,0.12,0.88,0.0,1.9,91.27,2.87,5,160,120,22,4,Ozark Mountain Daredevils,You Know Like I Know,9685
0.9607,0.385,0.38,0.235,1.3,92.8,1.6,1,147,113,28,22,Boney M.,Daddy Cool,9686
-0.4784,0.08,0.811,0.109,0.9,99.12,3.68,10,120,97,16,4,Phoebe Snow,Shakey Ground,9687
1.0,0.122,0.782,0.097,4.4,79.36,5.39,2975,31476,23012,2594,16,Silvetti,Spring Rain,9688
-0.9996,0.075,0.818,0.106,3.7,81.29,3.86,385,7462,5447,776,11,Grace Jones,Sorry/That's The Trouble,9689
1.0,0.098,0.863,0.039,16.5,37.17,14.5,4899,178610,109373,3237,24,Love Unlimited Orchestra,Theme From King Kong (Pt. I),9690
1.0,0.13,0.777,0.093,1.1,98.82,3.17,1210,21382,18102,2846,22,Gabriel Kaplan,Up Your Nose,9691
