date,rank,artist,song,lyricId
1982-01-09,6,Quarterflash,Harden My Heart,11725
1982-01-09,7,Stevie Nicks With Don Henley,Leather And Lace,-1
1982-01-09,8,The J. Geils Band,Centerfold,11748
1982-01-09,9,George Benson,Turn Your Love Around,11733
1982-01-09,10,Lindsey Buckingham,Trouble,11729
1982-01-09,11,Neil Diamond,Yesterday's Songs,11747
1982-01-09,12,Barbra Streisand,Comin' In And Out Of Your Life,11756
1982-01-09,13,Juice Newton,The Sweetest Thing (I've Ever Known),11724
1982-01-09,14,Royal Philharmonic Orchestra,Hooked On Classics,-1
1982-01-09,15,Diana Ross,Why Do Fools Fall In Love,11720
1982-01-09,16,Paul Davis,Cool Night,11751
1982-01-09,17,Kool & The Gang,Take My Heart (You Can Have It If You Want It),11722
1982-01-09,18,Journey,Don't Stop Believin',11737
1982-01-09,19,Eddie Rabbitt,Someone Could Lose A Heart Tonight,11757
1982-01-09,20,The Rolling Stones,Waiting On A Friend,11776
1982-01-09,21,The Cars,Shake It Up,11762
1982-01-09,22,Ronnie Milsap,I Wouldn't Have Missed It For The World,11732
1982-01-09,23,Dan Fogelberg,Leader Of The Band,11771
1982-01-09,24,The Beach Boys,Come Go With Me,11768
1982-01-09,25,Stevie Woods,Steal The Night,11680
1982-01-09,26,Billy Joel,She's Got A Way,11763
1982-01-09,27,Go-Go's,Our Lips Are Sealed,11674
1982-01-09,28,Sheena Easton,You Could Have Been With Me,11770
1982-01-09,29,Queen & David Bowie,Under Pressure,11750
1982-01-09,30,Little River Band,Take It Easy On Me,11778
1982-01-09,31,Commodores,Oh No,11696
1982-01-09,32,Air Supply,Sweet Dreams,11784
1982-01-09,33,The Police,Every Little Thing She Does Is Magic,11695
1982-01-09,34,Air Supply,Here I Am (Just When I Thought I Was Over You),11693
1982-01-09,35,Rick Springfield,Love Is Alright Tonite,11779
1982-01-09,36,Don McLean,Castles In The Air,11743
1982-01-09,37,Sneaker,More Than Just The Two Of Us,11744
1982-01-09,38,Chilliwack,"My Girl (Gone, Gone, Gone)",11698
1982-01-09,39,The Steve Miller Band,Heart Like A Wheel,11738
1982-01-09,40,Loverboy,Working For The Weekend,11758
1982-01-09,41,Alabama,Love In The First Degree,11760
1982-01-09,42,Bertie Higgins,Key Largo,11759
1982-01-09,43,Daryl Hall John Oates,Private Eyes,11670
1982-01-09,44,Eddie Schwartz,All Our Tomorrows,11785
1982-01-09,45,Lulu,If I Were You,11765
1982-01-09,46,Billy Squier,My Kinda Lover,11772
1982-01-09,47,The Rolling Stones,Start Me Up,11664
1982-01-09,48,Greg Lake,Let Me Love You Once,11764
1982-01-09,49,Barry Manilow,Somewhere Down The Road,11791
1982-01-09,50,Al Jarreau,Breakin' Away,11777
1982-01-09,51,Del Shannon,Sea Of Love,11786
1982-01-09,52,Sheila,Little Darlin',11782
1982-01-09,53,Barry Manilow,The Old Songs,11712
1982-01-09,54,Jennifer Warnes,Could It Be Love,11781
1982-01-09,55,Bob Seger & The Silver Bullet Band,Feel Like A Number,11792
1982-01-09,56,Christopher Cross,Arthur's Theme (Best That You Can Do),11656
1982-01-09,57,Genesis,Abacab,11797
1982-01-09,58,Henry Paul Band,Keeping Our Love Alive,11787
1982-01-09,59,Balance,Falling In Love,11769
1982-01-09,60,Survivor,Poor Man's Son,11723
1982-01-09,61,Genesis,No Reply At All,11700
1982-01-09,62,Luther Vandross,Never Too Much,11717
1982-01-09,63,Ringo Starr,Wrack My Brain,11749
1982-01-09,64,Carpenters,Those Good Old Dreams,11793
1982-01-09,65,Steve Carlisle,Wkrp In Cincinnati,11767
