date,rank,artist,song,lyricId
1966-01-01,1,Simon & Garfunkel,The Sound Of Silence,3486
1966-01-01,2,The Beatles,We Can Work It Out,3531
1966-01-01,3,James Brown And The Famous Flames,I Got You (I Feel Good),3475
1966-01-01,4,The Byrds,Turn! Turn! Turn! (To Everything There Is A Season),3440
1966-01-01,5,The Dave Clark Five,Over And Over,3474
1966-01-01,6,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",Let's Hang On!,-1
1966-01-01,7,The McCoys,Fever,3476
1966-01-01,8,The Righteous Brothers,Ebb Tide,3502
1966-01-01,9,Roger Miller,England Swings,3460
1966-01-01,10,Eddy Arnold,Make The World Go Away,3429
1966-01-01,11,The Vogues,Five O'Clock World,3499
1966-01-01,12,The Statler Brothers,Flowers On The Wall,3482
1966-01-01,13,Barry Young,One Has My Name (The Other Has My Heart),3466
1966-01-01,14,Elvis Presley With The Jordanaires,Puppet On A String,-1
1966-01-01,15,The Shangri-Las,I Can Never Go Home Anymore,3463
1966-01-01,16,Gary Lewis And The Playboys,She's Just My Style,3519
1966-01-01,17,The Wonder Who?,Don't Think Twice,3465
1966-01-01,18,The Beatles,Day Tripper,3532
1966-01-01,19,Ramsey Lewis Trio,Hang On Sloopy,-1
1966-01-01,20,The Beach Boys,The Little Girl I Once Knew,3492
1966-01-01,21,The Lovin' Spoonful,You Didn't Have To Be So Nice,3493
1966-01-01,22,The T-Bones,No Matter What Shape (Your Stomach's In),3521
1966-01-01,23,The Animals,It's My Life,3462
1966-01-01,24,Jackie Lee,The Duck,3491
1966-01-01,25,Al Martino,Spanish Eyes,3503
1966-01-01,26,Jay & The Americans,Sunday And Me,3484
1966-01-01,27,Herman's Hermits,A Must To Avoid,3541
1966-01-01,28,Paul Revere & The Raiders Featuring Mark Lindsay,Just Like Me,-1
1966-01-01,29,Bobby Vinton,Satin Pillows,3506
1966-01-01,30,The Supremes,I Hear A Symphony,3449
1966-01-01,31,Herb Alpert & The Tijuana Brass,Taste Of Honey,-1
1966-01-01,32,Dean Martin,I Will,3454
1966-01-01,33,The Toys,Attack,3535
1966-01-01,34,Joe Tex,A Sweet Woman Like You,3505
1966-01-01,35,The Yardbirds,I'm A Man,3453
1966-01-01,36,Tom Jones,Thunderball,3520
1966-01-01,37,The Impressions,You've Been Cheatin',3490
1966-01-01,38,We Five,Let's Get Together,3480
1966-01-01,39,The Viscounts,Harlem Nocturne,-1
1966-01-01,40,The Knickerbockers,Lies,3514
1966-01-01,41,Len Barry,1-2-3,3396
1966-01-01,42,Roy Head And The Traits,Apple Of My Eye,3485
1966-01-01,43,Mitch Ryder And The Detroit Wheels,Jenny Take A Ride!,3530
1966-01-01,44,Billy Joe Royal,I've Got To Be Somebody,3508
1966-01-01,45,Ronny And The Daytonas,Sandy,3507
1966-01-01,46,Gene Pitney,Princess In Rags,3487
1966-01-01,47,Connie Francis,Jealous Heart,3494
1966-01-01,48,The Rolling Stones,As Tears Go By,3543
1966-01-01,49,The Hollies,Look Through Any Window,3489
1966-01-01,50,The Kinks,A Well Respected Man,3509
1966-01-01,51,Vic Dana,Crystal Chandelier,3504
1966-01-01,52,Dionne Warwick,Are You There (With Another Girl),3522
1966-01-01,53,Don Covay & The Goodtimers,Seesaw,-1
1966-01-01,54,Hedgehoppers Anonymous,It's Good News Week,3518
1966-01-01,55,Noel Harrison,A Young Girl,3512
1966-01-01,56,Ray Charles,Crying Time,3526
1966-01-01,57,Mike Douglas,The Men In My Little Girl's Life,3544
1966-01-01,58,Frank Sinatra,It Was A Very Good Year,3542
1966-01-01,59,Barbra Streisand,Second Hand Rose,3533
1966-01-01,60,Johnny Rivers,Under Your Spell Again,3536
1966-01-01,61,The Packers,Hole In The Wall,3477
1966-01-01,62,Buck Owens and The Buckaroos,Buckaroo,3483
1966-01-01,63,Bobby Goldsboro,Broomstick Cowboy,3534
1966-01-01,64,"Dino, Desi & Billy",Please Don't Fight It,3524
1966-01-01,65,The C.O.D.'s,Michael,3501
1966-01-01,66,James Brown At The Organ,Try Me,3488
1966-01-01,67,Herb Alpert & The Tijuana Brass,Zorba The Greek,-1
1966-01-01,68,Patti LaBelle And The Blue Belles,All Or Nothing,-1
1966-01-01,69,The Miracles,Going To A Go-Go,3546
1966-01-01,70,Wilson Pickett,Don't Fight It,3469
1966-01-01,71,Herb Alpert & The Tijuana Brass,Tijuana Taxi,-1
1966-01-01,72,Jack Jones,Love Bug,3523
1966-01-01,73,Lou Johnson,A Time To Love-A Time To Cry (Petite Fleur),-1
1966-01-01,74,Petula Clark,My Love,3548
1966-01-01,75,Elvis Presley With The Jordanaires,Tell Me Why,-1
1966-01-01,76,Bobby Powell,C.C. Rider,3511
