date,rank,artist,song,lyricId
2000-01-01,1,Santana Featuring Rob Thomas,Smooth,18034
2000-01-01,2,Brian McKnight,Back At One,18056
2000-01-01,3,Jessica Simpson,I Wanna Love You Forever,18090
2000-01-01,4,Whitney Houston,My Love Is Your Love,18062
2000-01-01,5,Savage Garden,I Knew I Loved You,18097
2000-01-01,6,Marc Anthony,I Need To Know,18066
2000-01-01,7,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",Hot Boyz,18128
2000-01-01,8,Donell Jones,U Know What's Up,18081
2000-01-01,9,Blaque,Bring It All To Me,18098
2000-01-01,10,LFO,Girl On TV,18122
2000-01-01,11,Christina Aguilera,What A Girl Wants,18129
2000-01-01,12,Kevon Edmonds,24/7,18115
2000-01-01,13,Eiffel 65,Blue (Da Ba Dee),18145
2000-01-01,14,Smash Mouth,Then The Morning Comes,18110
2000-01-01,15,Jagged Edge,He Can't Love U,18144
2000-01-01,16,Jennifer Lopez,Waiting For Tonight,18089
2000-01-01,17,Celine Dion,That's The Way It Is,18117
2000-01-01,18,Christina Aguilera,The Christmas Song (Chestnuts Roasting On An Open Fire),-1
2000-01-01,19,Guy,Dancin',18150
2000-01-01,20,Len,Steal My Sunshine,18046
2000-01-01,21,Montell Jordan,Get It On Tonite,18103
2000-01-01,22,Foo Fighters,Learn To Fly,18093
2000-01-01,23,LeAnn Rimes,Big Deal,18091
2000-01-01,24,Train,Meet Virginia,18086
2000-01-01,25,TLC,Unpretty,18002
2000-01-01,26,Faith Hill,Breathe,18114
2000-01-01,27,Juvenile Featuring Mannie Fresh & Lil' Wayne,Back That Thang Up,-1
2000-01-01,28,Sole Featuring JT Money & Kandi,"4, 5, 6",18111
2000-01-01,29,IMx,Stay The Night,18088
2000-01-01,30,M2M,Don't Say You Love Me,18123
2000-01-01,31,702,Where My Girls At?,17957
2000-01-01,32,Lou Bega,Mambo No. 5 (A Little Bit Of...),18054
2000-01-01,33,Counting Crows,Hanginaround,18116
2000-01-01,34,Filter,Take A Picture,18132
2000-01-01,35,Ideal,Get Gone,18051
2000-01-01,36,Sugar Ray,Someday,18010
2000-01-01,37,Brad Paisley,He Didn't Have To Be,18100
2000-01-01,38,Ol' Dirty Bastard Featuring Kelis,Got Your Money,18101
2000-01-01,39,Ricky Martin,Shake Your Bon-Bon,18124
2000-01-01,40,Mint Condition,If You Love Me,18113
2000-01-01,41,Goo Goo Dolls,Black Balloon,18016
2000-01-01,42,Enrique Iglesias,Rhythm Divine,18139
2000-01-01,43,Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You,18146
2000-01-01,44,Puff Daddy Featuring R. Kelly,Satisfy You,18078
2000-01-01,45,Lonestar,Amazed,17986
2000-01-01,46,Reba,What Do You Say,18112
2000-01-01,47,Ice Cube Featuring Mack 10 & Ms. Toi,You Can Do It,18137
2000-01-01,48,Dixie Chicks,Cowboy Take Me Away,18130
2000-01-01,49,Clint Black,When I Said I Do,18092
2000-01-01,50,Tim McGraw,My Best Friend,18131
2000-01-01,51,Sisqo Featuring Make It Hot,Got To Get It,18127
2000-01-01,52,Blink-182,All The Small Things,18138
2000-01-01,53,98 Degrees,This Gift,18157
2000-01-01,54,Kenny G,Auld Lang Syne,18155
2000-01-01,55,Robbie Williams,Angels,18125
2000-01-01,56,Destiny's Child,Say My Name,18153
2000-01-01,57,Alan Jackson,Pop A Top,18118
2000-01-01,58,Kelis,Caught Out There,18136
2000-01-01,59,Marc Nelson,15 Minutes,18085
2000-01-01,60,Mariah Carey Featuring Jay-Z,Heartbreaker,18060
2000-01-01,61,Creed,Higher,18068
2000-01-01,62,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",Bling Bling,-1
2000-01-01,63,Will Smith Featuring K-Ci,Will 2K,18107
2000-01-01,64,Mary J. Blige,Deep Inside,18119
2000-01-01,65,Yankee Grey,All Things Considered,18077
