date,rank,artist,song,lyricId
2005-01-01,1,Mario,Let Me Love You,19579
2005-01-01,2,Snoop Dogg Featuring Pharrell,Drop It Like It's Hot,19554
2005-01-01,3,Ciara Featuring Missy Elliott,"1, 2 Step",19581
2005-01-01,4,Destiny's Child Featuring T.I. & Lil Wayne,Soldier,19599
2005-01-01,5,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,Lovers And Friends,-1
2005-01-01,6,Usher And Alicia Keys,My Boo,19540
2005-01-01,7,Nelly Featuring Tim McGraw,Over And Over,19565
2005-01-01,8,Ja Rule Featuring R. Kelly & Ashanti,Wonderful,19567
2005-01-01,9,Destiny's Child,Lose My Breath,19551
2005-01-01,10,Gavin DeGraw,I Don't Want To Be,19575
2005-01-01,11,50 Cent,Disco Inferno,19613
2005-01-01,12,Kelly Clarkson,Breakaway,19524
2005-01-01,13,Ludacris,Get Back,19593
2005-01-01,14,Ashanti,Only U,19592
2005-01-01,15,Trick Daddy Featuring Lil Jon & Twista,Let's Go,19545
2005-01-01,16,The Game Featuring 50 Cent,How We Do,19600
2005-01-01,17,Maroon 5,She Will Be Loved,19498
2005-01-01,18,Green Day,Boulevard Of Broken Dreams,19601
2005-01-01,19,Lloyd Banks Featuring Avant,Karma,19594
2005-01-01,20,Ciara Featuring Petey Pablo,Goodies,19479
2005-01-01,21,Switchfoot,Dare You To Move,19555
2005-01-01,22,Lil Jon & The East Side Boyz Featuring Lil Scrappy,What U Gon' Do,19584
2005-01-01,23,Jadakiss Featuring Mariah Carey,U Make Me Wanna,19596
2005-01-01,24,Jay-Z/Linkin Park,Numb/Encore,19604
2005-01-01,25,"Eminem, Dr. Dre & 50 Cent",Encore,19591
2005-01-01,26,T.I.,Bring Em Out,19605
2005-01-01,27,Ja Rule Featuring Fat Joe & Jadakiss,New York,19595
2005-01-01,28,"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",Oye Mi Canto,19530
2005-01-01,29,Ryan Cabrera,True,19612
2005-01-01,30,John Mayer,Daughters,19583
2005-01-01,31,Blake Shelton,Some Beach,19580
2005-01-01,32,Anthony Hamilton,Charlene,19535
2005-01-01,33,Fabolous,Breathe,19549
2005-01-01,34,Lil Wayne,Go D.J.,19557
2005-01-01,35,Tim McGraw,Back When,19576
2005-01-01,36,Seether Featuring Amy Lee,Broken,19532
2005-01-01,37,U2,Vertigo,19560
2005-01-01,38,Kelly Clarkson,Since U Been Gone,19622
2005-01-01,39,Finger Eleven,One Thing,19499
2005-01-01,40,Jesse McCartney,Beautiful Soul,19616
2005-01-01,41,Ryan Cabrera,On The Way Down,19509
2005-01-01,42,Darryl Worley,"Awful, Beautiful Life",19587
2005-01-01,43,JoJo Featuring Bow Wow,Baby It's You,19562
2005-01-01,44,Alicia Keys,Karma,19606
2005-01-01,45,Young Buck,Shorty Wanna Ride,19566
2005-01-01,46,Simple Plan,Welcome To My Life,19586
2005-01-01,47,Terror Squad,Lean Back,19474
